"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","205/1320","429/5135",4.98322774584179e-25,8.80536342690244e-22,7.85776332975894e-22,"MAK16/POP5/ECM1/UTP20/LSM2/BMT2/MAK5/RPB5/ENP1/REI1/RRP7/SPB1/KRR1/BUD23/PWP2/RSA4/SNU13/NOP16/NUG1/ARB1/UTP7/NSA2/LCP5/BCD1/CIC1/RPP1/SSF1/RRP4/LRP1/IPI1/RTC3/RPF1/GAR1/RPC10/IMP3/DBP8/NMD3/UTP9/RIX1/FAF1/BMT5/HPM1/SQT1/YVH1/MRT4/URB1/MAK11/DHR2/RRP14/UTP11/LTV1/EBP2/DBP7/UTP30/RPF2/SPB4/LOC1/NOP1/DBP10/TSR1/SYO1/RRP42/NOP14/SAS10/FAP7/NHP2/NOP6/SSB1/FAL1/MAK21/RRP8/RRP1/RLI1/ARX1/ACL4/MSS116/RRP45/BFR2/UTP4/BCP1/ESF1/UTP5/RRP17/UTP6/PUF6/CGR1/DBP3/LSG1/NSA1/PRP43/MRM2/ROK1/RAI1/RRP46/NOP7/UTP8/ENP2/MTR3/NSR1/SKI6/SDA1/PXR1/NOP9/HCA4/MTR4/UTP18/UTP10/ALB1/RPA34/MPP10/HIT1/RPA12/DRS1/SOF1/RIX7/GRC3/RNP1/NOC3/RLP24/FCF2/FYV7/BUD20/MDN1/DIP2/CBF5/EMG1/PWP1/NOP56/RSA3/UTP13/DBP9/SGD1/AFG2/UTP21/TSR2/UTP14/BUD22/ERB1/UTP15/ECM16/RRB1/RRP5/RNT1/TMA23/HAS1/RLP7/RCM1/NOP2/IMP4/NOP15/DBP2/RPC19/NAF1/KRE33/IPI3/RIO2/RPA49/KRI1/MPP6/NOG2/ESF2/RCL1/DIS3/TSR4/NOP12/BRX1/REX4/NOP8/RRP6/UTP23/RAT1/NOB1/BUD21/PNO1/GSP2/NOC2/PUS7/YTM1/RRP36/RRS1/NOP58/RPA43/RPA190/RRP12/NOP4/RPS9A/NOG1/NAN1/NOP53/RSA1/NIP7/BMS1/RPL1A/NEW1/YAR1/DIM1/RPA135/TIF6/RPC40/MRD1/RRP9/RRP15/RPO26/NOP10/EFG1",205
"GO:0006364","rRNA processing","162/1320","314/5135",3.24196979019832e-24,2.86428030964022e-21,2.55603723458794e-21,"MAK16/POP5/UTP20/LSM2/BMT2/MAK5/ENP1/RRP7/SPB1/KRR1/BUD23/PWP2/SNU13/NOP16/NUG1/UTP7/NSA2/LCP5/BCD1/CIC1/RPP1/SSF1/RRP4/LRP1/IPI1/RTC3/RPF1/GAR1/IMP3/DBP8/UTP9/RIX1/FAF1/BMT5/MRT4/URB1/MAK11/DHR2/RRP14/UTP11/EBP2/DBP7/UTP30/RPF2/SPB4/LOC1/NOP1/DBP10/TSR1/RRP42/NOP14/SAS10/FAP7/NHP2/NOP6/SSB1/FAL1/RRP8/RRP1/RLI1/MSS116/RRP45/BFR2/UTP4/ESF1/UTP5/RRP17/UTP6/CGR1/DBP3/NSA1/PRP43/MRM2/ROK1/RAI1/RRP46/NOP7/UTP8/ENP2/MTR3/NSR1/SKI6/PXR1/NOP9/HCA4/MTR4/UTP18/UTP10/MPP10/HIT1/DRS1/SOF1/GRC3/NOC3/FCF2/FYV7/MDN1/DIP2/CBF5/EMG1/PWP1/NOP56/UTP13/DBP9/UTP21/TSR2/UTP14/BUD22/ERB1/UTP15/ECM16/RRB1/RRP5/RNT1/HAS1/RLP7/RCM1/NOP2/IMP4/NOP15/DBP2/NAF1/KRE33/IPI3/RIO2/KRI1/MPP6/ESF2/RCL1/DIS3/TSR4/NOP12/BRX1/REX4/NOP8/RRP6/UTP23/RAT1/NOB1/BUD21/PNO1/PUS7/YTM1/RRP36/RRS1/NOP58/RRP12/NOP4/RPS9A/NOG1/NAN1/NOP53/NIP7/BMS1/RPL1A/DIM1/TIF6/MRD1/RRP9/RRP15/NOP10/EFG1",162
"GO:0034470","ncRNA processing","199/1320","433/5135",1.12746605137827e-21,5.94708439913589e-19,5.30708154165881e-19,"MAK16/POP5/UTP20/LSM2/BMT2/MAK5/ENP1/RRP7/SPB1/KRR1/BUD23/PWP2/SNU13/NOP16/NUG1/UTP7/NSA2/LCP5/BCD1/CIC1/RPP1/SSF1/RRP4/TRM5/LRP1/IPI1/RTC3/RPF1/GAR1/IMP3/DBP8/UTP9/RIX1/URM1/FAF1/BMT5/MRT4/URB1/MAK11/DHR2/RRP14/UTP11/KTI12/EBP2/DBP7/TRM2/UTP30/RPF2/SPB4/LOC1/NOP1/DBP10/LHP1/TSR1/QRI7/RRP42/TRM3/NOP14/SAS10/FAP7/TRM8/NHP2/NOP6/SSB1/FAL1/RPC11/RRP8/RRP1/RLI1/TRM1/TRM82/MSS116/RRP45/BFR2/UTP4/ESF1/UTP5/RRP17/UTP6/CGR1/PUS2/DBP3/NSA1/PRP43/MRM2/SUA5/ROK1/NCS6/RAI1/RRP46/NOP7/UTP8/ENP2/MTR3/NSR1/SKI6/PXR1/NOP9/HCA4/TAD2/MTR4/UTP18/SAP185/UTP10/MPP10/HIT1/DRS1/SOF1/GRC3/NOC3/FCF2/FYV7/MDN1/DIP2/CBF5/EMG1/PWP1/NOP56/UTP13/DBP9/TAD3/IKI3/UTP21/TSR2/DUS1/RPM2/UTP14/BUD22/ERB1/UTP15/ECM16/RRB1/RRP5/RNT1/TRM732/HAS1/RLP7/RCM1/NOP2/GCD10/IMP4/NOP15/DBP2/NCS2/NAF1/KRE33/IPI3/RIO2/NRD1/PUS4/TRF5/KRI1/SMM1/MPP6/ESF2/RCL1/DIS3/TSR4/NOP12/BRX1/REX4/TRM10/PAP2/TRM11/TRM13/NOP8/RRP6/UTP23/RAT1/NOB1/BUD21/PNO1/ISU2/PUS7/YTM1/RRP36/RRS1/NOP58/RRP12/NOP4/RPS9A/ELP3/NOG1/NAN1/NOP53/TGS1/RTT10/TYW1/NIP7/BMS1/RPL1A/DIM1/TIF6/FCY1/MRD1/RRP9/RRP15/NOP10/EFG1",199
"GO:0000460","maturation of 5.8S rRNA","67/1320","92/5135",1.68281958096658e-21,5.94708439913589e-19,5.30708154165881e-19,"MAK16/UTP20/MAK5/ENP1/SPB1/KRR1/BUD23/PWP2/UTP7/NSA2/LCP5/CIC1/RRP4/LRP1/RPF1/DBP8/URB1/MAK11/UTP11/RPF2/LOC1/DBP10/RRP42/NOP14/SAS10/RRP45/UTP6/DBP3/PRP43/ROK1/RAI1/RRP46/NOP7/MTR3/SKI6/NOP9/MTR4/UTP18/UTP10/MPP10/GRC3/FCF2/DIP2/EMG1/UTP13/UTP14/ERB1/RRP5/RLP7/KRI1/MPP6/ESF2/RCL1/DIS3/BRX1/RRP6/UTP23/RAT1/BUD21/PNO1/YTM1/RRS1/NOP58/TIF6/MRD1/RRP9/RRP15",67
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","67/1320","92/5135",1.68281958096658e-21,5.94708439913589e-19,5.30708154165881e-19,"MAK16/UTP20/MAK5/ENP1/SPB1/KRR1/BUD23/PWP2/UTP7/NSA2/LCP5/CIC1/RRP4/LRP1/RPF1/DBP8/URB1/MAK11/UTP11/RPF2/LOC1/DBP10/RRP42/NOP14/SAS10/RRP45/UTP6/DBP3/PRP43/ROK1/RAI1/RRP46/NOP7/MTR3/SKI6/NOP9/MTR4/UTP18/UTP10/MPP10/GRC3/FCF2/DIP2/EMG1/UTP13/UTP14/ERB1/RRP5/RLP7/KRI1/MPP6/ESF2/RCL1/DIS3/BRX1/RRP6/UTP23/RAT1/BUD21/PNO1/YTM1/RRS1/NOP58/TIF6/MRD1/RRP9/RRP15",67
"GO:0016072","rRNA metabolic process","174/1320","363/5135",2.2324848871941e-21,6.57466799278661e-19,5.86712694915221e-19,"MAK16/POP5/UTP20/RRN6/LSM2/HHT1/BMT2/MAK5/ENP1/RRP7/SPB1/KRR1/BUD23/PWP2/SNU13/NOP16/NUG1/UTP7/NSA2/LCP5/BCD1/CIC1/RPP1/SSF1/RRP4/LRP1/IPI1/RTC3/RPF1/GAR1/IMP3/DBP8/UTP9/RIX1/FAF1/BMT5/MRT4/URB1/MAK11/DHR2/RRP14/UTP11/EBP2/DBP7/UTP30/RPF2/SPB4/LOC1/NOP1/DBP10/TSR1/RRP42/NOP14/SAS10/FAP7/NHP2/NOP6/SSB1/FAL1/RRP8/RRP1/RLI1/MSS116/RRP45/BFR2/UTP4/ESF1/UTP5/RRP17/UTP6/CGR1/DBP3/NSA1/PRP43/MRM2/ROK1/RAI1/RRP46/NOP7/UTP8/ENP2/MTR3/NSR1/SKI6/PXR1/NOP9/RRN7/HCA4/MTR4/UTP18/UTP10/RPA34/MPP10/HIT1/RPA12/DRS1/SOF1/GRC3/NOC3/FCF2/FYV7/MDN1/DIP2/CBF5/EMG1/PWP1/NOP56/UTP13/DBP9/UTP21/TSR2/RRN11/UTP14/BUD22/ERB1/UTP15/ECM16/RRB1/RRP5/RNT1/HAS1/RLP7/RCM1/NOP2/IMP4/NOP15/DBP2/NAF1/KRE33/IPI3/RIO2/RPA49/TRF5/KRI1/MPP6/ESF2/RCL1/DIS3/TSR4/NOP12/BRX1/REX4/PAP2/NOP8/RRP6/UTP23/RAT1/NOB1/BUD21/PNO1/PUS7/YTM1/RRP36/RRS1/NOP58/RPA43/RPA190/RRP12/NOP4/RPS9A/NOG1/NAN1/NOP53/NIP7/BMS1/RPL1A/DIM1/RPA135/TIF6/MRD1/RRP9/RRP15/NOP10/EFG1",174
"GO:0042273","ribosomal large subunit biogenesis","78/1320","127/5135",8.6804267154583e-18,2.19118771517355e-15,1.95538033379798e-15,"MAK16/MAK5/REI1/SPB1/RSA4/SNU13/NOP16/NUG1/NSA2/BCD1/CIC1/SSF1/IPI1/RPF1/RIX1/HPM1/SQT1/YVH1/MRT4/URB1/MAK11/RRP14/EBP2/DBP7/UTP30/RPF2/SPB4/LOC1/DBP10/SYO1/NHP2/MAK21/RRP8/RLI1/ACL4/PUF6/DBP3/LSG1/NSA1/PRP43/RAI1/NOP7/SDA1/ALB1/HIT1/DRS1/RIX7/GRC3/NOC3/RLP24/MDN1/RSA3/DBP9/AFG2/TSR2/ERB1/RRP5/HAS1/RLP7/NOP2/NOP15/IPI3/NOP12/BRX1/REX4/NOP8/RAT1/NOC2/YTM1/RRS1/NOP4/NOG1/NOP53/RSA1/NIP7/RPL1A/TIF6/RRP15",78
"GO:0000469","cleavage involved in rRNA processing","58/1320","83/5135",2.28390319974122e-17,5.04457119242843e-15,4.50169341212152e-15,"UTP20/ENP1/KRR1/BUD23/PWP2/UTP7/LCP5/CIC1/RRP4/LRP1/DBP8/UTP11/LOC1/TSR1/RRP42/NOP14/SAS10/NHP2/RRP45/UTP6/DBP3/ROK1/RAI1/RRP46/MTR3/SKI6/NOP9/MTR4/UTP18/UTP10/MPP10/GRC3/FCF2/DIP2/EMG1/UTP13/UTP14/RRP5/RLP7/KRI1/MPP6/ESF2/RCL1/DIS3/BRX1/RRP6/UTP23/RAT1/NOB1/BUD21/PNO1/RRP36/RRS1/NOP58/BMS1/MRD1/RRP9/NOP10",58
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","64/1320","106/5135",2.72696110853786e-14,5.353933643096e-12,4.77776343928622e-12,"UTP20/ENP1/KRR1/BUD23/PWP2/SNU13/UTP7/LCP5/DBP8/UTP9/FAF1/DHR2/UTP11/UTP30/LOC1/TSR1/NOP14/SAS10/FAP7/FAL1/BFR2/UTP4/UTP5/UTP6/PRP43/ROK1/NOP7/UTP8/ENP2/NOP9/UTP18/UTP10/MPP10/SOF1/FCF2/FYV7/DIP2/EMG1/UTP13/TSR2/UTP14/UTP15/ECM16/RRP5/HAS1/RIO2/KRI1/ESF2/RCL1/UTP23/NOB1/BUD21/PNO1/RRP36/RRS1/NOP58/RRP12/RPS9A/NAN1/BMS1/DIM1/MRD1/RRP9/EFG1",64
"GO:0042274","ribosomal small subunit biogenesis","79/1320","145/5135",6.94978304945809e-14,1.20712519370598e-11,1.07721892006765e-11,"UTP20/ENP1/RRP7/KRR1/BUD23/PWP2/SNU13/UTP7/LCP5/IMP3/DBP8/UTP9/FAF1/DHR2/RRP14/UTP11/LTV1/UTP30/LOC1/TSR1/NOP14/SAS10/FAP7/NOP6/FAL1/BFR2/UTP4/UTP5/UTP6/PRP43/ROK1/NOP7/UTP8/ENP2/NSR1/NOP9/UTP18/UTP10/MPP10/SOF1/FCF2/FYV7/DIP2/EMG1/UTP13/SGD1/UTP21/TSR2/UTP14/BUD22/UTP15/ECM16/RRP5/TMA23/HAS1/IMP4/KRE33/RIO2/KRI1/ESF2/RCL1/TSR4/UTP23/NOB1/BUD21/PNO1/RRP36/RRS1/NOP58/RRP12/RPS9A/NAN1/BMS1/NEW1/YAR1/DIM1/MRD1/RRP9/EFG1",79
