"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043436","oxoacid metabolic process","70/350","405/5135",4.07188395691996e-14,4.15731997587851e-11,3.44709620087942e-11,"GDH3/YAT1/UGA2/HMT1/ADH5/EHT1/MET8/PYC2/ARO4/HIS4/CHA1/FRM2/CIT2/DLD3/HIS1/SER3/TRP2/ARG4/FAA3/PAN6/SDL1/LYS1/FAS1/DAL80/AGX1/HXK1/ARO3/HOM2/ARO10/SAM2/HSP31/PYC1/ARO8/GND2/VTC4/TDH1/MET3/BNA2/CPA2/BAT2/MHT1/GLO1/CYB2/PHO84/ARG7/ALD3/GAD1/ADH2/ERR3/IDH1/MLS1/DUG3/SPS19/MET2/ACC1/LYS9/CRC1/IDH2/HIS3/GDH1/HSP33/VTC3/EEB1/FAS2/SAM4/HSP32/ERR2/CIT3/PDH1/ICL2",70
"GO:0006082","organic acid metabolic process","70/350","409/5135",6.81527864898117e-14,4.15731997587851e-11,3.44709620087942e-11,"GDH3/YAT1/UGA2/HMT1/ADH5/EHT1/MET8/PYC2/ARO4/HIS4/CHA1/FRM2/CIT2/DLD3/HIS1/SER3/TRP2/ARG4/FAA3/PAN6/SDL1/LYS1/FAS1/DAL80/AGX1/HXK1/ARO3/HOM2/ARO10/SAM2/HSP31/PYC1/ARO8/GND2/VTC4/TDH1/MET3/BNA2/CPA2/BAT2/MHT1/GLO1/CYB2/PHO84/ARG7/ALD3/GAD1/ADH2/ERR3/IDH1/MLS1/DUG3/SPS19/MET2/ACC1/LYS9/CRC1/IDH2/HIS3/GDH1/HSP33/VTC3/EEB1/FAS2/SAM4/HSP32/ERR2/CIT3/PDH1/ICL2",70
"GO:0019752","carboxylic acid metabolic process","66/350","387/5135",4.92305559315028e-13,2.00204260788111e-10,1.66001979825173e-10,"GDH3/YAT1/UGA2/HMT1/ADH5/EHT1/MET8/PYC2/ARO4/HIS4/CHA1/FRM2/CIT2/DLD3/HIS1/SER3/TRP2/ARG4/FAA3/PAN6/SDL1/LYS1/FAS1/AGX1/HXK1/ARO3/HOM2/ARO10/SAM2/HSP31/PYC1/ARO8/GND2/TDH1/MET3/BNA2/CPA2/BAT2/MHT1/GLO1/CYB2/ARG7/ALD3/GAD1/ADH2/ERR3/IDH1/MLS1/DUG3/SPS19/MET2/ACC1/LYS9/CRC1/IDH2/HIS3/GDH1/HSP33/EEB1/FAS2/SAM4/HSP32/ERR2/CIT3/PDH1/ICL2",66
"GO:0055072","iron ion homeostasis","21/350","60/5135",1.21343437969443e-10,3.70097485806802e-08,3.06871168127987e-08,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/GGC1/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE3/FIT3/FRE5/ISU1/LSO1",21
"GO:0016053","organic acid biosynthetic process","38/350","189/5135",6.36694846479259e-10,1.29461285450783e-07,1.07344517099398e-07,"GDH3/HMT1/EHT1/MET8/ARO4/HIS4/CHA1/DLD3/HIS1/SER3/TRP2/ARG4/PAN6/LYS1/FAS1/AGX1/ARO3/HOM2/HSP31/ARO8/MET3/CPA2/BAT2/MHT1/ARG7/ALD3/IDH1/MET2/ACC1/LYS9/IDH2/HIS3/GDH1/HSP33/EEB1/FAS2/SAM4/HSP32",38
"GO:0046394","carboxylic acid biosynthetic process","38/350","189/5135",6.36694846479259e-10,1.29461285450783e-07,1.07344517099398e-07,"GDH3/HMT1/EHT1/MET8/ARO4/HIS4/CHA1/DLD3/HIS1/SER3/TRP2/ARG4/PAN6/LYS1/FAS1/AGX1/ARO3/HOM2/HSP31/ARO8/MET3/CPA2/BAT2/MHT1/ARG7/ALD3/IDH1/MET2/ACC1/LYS9/IDH2/HIS3/GDH1/HSP33/EEB1/FAS2/SAM4/HSP32",38
"GO:0044283","small molecule biosynthetic process","52/350","333/5135",5.6454067411526e-09,9.83913746315168e-07,8.15824944097392e-07,"BDH2/GDH3/HMT1/ADH5/EHT1/MET8/PYC2/ARO4/HIS4/CHA1/DLD3/HIS1/SER3/TRP2/ARG4/PAN6/SDL1/LYS1/FAS1/AGX1/ARO3/HOM2/ARO10/HSP31/PYC1/ARO8/THI4/TDH1/INO1/MET3/CPA2/BAT2/MHT1/COQ11/ARG7/SRT1/ALD3/URA10/ADH2/IDH1/MET2/ACC1/LYS9/RIB4/IDH2/HIS3/GDH1/HSP33/EEB1/FAS2/SAM4/HSP32",52
"GO:0015891","siderophore transport","8/350","10/5135",1.72080963424712e-08,2.62423469222686e-06,2.17591849804143e-06,"SIT1/ARN1/ARN2/GEX2/FIT1/ENB1/FRE3/FIT3",8
"GO:0008652","cellular amino acid biosynthetic process","27/350","128/5135",7.76768681738114e-08,1.05295310191167e-05,8.73069828245997e-06,"GDH3/MET8/ARO4/HIS4/CHA1/HIS1/SER3/TRP2/ARG4/LYS1/AGX1/ARO3/HOM2/ARO8/MET3/CPA2/BAT2/MHT1/ARG7/ALD3/IDH1/MET2/LYS9/IDH2/HIS3/GDH1/SAM4",27
"GO:0055076","transition metal ion homeostasis","22/350","91/5135",1.02508161111025e-07,1.25059956555451e-05,1.03695097713363e-05,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/GGC1/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/IZH4/ENB1/ISU2/FRE3/FIT3/FRE5/ISU1/LSO1",22
"GO:0006826","iron ion transport","14/350","39/5135",1.138140753408e-07,1.26230156287069e-05,1.04665384117233e-05,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/FIT1/FRE1/FET3/ENB1/FRE3/FIT3/FRE5",14
