"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","114/352","429/5135",3.9011822104432e-42,4.45515008432613e-39,4.08186854440057e-39,"MAK16/POP5/ECM1/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/REI1/SPB1/KRR1/BUD23/PWP2/RSA4/SNU13/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/GAR1/IMP3/DBP8/NMD3/UTP9/RIX1/FAF1/BMT5/YVH1/MRT4/DHR2/RRP14/UTP11/DBP7/RPS21A/RPF2/NOP1/TSR1/SYO1/FAL1/RRP8/RRP1/ARX1/BFR2/UTP4/BCP1/UTP5/RPS17B/UTP6/PUF6/CGR1/DBP3/ROK1/RAI1/NOP7/ENP2/NSR1/SDA1/HCA4/UTP18/UTP10/ALB1/RPA34/RPA12/RIX7/RLP24/FCF2/FYV7/BUD20/MDN1/DIP2/RPS31/PWP1/TSR2/UTP14/ERB1/RRB1/RNT1/HAS1/RLP7/IMP4/NOP15/DBP2/RPC19/NAF1/IPI3/NOG2/RCL1/NOP12/BRX1/REX4/NOP8/UTP23/BUD21/RPS28A/YTM1/RRP36/RRS1/RPA43/RRP12/NOP4/NOG1/NAN1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",114
"GO:0006364","rRNA processing","94/352","314/5135",7.17532447529721e-39,4.09711027539471e-36,3.75382764655023e-36,"MAK16/POP5/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/SPB1/KRR1/BUD23/PWP2/SNU13/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/GAR1/IMP3/DBP8/UTP9/RIX1/FAF1/BMT5/MRT4/DHR2/RRP14/UTP11/DBP7/RPS21A/RPF2/NOP1/TSR1/FAL1/RRP8/RRP1/BFR2/UTP4/UTP5/UTP6/CGR1/DBP3/ROK1/RAI1/NOP7/ENP2/NSR1/HCA4/UTP18/UTP10/FCF2/FYV7/MDN1/DIP2/RPS31/PWP1/TSR2/UTP14/ERB1/RRB1/RNT1/HAS1/RLP7/IMP4/NOP15/DBP2/NAF1/IPI3/RCL1/NOP12/BRX1/REX4/NOP8/UTP23/BUD21/RPS28A/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",94
"GO:0016072","rRNA metabolic process","98/352","363/5135",2.54248188001886e-36,9.67838102327179e-34,8.86746311838157e-34,"MAK16/POP5/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/SPB1/KRR1/BUD23/PWP2/SNU13/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/GAR1/IMP3/DBP8/UTP9/RIX1/FAF1/BMT5/MRT4/DHR2/RRP14/UTP11/DBP7/RPS21A/RPF2/NOP1/TSR1/FAL1/RRP8/RRP1/BFR2/UTP4/UTP5/UTP6/CGR1/DBP3/ROK1/RAI1/NOP7/ENP2/NSR1/HCA4/UTP18/UTP10/RPA34/RPA12/FCF2/FYV7/MDN1/DIP2/RPS31/PWP1/TSR2/RRN11/UTP14/ERB1/RRB1/RNT1/HAS1/RLP7/IMP4/NOP15/DBP2/NAF1/IPI3/RCL1/NOP12/BRX1/REX4/NOP8/UTP23/BUD21/RPS28A/YTM1/RRP36/RRS1/RPA43/RRP12/NOP4/NOG1/NAN1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",98
"GO:0034470","ncRNA processing","102/352","433/5135",2.85353215112425e-32,8.14683429145973e-30,7.46423936373027e-30,"MAK16/POP5/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/SPB1/KRR1/BUD23/PWP2/SNU13/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/GAR1/IMP3/DBP8/UTP9/RIX1/FAF1/BMT5/MRT4/DHR2/RRP14/UTP11/DBP7/RPS21A/RPF2/NOP1/TSR1/FAL1/RRP8/RRP1/TRM82/BFR2/UTP4/UTP5/UTP6/CGR1/PUS2/DBP3/SUA5/ROK1/RAI1/NOP7/ENP2/NSR1/HCA4/TAD2/UTP18/UTP10/FCF2/FYV7/MDN1/DIP2/RPS31/PWP1/TSR2/UTP14/ERB1/RRB1/RNT1/HAS1/RLP7/IMP4/NOP15/DBP2/NCS2/NAF1/IPI3/NRD1/RCL1/NOP12/BRX1/REX4/TRM11/NOP8/UTP23/BUD21/RPS28A/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/TYW1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",102
"GO:0042273","ribosomal large subunit biogenesis","46/352","127/5135",1.084512998427e-22,2.47702768840727e-20,2.26948614828724e-20,"MAK16/MAK5/REI1/SPB1/RSA4/SNU13/NOP16/NUG1/NSA2/CIC1/SSF1/IPI1/RPF1/RIX1/YVH1/MRT4/RRP14/DBP7/RPF2/SYO1/RRP8/PUF6/DBP3/RAI1/NOP7/SDA1/ALB1/RIX7/RLP24/MDN1/TSR2/ERB1/HAS1/RLP7/NOP15/IPI3/NOP12/BRX1/REX4/NOP8/YTM1/RRS1/NOP4/NOG1/NIP7/RRP15",46
"GO:0042274","ribosomal small subunit biogenesis","47/352","145/5135",8.13152516231123e-21,1.54770028922657e-18,1.41802386163813e-18,"UTP20/ENP1/KRR1/BUD23/PWP2/SNU13/LCP5/IMP3/DBP8/UTP9/FAF1/DHR2/RRP14/UTP11/RPS21A/TSR1/FAL1/BFR2/UTP4/UTP5/RPS17B/UTP6/ROK1/NOP7/ENP2/NSR1/UTP18/UTP10/FCF2/FYV7/DIP2/RPS31/TSR2/UTP14/HAS1/IMP4/RCL1/UTP23/BUD21/RPS28A/RRP36/RRS1/RRP12/NAN1/DIM1/MRD1/EFG1",47
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","40/352","106/5135",1.38925521825282e-20,2.26647065606388e-18,2.07657095780947e-18,"UTP20/ENP1/KRR1/BUD23/PWP2/SNU13/LCP5/DBP8/UTP9/FAF1/DHR2/UTP11/RPS21A/TSR1/FAL1/BFR2/UTP4/UTP5/UTP6/ROK1/NOP7/ENP2/UTP18/UTP10/FCF2/FYV7/DIP2/TSR2/UTP14/HAS1/RCL1/UTP23/BUD21/RRP36/RRS1/RRP12/NAN1/DIM1/MRD1/EFG1",40
"GO:0030490","maturation of SSU-rRNA","42/352","118/5135",1.95317655010764e-20,2.78815952527866e-18,2.55454933000921e-18,"UTP20/ENP1/KRR1/BUD23/PWP2/SNU13/LCP5/DBP8/UTP9/FAF1/DHR2/UTP11/RPS21A/TSR1/FAL1/BFR2/UTP4/UTP5/UTP6/ROK1/NOP7/ENP2/UTP18/UTP10/FCF2/FYV7/DIP2/RPS31/TSR2/UTP14/HAS1/RCL1/UTP23/BUD21/RPS28A/RRP36/RRS1/RRP12/NAN1/DIM1/MRD1/EFG1",42
"GO:0000460","maturation of 5.8S rRNA","37/352","92/5135",3.17067627138424e-20,3.6209123019208e-18,3.31752864605888e-18,"MAK16/UTP20/MAK5/ENP1/SPB1/KRR1/BUD23/PWP2/NSA2/LCP5/CIC1/RRP4/RPF1/DBP8/UTP11/RPS21A/RPF2/UTP6/DBP3/ROK1/RAI1/NOP7/UTP18/UTP10/FCF2/DIP2/UTP14/ERB1/RLP7/RCL1/BRX1/UTP23/BUD21/YTM1/RRS1/MRD1/RRP15",37
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","37/352","92/5135",3.17067627138424e-20,3.6209123019208e-18,3.31752864605888e-18,"MAK16/UTP20/MAK5/ENP1/SPB1/KRR1/BUD23/PWP2/NSA2/LCP5/CIC1/RRP4/RPF1/DBP8/UTP11/RPS21A/RPF2/UTP6/DBP3/ROK1/RAI1/NOP7/UTP18/UTP10/FCF2/DIP2/UTP14/ERB1/RLP7/RCL1/BRX1/UTP23/BUD21/YTM1/RRS1/MRD1/RRP15",37
