"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005975","carbohydrate metabolic process","77/491","246/5135",7.41377087033733e-23,1.00160044458257e-19,8.45950276152176e-20,"NTH2/GAL7/GAL10/TPS1/ARA1/MAL33/MAL31/MAL32/LEU2/GLK1/CIT2/GLC3/UBC8/DSF1/GIP2/GRE3/VID28/PIG2/FYV10/SGA1/PFK26/GUT2/UGP1/MDH1/GLG1/PCK1/GSY1/IGD1/HXK1/GPM2/GPD1/NTH1/GAL3/TPS2/RMD5/EMI2/PKP2/PYC1/AMS1/VID30/NQM1/XKS1/SOL4/ENO1/GND2/MAL11/MAL12/TDH1/SIP4/GLG2/INO1/FBP26/HSP104/XYL2/IDP2/GSY2/TSA1/DAK1/TSL1/PGM2/GID8/TPS3/CAT8/ERR3/MLS1/ZWF1/CIT1/SOL1/MAN2/OPI10/GCY1/GAC1/PYK2/CIT3/ATH1/GPH1/GDB1",77
"GO:0006082","organic acid metabolic process","98/491","409/5135",1.817014707668e-19,1.22739343502974e-16,1.03665470690111e-16,"GCV3/ACS1/GDH3/YAT1/ACH1/UGA2/ETR1/ADH5/LEU2/HIS4/GLK1/CIT2/DLD3/FAA2/YAT2/CEM1/SER3/MET6/PUT2/ARO9/XBP1/POT1/MET28/MAE1/MDH1/PXA2/DAL80/MET1/SNO3/AGX1/BNA6/HXK1/GPM2/DLD1/GCV1/VTC5/MET32/ARO10/EMI2/HSP31/FDC1/PYC1/STR3/POX1/UGA1/PDC6/ADE3/ENO1/GND2/TDH1/BNA3/ARG3/BNA2/MET5/BAT2/SHM2/ALT1/PUT1/IDP2/BNA5/CAR2/GLO1/CAT2/CYB2/PHO84/FMS1/SNO1/SNZ1/HFD1/ALD3/ALD2/GCV2/GAD1/ADE4/SNO4/ERR3/IDH1/MLS1/SPS19/GOR1/MET2/CIT1/GLO4/CRC1/IDH2/SER1/MCT1/FAA1/PYK2/ALD4/GDH1/HSP33/EEB1/CAR1/HSP32/CIT3/PDH1/GLN1",98
"GO:0043436","oxoacid metabolic process","97/491","405/5135",2.99899800852727e-19,1.35054876984011e-16,1.14067152324335e-16,"GCV3/ACS1/GDH3/YAT1/ACH1/UGA2/ETR1/ADH5/LEU2/HIS4/GLK1/CIT2/DLD3/FAA2/YAT2/CEM1/SER3/MET6/PUT2/ARO9/XBP1/POT1/MET28/MAE1/MDH1/PXA2/DAL80/MET1/SNO3/AGX1/BNA6/HXK1/GPM2/DLD1/GCV1/VTC5/ARO10/EMI2/HSP31/FDC1/PYC1/STR3/POX1/UGA1/PDC6/ADE3/ENO1/GND2/TDH1/BNA3/ARG3/BNA2/MET5/BAT2/SHM2/ALT1/PUT1/IDP2/BNA5/CAR2/GLO1/CAT2/CYB2/PHO84/FMS1/SNO1/SNZ1/HFD1/ALD3/ALD2/GCV2/GAD1/ADE4/SNO4/ERR3/IDH1/MLS1/SPS19/GOR1/MET2/CIT1/GLO4/CRC1/IDH2/SER1/MCT1/FAA1/PYK2/ALD4/GDH1/HSP33/EEB1/CAR1/HSP32/CIT3/PDH1/GLN1",97
"GO:0019752","carboxylic acid metabolic process","94/491","387/5135",4.29638287580467e-19,1.45110331630303e-16,1.22559974667691e-16,"GCV3/ACS1/GDH3/YAT1/ACH1/UGA2/ETR1/ADH5/LEU2/HIS4/GLK1/CIT2/DLD3/FAA2/YAT2/CEM1/SER3/MET6/PUT2/ARO9/XBP1/POT1/MET28/MAE1/MDH1/PXA2/MET1/SNO3/AGX1/BNA6/HXK1/GPM2/DLD1/GCV1/ARO10/EMI2/HSP31/FDC1/PYC1/STR3/POX1/UGA1/PDC6/ADE3/ENO1/GND2/TDH1/BNA3/ARG3/BNA2/MET5/BAT2/SHM2/ALT1/PUT1/IDP2/BNA5/CAR2/GLO1/CAT2/CYB2/FMS1/SNO1/SNZ1/HFD1/ALD3/ALD2/GCV2/GAD1/ADE4/SNO4/ERR3/IDH1/MLS1/SPS19/GOR1/MET2/CIT1/GLO4/CRC1/IDH2/SER1/MCT1/FAA1/PYK2/ALD4/GDH1/HSP33/EEB1/CAR1/HSP32/CIT3/PDH1/GLN1",94
"GO:0044262","cellular carbohydrate metabolic process","55/491","157/5135",5.48712439184363e-19,1.48262101067615e-16,1.25221954542284e-16,"NTH2/TPS1/ARA1/MAL33/MAL31/MAL32/LEU2/GLK1/GLC3/UBC8/DSF1/GIP2/VID28/PIG2/FYV10/SGA1/PFK26/GUT2/UGP1/GLG1/GSY1/IGD1/HXK1/NTH1/GAL3/TPS2/RMD5/EMI2/VID30/XKS1/GND2/MAL11/MAL12/SIP4/GLG2/INO1/FBP26/HSP104/XYL2/IDP2/GSY2/TSA1/DAK1/TSL1/PGM2/GID8/TPS3/MLS1/MAN2/OPI10/GCY1/GAC1/ATH1/GPH1/GDB1",55
"GO:0006091","generation of precursor metabolites and energy","62/491","214/5135",1.2965249998658e-16,2.91934212469782e-14,2.46567210500794e-14,"ACS1/ETR1/TKL2/GRX1/GLK1/CIT2/GLC3/RIP1/CYC7/GIP2/RGI1/PIG2/RGI2/RNR3/SGA1/UGP1/MDH1/MBR1/HAP4/SDH1/PET10/GLG1/GSY1/IGD1/HXK1/GPM2/NDE2/GRX2/EMI2/NQM1/LSC2/SOL4/ENO1/GND2/TDH1/GLG2/SOD1/SDH2/SHH4/IDP2/GSY2/ACO1/DAK1/NDI1/ISF1/PGM2/SHH3/ERR3/IDH1/MLS1/ZWF1/CIT1/SOL1/SDH5/CYT1/IDH2/GAC1/PYK2/ALD4/CIT3/GPH1/GDB1",62
"GO:0032787","monocarboxylic acid metabolic process","51/491","156/5135",3.28911512419637e-16,6.347992189699e-14,5.36150495432913e-14,"ACS1/YAT1/ACH1/UGA2/ETR1/LEU2/GLK1/DLD3/FAA2/YAT2/CEM1/POT1/MAE1/PXA2/HXK1/GPM2/DLD1/EMI2/HSP31/FDC1/PYC1/POX1/UGA1/ENO1/GND2/TDH1/BNA3/IDP2/BNA5/GLO1/CAT2/CYB2/FMS1/ALD3/ALD2/SNO4/ERR3/MLS1/SPS19/GOR1/GLO4/CRC1/MCT1/FAA1/PYK2/ALD4/HSP33/EEB1/HSP32/CIT3/PDH1",51
"GO:0044282","small molecule catabolic process","48/491","148/5135",3.72801323304486e-15,6.29568234730451e-13,5.31732413765873e-13,"GCV3/UGA2/GAL7/GAL10/ADH5/PUT2/GRE3/ARO9/XBP1/GUT2/POT1/PXA2/BNA6/DLD1/GCV1/ARO10/HSP31/FDC1/AMS1/POX1/UGA1/PDC6/XKS1/GND2/BNA3/BNA2/BAT2/SHM2/XYL2/ALT1/PUT1/BNA5/CAR2/GLO1/DAK1/PGM2/GCV2/GAD1/SNO4/SPS19/GOR1/GLO4/GCY1/HSP33/EEB1/CAR1/HSP32/CIT3",48
"GO:0015980","energy derivation by oxidation of organic compounds","45/491","157/5135",4.03963426194383e-12,6.06393987542902e-10,5.12159478356387e-10,"ACS1/ETR1/CIT2/GLC3/RIP1/CYC7/GIP2/RGI1/PIG2/RGI2/RNR3/SGA1/UGP1/MDH1/MBR1/HAP4/SDH1/PET10/GLG1/GSY1/IGD1/NDE2/LSC2/GLG2/SOD1/SDH2/SHH4/IDP2/GSY2/ACO1/DAK1/NDI1/ISF1/PGM2/SHH3/IDH1/MLS1/CIT1/SDH5/CYT1/IDH2/GAC1/CIT3/GPH1/GDB1",45
"GO:0044283","small molecule biosynthetic process","71/491","333/5135",1.74439998432838e-11,2.35668437882765e-09,1.99045219264418e-09,"BDH1/BDH2/GDH3/ETR1/ADH5/LEU2/HIS4/UBC8/DLD3/CEM1/SER3/MET6/PUT2/ARO9/VID28/FYV10/MET28/MCR1/MET1/PCK1/SNO3/THI5/AGX1/THI13/COQ4/RMD5/ARO10/HSP31/PYC1/STR3/VID30/PDC6/THI4/ADE3/TDH1/BNA3/ARG3/SIP4/INO1/MET5/BAT2/THI11/SHM2/XYL2/ALT1/PUT1/BNA5/CAR2/TSA1/FMS1/SNO1/SNZ1/SRT1/HFD1/GID8/ALD3/ALD2/URA10/SNO4/IDH1/MET2/THI12/IDH2/SER1/MCT1/ALD4/GDH1/HSP33/EEB1/HSP32/GLN1",71
