"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005975","carbohydrate metabolic process","106/934","246/5135",1.22729212591634e-20,1.96244010934023e-17,1.73887915945621e-17,"PSK1/NTH2/GAL7/GAL10/GAL1/VID24/TPS1/ARA1/MAL33/MAL31/MAL32/GID7/GLK1/CIT2/RBK1/SOL2/GLC3/UBC8/DSF1/GIP2/GPP2/ICL1/GUT1/AAP1/GRE3/INP51/VID28/PIG2/FYV10/SGA1/PFK26/GUT2/SUC2/SDL1/EGH1/DAL7/MDH1/GLG1/PCK1/DAK2/YPI1/GSY1/IGD1/HXK1/GPM2/GPD1/NTH1/GAL3/TPS2/RMD5/INM2/PIB1/IPK1/YPR1/SDH7/EMI2/MIG1/PKP2/PYC1/AMS1/VID30/GSC2/NQM1/XKS1/SOL4/GND2/MAL13/MAL11/MAL12/TDH1/SIP4/GLG2/FBP26/HSP104/XYL2/IDP2/ATG26/GSY2/PIG1/CDA2/FBP1/DAK1/TSL1/PGM2/TPS3/CAT8/ERR3/INP52/MLS1/ZWF1/CIT1/MAN2/OPI10/PSK2/MET22/IMA2/GCY1/GAC1/PYK2/TCO89/GAL4/ERR2/CIT3/ATH1/GPH1/GDB1",106
"GO:0044262","cellular carbohydrate metabolic process","77/934","157/5135",3.19447577721155e-19,2.55398338388064e-16,2.26303389269829e-16,"PSK1/NTH2/GAL1/VID24/TPS1/ARA1/MAL33/MAL31/MAL32/GID7/GLK1/RBK1/GLC3/UBC8/DSF1/GIP2/GPP2/ICL1/GUT1/AAP1/INP51/VID28/PIG2/FYV10/SGA1/PFK26/GUT2/SUC2/DAL7/GLG1/DAK2/YPI1/GSY1/IGD1/HXK1/NTH1/GAL3/TPS2/RMD5/INM2/PIB1/IPK1/SDH7/EMI2/VID30/GSC2/XKS1/GND2/MAL13/MAL11/MAL12/SIP4/GLG2/FBP26/HSP104/XYL2/IDP2/GSY2/PIG1/FBP1/DAK1/TSL1/PGM2/TPS3/INP52/MLS1/MAN2/OPI10/PSK2/MET22/IMA2/GCY1/GAC1/TCO89/ATH1/GPH1/GDB1",77
"GO:0006091","generation of precursor metabolites and energy","91/934","214/5135",2.39240274920545e-17,1.27515066532651e-14,1.12988564927387e-14,"PSK1/ACS1/RIB1/COR1/ETR1/TKL2/GRX1/GLK1/CIT2/SOL2/GLC3/RIP1/CYC7/GIP2/ICL1/AAP1/COX6/PIG2/RGI2/RNR3/SGA1/COX5B/KGD1/DAL7/MDH1/MBR1/SDH3/SDH1/PET10/GLG1/DAK2/YPI1/GSY1/IGD1/QCR6/YMR31/HXK1/GPM2/NDE2/SFA1/KGD2/SDH4/EMI2/QCR7/COX4/HAP2/NQM1/QCR9/SOL4/GND2/QCR10/TDH1/NCA3/GLG2/SDH2/COX12/PDC5/SHH4/IDP2/GSY2/PIG1/ACO1/GRX8/DAK1/NDI1/AAC1/ISF1/PGM2/SHH3/ERR3/MLS1/MFA2/ZWF1/CIT1/PSK2/SDH5/CYT1/IDH2/GAC1/PYK2/GDS1/HAP5/ALD4/PRM4/PET20/ERR2/CIT3/NCA2/GPH1/GDB1/QCR2",91
"GO:0015980","energy derivation by oxidation of organic compounds","72/934","157/5135",5.04171199609155e-16,2.0154243704376e-13,1.78582745966822e-13,"PSK1/ACS1/RIB1/COR1/ETR1/CIT2/GLC3/RIP1/CYC7/GIP2/ICL1/AAP1/COX6/PIG2/RGI2/RNR3/SGA1/COX5B/KGD1/DAL7/MDH1/MBR1/SDH3/SDH1/PET10/GLG1/DAK2/YPI1/GSY1/IGD1/QCR6/YMR31/NDE2/KGD2/SDH4/QCR7/COX4/HAP2/QCR9/QCR10/NCA3/GLG2/SDH2/COX12/PDC5/SHH4/IDP2/GSY2/PIG1/ACO1/DAK1/NDI1/AAC1/ISF1/PGM2/SHH3/MLS1/MFA2/CIT1/PSK2/SDH5/CYT1/IDH2/GAC1/GDS1/HAP5/PET20/CIT3/NCA2/GPH1/GDB1/QCR2",72
"GO:0019752","carboxylic acid metabolic process","133/934","387/5135",1.55984681861449e-15,4.98839012592915e-13,4.4201133007476e-13,"ACS1/GDH3/YAT1/ACH1/PET112/UGA2/ETR1/LYS2/MET8/PCS60/GLK1/CHA1/CIT2/PXP1/UTR4/HPA3/DLD3/FAA2/YAT2/HOM3/ICL1/ARG5,6/PUT2/ARO9/MET30/SER33/XBP1/KGD1/POT1/SDL1/MET28/DAL7/LYS1/MET14/MDH1/PXA2/SRY1/FOX2/MET1/SNO3/SNZ3/AGX1/MET10/YMR31/HXK1/GPM2/SFA1/UGA3/LYS20/GDH2/KGD2/ARG82/GLO2/TRP4/ARO10/ARO80/SDH7/EMI2/HSP31/MPO1/PYC1/LYS5/STR3/DSD1/POX1/UGA1/PDC6/GND2/TDH1/BNA3/ARG2/ARG3/MET3/CPA2/STR2/MET5/BAT2/MHT1/ALT1/PDC5/PUT1/ASP3-3/IDP2/MET17/CAR2/CAT2/CYB2/ADI1/FMS1/ARG7/SNO1/SNZ1/HFD1/ALD3/ALD2/GCV2/GAD1/SNO4/ERR3/LEU4/MLS1/DUG3/GOR1/MET2/SNZ2/SNO2/CIT1/LYS9/ARG1/MET22/PEX11/GLO4/CRC1/IAH1/IDH2/SER1/MCT1/CPA1/PYK2/ALD4/GDH1/FDH1/HSP33/PXA1/HSP32/ERR2/CIT3/PDH1/ICL2/GLN1/ISA2/ASN1/MET16",133
"GO:0006082","organic acid metabolic process","137/934","409/5135",5.98180755839107e-15,1.39037523531026e-12,1.23198384959522e-12,"ACS1/GDH3/YAT1/ACH1/PET112/UGA2/ETR1/LYS2/MET8/PCS60/GLK1/CHA1/CIT2/PXP1/UTR4/HPA3/DLD3/FAA2/YAT2/GLN3/HOM3/ICL1/ARG5,6/PUT2/ARO9/MET30/SER33/XBP1/KGD1/POT1/SDL1/MET28/DAL7/LYS1/MET14/MDH1/PXA2/SRY1/FOX2/DAL80/MET1/SNO3/SNZ3/AGX1/MET10/YMR31/HXK1/GPM2/SFA1/UGA3/LYS20/GDH2/KGD2/ARG82/MET32/GLO2/TRP4/ARO10/ARO80/SDH7/EMI2/HSP31/MPO1/PYC1/LYS5/STR3/DSD1/POX1/UGA1/PDC6/GND2/TDH1/BNA3/ARG2/ARG3/MET3/CPA2/STR2/MET5/BAT2/MHT1/ALT1/PDC5/PUT1/ASP3-3/IDP2/MET17/CAR2/CAT2/CYB2/ADI1/FMS1/ARG7/SNO1/SNZ1/HFD1/ALD3/ALD2/GCV2/GAD1/SNO4/ERR3/LEU4/MLS1/DUG3/GOR1/MET2/SNZ2/SNO2/CIT1/LYS9/ARG1/MET22/PEX11/BDS1/GLO4/CRC1/IAH1/IDH2/SER1/MCT1/CPA1/PYK2/ALD4/GDH1/FDH1/HSP33/PXA1/HSP32/ERR2/CIT3/PDH1/ICL2/GLN1/ISA2/ASN1/MET16",137
"GO:0043436","oxoacid metabolic process","136/934","405/5135",6.08669583938201e-15,1.39037523531026e-12,1.23198384959522e-12,"ACS1/GDH3/YAT1/ACH1/PET112/UGA2/ETR1/LYS2/MET8/PCS60/GLK1/CHA1/CIT2/PXP1/UTR4/HPA3/DLD3/FAA2/YAT2/GLN3/HOM3/ICL1/ARG5,6/PUT2/ARO9/MET30/SER33/XBP1/KGD1/POT1/SDL1/MET28/DAL7/LYS1/MET14/MDH1/PXA2/SRY1/FOX2/DAL80/MET1/SNO3/SNZ3/AGX1/MET10/YMR31/HXK1/GPM2/SFA1/UGA3/LYS20/GDH2/KGD2/ARG82/GLO2/TRP4/ARO10/ARO80/SDH7/EMI2/HSP31/MPO1/PYC1/LYS5/STR3/DSD1/POX1/UGA1/PDC6/GND2/TDH1/BNA3/ARG2/ARG3/MET3/CPA2/STR2/MET5/BAT2/MHT1/ALT1/PDC5/PUT1/ASP3-3/IDP2/MET17/CAR2/CAT2/CYB2/ADI1/FMS1/ARG7/SNO1/SNZ1/HFD1/ALD3/ALD2/GCV2/GAD1/SNO4/ERR3/LEU4/MLS1/DUG3/GOR1/MET2/SNZ2/SNO2/CIT1/LYS9/ARG1/MET22/PEX11/BDS1/GLO4/CRC1/IAH1/IDH2/SER1/MCT1/CPA1/PYK2/ALD4/GDH1/FDH1/HSP33/PXA1/HSP32/ERR2/CIT3/PDH1/ICL2/GLN1/ISA2/ASN1/MET16",136
"GO:0044282","small molecule catabolic process","64/934","148/5135",6.7799601818023e-13,1.35514454133774e-10,1.20076663219815e-10,"UGA2/GAL7/GAL10/GAL1/DUR1,2/PCS60/CHA1/RBK1/PXP1/GUT1/PUT2/GRE3/ARO9/INP51/XBP1/GUT2/POT1/PXA2/FOX2/DAK2/SFA1/UGA3/GDH2/KGD2/GLO2/INM2/YPR1/ARO10/ARO80/APA2/HSP31/MPO1/AMS1/DSD1/POX1/UGA1/PDC6/XKS1/GND2/BNA3/BAT2/XYL2/ALT1/PDC5/PUT1/ASP3-3/CAR2/DAK1/PGM2/GCV2/GAD1/SNO4/INP52/GOR1/THI20/MET22/GLO4/GCY1/FDH1/HSP33/PXA1/HSP32/CIT3/ICL2",64
"GO:0044283","small molecule biosynthetic process","112/934","333/5135",1.88726206922066e-12,3.3530356096487e-10,2.97105818148655e-10,"BDH1/BDH2/GDH3/RIB1/ETR1/PDX3/VID24/LYS2/MET8/THI2/RIB5/GID7/CHA1/UBC8/UTR4/DLD3/HOM3/GPP2/ARG5,6/PUT2/ARO9/VID28/MET30/SER33/FYV10/SDL1/MET28/LYS1/MET14/MCR1/SRY1/MET1/PCK1/SNO3/SNZ3/THI5/AGX1/MET10/SFA1/LYS20/THI13/ARG82/COQ4/RMD5/INM2/PIB1/IPK1/TRP4/ARO10/SDH7/HSP31/PYC1/LYS5/STR3/VID30/PDC6/THI4/COQ6/TDH1/BNA3/ARG2/ARG3/SIP4/MET3/CPA2/STR2/MET5/BAT2/THI11/MHT1/XYL2/ALT1/PDC5/PUT1/LCB5/COQ11/MET17/FBP1/CAR2/ADI1/FMS1/ARG7/SNO1/SNZ1/SRT1/HFD1/ALD3/ALD2/URA10/SNO4/LEU4/MET2/THI12/SNZ2/SNO2/LYS9/THI20/ARG1/MET22/IDH2/SER1/MCT1/CPA1/ALD4/GDH1/HSP33/DAP1/HSP32/GLN1/ISA2/ASN1/MET16",112
"GO:1901605","alpha-amino acid metabolic process","69/934","170/5135",3.25927945045687e-12,5.21158784128053e-10,4.61788435822626e-10,"GDH3/UGA2/LYS2/MET8/CHA1/UTR4/HPA3/HOM3/ARG5,6/PUT2/ARO9/MET30/SER33/XBP1/SDL1/MET28/LYS1/MET14/SRY1/MET1/SNO3/AGX1/MET10/LYS20/GDH2/KGD2/ARG82/TRP4/ARO10/ARO80/LYS5/STR3/DSD1/PDC6/BNA3/ARG2/ARG3/MET3/CPA2/STR2/MET5/BAT2/MHT1/ALT1/PDC5/PUT1/ASP3-3/MET17/CAR2/ADI1/ARG7/SNO1/HFD1/GCV2/GAD1/LEU4/DUG3/MET2/SNO2/LYS9/ARG1/MET22/IDH2/SER1/CPA1/GDH1/GLN1/ASN1/MET16",69
