"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045229","external encapsulating structure organization","49/361","245/5135",6.3214359617009e-12,3.78021870509714e-09,3.34703398814269e-09,"ECM13/GIP1/TIP1/ECM8/ECM33/PAU24/FYV5/RRT12/FIG2/UTR2/DSE1/ECM34/PAU13/SPS100/DSE2/SSP1/SIM1/CWP1/UTH1/PAU5/CWP2/FMP45/MKC7/EXG2/ECM11/SCW11/SCW4/CIS3/PAU17/CCW12/CTS1/CDA2/SPO77/INA1/PAU4/AVO2/GAS3/SCW10/GAS1/PAU19/SUN4/WSC2/LDS2/HPF1/BAG7/SRL1/CSR2/SMK1/PAU9",49
"GO:0071555","cell wall organization","49/361","245/5135",6.3214359617009e-12,3.78021870509714e-09,3.34703398814269e-09,"ECM13/GIP1/TIP1/ECM8/ECM33/PAU24/FYV5/RRT12/FIG2/UTR2/DSE1/ECM34/PAU13/SPS100/DSE2/SSP1/SIM1/CWP1/UTH1/PAU5/CWP2/FMP45/MKC7/EXG2/ECM11/SCW11/SCW4/CIS3/PAU17/CCW12/CTS1/CDA2/SPO77/INA1/PAU4/AVO2/GAS3/SCW10/GAS1/PAU19/SUN4/WSC2/LDS2/HPF1/BAG7/SRL1/CSR2/SMK1/PAU9",49
"GO:0071554","cell wall organization or biogenesis","49/361","289/5135",2.82065702147908e-09,1.12450193256299e-06,9.95642443371211e-07,"ECM13/GIP1/TIP1/ECM8/ECM33/PAU24/FYV5/RRT12/FIG2/UTR2/DSE1/ECM34/PAU13/SPS100/DSE2/SSP1/SIM1/CWP1/UTH1/PAU5/CWP2/FMP45/MKC7/EXG2/ECM11/SCW11/SCW4/CIS3/PAU17/CCW12/CTS1/CDA2/SPO77/INA1/PAU4/AVO2/GAS3/SCW10/GAS1/PAU19/SUN4/WSC2/LDS2/HPF1/BAG7/SRL1/CSR2/SMK1/PAU9",49
"GO:0006555","methionine metabolic process","15/361","38/5135",1.323815765121e-08,3.95820913771178e-06,3.50462805187295e-06,"MET8/ARO9/MET28/MET14/MET1/MET10/ARO10/STR3/MET3/MET5/MET17/ADI1/MET2/MET22/MET16",15
"GO:0031505","fungal-type cell wall organization","37/361","198/5135",2.1179738325304e-08,4.38670532831947e-06,3.88402179219273e-06,"GIP1/TIP1/ECM33/PAU24/RRT12/UTR2/PAU13/SPS100/SSP1/SIM1/CWP1/UTH1/PAU5/CWP2/FMP45/MKC7/EXG2/CIS3/PAU17/CCW12/CDA2/SPO77/INA1/PAU4/AVO2/GAS3/GAS1/PAU19/SUN4/WSC2/LDS2/HPF1/BAG7/SRL1/CSR2/SMK1/PAU9",37
"GO:0015891","siderophore transport","8/361","10/5135",2.20068829179906e-08,4.38670532831947e-06,3.88402179219273e-06,"SIT1/ARN1/ARN2/FRE4/ENB1/FRE3/FIT2/FIT3",8
"GO:0009086","methionine biosynthetic process","14/361","35/5135",3.3485238771762e-08,5.24779602734868e-06,4.64643795415664e-06,"MET8/ARO9/MET28/MET14/MET1/MET10/STR3/MET3/MET5/MET17/ADI1/MET2/MET22/MET16",14
"GO:0005975","carbohydrate metabolic process","42/361","246/5135",3.51023145642052e-08,5.24779602734868e-06,4.64643795415664e-06,"GAL7/UTR2/DSF1/GPP2/ICL1/GRE3/PFK26/SIM1/GUT2/UTH1/PCK1/DAK2/IGD1/GPD1/EXG2/SCW11/PKP2/NQM1/SOL4/GND2/SCW4/SIP4/INO1/XYL2/CTS1/CDA2/FBP1/DAK1/GAS3/CAT8/SCW10/GAS1/ERR3/SUN4/MLS1/SOL1/MET22/RKI1/GAC1/YIG1/GAL4/CIT3",42
"GO:0000096","sulfur amino acid metabolic process","16/361","47/5135",5.13872993857375e-08,6.82880111837134e-06,6.04627171719906e-06,"MET8/ARO9/MET28/MET14/MET1/MET10/MET32/ARO10/STR3/MET3/MET5/MET17/ADI1/MET2/MET22/MET16",16
"GO:0055072","iron ion homeostasis","18/361","60/5135",6.93777705998863e-08,8.2975813637464e-06,7.34674076036691e-06,"SIT1/FTR1/ARN1/ARN2/CUP2/TIS11/HMX1/FET3/FET4/ATX1/FRE4/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5/LSO1",18
"GO:0000097","sulfur amino acid biosynthetic process","14/361","38/5135",1.148008243767e-07,1.24819805413212e-05,1.10516391696612e-05,"MET8/ARO9/MET28/MET14/MET1/MET10/STR3/MET3/MET5/MET17/ADI1/MET2/MET22/MET16",14
"GO:0006826","iron ion transport","14/361","39/5135",1.6780390334272e-07,1.67244556998244e-05,1.48079584879628e-05,"AAC3/SIT1/FTR1/ARN1/ARN2/FET3/FET4/FRE4/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5",14
"GO:0009067","aspartate family amino acid biosynthetic process","16/361","51/5135",1.88840146141028e-07,1.73732934449745e-05,1.53824442929452e-05,"MET8/ARO9/MET28/MET14/MET1/MET10/LYS20/STR3/MET3/MET5/MET17/ADI1/MET2/LYS9/MET22/MET16",16
"GO:0009066","aspartate family amino acid metabolic process","18/361","65/5135",2.6924272283114e-07,2.30010211790031e-05,2.03652766291825e-05,"MET8/CHA1/ARO9/MET28/MET14/MET1/MET10/LYS20/ARO10/STR3/MET3/MET5/MET17/ADI1/MET2/LYS9/MET22/MET16",18
"GO:0000747","conjugation with cellular fusion","25/361","117/5135",3.35360888203971e-07,2.673944148613e-05,2.36753020023295e-05,"FUS3/FIG1/FUS1/KAR4/FYV5/FIG2/DSE1/STE12/STE3/PRR2/HBT1/MF(ALPHA)2/SCW4/FAR1/SAG1/AFB1/CCW12/SST2/FUS2/SCW10/PRM1/AGA1/MF(ALPHA)1/PRM3/CLN2",25
"GO:0019344","cysteine biosynthetic process","8/361","13/5135",5.20964588151106e-07,3.89421029642951e-05,3.44796299789482e-05,"MET28/MET14/MET10/STR3/MET3/MET5/MET17/MET16",8
"GO:0071852","fungal-type cell wall organization or biogenesis","37/361","225/5135",6.49413370296798e-07,4.56881406397042e-05,4.04526223231318e-05,"GIP1/TIP1/ECM33/PAU24/RRT12/UTR2/PAU13/SPS100/SSP1/SIM1/CWP1/UTH1/PAU5/CWP2/FMP45/MKC7/EXG2/CIS3/PAU17/CCW12/CDA2/SPO77/INA1/PAU4/AVO2/GAS3/GAS1/PAU19/SUN4/WSC2/LDS2/HPF1/BAG7/SRL1/CSR2/SMK1/PAU9",37
"GO:0019953","sexual reproduction","37/361","232/5135",1.410429383047e-06,8.884616791818e-05,7.86650633037221e-05,"FUS3/FIG1/GIP1/FUS1/KAR4/FYV5/RRT12/FIG2/DSE1/STE12/SPS100/SSP1/CWP1/STE3/PRR2/FMP45/HBT1/MF(ALPHA)2/SCW4/FAR1/SAG1/AFB1/CCW12/CDA2/SPO77/SST2/SMA2/FUS2/SCW10/PRM1/AGA1/LDS2/SPO19/MF(ALPHA)1/PRM3/CLN2/SMK1",37
"GO:0000041","transition metal ion transport","17/361","65/5135",1.4114357779644e-06,8.884616791818e-05,7.86650633037221e-05,"AAC3/SIT1/FTR1/ARN1/ARN2/ZRT1/PHO84/FET3/FET4/ATX1/FRE4/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5",17
