"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000747","conjugation with cellular fusion","23/148","117/5135",9.70867767564402e-14,7.84461156192036e-11,6.89827098006285e-11,"FUS3/FIG1/FUS1/KAR4/FYV5/FIG2/DSE1/STE12/STE3/MF(ALPHA)2/SCW4/FAR1/SAG1/AFB1/CCW12/SST2/FUS2/SCW10/PRM1/AGA1/MF(ALPHA)1/PRM3/CLN2",23
"GO:0000041","transition metal ion transport","16/148","65/5135",1.94163205913478e-11,6.41757422539103e-09,5.64338535974328e-09,"AAC3/SIT1/FTR1/ARN1/ARN2/ZRT1/PHO84/FET3/FET4/ATX1/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5",16
"GO:0006826","iron ion transport","13/148","39/5135",2.38276270744716e-11,6.41757422539103e-09,5.64338535974328e-09,"AAC3/SIT1/FTR1/ARN1/ARN2/FET3/FET4/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5",13
"GO:0055072","iron ion homeostasis","15/148","60/5135",6.74792596473468e-11,1.3630810448764e-08,1.19864474373576e-08,"SIT1/FTR1/ARN1/ARN2/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5",15
"GO:0045229","external encapsulating structure organization","28/148","245/5135",1.71511455631085e-10,2.30968760249861e-08,2.03105671142074e-08,"TIP1/ECM33/FYV5/FIG2/UTR2/DSE1/DSE2/SSP1/SIM1/UTH1/CWP2/MKC7/EXG2/SCW11/SCW4/CIS3/CCW12/CTS1/SPO77/INA1/PAU4/GAS3/SCW10/GAS1/SUN4/WSC2/SRL1/SMK1",28
"GO:0071555","cell wall organization","28/148","245/5135",1.71511455631085e-10,2.30968760249861e-08,2.03105671142074e-08,"TIP1/ECM33/FYV5/FIG2/UTR2/DSE1/DSE2/SSP1/SIM1/UTH1/CWP2/MKC7/EXG2/SCW11/SCW4/CIS3/CCW12/CTS1/SPO77/INA1/PAU4/GAS3/SCW10/GAS1/SUN4/WSC2/SRL1/SMK1",28
"GO:0019953","sexual reproduction","27/148","232/5135",2.52002162522794e-10,2.90882496169168e-08,2.55791668726145e-08,"FUS3/FIG1/FUS1/KAR4/FYV5/FIG2/DSE1/STE12/SSP1/STE3/MF(ALPHA)2/SCW4/FAR1/SAG1/AFB1/CCW12/SPO77/SST2/FUS2/SCW10/PRM1/AGA1/SPO19/MF(ALPHA)1/PRM3/CLN2/SMK1",27
"GO:0015891","siderophore transport","7/148","10/5135",1.60228342072e-09,1.44818452558586e-07,1.2734817024107e-07,"SIT1/ARN1/ARN2/ENB1/FRE3/FIT2/FIT3",7
"GO:0030001","metal ion transport","17/148","98/5135",1.61307682305355e-09,1.44818452558586e-07,1.2734817024107e-07,"AAC3/SIT1/FTR1/ARN1/ARN2/ZRT1/PRM6/PHO84/FET3/FET4/ATX1/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5",17
"GO:0019236","response to pheromone","15/148","82/5135",7.33341461852465e-09,5.79497681066402e-07,5.09589544971107e-07,"FUS3/FYV5/FIG2/DSE1/STE12/STE3/MF(ALPHA)2/FAR1/SAG1/AFB1/CCW12/SST2/AGA1/MF(ALPHA)1/CLN2",15
"GO:0071554","cell wall organization or biogenesis","28/148","289/5135",7.88920110362676e-09,5.79497681066402e-07,5.09589544971107e-07,"TIP1/ECM33/FYV5/FIG2/UTR2/DSE1/DSE2/SSP1/SIM1/UTH1/CWP2/MKC7/EXG2/SCW11/SCW4/CIS3/CCW12/CTS1/SPO77/INA1/PAU4/GAS3/SCW10/GAS1/SUN4/WSC2/SRL1/SMK1",28
"GO:1901678","iron coordination entity transport","8/148","19/5135",2.27859947491842e-08,1.5342569797784e-06,1.34917074172801e-06,"AAC3/SIT1/ARN1/ARN2/ENB1/FRE3/FIT2/FIT3",8
"GO:0000749","response to pheromone triggering conjugation with cellular fusion","13/148","66/5135",3.0690661110415e-08,1.73868265734837e-06,1.52893537481781e-06,"FUS3/FYV5/DSE1/STE3/MF(ALPHA)2/FAR1/SAG1/AFB1/CCW12/SST2/AGA1/MF(ALPHA)1/CLN2",13
"GO:0071444","cellular response to pheromone","13/148","66/5135",3.0690661110415e-08,1.73868265734837e-06,1.52893537481781e-06,"FUS3/FYV5/DSE1/STE3/MF(ALPHA)2/FAR1/SAG1/AFB1/CCW12/SST2/AGA1/MF(ALPHA)1/CLN2",13
"GO:0055076","transition metal ion homeostasis","15/148","91/5135",3.22775245794871e-08,1.73868265734837e-06,1.52893537481781e-06,"SIT1/FTR1/ARN1/ARN2/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5",15
"GO:0006812","cation transport","23/148","220/5135",5.01740478043996e-08,2.53378941412218e-06,2.22812383341906e-06,"AAC3/SIT1/FTR1/DUR3/ARN1/ARN2/HXT10/HXT6/ZRT1/PRM6/PHO84/FET3/RSN1/FET4/MEP2/ATX1/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5/MEP3",23
"GO:0034755","iron ion transmembrane transport","7/148","16/5135",1.32009209204345e-07,6.2743200610065e-06,5.51741276860264e-06,"SIT1/FTR1/ARN1/ARN2/FET3/FET4/ENB1",7
"GO:0006879","cellular iron ion homeostasis","11/148","52/5135",1.71990934564726e-07,7.72048195157215e-06,6.78911583808129e-06,"SIT1/ARN1/ARN2/TIS11/HMX1/FET3/ATX1/FRE7/ENB1/FRE3/FRE5",11
"GO:0000755","cytogamy","6/148","12/5135",4.15115254148252e-07,1.76533223869362e-05,1.55237006398931e-05,"FIG1/FUS1/FIG2/STE3/FUS2/PRM1",6
"GO:0031505","fungal-type cell wall organization","20/148","198/5135",7.20270597689305e-07,2.90989321466479e-05,2.55885607073832e-05,"TIP1/ECM33/UTR2/SSP1/SIM1/UTH1/CWP2/MKC7/EXG2/CIS3/CCW12/SPO77/INA1/PAU4/GAS3/GAS1/SUN4/WSC2/SRL1/SMK1",20
"GO:0055065","metal ion homeostasis","15/148","115/5135",7.7784086794404e-07,2.98110528519506e-05,2.62147741988883e-05,"SIT1/FTR1/ARN1/ARN2/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5",15
"GO:0000920","septum digestion after cytokinesis","7/148","20/5135",8.11687082602615e-07,2.98110528519506e-05,2.62147741988883e-05,"AMN1/PWP2/DSE1/DSE2/CTS1/EGT2/DSE4",7
"GO:0006811","ion transport","26/148","324/5135",1.28144496041072e-06,4.50177186092115e-05,3.95869724612009e-05,"AAC3/SIT1/FTR1/DUR3/ARN1/ARN2/GAP1/HXT10/HXT6/ZRT1/VHT1/PRM6/PHO84/FET3/RSN1/FET4/MEP2/ATX1/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5/DIP5/MEP3",26
"GO:0000003","reproduction","33/148","492/5135",2.35263159107209e-06,7.92052635660936e-05,6.96502773672657e-05,"FUS3/FIG1/FUS1/KAR4/FYV5/FIG2/DSE1/STE12/SSP1/STE3/HO/ATC1/MF(ALPHA)2/CLB1/SCW4/FAR1/SAG1/AFB1/RAX2/CCW12/SPO77/SST2/FUS2/SCW10/NIS1/PRM1/AGA1/NDJ1/SPO19/MF(ALPHA)1/PRM3/CLN2/SMK1",33
"GO:0000902","cell morphogenesis","9/148","45/5135",3.93227603156629e-06,0.000127091161340223,0.000111759424055042,"FIG1/FUS1/FIG2/GIC1/GIC2/RAX2/FUS2/SMK1/OPT2",9
"GO:0071852","fungal-type cell wall organization or biogenesis","20/148","225/5135",5.39420010316682e-06,0.000166827944908115,0.000146702531022639,"TIP1/ECM33/UTR2/SSP1/SIM1/UTH1/CWP2/MKC7/EXG2/CIS3/CCW12/SPO77/INA1/PAU4/GAS3/GAS1/SUN4/WSC2/SRL1/SMK1",20
"GO:0050801","ion homeostasis","17/148","169/5135",5.57469617886029e-06,0.000166827944908115,0.000146702531022639,"FYV5/SIT1/FTR1/ARN1/ARN2/ATC1/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5",17
"GO:0055080","cation homeostasis","16/148","154/5135",7.05925707125634e-06,0.00020370998977054,0.000179135282823234,"SIT1/FTR1/ARN1/ARN2/ATC1/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5",16
"GO:0050793","regulation of developmental process","9/148","50/5135",9.83021929955192e-06,0.000273890248070274,0.000240849293183214,"FUS1/FIG2/GIC1/GIC2/RAX2/SPO77/FUS2/SMK1/OPT2",9
"GO:0098771","inorganic ion homeostasis","15/148","147/5135",1.73108012838645e-05,0.000466237581245418,0.000409992661986265,"SIT1/FTR1/ARN1/ARN2/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5",15
"GO:0046916","cellular transition metal ion homeostasis","11/148","82/5135",1.89521806068211e-05,0.00049397941710682,0.00043438784073359,"SIT1/ARN1/ARN2/TIS11/HMX1/FET3/ATX1/FRE7/ENB1/FRE3/FRE5",11
"GO:0098662","inorganic cation transmembrane transport","14/148","137/5135",3.29817647566208e-05,0.000832789560104676,0.000732325368773653,"SIT1/FTR1/ARN1/ARN2/HXT10/HXT6/ZRT1/PRM6/PHO84/FET3/FET4/MEP2/ENB1/MEP3",14
"GO:0098655","cation transmembrane transport","16/148","175/5135",3.57928705653969e-05,0.000876383012631535,0.000770659892556392,"SIT1/FTR1/DUR3/ARN1/ARN2/HXT10/HXT6/ZRT1/PRM6/PHO84/FET3/RSN1/FET4/MEP2/ENB1/MEP3",16
"GO:0022604","regulation of cell morphogenesis","6/148","25/5135",5.83045553113648e-05,0.00138559060857596,0.00121843884938611,"FIG2/GIC1/GIC2/RAX2/SMK1/OPT2",6
"GO:0055085","transmembrane transport","26/148","411/5135",9.25733013016814e-05,0.00213712078433596,0.00187930762041007,"AAC3/SIT1/FTR1/DUR3/VMR1/ARN1/ARN2/GAP1/HXT10/HXT6/ITR1/ZRT1/VHT1/AQY2/PRM6/PHO84/FET3/RSN1/FET4/MEP2/ALP1/BIO5/ENB1/DIP5/MEP3/OPT2",26
"GO:0098660","inorganic ion transmembrane transport","14/148","152/5135",0.000104329377550784,0.00234161491836205,0.00205913245166022,"SIT1/FTR1/ARN1/ARN2/HXT10/HXT6/ZRT1/PRM6/PHO84/FET3/FET4/MEP2/ENB1/MEP3",14
"GO:0000750","pheromone-dependent signal transduction involved in conjugation with cellular fusion","6/148","28/5135",0.000115468737274506,0.00239227537737951,0.00210368144832096,"FUS3/FYV5/DSE1/STE3/MF(ALPHA)2/MF(ALPHA)1",6
"GO:0031139","positive regulation of conjugation with cellular fusion","6/148","28/5135",0.000115468737274506,0.00239227537737951,0.00210368144832096,"FUS3/FYV5/DSE1/STE3/MF(ALPHA)2/MF(ALPHA)1",6
"GO:0032005","signal transduction involved in positive regulation of conjugation with cellular fusion","6/148","28/5135",0.000115468737274506,0.00239227537737951,0.00210368144832096,"FUS3/FYV5/DSE1/STE3/MF(ALPHA)2/MF(ALPHA)1",6
"GO:0048878","chemical homeostasis","17/148","218/5135",0.000151591932737312,0.00299684715134237,0.00263532025424192,"FYV5/SIT1/FTR1/ARN1/ARN2/ATC1/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5",17
"GO:0030447","filamentous growth","12/148","120/5135",0.000152067739115145,0.00299684715134237,0.00263532025424192,"FUS3/FIG2/DSE1/STE12/DSE2/PHD1/MKC7/ITR1/GAS1/MEP2/HMS1/SFG1",12
"GO:0000272","polysaccharide catabolic process","5/148","19/5135",0.000155920806628027,0.00299961932751061,0.00263775800686512,"SIM1/UTH1/EXG2/CTS1/SUN4",5
"GO:0022603","regulation of anatomical structure morphogenesis","6/148","30/5135",0.000173523349706157,0.00314414402271727,0.00276484785739207,"FIG2/GIC1/GIC2/RAX2/SMK1/OPT2",6
"GO:0031137","regulation of conjugation with cellular fusion","6/148","30/5135",0.000173523349706157,0.00314414402271727,0.00276484785739207,"FUS3/FYV5/DSE1/STE3/MF(ALPHA)2/MF(ALPHA)1",6
"GO:0006875","cellular metal ion homeostasis","11/148","104/5135",0.000175107030968165,0.00314414402271727,0.00276484785739207,"SIT1/ARN1/ARN2/TIS11/HMX1/FET3/ATX1/FRE7/ENB1/FRE3/FRE5",11
"GO:0015677","copper ion import","4/148","11/5135",0.000186765010564681,0.00328056801165788,0.00288481423641098,"FET4/FRE7/FRE3/FRE5",4
"GO:0034220","ion transmembrane transport","17/148","223/5135",0.000199746083076351,0.00341887576024182,0.00300643712632,"AAC3/SIT1/FTR1/DUR3/ARN1/ARN2/HXT10/HXT6/ZRT1/PRM6/PHO84/FET3/RSN1/FET4/MEP2/ENB1/MEP3",17
"GO:0006825","copper ion transport","5/148","20/5135",0.000203101530311395,0.00341887576024182,0.00300643712632,"FET4/ATX1/FRE7/FRE3/FRE5",5
"GO:0042592","homeostatic process","18/148","251/5135",0.000276993018868781,0.00456755835195867,0.00401654753461712,"FYV5/SIT1/FTR1/ARN1/ARN2/ATC1/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FRE3/FIT2/FIT3/FRE5/OPT2",18
"GO:0051301","cell division","20/148","299/5135",0.000317010313107274,0.00512288665981355,0.00450488339678758,"FUS3/AMN1/PWP2/DSE1/DSE2/SKG6/SSP1/UTH1/PCL2/ATC1/BUD9/CLB1/FAR1/RAX2/CTS1/SUN4/NIS1/EGT2/DSE4/CLN2",20
"GO:0006873","cellular ion homeostasis","13/148","155/5135",0.000469351707103851,0.00743600351646885,0.00653895567172547,"FYV5/SIT1/ARN1/ARN2/ATC1/TIS11/HMX1/FET3/ATX1/FRE7/ENB1/FRE3/FRE5",13
"GO:0040007","growth","13/148","156/5135",0.000499464420044742,0.00773348561681201,0.006800550796441,"FUS3/FIG2/DSE1/STE12/DSE2/PHD1/MKC7/ITR1/GAS1/MEP2/HMS1/SFG1/OPT2",13
"GO:0008360","regulation of cell shape","5/148","24/5135",0.000507270714964154,0.00773348561681201,0.006800550796441,"FIG2/GIC1/GIC2/RAX2/SMK1",5
"GO:0070783","growth of unicellular organism as a thread of attached cells","10/148","101/5135",0.000592703554733843,0.00886860133749899,0.00779873098334005,"FUS3/FIG2/DSE1/STE12/DSE2/PHD1/ITR1/MEP2/HMS1/SFG1",10
"GO:0000753","cell morphogenesis involved in conjugation with cellular fusion","4/148","15/5135",0.000705901097106976,0.0103703288447716,0.00911929646980304,"FIG1/FUS1/FIG2/FUS2",4
"GO:0030003","cellular cation homeostasis","12/148","142/5135",0.000727530255452575,0.0104972222572443,0.00923088200057308,"SIT1/ARN1/ARN2/ATC1/TIS11/HMX1/FET3/ATX1/FRE7/ENB1/FRE3/FRE5",12
"GO:0044182","filamentous growth of a population of unicellular organisms","10/148","104/5135",0.000747914149415579,0.0106020111004875,0.0093230295633521,"FUS3/FIG2/DSE1/STE12/DSE2/PHD1/ITR1/MEP2/HMS1/SFG1",10
"GO:0032505","reproduction of a single-celled organism","14/148","194/5135",0.00128179730869759,0.0178567625073733,0.0157025986092718,"FIG1/FUS1/FIG2/SSP1/STE3/HO/ATC1/RAX2/SPO77/FUS2/NIS1/PRM1/SPO19/SMK1",14
"GO:0071310","cellular response to organic substance","13/148","177/5135",0.00163061206114077,0.0223310939898601,0.0196371657675294,"FUS3/FYV5/DSE1/STE3/MF(ALPHA)2/FAR1/SAG1/AFB1/CCW12/SST2/AGA1/MF(ALPHA)1/CLN2",13
"GO:0055082","cellular chemical homeostasis","13/148","181/5135",0.00199469173861036,0.0268618487466195,0.0236213495361753,"FYV5/SIT1/ARN1/ARN2/ATC1/TIS11/HMX1/FET3/ATX1/FRE7/ENB1/FRE3/FRE5",13
"GO:0022413","reproductive process in single-celled organism","11/148","142/5135",0.00244830129803279,0.0324299581772212,0.028517745921866,"FIG1/FUS1/FIG2/SSP1/STE3/HO/SPO77/FUS2/PRM1/SPO19/SMK1",11
"GO:0007155","cell adhesion","4/148","21/5135",0.00270505076756295,0.0352529196804978,0.0310001573532257,"FIG2/SAG1/CCW12/AGA1",4
"GO:0010033","response to organic substance","16/148","260/5135",0.00307997074460233,0.0395018470101378,0.0347365121571692,"FUS3/FYV5/FIG2/DSE1/STE12/STE3/MF(ALPHA)2/FAR1/SAG1/AFB1/CCW12/SST2/NCE103/AGA1/MF(ALPHA)1/CLN2",16
"GO:0022414","reproductive process","22/148","411/5135",0.00313200348248575,0.0395415439663826,0.0347714202414125,"FUS3/FIG1/FUS1/KAR4/FIG2/DSE1/SSP1/STE3/HO/MF(ALPHA)2/CLB1/SAG1/CCW12/SPO77/FUS2/PRM1/AGA1/NDJ1/SPO19/MF(ALPHA)1/PRM3/SMK1",22
"GO:0098657","import into cell","6/148","51/5135",0.003199630628523,0.0397738699668705,0.0349757194211016,"HXT10/HXT6/ZRT1/FET3/FRE7/ENB1",6
"GO:0019725","cellular homeostasis","14/148","215/5135",0.00336518653387853,0.0411980412026341,0.0362280846948645,"FYV5/SIT1/ARN1/ARN2/ATC1/TIS11/HMX1/FET3/ATX1/FRE7/ENB1/FRE3/FRE5/OPT2",14
"GO:0016049","cell growth","8/148","88/5135",0.00360560955711659,0.0434825749574657,0.0382370220118413,"STE12/DSE2/PHD1/ITR1/MEP2/HMS1/SFG1/OPT2",8
"GO:0098609","cell-cell adhesion","3/148","12/5135",0.00426297410490104,0.0506541628935299,0.0445434600744303,"SAG1/CCW12/AGA1",3
"GO:0005976","polysaccharide metabolic process","7/148","72/5135",0.00440458535363359,0.0515783328367527,0.0453561420854717,"SIM1/UTH1/EXG2/CTS1/GAS3/GAS1/SUN4",7
"GO:0007124","pseudohyphal growth","7/148","74/5135",0.00512971737337482,0.0592115948240979,0.0520685598049324,"STE12/DSE2/PHD1/ITR1/MEP2/HMS1/SFG1",7
"GO:0030010","establishment of cell polarity","7/148","75/5135",0.00552430978917205,0.0628682015443806,0.0552840490391569,"PWP2/GIC1/ATC1/GIC2/BUD9/RAX2/NIS1",7
"GO:0000742","karyogamy involved in conjugation with cellular fusion","3/148","15/5135",0.00827502704112696,0.0928641923504248,0.0816614510637529,"KAR4/FUS2/PRM3",3
"GO:0032502","developmental process","14/148","240/5135",0.00883873185479063,0.0978314429954908,0.0860294737128144,"FIG1/FUS1/FIG2/GIC1/SSP1/HO/GIC2/RAX2/SPO77/FUS2/GAS1/SPO19/SMK1/OPT2",14
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0016798","hydrolase activity, acting on glycosyl bonds","12/145","55/5104",2.69247237774481e-08,5.11569751771514e-06,4.61971576392004e-06,"UTR2/DSE2/SIM1/UTH1/EXG2/SCW11/SCW4/CTS1/SCW10/SUN4/EGT2/DSE4",12
