"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","147/1551","194/5135",1.34930047845958e-40,2.40580275309344e-37,2.24125911053602e-37,"SSA1/RPL19B/RPS8A/RPL23A/RPL32/RPL4A/RPS11B/SUP45/RPS6B/RPL21A/RPS14A/HYP2/RPL12A/RPS24A/RPS8B/RPL23B/RPS26B/RPL14B/RPS20/RPL8A/RPL27A/RPS27B/RPL42B/RPS4B/RPL2B/RPL34B/RPS24B/DPH1/RPL16A/RPL40A/RPL14A/TMA19/RPS27A/RPL17A/RPS21A/TIF1/RPL40B/RPL2A/RPL34A/RPL19A/RPS29B/RPL31A/RPP1A/RPL13A/RPS16B/RPP1B/RPL41B/RPL35B/RPL41A/RPL35A/SSB1/RPS11A/RPS13/RPP2B/RPL12B/TIF35/RPS17B/RPS18A/RPL27B/RPL37B/TMA20/RPL30/RPL24A/RPL7A/RPL28/RPL1B/RPL9A/RPS26A/RPS25A/RPL26B/RPL11B/RPL24B/RPS0A/RPS21B/RPL17B/RPL39/RPS22A/RPS14B/SUI2/RPL43B/RPS5/RPS4A/RPL8B/RPL15A/RPS0B/RPL22A/RPS31/RPL37A/RPS28B/RPS30A/RPL38/RPS25B/RPP0/RPL26A/RPS22B/RPS29A/RPL31B/RPS1A/RPL6B/RPS17A/RPS18B/RPS1B/RPL6A/RPM2/RPL13B/RPS16A/RPL36A/RPS10B/RPL20A/TIF11/RPL16B/RPS7B/RPL42A/NOP13/RPS3/SUI1/RPL18B/RPS19B/RPP2A/RPS15/PSK2/RPL18A/RPS19A/RPL25/RPS7A/RPS28A/RPS30B/RPL33B/RPS10A/RPL20B/PRT1/RPS12/RPL21B/RPS9A/RPS6A/DBP1/RPL5/RPL33A/RPL7B/TPK2/RPL1A/RPL43A/RPL11A/RPL22B/RPL29/RPL36B/TMA7",147
"GO:0042255","ribosome assembly","53/1551","80/5135",2.24230101654205e-11,1.99901135624723e-08,1.86229000215966e-08,"RPS11B/RPS14A/PWP2/RSA4/RPL12A/RPS26B/RPS27B/RIX1/RPL40A/YVH1/MRT4/MAK11/RPS27A/RPF2/RPL40B/SPB4/RPS11A/MAK21/RPL12B/RPS17B/RPL24A/RPS26A/RPL11B/RPL24B/RPS0A/RPS14B/RPS5/DRS1/RLP24/RPS0B/MDN1/RPS31/RSA3/RPS28B/RPP0/RPL6B/RPS17A/RPL6A/RRP5/RPS10B/IPI3/RPS19B/RPS15/BRX1/REX4/RPS19A/RPL25/RPL3/RPS28A/RPS10A/RPL5/NIP7/RPL11A",53
"GO:0006407","rRNA export from nucleus","17/1551","18/5135",1.75896315904953e-08,7.84057828146326e-06,7.30432596047409e-06,"RPS26B/RPS18A/SRM1/RPS2/RPS26A/RPS0A/RPS5/RPS0B/RPS28B/RPS18B/RPS10B/RPS3/RPS19B/RPS15/RPS19A/RPS28A/RPS10A",17
"GO:0051029","rRNA transport","17/1551","18/5135",1.75896315904953e-08,7.84057828146326e-06,7.30432596047409e-06,"RPS26B/RPS18A/SRM1/RPS2/RPS26A/RPS0A/RPS5/RPS0B/RPS28B/RPS18B/RPS10B/RPS3/RPS19B/RPS15/RPS19A/RPS28A/RPS10A",17
"GO:0042273","ribosomal large subunit biogenesis","68/1551","127/5135",2.4499974027322e-08,8.73669073814304e-06,8.13914926633983e-06,"MAK16/REI1/RSA4/SNU13/RPL12A/NSA2/RPS26B/RPL14B/RPL8A/CIC1/RIX1/RPL40A/YVH1/RPL14A/MRT4/URB1/MAK11/RPL17A/UTP30/RPF2/RPL40B/SPB4/RPL35B/RPL35A/NHP2/MAK21/RPL12B/RPL37B/RPL24A/RPL7A/DBP3/NSA1/RPL1B/RPS26A/RAI1/RPL26B/RPL11B/NOP7/RPL24B/ALB1/RPL17B/DRS1/RPL8B/RLP24/MDN1/RPL37A/RSA3/RPP0/RPL26A/TSR2/RPL6B/RPL6A/ERB1/RRP5/IPI3/BRX1/REX4/RPL25/RPL3/NOC2/RPL33B/NOP4/RPL5/RPL33A/RPL7B/NIP7/RPL1A/RPL11A",68
"GO:0071554","cell wall organization or biogenesis","129/1551","289/5135",6.88696242640986e-08,2.0465756677148e-05,1.90660117699557e-05,"FLC2/ECM13/ECM21/RCR1/MNN2/CHS2/GIP1/TIP1/ECM8/ECM33/KTR3/PAU24/CWH43/PAU3/ANP1/UTR2/PAU2/TIR1/ZRG8/SPO73/SHC1/DSE1/SPI1/RIM101/WSC4/ECM34/PAU13/SLT2/SPS100/DSE2/SVP26/TIR3/BAR1/KTR7/SDP1/SIM1/YVH1/YPS6/PAU15/CWP1/MYO3/PIR3/MCD4/FAT3/UTH1/KTR2/ECM4/PAU5/KEG1/CWP2/PAU8/PSA1/PMT5/PMT1/FMP45/ADY3/TPS2/SED1/MKC7/MNN10/EXG2/SSD1/DIT2/DIT1/ECM11/PKH1/CWH41/SCW11/PAU11/MSB2/MTL1/GSC2/SKN1/CRH1/SNG1/AMA1/SCW4/IRC18/LOH1/NCA3/CIS3/MNN5/HOC1/SOD1/PMT4/DAN1/DAN4/PAU17/GPI13/YEH2/PAU23/OSW2/CCW12/CRR1/CTS1/CDA1/CDA2/SPO77/FKS1/GAS2/INA1/SUR7/CMP2/VAN1/AVO2/YPK2/GAS3/SCW10/GAS1/PAU19/LST8/KTR5/SUN4/RHO2/SLA2/WSC2/GAS5/LDS2/ZEO1/TIR4/KTR1/AZF1/BAG7/SRL1/ECM23/MNN9/CSR2/PAU9/VMA9",129
"GO:0000027","ribosomal large subunit assembly","30/1551","43/5135",9.18374872610298e-08,2.3392319969488e-05,2.17924142703617e-05,"RSA4/RPL12A/RIX1/RPL40A/YVH1/MRT4/MAK11/RPF2/RPL40B/SPB4/MAK21/RPL12B/RPL24A/RPL11B/RPL24B/DRS1/RLP24/MDN1/RSA3/RPP0/RPL6B/RPL6A/RRP5/IPI3/BRX1/REX4/RPL25/RPL3/RPL5/RPL11A",30
"GO:0042254","ribosome biogenesis","177/1551","429/5135",2.45119975690544e-07,5.463111458203e-05,5.08946475841682e-05,"MAK16/POP5/ECM1/UTP20/POP8/LSM2/RPS8A/RPS11B/RPB5/RPS6B/RPS9B/ENP1/REI1/KRR1/RPS14A/PWP2/RSA4/SNU13/RPL12A/RPS24A/RPS8B/NSA2/RPS26B/LSM5/RPL14B/RPS20/RPL8A/RPS27B/CIC1/RPP1/RTC3/GAR1/RPC10/IMP3/UTP9/RIX1/RPL34B/RPS24B/RPL40A/YVH1/RPL14A/MRT4/URB1/MAK11/DHR2/RPS27A/RPL17A/RPS21A/UTP30/RPF2/RPL40B/SPB4/RPL34A/NOP1/RPS16B/RPL35B/SAS10/RPL35A/NHP2/SSB1/RPS11A/MAK21/RPS13/RRP1/ARX1/UTP4/LSM6/RRP17/RPL12B/RPS17B/UTP6/RPS18A/RPL37B/TMA20/CGR1/RPL30/RPL24A/RPL7A/DBP3/SRM1/NSA1/RPS2/RPL1B/ROK1/RPS26A/RAI1/RPL26B/SPT4/RPL11B/NOP7/RPS23A/UTP8/RPL24B/RPS0A/UTP10/ALB1/RPS21B/RPA34/RPL17B/RPS14B/RPA12/RPS5/DRS1/RPL8B/RNP1/RLP24/RPS0B/FCF2/FYV7/MDN1/REX3/DIP2/RPS31/CBF5/RPL37A/EMG1/PWP1/NOP56/RSA3/RPS28B/RPP0/RPL26A/UTP21/TSR2/RPS1A/RPL6B/RPS17A/RPS18B/RPS1B/RPL6A/UTP14/ERB1/RPS16A/RRP5/RPS10B/RPS7B/DBP2/LSM7/RPS3/IPI3/RPA49/RPS19B/NOG2/RPS15/BRX1/REX4/RPS19A/RPL25/UTP23/RPL3/BUD21/RPS7A/RPS28A/GSP2/NOC2/RPB8/RPL33B/PUS7/RPS10A/NOP58/RPA43/RPA190/NOP4/RPS9A/RPS6A/RPL5/RPL33A/RPL7B/NIP7/RPL1A/RPA135/RPL11A/RPS23B/RRP9/RPO26/NOP10/EFG1",177
"GO:0005975","carbohydrate metabolic process","111/1551","246/5135",3.03612889293363e-07,6.0149086845563e-05,5.60352209713365e-05,"NTH2/MNN2/GAL7/GAL10/GAL1/VID24/TPS1/MAL33/MAL31/MAL32/GID7/GLK1/CIT2/GLC3/UBC8/UTR2/DSF1/GIP2/GPP2/ICL1/VID28/PIG2/FYV10/SGA1/PFK26/SIM1/GUT2/EGH1/DAL7/MDH1/UTH1/GLG1/PCK1/DAK2/SEC53/IGD1/KEG1/HXK1/GPM2/NTH1/GAL3/TPI1/TPS2/RMD5/EXG2/PIB1/CWH41/SCW11/PKP2/PYC1/GUP1/AMS1/VID30/GSC2/NQM1/SKN1/CRH1/XKS1/SOL4/GND2/SCW4/MAL13/MAL11/MAL12/SIP4/GLG2/INO1/FBP26/MNN5/RBH2/HOC1/HSP104/MNL2/XYL2/IDP2/ATG26/CRR1/CTS1/CDA1/CDA2/FKS1/GAS2/FBP1/TSL1/PGM2/GID8/GAS3/PRM15/CAT8/SCW10/GAS1/ERR3/SUN4/MLS1/ZWF1/CIT1/MAN2/GAS5/OPI10/PSK2/INP54/IMA2/RKI1/GCY1/GAC1/PYK2/GAL4/CIT3/ATH1/GPH1/GDB1",111
"GO:0045229","external encapsulating structure organization","110/1551","245/5135",4.6919228771434e-07,7.58925407508267e-05,7.07019094399177e-05,"ECM13/ECM21/RCR1/CHS2/GIP1/TIP1/ECM8/ECM33/PAU24/CWH43/PAU3/UTR2/PAU2/TIR1/ZRG8/SPO73/SHC1/DSE1/SPI1/WSC4/ECM34/PAU13/SLT2/SPS100/DSE2/SVP26/TIR3/BAR1/KTR7/SIM1/YVH1/YPS6/PAU15/CWP1/MYO3/PIR3/MCD4/FAT3/UTH1/ECM4/PAU5/KEG1/CWP2/PAU8/PMT5/PMT1/FMP45/ADY3/TPS2/SED1/MKC7/EXG2/SSD1/DIT2/DIT1/ECM11/SCW11/PAU11/MSB2/MTL1/GSC2/SKN1/CRH1/SNG1/AMA1/SCW4/IRC18/LOH1/NCA3/CIS3/SOD1/PMT4/DAN1/DAN4/PAU17/GPI13/PAU23/OSW2/CCW12/CRR1/CTS1/CDA1/CDA2/SPO77/FKS1/GAS2/INA1/SUR7/CMP2/AVO2/YPK2/GAS3/SCW10/GAS1/PAU19/LST8/SUN4/RHO2/SLA2/WSC2/GAS5/LDS2/ZEO1/TIR4/AZF1/BAG7/SRL1/ECM23/CSR2/PAU9",110
