"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005975","carbohydrate metabolic process","84/795","246/5135",7.79410195855758e-14,1.21432108514327e-10,1.06820218421494e-10,"NTH2/GAL7/GAL10/GAL1/VID24/TPS1/MAL33/MAL31/MAL32/GID7/GLK1/CIT2/GLC3/UBC8/DSF1/GIP2/GPP2/ICL1/VID28/PIG2/FYV10/SGA1/PFK26/GUT2/EGH1/DAL7/MDH1/GLG1/PCK1/DAK2/IGD1/HXK1/GPM2/NTH1/GAL3/TPS2/RMD5/PIB1/PKP2/PYC1/AMS1/VID30/GSC2/NQM1/SKN1/XKS1/SOL4/GND2/MAL13/MAL11/MAL12/SIP4/GLG2/FBP26/HSP104/XYL2/IDP2/ATG26/CRR1/CDA1/CDA2/FBP1/TSL1/PGM2/GID8/PRM15/CAT8/ERR3/MLS1/ZWF1/CIT1/MAN2/OPI10/PSK2/INP54/IMA2/GCY1/GAC1/PYK2/GAL4/CIT3/ATH1/GPH1/GDB1",84
"GO:0044262","cellular carbohydrate metabolic process","60/795","157/5135",1.55907901442755e-12,1.21452255223906e-09,1.06837940883403e-09,"NTH2/GAL1/VID24/TPS1/MAL33/MAL31/MAL32/GID7/GLK1/GLC3/UBC8/DSF1/GIP2/GPP2/ICL1/VID28/PIG2/FYV10/SGA1/PFK26/GUT2/DAL7/GLG1/DAK2/IGD1/HXK1/NTH1/GAL3/TPS2/RMD5/PIB1/VID30/GSC2/SKN1/XKS1/GND2/MAL13/MAL11/MAL12/SIP4/GLG2/FBP26/HSP104/XYL2/IDP2/FBP1/TSL1/PGM2/GID8/MLS1/MAN2/OPI10/PSK2/INP54/IMA2/GCY1/GAC1/ATH1/GPH1/GDB1",60
"GO:0015980","energy derivation by oxidation of organic compounds","57/795","157/5135",6.50565800230555e-11,3.37860505586402e-08,2.97205849789538e-08,"ACS1/RIB1/COR1/ETR1/CIT2/GLC3/RIP1/CYC7/GIP2/ICL1/COX6/PIG2/RGI2/RNR3/SGA1/KGD1/DAL7/MDH1/MBR1/HAP4/SDH1/PET10/GLG1/DAK2/IGD1/QCR6/YMR31/NDE2/KGD2/SDH4/HAP2/QCR10/NCA3/GLG2/SDH2/PDC5/SHH4/IDP2/ACO1/NDI1/AAC1/ISF1/PGM2/SHH3/MLS1/MFA2/CIT1/PSK2/SDH5/CYT1/GAC1/HAP5/PET20/CIT3/GPH1/GDB1/QCR2",57
"GO:0044282","small molecule catabolic process","54/795","148/5135",1.70549279852905e-10,6.64289445027064e-08,5.84355690443374e-08,"UGA2/GAL7/GAL10/GAL1/DUR1,2/PCS60/CHA1/ARO9/XBP1/GUT2/POT1/PXA2/FOX2/DAK2/GDH2/GCV1/KGD2/ARO10/ARO80/APA2/HSP31/FDC1/MPO1/AMS1/DSD1/POX1/UGA1/PDC6/XKS1/GND2/BNA3/BNA2/BAT2/XYL2/ALT1/PDC5/PUT1/ASP3-3/CAR2/PGM2/GCV2/GAD1/PRM15/SNO4/SPS19/GOR1/THI20/INP54/GLO4/GCY1/HSP33/PXA1/HSP32/CIT3",54
"GO:0006091","generation of precursor metabolites and energy","69/795","214/5135",2.94323982895738e-10,9.1711353070312e-08,8.0675752785316e-08,"ACS1/RIB1/COR1/ETR1/TKL2/GLK1/CIT2/GLC3/RIP1/CYC7/GIP2/ICL1/COX6/PIG2/RGI2/RNR3/SGA1/KGD1/DAL7/MDH1/MBR1/HAP4/SDH1/PET10/GLG1/DAK2/IGD1/QCR6/YMR31/HXK1/GPM2/NDE2/KGD2/SDH4/HAP2/NQM1/SOL4/GND2/QCR10/NCA3/GLG2/SDH2/PDC5/SHH4/IDP2/ACO1/GRX8/NDI1/AAC1/ISF1/PGM2/SHH3/ERR3/MLS1/MFA2/ZWF1/CIT1/PSK2/SDH5/CYT1/GAC1/PYK2/HAP5/ALD4/PET20/CIT3/GPH1/GDB1/QCR2",69
"GO:0019752","carboxylic acid metabolic process","102/795","387/5135",6.50728669362602e-09,1.68972544477822e-06,1.48640127633352e-06,"ACS1/GDH3/YAT1/ACH1/UGA2/ETR1/MET8/PCS60/GLK1/CHA1/CIT2/UTR4/HPA3/DLD3/FAA2/YAT2/HOM3/ICL1/ARO9/MET30/SER33/XBP1/KGD1/POT1/MET28/DAL7/MET14/MDH1/PXA2/FOX2/MET1/SNO3/SNZ3/AGX1/MET10/YMR31/HXK1/GPM2/GDH2/GCV1/KGD2/ARO10/ARO80/HSP31/FDC1/MPO1/PYC1/STR3/DSD1/POX1/UGA1/PDC6/GND2/BNA3/MET3/BNA2/MET5/BAT2/MHT1/ALT1/PDC5/PUT1/ASP3-3/IDP2/MET17/CAR2/CAT2/CYB2/ADI1/FMS1/SNZ1/HFD1/ALD3/ALD2/GCV2/GAD1/SNO4/ERR3/MLS1/DUG3/SPS19/GOR1/MET2/SNZ2/SNO2/CIT1/GLO4/CRC1/MCT1/CPA1/PYK2/ALD4/GDH1/HSP33/PXA1/HSP32/CIT3/PDH1/GLN1/GRS2/ASN1/MET16",102
"GO:0006082","organic acid metabolic process","106/795","409/5135",8.62768098322834e-09,1.92027528169568e-06,1.68920911882155e-06,"ACS1/GDH3/YAT1/ACH1/UGA2/ETR1/MET8/PCS60/GLK1/CHA1/CIT2/UTR4/HPA3/DLD3/FAA2/YAT2/GLN3/HOM3/ICL1/ARO9/MET30/SER33/XBP1/KGD1/POT1/MET28/DAL7/MET14/MDH1/PXA2/FOX2/DAL80/MET1/SNO3/SNZ3/AGX1/MET10/YMR31/HXK1/GPM2/GDH2/GCV1/KGD2/MET32/ARO10/ARO80/HSP31/FDC1/MPO1/PYC1/STR3/DSD1/POX1/UGA1/PDC6/GND2/BNA3/MET3/BNA2/MET5/BAT2/MHT1/ALT1/PDC5/PUT1/ASP3-3/IDP2/MET17/CAR2/CAT2/CYB2/ADI1/FMS1/SNZ1/HFD1/ALD3/ALD2/GCV2/GAD1/SNO4/ERR3/MLS1/DUG3/SPS19/GOR1/MET2/SNZ2/SNO2/CIT1/BDS1/GLO4/CRC1/MCT1/CPA1/PYK2/ALD4/GDH1/HSP33/PXA1/HSP32/CIT3/PDH1/GLN1/GRS2/ASN1/MET16",106
"GO:0043436","oxoacid metabolic process","105/795","405/5135",1.00450790254067e-08,1.95627914019795e-06,1.72088064356309e-06,"ACS1/GDH3/YAT1/ACH1/UGA2/ETR1/MET8/PCS60/GLK1/CHA1/CIT2/UTR4/HPA3/DLD3/FAA2/YAT2/GLN3/HOM3/ICL1/ARO9/MET30/SER33/XBP1/KGD1/POT1/MET28/DAL7/MET14/MDH1/PXA2/FOX2/DAL80/MET1/SNO3/SNZ3/AGX1/MET10/YMR31/HXK1/GPM2/GDH2/GCV1/KGD2/ARO10/ARO80/HSP31/FDC1/MPO1/PYC1/STR3/DSD1/POX1/UGA1/PDC6/GND2/BNA3/MET3/BNA2/MET5/BAT2/MHT1/ALT1/PDC5/PUT1/ASP3-3/IDP2/MET17/CAR2/CAT2/CYB2/ADI1/FMS1/SNZ1/HFD1/ALD3/ALD2/GCV2/GAD1/SNO4/ERR3/MLS1/DUG3/SPS19/GOR1/MET2/SNZ2/SNO2/CIT1/BDS1/GLO4/CRC1/MCT1/CPA1/PYK2/ALD4/GDH1/HSP33/PXA1/HSP32/CIT3/PDH1/GLN1/GRS2/ASN1/MET16",105
"GO:0006099","tricarboxylic acid cycle","18/795","29/5135",1.39291809408223e-08,2.41129598953346e-06,2.12114544853224e-06,"CIT2/ICL1/KGD1/DAL7/MDH1/SDH1/YMR31/KGD2/SDH4/SDH2/SHH4/IDP2/ACO1/SHH3/MLS1/CIT1/SDH5/CIT3",18
"GO:0009311","oligosaccharide metabolic process","17/795","27/5135",2.61827662536988e-08,4.07927498232628e-06,3.58841701708588e-06,"NTH2/TPS1/MAL33/MAL31/MAL32/NTH1/TPS2/AMS1/MAL13/MAL11/MAL12/HSP104/FBP1/TSL1/PGM2/IMA2/ATH1",17
