"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005975","carbohydrate metabolic process","103/1103","246/5135",1.15770463280073e-13,2.01324835644046e-10,1.77067876995732e-10,"PSK1/NTH2/MNN2/GAL7/GAL10/VID24/TPS1/ARA1/MAL33/MAL31/MAL32/GLK1/CIT2/GLC3/UBC8/UTR2/DSF1/GIP2/GPP2/PDA1/GRE3/PIG2/FYV10/SGA1/SIM1/GUT2/SDL1/MDH1/GLG1/PCK1/DAK2/SEC53/GSY1/IGD1/HXK1/GPM2/GPD1/KNH1/IDP1/NTH1/GAL3/TPS2/RMD5/SDH7/EMI2/MIG1/PYC1/AMS1/MIG2/VID30/GSC2/NQM1/XKS1/SOL4/ENO1/GND2/SCW4/IMA1/MAL12/KAR2/TDH1/SIP4/GLG2/INO1/FBP26/PGU1/HSP104/XYL2/IDP2/ATG26/GSY2/PIG1/CTS1/EXG1/CDA1/FKS1/GAS2/TSA1/TSL1/PGM2/GAS3/TPS3/CAT8/SCW10/FKS3/GAS1/ERR3/SUN4/MLS1/ZWF1/CIT1/MAN2/GAS5/RKI1/GCY1/GAC1/SPR1/PYK2/YIG1/GAL4/CIT3/ATH1/GPH1",103
"GO:0019752","carboxylic acid metabolic process","141/1103","387/5135",1.56546461329168e-12,1.36117148125711e-09,1.19716846479621e-09,"GCV3/ACS1/GDH3/YAT1/ACH1/PET112/ETR1/HMT1/MIS1/IFA38/EHT1/GLK1/CHA1/CIT2/ELO2/HPA3/DLD3/YAT2/SAH1/CEM1/ARG5,6/SER3/PDA1/ARO9/FAA3/MET30/SER33/XBP1/POT1/SDL1/MET28/MET14/MDH1/FAS1/PXA2/SRY1/MET1/SNO3/SNZ3/AGX1/MET10/HXK1/GPM2/IDP1/GLT1/LYS20/GDH2/GCV1/ALT2/HST4/ARO10/ARO80/SAM2/SDH7/EMI2/HSP31/OLE1/PYC1/STR3/POX1/ADH4/UGA1/ACB1/PDC6/TYS1/ADE3/ENO1/GND2/BIO2/TDH1/BNA3/ARG3/ACO2/MET3/BNA2/MET5/BAT2/MHT1/AAT2/ALT1/PDC5/PUT1/SPE4/ASP3-3/IDP2/MET17/ELO3/CAR2/CAT2/CYB2/ADI1/FMS1/ADH3/SNO1/SNZ1/HFD1/ALD3/ALD2/GCV2/GUA1/GAD1/SNO4/ERR3/IDH1/MLS1/DUG3/SPS19/FOL1/GOR1/MET2/SNZ2/SNO2/CIT1/ACC1/IZH2/ARG1/GLO4/CRC1/LEU9/IDH2/SER1/MCT1/PYK2/ALD4/GDH1/FDH1/HSP33/ALD6/EEB1/CAR1/FAS2/FUM1/SAM4/HSP32/CIT3/PDH1/ICL2/GLN1/ISA2/ASN1/MET16",141
"GO:0043436","oxoacid metabolic process","145/1103","405/5135",3.46924845149203e-12,1.63351855076998e-09,1.43670134334238e-09,"GCV3/ACS1/GDH3/YAT1/ACH1/PET112/ETR1/HMT1/MIS1/PHO5/IFA38/EHT1/GLK1/CHA1/CIT2/ELO2/HPA3/DLD3/YAT2/SAH1/CEM1/ARG5,6/SER3/PDA1/ARO9/FAA3/MET30/SER33/XBP1/POT1/SDL1/MET28/MET14/MDH1/FAS1/PXA2/SRY1/DAL80/MET1/SNO3/SNZ3/AGX1/MET10/HXK1/GPM2/IDP1/GLT1/LYS20/GDH2/GCV1/ALT2/HST4/ARO10/ARO80/SAM2/SDH7/EMI2/HSP31/OLE1/PYC1/STR3/POX1/ADH4/UGA1/ACB1/PDC6/TYS1/ADE3/ENO1/GND2/BIO2/TDH1/BNA3/ARG3/PHO90/ACO2/MET3/BNA2/MET5/BAT2/MHT1/AAT2/ALT1/PDC5/PUT1/SPE4/ASP3-3/IDP2/MET17/ELO3/CAR2/CAT2/CYB2/ADI1/FMS1/ADH3/SNO1/SNZ1/HFD1/ALD3/ALD2/GCV2/GUA1/GAD1/SNO4/ERR3/IDH1/MLS1/DUG3/SPS19/FOL1/GOR1/MET2/SNZ2/SNO2/CIT1/ACC1/IZH2/ARG1/BDS1/GLO4/CRC1/LEU9/IDH2/SER1/MCT1/PYK2/ALD4/GDH1/FDH1/HSP33/ALD6/EEB1/CAR1/FAS2/FUM1/SAM4/HSP32/CIT3/PDH1/ICL2/GLN1/ISA2/ASN1/MET16",145
"GO:0006082","organic acid metabolic process","146/1103","409/5135",3.75737446985618e-12,1.63351855076998e-09,1.43670134334238e-09,"GCV3/ACS1/GDH3/YAT1/ACH1/PET112/ETR1/HMT1/MIS1/PHO5/IFA38/EHT1/GLK1/CHA1/CIT2/ELO2/HPA3/DLD3/YAT2/SAH1/CEM1/ARG5,6/SER3/PDA1/ARO9/FAA3/MET30/SER33/XBP1/POT1/SDL1/MET28/MET14/MDH1/FAS1/PXA2/SRY1/DAL80/MET1/SNO3/SNZ3/AGX1/MET10/HXK1/GPM2/IDP1/GLT1/LYS20/GDH2/GCV1/ALT2/HST4/MET32/ARO10/ARO80/SAM2/SDH7/EMI2/HSP31/OLE1/PYC1/STR3/POX1/ADH4/UGA1/ACB1/PDC6/TYS1/ADE3/ENO1/GND2/BIO2/TDH1/BNA3/ARG3/PHO90/ACO2/MET3/BNA2/MET5/BAT2/MHT1/AAT2/ALT1/PDC5/PUT1/SPE4/ASP3-3/IDP2/MET17/ELO3/CAR2/CAT2/CYB2/ADI1/FMS1/ADH3/SNO1/SNZ1/HFD1/ALD3/ALD2/GCV2/GUA1/GAD1/SNO4/ERR3/IDH1/MLS1/DUG3/SPS19/FOL1/GOR1/MET2/SNZ2/SNO2/CIT1/ACC1/IZH2/ARG1/BDS1/GLO4/CRC1/LEU9/IDH2/SER1/MCT1/PYK2/ALD4/GDH1/FDH1/HSP33/ALD6/EEB1/CAR1/FAS2/FUM1/SAM4/HSP32/CIT3/PDH1/ICL2/GLN1/ISA2/ASN1/MET16",146
"GO:0044283","small molecule biosynthetic process","123/1103","333/5135",1.73325349202914e-11,6.02825564527736e-09,5.30193120824915e-09,"BDH1/BDH2/GDH3/RIB1/ETR1/HMT1/MIS1/VID24/IFA38/EHT1/THI2/CHA1/ELO2/UBC8/DLD3/ERG28/CEM1/GPP2/ARG5,6/SER3/ERG11/NCP1/ARO9/MET30/SER33/FYV10/SDL1/MET28/MET14/MCR1/FAS1/SRY1/MET1/PCK1/SNO3/SNZ3/THI5/AGX1/MET10/IDP1/GLT1/LYS20/THI13/COQ4/RMD5/ARO10/SDH7/HSP31/OLE1/PYC1/STR3/VID30/ADH4/ACB1/ERG25/PDC6/THI4/ADE3/BIO2/TDH1/BNA3/ARG3/SIP4/INO1/ACO2/MET3/ADO1/MET5/BAT2/THI11/MHT1/AAT2/XYL2/ALT1/PDC5/PUT1/SPE4/MET17/ELO3/CAR2/HMG2/ERG6/TSA1/HMG1/ADI1/FMS1/ADH3/SNO1/SNZ1/SRT1/HFD1/ALD3/ALD2/ERG2/SNO4/IDH1/FOL1/MET2/THI12/SNZ2/SNO2/ACC1/THI20/ARG1/RKI1/LEU9/IDH2/SER1/MCT1/ALD4/GDH1/HSP33/ALD6/EEB1/YIG1/THI6/FAS2/SAM4/HSP32/GLN1/ISA2/ASN1/MET16",123
"GO:0044262","cellular carbohydrate metabolic process","67/1103","157/5135",1.08547023381181e-09,3.14605456099789e-07,2.76699692934835e-07,"PSK1/NTH2/MNN2/VID24/TPS1/ARA1/MAL33/MAL31/MAL32/GLK1/GLC3/UBC8/DSF1/GIP2/GPP2/PIG2/FYV10/SGA1/GUT2/GLG1/DAK2/GSY1/IGD1/HXK1/KNH1/IDP1/NTH1/GAL3/TPS2/RMD5/SDH7/EMI2/VID30/GSC2/XKS1/GND2/IMA1/MAL12/KAR2/SIP4/GLG2/INO1/FBP26/HSP104/XYL2/IDP2/GSY2/PIG1/EXG1/FKS1/GAS2/TSA1/TSL1/PGM2/GAS3/TPS3/FKS3/GAS1/MLS1/MAN2/GAS5/GCY1/GAC1/SPR1/YIG1/ATH1/GPH1",67
"GO:0032787","monocarboxylic acid metabolic process","64/1103","156/5135",1.70513475879427e-08,4.23604192220461e-06,3.72565534515499e-06,"ACS1/YAT1/ACH1/ETR1/IFA38/EHT1/GLK1/ELO2/DLD3/YAT2/CEM1/PDA1/FAA3/POT1/FAS1/PXA2/SRY1/HXK1/GPM2/IDP1/HST4/EMI2/HSP31/OLE1/PYC1/POX1/UGA1/ACB1/ENO1/GND2/BIO2/TDH1/BNA3/PDC5/SPE4/IDP2/ELO3/CAT2/CYB2/FMS1/ALD3/ALD2/SNO4/ERR3/MLS1/SPS19/GOR1/ACC1/IZH2/GLO4/CRC1/MCT1/PYK2/ALD4/FDH1/HSP33/ALD6/EEB1/FAS2/HSP32/CIT3/PDH1/ICL2/ISA2",64
"GO:1901605","alpha-amino acid metabolic process","67/1103","170/5135",5.22943856412506e-08,1.13674920787668e-05,9.99786083378119e-06,"GCV3/GDH3/MIS1/CHA1/HPA3/SAH1/ARG5,6/SER3/ARO9/MET30/SER33/XBP1/SDL1/MET28/MET14/SRY1/MET1/SNO3/AGX1/MET10/IDP1/GLT1/LYS20/GDH2/GCV1/ALT2/ARO10/ARO80/SAM2/STR3/PDC6/ADE3/BNA3/ARG3/ACO2/MET3/BNA2/MET5/BAT2/MHT1/AAT2/ALT1/PDC5/PUT1/ASP3-3/MET17/CAR2/ADI1/SNO1/HFD1/GCV2/GUA1/GAD1/IDH1/DUG3/MET2/SNO2/ARG1/LEU9/IDH2/SER1/GDH1/CAR1/SAM4/GLN1/ASN1/MET16",67
"GO:0016051","carbohydrate biosynthetic process","42/1103","91/5135",1.07215038701931e-07,1.94959764756192e-05,1.71469712291243e-05,"PSK1/MNN2/VID24/TPS1/GLC3/UBC8/GIP2/GPP2/PIG2/FYV10/SDL1/GLG1/PCK1/GSY1/IGD1/KNH1/TPS2/RMD5/SDH7/PYC1/VID30/GSC2/KAR2/TDH1/SIP4/GLG2/INO1/XYL2/GSY2/PIG1/FKS1/GAS2/TSA1/TSL1/PGM2/GAS3/TPS3/FKS3/GAS1/GAS5/GAC1/YIG1",42
"GO:0044272","sulfur compound biosynthetic process","37/1103","76/5135",1.12110273005286e-07,1.94959764756192e-05,1.71469712291243e-05,"ACS1/MIS1/THI2/PDA1/ERC1/ARO9/MET30/MET28/MET14/MET1/SNZ3/THI5/MET10/THI13/ARO10/SAM2/STR3/THI4/ADE3/BIO2/GSH1/MET3/MET5/BAT2/THI11/MHT1/MET17/ADI1/MET2/THI12/SNZ2/ACC1/THI20/THI6/SAM4/ISA2/MET16",37
