"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005975","carbohydrate metabolic process","104/1002","246/5135",3.70100614005893e-17,6.19548427845865e-14,5.39567737261223e-14,"PSK1/NTH2/MNN2/GAL7/GAL10/GAL1/VID24/ARA1/MAL33/MAL31/MAL32/LEU2/GID7/GLK1/CIT2/GLC3/UBC8/UTR2/DSF1/GIP2/GPP2/PDA1/VID28/PIG2/FYV10/SGA1/PFK26/SIM1/GUT2/EGH1/DAL7/MDH1/GLG1/PCK1/DAK2/GSY1/IGD1/HXK1/GPM2/GPD1/KNH1/MPH2/NTH1/GAL3/TPS2/RMD5/IPK1/EMI2/MIG1/PKP2/PYC1/SNF4/AMS1/MIG2/VID30/GSC2/NQM1/XKS1/SOL4/GND2/BGL2/MAL12/KAR2/TDH1/SIP4/GLG2/INO1/FBP26/TDH2/PGU1/MPH3/HSP104/XYL2/IDP2/ATG26/CRR1/GSY2/PIG1/CDA1/FKS1/GAS2/FBP1/TSL1/PGM2/GAS3/TPS3/CAT8/SCW10/GAS1/ERR3/SUN4/MLS1/ZWF1/CIT1/MAN2/PFK27/GCY1/GAC1/PYK2/YIG1/CIT3/ATH1/GPH1/GDB1",104
"GO:0006091","generation of precursor metabolites and energy","92/1002","214/5135",8.02464756214652e-16,6.71663000951663e-13,5.84954572293312e-13,"PSK1/ACS1/RIB1/ETR1/TKL2/ALG7/GRX1/GLK1/CIT2/GLC3/RIP1/CYC7/GIP2/PDA1/COX6/PIG2/RGI2/RNR3/SGA1/KGD1/DAL7/MDH1/MBR1/HAP4/SDH3/SDH1/PET10/GLG1/DAK2/GSY1/IGD1/QCR6/YMR31/HXK1/GPM2/NDE2/MIX14/KGD2/SDH4/EMI2/OLE1/COX4/ADH4/NQM1/ATF2/SOL4/GND2/QCR10/TDH1/NCA3/GLG2/TDH2/CYC1/SDH2/COX12/PDC5/SHH4/IDP2/GSY2/PIG1/ACO1/GRX8/NDI1/AAC1/ISF1/PGM2/SHH3/NDE1/ERR3/IDH1/MLS1/MFA2/PSD1/ZWF1/CIT1/SDH5/PFK27/CYT1/IDH2/GAC1/PYK2/GDS1/CIR2/HAP5/ALD4/PRM4/PET20/FUM1/CIT3/GPH1/GDB1/QCR2",92
"GO:0015980","energy derivation by oxidation of organic compounds","72/1002","157/5135",2.45389436890916e-14,1.36927305785131e-11,1.19250656173305e-11,"PSK1/ACS1/RIB1/ETR1/ALG7/CIT2/GLC3/RIP1/CYC7/GIP2/COX6/PIG2/RGI2/RNR3/SGA1/KGD1/DAL7/MDH1/MBR1/HAP4/SDH3/SDH1/PET10/GLG1/DAK2/GSY1/IGD1/QCR6/YMR31/NDE2/MIX14/KGD2/SDH4/COX4/ADH4/ATF2/QCR10/NCA3/GLG2/CYC1/SDH2/COX12/PDC5/SHH4/IDP2/GSY2/PIG1/ACO1/NDI1/AAC1/ISF1/PGM2/SHH3/NDE1/IDH1/MLS1/MFA2/PSD1/CIT1/SDH5/CYT1/IDH2/GAC1/GDS1/CIR2/HAP5/PET20/FUM1/CIT3/GPH1/GDB1/QCR2",72
"GO:0043436","oxoacid metabolic process","140/1002","405/5135",6.92660494673047e-14,2.23872857553967e-11,1.94971959826602e-11,"ACS1/GDH3/YAT1/ACH1/BNA4/UGA2/ETR1/FAT1/MIS1/ADH5/IFA38/LEU2/GLK1/CIT2/ELO2/GCN4/UTR4/HPA3/DLD3/YAT2/HOM3/ARG5,6/ALD5/PDA1/ARO9/BAT1/SER33/XBP1/KGD1/POT1/MET28/DAL7/LYS1/MDH1/FAS1/PXA2/DAL80/MET1/SNO3/SNZ3/AGX1/MET10/YMR31/HXK1/IRC7/GPM2/UGA3/GDH2/VTC5/ALT2/KGD2/DPL1/ARO10/EMI2/HSP31/LEU1/OLE1/PYC1/STR3/DSD1/POX1/ADH4/UGA1/PDC6/GND2/TDH1/BNA3/ARG3/ELO1/PHO90/TDH2/MET3/ILV3/BNA2/CPA2/MET5/BAT2/MHT1/SHM2/ALT1/PDC5/PUT1/SPE4/ASP3-3/IDP2/MET17/ILV5/ELO3/CAR2/CAT2/CYB2/PHO84/ADH3/SNO1/SNZ1/HFD1/ALD3/ALD2/GAD1/ADH2/SNO4/ERR3/IDH1/LEU4/MLS1/DUG3/SPS19/FOL1/GOR1/MET2/SNO2/CIT1/ACC1/BIO5/IZH2/ARG1/PFK27/BDS1/GLO4/CRC1/LEU9/IAH1/IDH2/MCT1/CPA1/PYK2/ALD4/GDH1/HSP33/EEB1/FAS2/FUM1/SAM4/HSP32/CIT3/PDH1/ICL2/GLN1/ASN1/MET16",140
"GO:0006082","organic acid metabolic process","141/1002","409/5135",7.11529682641877e-14,2.23872857553967e-11,1.94971959826602e-11,"ACS1/GDH3/YAT1/ACH1/BNA4/UGA2/ETR1/FAT1/MIS1/ADH5/IFA38/LEU2/GLK1/CIT2/ELO2/GCN4/UTR4/HPA3/DLD3/YAT2/HOM3/ARG5,6/ALD5/PDA1/ARO9/BAT1/SER33/XBP1/KGD1/POT1/MET28/DAL7/LYS1/MDH1/FAS1/PXA2/DAL80/MET1/SNO3/SNZ3/AGX1/MET10/YMR31/HXK1/IRC7/GPM2/UGA3/GDH2/VTC5/ALT2/KGD2/MET32/DPL1/ARO10/EMI2/HSP31/LEU1/OLE1/PYC1/STR3/DSD1/POX1/ADH4/UGA1/PDC6/GND2/TDH1/BNA3/ARG3/ELO1/PHO90/TDH2/MET3/ILV3/BNA2/CPA2/MET5/BAT2/MHT1/SHM2/ALT1/PDC5/PUT1/SPE4/ASP3-3/IDP2/MET17/ILV5/ELO3/CAR2/CAT2/CYB2/PHO84/ADH3/SNO1/SNZ1/HFD1/ALD3/ALD2/GAD1/ADH2/SNO4/ERR3/IDH1/LEU4/MLS1/DUG3/SPS19/FOL1/GOR1/MET2/SNO2/CIT1/ACC1/BIO5/IZH2/ARG1/PFK27/BDS1/GLO4/CRC1/LEU9/IAH1/IDH2/MCT1/CPA1/PYK2/ALD4/GDH1/HSP33/EEB1/FAS2/FUM1/SAM4/HSP32/CIT3/PDH1/ICL2/GLN1/ASN1/MET16",141
"GO:0044262","cellular carbohydrate metabolic process","71/1002","157/5135",9.01982621489685e-14,2.23872857553967e-11,1.94971959826602e-11,"PSK1/NTH2/MNN2/GAL1/VID24/ARA1/MAL33/MAL31/MAL32/LEU2/GID7/GLK1/GLC3/UBC8/DSF1/GIP2/GPP2/VID28/PIG2/FYV10/SGA1/PFK26/GUT2/DAL7/GLG1/DAK2/GSY1/IGD1/HXK1/KNH1/MPH2/NTH1/GAL3/TPS2/RMD5/IPK1/EMI2/SNF4/VID30/GSC2/XKS1/GND2/MAL12/KAR2/SIP4/GLG2/INO1/FBP26/MPH3/HSP104/XYL2/IDP2/GSY2/PIG1/FKS1/GAS2/FBP1/TSL1/PGM2/GAS3/TPS3/GAS1/MLS1/MAN2/PFK27/GCY1/GAC1/YIG1/ATH1/GPH1/GDB1",71
"GO:0019752","carboxylic acid metabolic process","135/1002","387/5135",9.36146955124116e-14,2.23872857553967e-11,1.94971959826602e-11,"ACS1/GDH3/YAT1/ACH1/BNA4/UGA2/ETR1/FAT1/MIS1/ADH5/IFA38/LEU2/GLK1/CIT2/ELO2/GCN4/UTR4/HPA3/DLD3/YAT2/HOM3/ARG5,6/ALD5/PDA1/ARO9/BAT1/SER33/XBP1/KGD1/POT1/MET28/DAL7/LYS1/MDH1/FAS1/PXA2/MET1/SNO3/SNZ3/AGX1/MET10/YMR31/HXK1/IRC7/GPM2/UGA3/GDH2/ALT2/KGD2/DPL1/ARO10/EMI2/HSP31/LEU1/OLE1/PYC1/STR3/DSD1/POX1/ADH4/UGA1/PDC6/GND2/TDH1/BNA3/ARG3/ELO1/TDH2/MET3/ILV3/BNA2/CPA2/MET5/BAT2/MHT1/SHM2/ALT1/PDC5/PUT1/SPE4/ASP3-3/IDP2/MET17/ILV5/ELO3/CAR2/CAT2/CYB2/ADH3/SNO1/SNZ1/HFD1/ALD3/ALD2/GAD1/ADH2/SNO4/ERR3/IDH1/LEU4/MLS1/DUG3/SPS19/FOL1/GOR1/MET2/SNO2/CIT1/ACC1/BIO5/IZH2/ARG1/PFK27/GLO4/CRC1/LEU9/IAH1/IDH2/MCT1/CPA1/PYK2/ALD4/GDH1/HSP33/EEB1/FAS2/FUM1/SAM4/HSP32/CIT3/PDH1/ICL2/GLN1/ASN1/MET16",135
"GO:0044283","small molecule biosynthetic process","118/1002","333/5135",1.24190000901979e-12,2.59867576887391e-10,2.26319935854264e-10,"BDH2/GDH3/RIB1/BNA4/ETR1/FAT1/MIS1/VID24/ADH5/IFA38/THI2/LEU2/GID7/ELO2/GCN4/UBC8/UTR4/DLD3/HOM3/GPP2/ARG5,6/ALD5/ERG11/ARO9/BAT1/VID28/SER33/FYV10/MET28/LYS1/FAS1/MET1/PCK1/SNO3/SNZ3/THI5/AGX1/MET10/IRC7/THI13/COQ4/RMD5/IPK1/ARO10/HSP31/LEU1/OLE1/PYC1/SNF4/STR3/VID30/ADH4/PDC6/COQ6/TDH1/BNA3/ARG3/SIP4/INO1/ELO1/TDH2/MET3/ILV3/CPA2/MET5/BAT2/THI11/MHT1/SHM2/XYL2/ALT1/PDC5/PUT1/SPE4/MET17/ILV5/ELO3/FBP1/CAR2/APT1/HMG1/ADH3/SNO1/SNZ1/SRT1/HFD1/ERG29/ALD3/ALD2/ERG2/URA10/ADH2/SNO4/IDH1/LEU4/FOL1/MET2/THI12/SNO2/ACC1/BIO5/THI20/ARG1/LEU9/IDH2/MCT1/CPA1/ALD4/GDH1/HSP33/EEB1/YIG1/FAS2/SAM4/HSP32/GLN1/ASN1/MET16",118
"GO:0032787","monocarboxylic acid metabolic process","64/1002","156/5135",2.81897654140845e-10,5.24329636701971e-08,4.56641229222304e-08,"ACS1/YAT1/ACH1/BNA4/UGA2/ETR1/FAT1/IFA38/LEU2/GLK1/ELO2/DLD3/YAT2/ALD5/PDA1/POT1/DAL7/FAS1/PXA2/HXK1/IRC7/GPM2/UGA3/EMI2/HSP31/OLE1/PYC1/POX1/UGA1/GND2/TDH1/BNA3/ELO1/TDH2/PDC5/SPE4/IDP2/ELO3/CAT2/CYB2/ALD3/ALD2/SNO4/ERR3/MLS1/SPS19/GOR1/ACC1/BIO5/IZH2/PFK27/GLO4/CRC1/IAH1/MCT1/PYK2/ALD4/HSP33/EEB1/FAS2/HSP32/CIT3/PDH1/ICL2",64
"GO:0009060","aerobic respiration","44/1002","92/5135",5.88214720083231e-10,9.84671441419329e-08,8.57555144542395e-08,"RIB1/ETR1/ALG7/CIT2/RIP1/CYC7/COX6/KGD1/DAL7/MDH1/MBR1/SDH3/SDH1/PET10/QCR6/YMR31/MIX14/KGD2/SDH4/COX4/QCR10/NCA3/CYC1/SDH2/COX12/SHH4/IDP2/ACO1/NDI1/AAC1/ISF1/SHH3/IDH1/MLS1/PSD1/CIT1/SDH5/CYT1/IDH2/GDS1/PET20/FUM1/CIT3/QCR2",44
