"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030476","ascospore wall assembly","13/108","49/5135",1.05881518465552e-11,2.18509541829443e-09,1.85014514181944e-09,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/OSW1",13
"GO:0042244","spore wall assembly","13/108","49/5135",1.05881518465552e-11,2.18509541829443e-09,1.85014514181944e-09,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/OSW1",13
"GO:0070590","spore wall biogenesis","13/108","50/5135",1.40611030778277e-11,2.18509541829443e-09,1.85014514181944e-09,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/OSW1",13
"GO:0070591","ascospore wall biogenesis","13/108","50/5135",1.40611030778277e-11,2.18509541829443e-09,1.85014514181944e-09,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/OSW1",13
"GO:0071940","fungal-type cell wall assembly","13/108","50/5135",1.40611030778277e-11,2.18509541829443e-09,1.85014514181944e-09,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/OSW1",13
"GO:0070726","cell wall assembly","13/108","51/5135",1.85454033014087e-11,2.40162972753243e-09,2.03348720410183e-09,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/OSW1",13
"GO:0010927","cellular component assembly involved in morphogenesis","14/108","74/5135",2.25514037131382e-10,2.50320581215834e-08,2.11949283018216e-08,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/SPO1/OSW1",14
"GO:0032989","cellular component morphogenesis","14/108","77/5135",3.94297823075497e-10,3.82961760662077e-08,3.24258078187087e-08,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/SPO1/OSW1",14
"GO:0030437","ascospore formation","15/108","112/5135",7.5510555851227e-09,5.86717018964034e-07,4.96779972705441e-07,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/SPO1/SPS19/OSW1",15
"GO:0048468","cell development","15/108","112/5135",7.5510555851227e-09,5.86717018964034e-07,4.96779972705441e-07,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/SPO1/SPS19/OSW1",15
"GO:0009272","fungal-type cell wall biogenesis","13/108","83/5135",1.17829714106836e-08,8.32306253281921e-07,7.04723170495428e-07,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/OSW1",13
"GO:0034293","sexual sporulation","15/108","117/5135",1.39267393814338e-08,8.32390499951848e-07,7.04794503108996e-07,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/SPO1/SPS19/OSW1",15
"GO:0043935","sexual sporulation resulting in formation of a cellular spore","15/108","117/5135",1.39267393814338e-08,8.32390499951848e-07,7.04794503108996e-07,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/SPO1/SPS19/OSW1",15
"GO:0031505","fungal-type cell wall organization","19/108","198/5135",1.86614363566513e-08,1.03570971779415e-06,8.76947197211057e-07,"LDS1/TIP1/DTR1/RRT12/PAU3/TIR1/SSP1/YVH1/FAT3/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/PAU4/TIR4/OSW1",19
"GO:0045229","external encapsulating structure organization","21/108","245/5135",2.26988192950713e-08,1.1023114120169e-06,9.33339609172338e-07,"LDS1/TIP1/ECM8/DTR1/RRT12/PAU3/TIR1/SSP1/YVH1/FAT3/DIT2/SPS2/SPS1/AMA1/LOH1/PGU1/CRR1/CDA1/PAU4/TIR4/OSW1",21
"GO:0071555","cell wall organization","21/108","245/5135",2.26988192950713e-08,1.1023114120169e-06,9.33339609172338e-07,"LDS1/TIP1/ECM8/DTR1/RRT12/PAU3/TIR1/SSP1/YVH1/FAT3/DIT2/SPS2/SPS1/AMA1/LOH1/PGU1/CRR1/CDA1/PAU4/TIR4/OSW1",21
"GO:0030435","sporulation resulting in formation of a cellular spore","17/108","165/5135",3.98331879744821e-08,1.82061100330427e-06,1.54153204235612e-06,"LDS1/DTR1/RRT12/SPO11/SSP1/YVH1/BDF2/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/SPO1/SPS19/OSW1",17
"GO:0009653","anatomical structure morphogenesis","19/108","210/5135",4.90010678855651e-08,2.00388577616232e-06,1.696712876924e-06,"LDS1/DTR1/RRT12/SPO11/SSP1/YVH1/BDF2/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/SPO1/PSD1/SPS19/OSW1/OPT2",19
"GO:0048856","anatomical structure development","19/108","210/5135",4.90010678855651e-08,2.00388577616232e-06,1.696712876924e-06,"LDS1/DTR1/RRT12/SPO11/SSP1/YVH1/BDF2/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/SPO1/PSD1/SPS19/OSW1/OPT2",19
"GO:0043934","sporulation","17/108","169/5135",5.70417884787635e-08,2.21607348239996e-06,1.87637462101196e-06,"LDS1/DTR1/RRT12/SPO11/SSP1/YVH1/BDF2/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/SPO1/SPS19/OSW1",17
"GO:0006188","IMP biosynthetic process","6/108","12/5135",6.28192563974737e-08,2.32431248670653e-06,1.96802181696346e-06,"ADE1/ADE5,7/ADE13/ADE17/ADE4/ADE2",6
"GO:0048646","anatomical structure formation involved in morphogenesis","17/108","172/5135",7.41537149965618e-08,2.61897438874221e-06,2.21751540061489e-06,"LDS1/DTR1/RRT12/SPO11/SSP1/YVH1/BDF2/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/SPO1/SPS19/OSW1",17
"GO:0046040","IMP metabolic process","6/108","13/5135",1.14678004895651e-07,3.87412216538787e-06,3.28026329793053e-06,"ADE1/ADE5,7/ADE13/ADE17/ADE4/ADE2",6
"GO:0071852","fungal-type cell wall organization or biogenesis","19/108","225/5135",1.48920306123491e-07,4.82129491074802e-06,4.08224523364833e-06,"LDS1/TIP1/DTR1/RRT12/PAU3/TIR1/SSP1/YVH1/FAT3/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/PAU4/TIR4/OSW1",19
"GO:0022413","reproductive process in single-celled organism","15/108","142/5135",1.95379340623173e-07,6.07238990656821e-06,5.14156159534665e-06,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/CDA1/SPO1/SPS19/OSW1",15
