"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006826","iron ion transport","4/14","39/5135",2.6938602098408e-06,0.000420242192735164,0.000323263225180896,"FTR1/ARN2/FRE1/FET3",4
"GO:0034755","iron ion transmembrane transport","3/14","16/5135",8.85089403337004e-06,0.000690369734602863,0.000531053642002203,"FTR1/ARN2/FET3",3
"GO:0055072","iron ion homeostasis","4/14","60/5135",1.54538204935193e-05,0.000803598665663003,0.000618152819740772,"FTR1/ARN2/FRE1/FET3",4
"GO:0000041","transition metal ion transport","4/14","65/5135",2.12886448730383e-05,0.000830257150048495,0.00063865934619115,"FTR1/ARN2/FRE1/FET3",4
"GO:0055076","transition metal ion homeostasis","4/14","91/5135",8.06742403354517e-05,0.00251703629846609,0.00193618176805084,"FTR1/ARN2/FRE1/FET3",4
"GO:0030001","metal ion transport","4/14","98/5135",0.00010784157222654,0.00280388087789005,0.00215683144453081,"FTR1/ARN2/FRE1/FET3",4
"GO:0055065","metal ion homeostasis","4/14","115/5135",0.000200936807821111,0.00447802028858477,0.00344463099121905,"FTR1/ARN2/FRE1/FET3",4
"GO:0006879","cellular iron ion homeostasis","3/14","52/5135",0.000329610691048508,0.00642740847544591,0.00494416036572763,"ARN2/FRE1/FET3",3
"GO:0098771","inorganic ion homeostasis","4/14","147/5135",0.00051595638867007,0.00894324407028121,0.00687941851560093,"FTR1/ARN2/FRE1/FET3",4
"GO:0055080","cation homeostasis","4/14","154/5135",0.000615793604775406,0.00960638023449633,0.00738952325730487,"FTR1/ARN2/FRE1/FET3",4
"GO:0050801","ion homeostasis","4/14","169/5135",0.00087519701452014,0.0124118849331947,0.00954760379476516,"FTR1/ARN2/FRE1/FET3",4
"GO:0046916","cellular transition metal ion homeostasis","3/14","82/5135",0.00125841433955862,0.0163593864142621,0.0125841433955862,"ARN2/FRE1/FET3",3
"GO:0048878","chemical homeostasis","4/14","218/5135",0.00225991655713886,0.0259719705308699,0.0199784388698999,"FTR1/ARN2/FRE1/FET3",4
"GO:0006812","cation transport","4/14","220/5135",0.00233713697461525,0.0259719705308699,0.0199784388698999,"FTR1/ARN2/FRE1/FET3",4
"GO:0006875","cellular metal ion homeostasis","3/14","104/5135",0.00249730485873749,0.0259719705308699,0.0199784388698999,"ARN2/FRE1/FET3",3
"GO:0042592","homeostatic process","4/14","251/5135",0.00378181797913926,0.0368727252966078,0.0283636348435445,"FTR1/ARN2/FRE1/FET3",4
"GO:0098662","inorganic cation transmembrane transport","3/14","137/5135",0.00545026183131259,0.0500141673932214,0.0384724364563242,"FTR1/ARN2/FET3",3
"GO:0030003","cellular cation homeostasis","3/14","142/5135",0.00602483846730248,0.0522152667166215,0.0401655897820165,"ARN2/FRE1/FET3",3
"GO:0098660","inorganic ion transmembrane transport","3/14","152/5135",0.00728100489393698,0.0597808822870616,0.0459852940669704,"FTR1/ARN2/FET3",3
"GO:0006873","cellular ion homeostasis","3/14","155/5135",0.00768623674627545,0.0599526466209485,0.0461174204776527,"ARN2/FRE1/FET3",3
"GO:0006811","ion transport","4/14","324/5135",0.00939218049125939,0.0697704836493554,0.0536696028071965,"FTR1/ARN2/FRE1/FET3",4
"GO:0098655","cation transmembrane transport","3/14","175/5135",0.0107333021580807,0.0761088698482084,0.0585452844986219,"FTR1/ARN2/FET3",3
"GO:0055082","cellular chemical homeostasis","3/14","181/5135",0.0117674173449223,0.079813787209038,0.0613952209300293,"ARN2/FRE1/FET3",3
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0016722","oxidoreductase activity, acting on metal ions","2/14","14/5104",0.000624023046198169,0.0280810370789176,0.0249609218479267,"FRE1/FET3",2
"GO:0046915","transition metal ion transmembrane transporter activity","2/14","32/5104",0.00330663687625293,0.0743993297156908,0.0661327375250585,"FTR1/FET3",2
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:1902495","transmembrane transporter complex","2/14","15/5142",0.000708417861193773,0.0216233467764007,0.0140585226719633,"FTR1/FET3",2
"GO:0098797","plasma membrane protein complex","2/14","20/5142",0.00127196157508239,0.0216233467764007,0.0140585226719633,"FTR1/FET3",2
"GO:1990351","transporter complex","2/14","33/5142",0.00346394447853534,0.0392580374234006,0.0255238014207867,"FTR1/FET3",2
"GO:1990204","oxidoreductase complex","2/14","42/5142",0.0055700991064632,0.0473458424049372,0.0307821266409809,"FTR1/FET3",2
"GO:0005811","lipid droplet","2/14","57/5142",0.0100872012705602,0.0618533796839289,0.0402142716211302,"YEH1/LDS2",2
"GO:0005628","prospore membrane","2/14","69/5142",0.0145537363962186,0.0618533796839289,0.0402142716211302,"LDS2/SPO19",2
"GO:0042763","intracellular immature spore","2/14","69/5142",0.0145537363962186,0.0618533796839289,0.0402142716211302,"LDS2/SPO19",2
"GO:0042764","ascospore-type prospore","2/14","69/5142",0.0145537363962186,0.0618533796839289,0.0402142716211302,"LDS2/SPO19",2
