"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043436","oxoacid metabolic process","51/253","339/4568",1.08424382495431e-11,8.87629293968395e-09,7.54144768869255e-09,"YAT1/UGA2/HMT1/ADH5/EHT1/MET8/PYC2/ARO4/HIS4/CHA1/FRM2/CIT2/DLD3/HIS1/TRP2/ARG4/FAA3/PAN6/SDL1/LYS1/FAS1/DAL80/HXK1/ARO3/HOM2/ARO10/SAM2/HSP31/ARO8/VTC4/TDH1/BNA2/CPA2/BAT2/GLO1/CYB2/PHO84/ARG7/IDH1/DUG3/MET2/LYS9/IDH2/HIS3/GDH1/HSP33/VTC3/EEB1/FAS2/PDH1/ICL2",51
"GO:0006082","organic acid metabolic process","51/253","343/4568",1.71191763542603e-11,8.87629293968395e-09,7.54144768869255e-09,"YAT1/UGA2/HMT1/ADH5/EHT1/MET8/PYC2/ARO4/HIS4/CHA1/FRM2/CIT2/DLD3/HIS1/TRP2/ARG4/FAA3/PAN6/SDL1/LYS1/FAS1/DAL80/HXK1/ARO3/HOM2/ARO10/SAM2/HSP31/ARO8/VTC4/TDH1/BNA2/CPA2/BAT2/GLO1/CYB2/PHO84/ARG7/IDH1/DUG3/MET2/LYS9/IDH2/HIS3/GDH1/HSP33/VTC3/EEB1/FAS2/PDH1/ICL2",51
"GO:0055072","iron ion homeostasis","19/253","57/4568",6.5458203885413e-11,2.26267191430578e-08,1.92240409305581e-08,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/GGC1/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1/LSO1",19
"GO:0019752","carboxylic acid metabolic process","47/253","321/4568",2.16138544503522e-10,5.6033917662538e-08,4.76073583551178e-08,"YAT1/UGA2/HMT1/ADH5/EHT1/MET8/PYC2/ARO4/HIS4/CHA1/FRM2/CIT2/DLD3/HIS1/TRP2/ARG4/FAA3/PAN6/SDL1/LYS1/FAS1/HXK1/ARO3/HOM2/ARO10/SAM2/HSP31/ARO8/TDH1/BNA2/CPA2/BAT2/GLO1/CYB2/ARG7/IDH1/DUG3/MET2/LYS9/IDH2/HIS3/GDH1/HSP33/EEB1/FAS2/PDH1/ICL2",47
"GO:0016053","organic acid biosynthetic process","29/253","166/4568",1.74519133170706e-08,2.84025450388517e-06,2.41312797010799e-06,"HMT1/EHT1/MET8/ARO4/HIS4/CHA1/DLD3/HIS1/TRP2/ARG4/PAN6/LYS1/FAS1/ARO3/HOM2/HSP31/ARO8/CPA2/BAT2/ARG7/IDH1/MET2/LYS9/IDH2/HIS3/GDH1/HSP33/EEB1/FAS2",29
"GO:0046394","carboxylic acid biosynthetic process","29/253","166/4568",1.74519133170706e-08,2.84025450388517e-06,2.41312797010799e-06,"HMT1/EHT1/MET8/ARO4/HIS4/CHA1/DLD3/HIS1/TRP2/ARG4/PAN6/LYS1/FAS1/ARO3/HOM2/HSP31/ARO8/CPA2/BAT2/ARG7/IDH1/MET2/LYS9/IDH2/HIS3/GDH1/HSP33/EEB1/FAS2",29
"GO:0055076","transition metal ion homeostasis","20/253","85/4568",1.91724026298902e-08,2.84025450388517e-06,2.41312797010799e-06,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/GGC1/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/IZH4/ENB1/ISU2/FRE5/ISU1/LSO1",20
"GO:0034755","iron ion transmembrane transport","9/253","16/4568",3.4671151651195e-08,4.23997016129843e-06,3.60234992133867e-06,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/FET3/ENB1",9
"GO:0006879","cellular iron ion homeostasis","15/253","50/4568",3.67981981212014e-08,4.23997016129843e-06,3.60234992133867e-06,"SIT1/ARN1/ARN2/GEX2/FET5/GGC1/CCC2/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1",15
"GO:0006826","iron ion transport","12/253","34/4568",1.18393177131477e-07,1.22773724685342e-05,1.04310620272681e-05,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/FIT1/FRE1/FET3/ENB1/FRE5",12
