"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006364","rRNA processing","77/591","234/4568",2.8787940196089e-16,4.22894841480547e-13,3.88182646223052e-13,"MAK16/POP5/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/SPB1/KRR1/BUD23/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/DBP8/UTP9/RIX1/FAF1/BMT5/DHR2/RRP14/UTP11/DBP7/RPF2/TSR1/FAL1/RRP1/BFR2/UTP5/CGR1/DBP3/ROK1/RAI1/NOP7/ENP2/NSR1/HCA4/UTP18/UTP10/FCF2/FYV7/MDN1/DIP2/RPS31/PWP1/TSR2/ERB1/RRB1/RNT1/RLP7/IMP4/NOP15/DBP2/NAF1/IPI3/NOP12/NOP8/BUD21/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",77
"GO:0042254","ribosome biogenesis","92/591","329/4568",2.92021561496685e-14,2.14489836919315e-11,1.96884010672239e-11,"MAK16/POP5/ECM1/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/REI1/SPB1/KRR1/BUD23/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/DBP8/NMD3/UTP9/RIX1/FAF1/BMT5/YVH1/DHR2/RRP14/UTP11/DBP7/RPF2/TSR1/SYO1/FAL1/RRP1/BFR2/BCP1/UTP5/RPS17B/PUF6/CGR1/DBP3/ROK1/RAI1/NOP7/ENP2/NSR1/SDA1/HCA4/UTP18/UTP10/ALB1/RIX7/FCF2/FYV7/BUD20/MDN1/DIP2/RPS31/PWP1/TSR2/ERB1/RRB1/RNT1/RLP7/IMP4/NOP15/DBP2/RPC19/NAF1/IPI3/NOG2/NOP12/NOP8/BUD21/GSP2/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",92
"GO:0016072","rRNA metabolic process","78/591","277/4568",2.40129074313688e-12,1.17583203388936e-09,1.07931699717837e-09,"MAK16/POP5/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/SPB1/KRR1/BUD23/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/DBP8/UTP9/RIX1/FAF1/BMT5/DHR2/RRP14/UTP11/DBP7/RPF2/TSR1/FAL1/RRP1/BFR2/UTP5/CGR1/DBP3/ROK1/RAI1/NOP7/ENP2/NSR1/HCA4/UTP18/UTP10/FCF2/FYV7/MDN1/DIP2/RPS31/PWP1/TSR2/RRN11/ERB1/RRB1/RNT1/RLP7/IMP4/NOP15/DBP2/NAF1/IPI3/NOP12/NOP8/BUD21/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",78
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","24/591","46/4568",1.52663859633058e-10,5.60658024502404e-08,5.14637905763018e-08,"MAK16/MAK5/SPB1/NUG1/NSA2/CIC1/SSF1/IPI1/RPF1/DBP7/RPF2/DBP3/RAI1/NOP7/TSR2/ERB1/RLP7/NOP15/NOP12/NOP8/YTM1/NOP4/NIP7/RRP15",24
"GO:0042273","ribosomal large subunit biogenesis","38/591","106/4568",9.58817629686433e-10,2.81700619601874e-07,2.58577975500699e-07,"MAK16/MAK5/REI1/SPB1/NOP16/NUG1/NSA2/CIC1/SSF1/IPI1/RPF1/RIX1/YVH1/RRP14/DBP7/RPF2/SYO1/PUF6/DBP3/RAI1/NOP7/SDA1/ALB1/RIX7/MDN1/TSR2/ERB1/RLP7/NOP15/IPI3/NOP12/NOP8/YTM1/RRS1/NOP4/NOG1/NIP7/RRP15",38
"GO:0022613","ribonucleoprotein complex biogenesis","95/591","411/4568",1.75241672625018e-09,3.61682539268835e-07,3.31994792593155e-07,"MAK16/POP5/ECM1/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/REI1/SPB1/KRR1/BUD23/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/DBP8/NMD3/UTP9/RIX1/FAF1/BMT5/IST3/YVH1/DHR2/RRP14/UTP11/DBP7/RPF2/TSR1/SYO1/FAL1/RRP1/BFR2/BCP1/UTP5/RPS17B/PUF6/CGR1/DBP3/ROK1/RAI1/NOP7/ENP2/NSR1/SDA1/HCA4/UTP18/UTP10/ALB1/RIX7/FCF2/FYV7/BUD20/MDN1/DIP2/RPS31/PWP1/TSR2/ERB1/RRB1/RNT1/RLP7/IMP4/NOP15/DBP2/RPC19/NAF1/NOP13/IPI3/NOG2/NOP12/NOP8/BUD21/GSP2/DED1/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",95
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","31/591","78/4568",1.93783858855722e-09,3.61682539268835e-07,3.31994792593155e-07,"UTP20/ENP1/KRR1/BUD23/LCP5/DBP8/UTP9/FAF1/DHR2/UTP11/TSR1/FAL1/BFR2/UTP5/ROK1/NOP7/ENP2/UTP18/UTP10/FCF2/FYV7/DIP2/TSR2/BUD21/RRP36/RRS1/RRP12/NAN1/DIM1/MRD1/EFG1",31
"GO:0034470","ncRNA processing","84/591","348/4568",1.96968026831224e-09,3.61682539268835e-07,3.31994792593155e-07,"MAK16/POP5/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/SPB1/KRR1/BUD23/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/DBP8/UTP9/RIX1/FAF1/BMT5/DHR2/RRP14/UTP11/DBP7/RPF2/TSR1/FAL1/RRP1/BFR2/UTP5/CGR1/PUS2/DBP3/SUA5/ROK1/RAI1/NOP7/ENP2/NSR1/HCA4/TAD2/UTP18/UTP10/FCF2/FYV7/MDN1/DIP2/RPS31/PWP1/TSR2/RPM2/ERB1/RRB1/RNT1/RLP7/IMP4/NOP15/DBP2/NCS2/NAF1/IPI3/NRD1/NOP12/NOP8/BUD21/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/TYW1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",84
"GO:0005975","carbohydrate metabolic process","55/591","192/4568",2.7954549499693e-09,4.562803690561e-07,4.18827811802418e-07,"MNN2/GAL7/GAL10/TPS1/ARA1/MAL33/MAL31/MAL32/LEU2/CIT2/UBC8/DSF1/GRE3/VID28/SGA1/SIM1/UGP1/MDH1/GLG1/PCK1/GSY1/HXK1/GPD1/GAL3/RMD5/EMI2/CWH41/PKP2/VID30/XKS1/ENO1/SCW4/MAL11/MAL12/TDH1/SIP4/GLG2/MNN5/MNL2/XYL2/EXG1/FKS1/GAS2/TSA1/DAK1/TPS3/SCW10/GAS1/SUN4/ZWF1/CIT1/SOL1/MAN2/SPR1/PYK2",55
"GO:0000460","maturation of 5.8S rRNA","30/591","77/4568",6.21930583372621e-09,8.30560024522164e-07,7.62385719904619e-07,"MAK16/UTP20/MAK5/ENP1/SPB1/KRR1/BUD23/NSA2/LCP5/CIC1/RRP4/RPF1/DBP8/UTP11/RPF2/DBP3/ROK1/RAI1/NOP7/UTP18/UTP10/FCF2/DIP2/ERB1/RLP7/BUD21/YTM1/RRS1/MRD1/RRP15",30
