"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005975","carbohydrate metabolic process","68/711","192/4568",3.57961036724422e-12,3.27241420854378e-09,3.01025007380126e-09,"PSK1/GAL7/GAL10/GAL1/VID24/TPS1/ARA1/MAL33/MAL31/MAL32/GID7/CIT2/RBK1/SOL2/UBC8/DSF1/GPP2/GUT1/AAP1/GRE3/INP51/VID28/SGA1/SUC2/SDL1/EGH1/DAL7/MDH1/GLG1/PCK1/DAK2/YPI1/GSY1/HXK1/GPD1/GAL3/RMD5/INM2/IPK1/YPR1/SDH7/EMI2/MIG1/PKP2/VID30/XKS1/MAL13/MAL11/MAL12/TDH1/SIP4/GLG2/XYL2/ATG26/PIG1/CDA2/DAK1/TPS3/INP52/ZWF1/CIT1/MAN2/PSK2/MET22/IMA2/PYK2/TCO89/GAL4",68
"GO:0044283","small molecule biosynthetic process","90/711","289/4568",4.46136906413603e-12,3.27241420854378e-09,3.01025007380126e-09,"BDH1/RIB1/PDX3/VID24/LYS2/MET8/THI2/RIB5/GID7/CHA1/UBC8/UTR4/DLD3/HOM3/GPP2/ARG5,6/PUT2/VID28/SER33/SDL1/MET28/LYS1/MET14/SRY1/MET1/PCK1/SNO3/SNZ3/THI5/MET10/SFA1/LYS20/THI13/ARG82/COQ4/RMD5/INM2/IPK1/TRP4/ARO10/SDH7/HSP31/LYS5/STR3/VID30/COQ6/TDH1/BNA3/ARG2/ARG3/SIP4/CPA2/STR2/MET5/BAT2/THI11/XYL2/ALT1/PDC5/PUT1/LCB5/COQ11/MET17/ADI1/FMS1/ARG7/SNO1/SRT1/HFD1/ALD2/LEU4/MET2/THI12/SNZ2/SNO2/LYS9/THI20/ARG1/MET22/IDH2/SER1/MCT1/CPA1/GDH1/HSP33/DAP1/GLN1/ISA2/ASN1/MET16",90
"GO:1901605","alpha-amino acid metabolic process","56/711","146/4568",8.46311260448452e-12,4.13846206359293e-09,3.80691591542076e-09,"UGA2/LYS2/MET8/CHA1/UTR4/HPA3/HOM3/ARG5,6/PUT2/SER33/XBP1/SDL1/MET28/LYS1/MET14/SRY1/MET1/SNO3/MET10/LYS20/ARG82/TRP4/ARO10/ARO80/LYS5/STR3/DSD1/BNA3/ARG2/ARG3/CPA2/STR2/MET5/BAT2/ALT1/PDC5/PUT1/MET17/ADI1/ARG7/SNO1/HFD1/LEU4/DUG3/MET2/SNO2/LYS9/ARG1/MET22/IDH2/SER1/CPA1/GDH1/GLN1/ASN1/MET16",56
"GO:0019752","carboxylic acid metabolic process","95/711","321/4568",2.8450455154376e-11,1.04342044278674e-08,9.59828513366052e-09,"ACS1/YAT1/ACH1/PET112/UGA2/LYS2/MET8/PCS60/CHA1/CIT2/PXP1/UTR4/HPA3/DLD3/HOM3/ARG5,6/PUT2/SER33/XBP1/KGD1/SDL1/MET28/DAL7/LYS1/MET14/MDH1/SRY1/MET1/SNO3/SNZ3/MET10/HXK1/SFA1/UGA3/LYS20/ARG82/GLO2/TRP4/ARO10/ARO80/SDH7/EMI2/HSP31/MPO1/LYS5/STR3/DSD1/UGA1/TDH1/BNA3/ARG2/ARG3/CPA2/STR2/MET5/BAT2/ALT1/PDC5/PUT1/MET17/CYB2/ADI1/FMS1/ARG7/SNO1/HFD1/ALD2/LEU4/DUG3/GOR1/MET2/SNZ2/SNO2/CIT1/LYS9/ARG1/MET22/PEX11/GLO4/IAH1/IDH2/SER1/MCT1/CPA1/PYK2/GDH1/FDH1/HSP33/PXA1/PDH1/ICL2/GLN1/ISA2/ASN1/MET16",95
"GO:0044262","cellular carbohydrate metabolic process","48/711","120/4568",4.9527706195426e-11,1.24814354165378e-08,1.14815055458698e-08,"PSK1/GAL1/VID24/TPS1/ARA1/MAL33/MAL31/MAL32/GID7/RBK1/UBC8/DSF1/GPP2/GUT1/AAP1/INP51/VID28/SGA1/SUC2/DAL7/GLG1/DAK2/YPI1/GSY1/HXK1/GAL3/RMD5/INM2/IPK1/SDH7/EMI2/VID30/XKS1/MAL13/MAL11/MAL12/SIP4/GLG2/XYL2/PIG1/DAK1/TPS3/INP52/MAN2/PSK2/MET22/IMA2/TCO89",48
"GO:0006082","organic acid metabolic process","99/711","343/4568",5.1756625471362e-11,1.24814354165378e-08,1.14815055458698e-08,"ACS1/YAT1/ACH1/PET112/UGA2/LYS2/MET8/PCS60/CHA1/CIT2/PXP1/UTR4/HPA3/DLD3/GLN3/HOM3/ARG5,6/PUT2/SER33/XBP1/KGD1/SDL1/MET28/DAL7/LYS1/MET14/MDH1/SRY1/DAL80/MET1/SNO3/SNZ3/MET10/HXK1/SFA1/UGA3/LYS20/ARG82/MET32/GLO2/TRP4/ARO10/ARO80/SDH7/EMI2/HSP31/MPO1/LYS5/STR3/DSD1/UGA1/TDH1/BNA3/ARG2/ARG3/CPA2/STR2/MET5/BAT2/ALT1/PDC5/PUT1/MET17/CYB2/ADI1/FMS1/ARG7/SNO1/HFD1/ALD2/LEU4/DUG3/GOR1/MET2/SNZ2/SNO2/CIT1/LYS9/ARG1/MET22/PEX11/BDS1/GLO4/IAH1/IDH2/SER1/MCT1/CPA1/PYK2/GDH1/FDH1/HSP33/PXA1/PDH1/ICL2/GLN1/ISA2/ASN1/MET16",99
"GO:0043436","oxoacid metabolic process","98/711","339/4568",5.95569515444885e-11,1.24814354165378e-08,1.14815055458698e-08,"ACS1/YAT1/ACH1/PET112/UGA2/LYS2/MET8/PCS60/CHA1/CIT2/PXP1/UTR4/HPA3/DLD3/GLN3/HOM3/ARG5,6/PUT2/SER33/XBP1/KGD1/SDL1/MET28/DAL7/LYS1/MET14/MDH1/SRY1/DAL80/MET1/SNO3/SNZ3/MET10/HXK1/SFA1/UGA3/LYS20/ARG82/GLO2/TRP4/ARO10/ARO80/SDH7/EMI2/HSP31/MPO1/LYS5/STR3/DSD1/UGA1/TDH1/BNA3/ARG2/ARG3/CPA2/STR2/MET5/BAT2/ALT1/PDC5/PUT1/MET17/CYB2/ADI1/FMS1/ARG7/SNO1/HFD1/ALD2/LEU4/DUG3/GOR1/MET2/SNZ2/SNO2/CIT1/LYS9/ARG1/MET22/PEX11/BDS1/GLO4/IAH1/IDH2/SER1/MCT1/CPA1/PYK2/GDH1/FDH1/HSP33/PXA1/PDH1/ICL2/GLN1/ISA2/ASN1/MET16",98
"GO:1901607","alpha-amino acid biosynthetic process","41/711","101/4568",7.86818311164423e-10,1.44282807809776e-07,1.3272382564642e-07,"LYS2/MET8/CHA1/UTR4/HOM3/ARG5,6/PUT2/SER33/MET28/LYS1/MET14/SRY1/MET1/MET10/LYS20/TRP4/LYS5/STR3/ARG2/ARG3/CPA2/STR2/MET5/BAT2/ALT1/PUT1/MET17/ADI1/ARG7/LEU4/MET2/LYS9/ARG1/MET22/IDH2/SER1/CPA1/GDH1/GLN1/ASN1/MET16",41
"GO:1901615","organic hydroxy compound metabolic process","48/711","134/4568",4.15686617542554e-09,6.63852836430157e-07,6.10669347614869e-07,"BDH1/PDX3/THI2/PET18/DSF1/DLD3/GPP2/GUT1/INP51/OSH6/SNO3/SNZ3/THI5/DAK2/SFA1/THI13/ARG82/GLO2/INM2/IPK1/ARO10/HSP31/THI11/YEH1/XYL2/PDC5/ATG26/SYM1/LCB5/CYB2/DAK1/SNO1/SRT1/INP52/NSG2/THI12/SNZ2/SNO2/MAN2/THI20/MET22/GRE2/GLO4/IDH2/HES1/HSP33/DAP1/TCO89",48
"GO:0044282","small molecule catabolic process","44/711","118/4568",4.52524087546119e-09,6.63852836430157e-07,6.10669347614869e-07,"UGA2/GAL7/GAL10/GAL1/DUR1,2/PCS60/CHA1/RBK1/PXP1/GUT1/PUT2/GRE3/INP51/XBP1/DAK2/SFA1/UGA3/GLO2/INM2/YPR1/ARO10/ARO80/APA2/HSP31/MPO1/DSD1/UGA1/XKS1/BNA3/BAT2/XYL2/ALT1/PDC5/PUT1/DAK1/INP52/GOR1/THI20/MET22/GLO4/FDH1/HSP33/PXA1/ICL2",44
