"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009066","aspartate family amino acid metabolic process","16/133","52/4568",4.58388431684391e-13,2.97341359098048e-10,2.69230524882387e-10,"MET8/CHA1/MET28/MET14/MET1/MET10/LYS20/ARO10/STR3/MET5/MET17/ADI1/MET2/LYS9/MET22/MET16",16
"GO:0006555","methionine metabolic process","13/133","31/4568",7.91854484948196e-13,2.97341359098048e-10,2.69230524882387e-10,"MET8/MET28/MET14/MET1/MET10/ARO10/STR3/MET5/MET17/ADI1/MET2/MET22/MET16",13
"GO:0000096","sulfur amino acid metabolic process","14/133","40/4568",1.92825631789405e-12,4.82706831579477e-10,4.37071432055984e-10,"MET8/MET28/MET14/MET1/MET10/MET32/ARO10/STR3/MET5/MET17/ADI1/MET2/MET22/MET16",14
"GO:0009086","methionine biosynthetic process","12/133","29/4568",7.68390877461958e-12,1.29941729917945e-09,1.1765695918003e-09,"MET8/MET28/MET14/MET1/MET10/STR3/MET5/MET17/ADI1/MET2/MET22/MET16",12
"GO:0009067","aspartate family amino acid biosynthetic process","14/133","44/4568",8.65124699853165e-12,1.29941729917945e-09,1.1765695918003e-09,"MET8/MET28/MET14/MET1/MET10/LYS20/STR3/MET5/MET17/ADI1/MET2/LYS9/MET22/MET16",14
"GO:0000097","sulfur amino acid biosynthetic process","12/133","32/4568",3.10306832967761e-11,3.88400719264648e-09,3.51681077363463e-09,"MET8/MET28/MET14/MET1/MET10/STR3/MET5/MET17/ADI1/MET2/MET22/MET16",12
"GO:1901605","alpha-amino acid metabolic process","21/133","146/4568",6.68723206974267e-10,7.17444469196678e-08,6.49616829632145e-08,"MET8/CHA1/MET28/MET14/MET1/MET10/LYS20/ALT2/ARO10/STR3/BNA3/ARG3/MET5/PDC5/MET17/ADI1/SNO1/MET2/LYS9/MET22/MET16",21
"GO:0019344","cysteine biosynthetic process","7/133","10/4568",1.69225385855261e-09,1.58860330971627e-07,1.43841577976972e-07,"MET28/MET14/MET10/STR3/MET5/MET17/MET16",7
"GO:0044272","sulfur compound biosynthetic process","14/133","64/4568",2.19419225794894e-09,1.8309315396885e-07,1.65783415045031e-07,"ACS1/MET8/MET28/MET14/MET1/MET10/ARO10/STR3/MET5/MET17/ADI1/MET2/MET22/MET16",14
"GO:1901607","alpha-amino acid biosynthetic process","16/133","101/4568",2.11317628202098e-08,1.58699538779776e-06,1.43695987177427e-06,"MET8/CHA1/MET28/MET14/MET1/MET10/LYS20/STR3/ARG3/MET5/MET17/ADI1/MET2/LYS9/MET22/MET16",16
"GO:0006534","cysteine metabolic process","7/133","14/4568",4.38897717162758e-08,2.99647441444755e-06,2.71318588791523e-06,"MET28/MET14/MET10/STR3/MET5/MET17/MET16",7
"GO:0006520","cellular amino acid metabolic process","22/133","205/4568",6.73721278068344e-08,4.21637233191105e-06,3.81775390905395e-06,"MET8/CHA1/MET28/MET14/MET1/MET10/SFA1/LYS20/ALT2/ARO10/STR3/BNA3/ARG3/MET5/PDC5/MET17/ADI1/SNO1/MET2/LYS9/MET22/MET16",22
"GO:0008652","cellular amino acid biosynthetic process","16/133","114/4568",1.23549339723212e-07,7.1373503178563e-06,6.4625808470603e-06,"MET8/CHA1/MET28/MET14/MET1/MET10/LYS20/STR3/ARG3/MET5/MET17/ADI1/MET2/LYS9/MET22/MET16",16
"GO:0044283","small molecule biosynthetic process","26/133","289/4568",1.42233874430525e-07,7.62983140695171e-06,6.90850247233977e-06,"MET8/CHA1/GPP2/MET28/MET14/MET1/PCK1/MET10/SFA1/LYS20/ARO10/STR3/BNA3/ARG3/SIP4/MET5/XYL2/PDC5/MET17/ADI1/SNO1/MET2/LYS9/MET22/HSP33/MET16",26
"GO:0009069","serine family amino acid metabolic process","9/133","32/4568",1.82365749793858e-07,9.13044520634583e-06,8.26724732398823e-06,"CHA1/MET28/MET14/MET10/STR3/MET5/MET17/MET2/MET16",9
"GO:0006790","sulfur compound metabolic process","16/133","118/4568",2.02071445854088e-07,9.48472848977628e-06,8.58803644879876e-06,"ACS1/MET8/MET28/MET14/MET1/MET10/MET32/ARO10/STR3/MET5/MET17/ADI1/MET2/MET22/BDS1/MET16",16
"GO:0016053","organic acid biosynthetic process","18/133","166/4568",1.03081652435318e-06,4.30079560994023e-05,3.89419575866758e-05,"MET8/CHA1/MET28/MET14/MET1/MET10/LYS20/STR3/BNA3/ARG3/MET5/MET17/ADI1/MET2/LYS9/MET22/HSP33/MET16",18
"GO:0046394","carboxylic acid biosynthetic process","18/133","166/4568",1.03081652435318e-06,4.30079560994023e-05,3.89419575866758e-05,"MET8/CHA1/MET28/MET14/MET1/MET10/LYS20/STR3/BNA3/ARG3/MET5/MET17/ADI1/MET2/LYS9/MET22/HSP33/MET16",18
