"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","88/602","134/4568",7.62389640210896e-47,1.11690082290896e-43,1.03203481822233e-43,"RPL32/RPL4A/SUP45/RPS6B/HYP2/RPL12A/RPS24A/RPS26B/RPL8A/RPS27B/RPL42B/RPS4B/RPL2B/RPL34B/RPS24B/RPL16A/RPL40A/TMA19/RPS27A/RPL17A/TIF1/RPL40B/RPL2A/RPL34A/RPS29B/RPL13A/RPS16B/RPL41B/RPL41A/SSB1/RPS13/RPP2B/RPL12B/TIF35/RPS17B/RPL37B/TMA20/RPL30/RPL28/RPL1B/RPS26A/RPS25A/RPS0A/RPL17B/RPL39/RPS22A/SUI2/RPS5/RPL8B/RPL15A/RPS0B/RPL22A/RPS31/RPL37A/RPS25B/RPP0/RPS29A/RPS1A/RPL6B/RPS17A/RPS1B/RPL6A/RPL13B/RPS16A/TIF11/RPL16B/RPS7B/RPL42A/NOP13/RPS3/SUI1/RPS19B/RPS15/RPS19A/RPL25/RPS7A/RPL33B/RPS10A/PRT1/RPS12/RPS6A/RPL5/RPL33A/RPL1A/RPL43A/RPL29/RPL36B/TMA7",88
"GO:0042254","ribosome biogenesis","117/602","329/4568",2.01181385749752e-27,1.47365365061694e-24,1.36168032670622e-24,"MAK16/POP5/ECM1/UTP20/POP8/LSM2/RPB5/RPS6B/ENP1/REI1/KRR1/RPL12A/RPS24A/NSA2/RPS26B/RPL8A/RPS27B/CIC1/RPC10/UTP9/RIX1/RPL34B/RPS24B/RPL40A/YVH1/URB1/MAK11/DHR2/RPS27A/RPL17A/UTP30/RPF2/RPL40B/SPB4/RPL34A/RPS16B/SAS10/NHP2/SSB1/MAK21/RPS13/RRP1/LSM6/RRP17/RPL12B/RPS17B/RPL37B/TMA20/CGR1/RPL30/DBP3/SRM1/NSA1/RPS2/RPL1B/ROK1/RPS26A/RAI1/NOP7/RPS23A/RPS0A/UTP10/ALB1/RPL17B/RPS5/DRS1/RPL8B/RPS0B/FCF2/FYV7/MDN1/DIP2/RPS31/RPL37A/PWP1/RSA3/RPP0/UTP21/TSR2/RPS1A/RPL6B/RPS17A/RPS1B/RPL6A/ERB1/RPS16A/RRP5/RPS7B/DBP2/LSM7/RPS3/IPI3/RPS19B/NOG2/RPS15/RPS19A/RPL25/RPL3/BUD21/RPS7A/NOC2/RPB8/RPL33B/PUS7/RPS10A/RPA190/NOP4/RPS6A/RPL5/RPL33A/NIP7/RPL1A/RPS23B/RRP9/RPO26/NOP10/EFG1",117
"GO:0022613","ribonucleoprotein complex biogenesis","126/602","411/4568",9.96700323560529e-23,4.86721991338725e-20,4.49739163543453e-20,"MAK16/POP5/ECM1/UTP20/POP8/LSM2/RPB5/RPS6B/ENP1/REI1/KRR1/RPL12A/RPS24A/NSA2/RPS26B/RPL8A/RPS27B/CIC1/RPC10/UTP9/RIX1/RPL34B/RPS24B/RPL40A/IST3/YVH1/URB1/MAK11/DHR2/RPS27A/RPL17A/TIF1/UTP30/RPF2/RPL40B/SPB4/RPL34A/RPS16B/SAS10/NHP2/SSB1/MAK21/RPS13/RRP1/LSM6/RRP17/RPL12B/TIF35/RPS17B/RPL37B/TMA20/CGR1/RPL30/DBP3/SRM1/NSA1/RPS2/RPL1B/ROK1/RPS26A/RAI1/NOP7/RPS23A/RPS0A/UTP10/ALB1/RPL17B/SUI2/RPS5/DRS1/RPL8B/RPS0B/FCF2/FYV7/MDN1/DIP2/RPS31/RPL37A/PWP1/RSA3/RPP0/UTP21/TSR2/RPS1A/RPL6B/RPS17A/RPS1B/RPL6A/ERB1/RPS16A/RRP5/TIF11/RPS7B/DBP2/LSM7/NOP13/RPS3/IPI3/SUI1/RPS19B/NOG2/RPS15/RPS19A/RPL25/RPL3/BUD21/RPS7A/SME1/NOC2/RPB8/RPL33B/PUS7/RPS10A/RPA190/PRT1/NOP4/RPS6A/RPL5/RPL33A/NIP7/RPL1A/RPS23B/RRP9/RPO26/NOP10/EFG1",126
"GO:0006364","rRNA processing","81/602","234/4568",4.30483077204188e-18,1.57664427026034e-15,1.45684536127523e-15,"MAK16/POP5/UTP20/POP8/LSM2/RPS6B/ENP1/KRR1/RPS24A/NSA2/RPS26B/RPL8A/RPS27B/CIC1/UTP9/RIX1/RPS24B/URB1/MAK11/DHR2/RPS27A/RPL17A/UTP30/RPF2/SPB4/RPS16B/SAS10/NHP2/SSB1/RPS13/RRP1/LSM6/RRP17/RPL37B/CGR1/RPL30/DBP3/NSA1/RPS2/RPL1B/ROK1/RPS26A/RAI1/NOP7/RPS23A/RPS0A/UTP10/RPL17B/DRS1/RPL8B/RPS0B/FCF2/FYV7/MDN1/DIP2/RPS31/RPL37A/PWP1/UTP21/TSR2/RPS1A/RPS1B/ERB1/RPS16A/RRP5/RPS7B/DBP2/LSM7/IPI3/RPL3/BUD21/RPS7A/PUS7/NOP4/RPS6A/NIP7/RPL1A/RPS23B/RRP9/NOP10/EFG1",81
"GO:0042273","ribosomal large subunit biogenesis","50/602","106/4568",6.43135594573414e-18,1.8843872921001e-15,1.74120499920297e-15,"MAK16/REI1/RPL12A/NSA2/RPS26B/RPL8A/CIC1/RIX1/RPL40A/YVH1/URB1/MAK11/RPL17A/UTP30/RPF2/RPL40B/SPB4/NHP2/MAK21/RPL12B/RPL37B/DBP3/NSA1/RPL1B/RPS26A/RAI1/NOP7/ALB1/RPL17B/DRS1/RPL8B/MDN1/RPL37A/RSA3/RPP0/TSR2/RPL6B/RPL6A/ERB1/RRP5/IPI3/RPL25/RPL3/NOC2/RPL33B/NOP4/RPL5/RPL33A/NIP7/RPL1A",50
"GO:0042255","ribosome assembly","36/602","61/4568",2.80188418358765e-17,6.84126721492652e-15,6.32144396507671e-15,"RPL12A/RPS26B/RPS27B/RIX1/RPL40A/YVH1/MAK11/RPS27A/RPF2/RPL40B/SPB4/MAK21/RPL12B/RPS17B/RPS26A/RPS0A/RPS5/DRS1/RPS0B/MDN1/RPS31/RSA3/RPP0/RPL6B/RPS17A/RPL6A/RRP5/IPI3/RPS19B/RPS15/RPS19A/RPL25/RPL3/RPS10A/RPL5/NIP7",36
"GO:0009101","glycoprotein biosynthetic process","38/602","74/4568",2.03353973952068e-15,4.25590816913972e-13,3.9325294812385e-13,"PMT2/ALG3/MNN2/ALG14/KTR3/ALG7/WBP1/ANP1/MNN1/KTR7/YSY6/PSA1/PMT5/PMT1/MNN10/STT3/CWH41/OCH1/OST5/MNT2/OST1/MNN11/MNN5/HOC1/PMT4/YEH2/MNL2/OST6/VAN1/SWP1/KTR5/ALG12/OST3/KTR1/OST2/BFR1/MNN9/VMA9",38
"GO:0016072","rRNA metabolic process","83/602","277/4568",2.66298641181528e-14,4.87659386663673e-12,4.50605332315059e-12,"MAK16/POP5/UTP20/POP8/LSM2/RPS6B/ENP1/KRR1/RPS24A/NSA2/RPS26B/RPL8A/RPS27B/CIC1/UTP9/RIX1/RPS24B/URB1/MAK11/DHR2/RPS27A/RPL17A/UTP30/RPF2/SPB4/RPS16B/SAS10/NHP2/SSB1/RPS13/RRP1/LSM6/RRP17/RPL37B/CGR1/RPL30/DBP3/NSA1/RPS2/RPL1B/ROK1/RPS26A/RAI1/NOP7/RPS23A/RPS0A/UTP10/RPL17B/DRS1/RPL8B/RPS0B/FCF2/FYV7/MDN1/DIP2/RPS31/RPL37A/PWP1/UTP21/TSR2/RPS1A/RPS1B/ERB1/RPS16A/RRP5/HHT2/RPS7B/DBP2/LSM7/IPI3/RPL3/BUD21/RPS7A/PUS7/RPA190/NOP4/RPS6A/NIP7/RPL1A/RPS23B/RRP9/NOP10/EFG1",83
"GO:0043604","amide biosynthetic process","115/602","450/4568",5.17980500041528e-14,7.82728909373561e-12,7.23254447605101e-12,"NCL1/HEK2/RPL32/RPL4A/MIS1/GRS1/SUP45/RPS6B/HYP2/RPL12A/RPS24A/RPS26B/RPL8A/DED81/RPS27B/RPL42B/RPS4B/RPL2B/RPL34B/RPS24B/THS1/RPL16A/RPL40A/LAC1/TMA19/TEF4/RPS27A/RPL17A/GCN3/TIF1/RPL40B/RPL2A/RPL34A/RPS29B/RPL13A/RPS16B/RPL41B/RPL41A/SSB1/SES1/LCB2/RPS13/RPP2B/RPL12B/TIF35/RPS17B/RPL37B/TMA20/RPL30/RPL28/RPS2/RPL1B/RPS26A/GCN1/RPS25A/RPS23A/ASN2/RPS0A/RPL17B/RPL39/RPS22A/SUI2/RPS5/RPL8B/RPL15A/RPS0B/RPL22A/STM1/ACS2/RPS31/RPL37A/RPS25B/RPP0/RPS29A/RPS1A/RPL6B/RPS17A/RPS1B/RPL6A/ASC1/RPL13B/RPS16A/TIF11/RPL16B/RPS7B/DBP2/RPL42A/NOP13/RPS3/SUI1/RPS19B/BIO5/RPS15/ARG1/RPS19A/RPL25/DCP1/RPL3/RPS7A/GLN4/RPL33B/CAF20/RPS10A/PRT1/RPS12/RPS6A/RPL5/RPL33A/RPL1A/RPL43A/SPE3/RPS23B/RPL29/RPL36B/TMA7",115
"GO:0009100","glycoprotein metabolic process","38/602","80/4568",5.34285944964888e-14,7.82728909373561e-12,7.23254447605101e-12,"PMT2/ALG3/MNN2/ALG14/KTR3/ALG7/WBP1/ANP1/MNN1/KTR7/YSY6/PSA1/PMT5/PMT1/MNN10/STT3/CWH41/OCH1/OST5/MNT2/OST1/MNN11/MNN5/HOC1/PMT4/YEH2/MNL2/OST6/VAN1/SWP1/KTR5/ALG12/OST3/KTR1/OST2/BFR1/MNN9/VMA9",38
