"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","87/375","329/4568",2.18129033993731e-25,2.82040840953894e-22,2.60377183735675e-22,"MAK16/ECM1/UTP20/POP8/LSM2/SPB1/KRR1/NOP16/NUG1/ARB1/NSA2/CIC1/SSZ1/LRP1/RPC10/NMD3/RIX1/BMT5/YVH1/URB1/MAK11/DHR2/RRP14/UTP11/LTV1/RPF2/LOC1/NOP14/SAS10/NHP2/NOP6/SSB1/FAL1/MAK21/RRP1/BCP1/RRP17/TOM1/CGR1/RPL30/DBP3/LSG1/NSA1/ROK1/RAI1/NOP7/ENP2/NSR1/SDA1/PXR1/ZUO1/NOP9/MTR4/UTP10/ALB1/MPP10/FCF2/FYV7/MDN1/PWP1/RSA3/DBP9/ERB1/RRP5/RNT1/RLP7/NOP2/DBP2/KRE33/IPI3/NOG2/NOC2/PUS7/RRS1/RPA190/RRP12/NOP4/NOP53/RSA1/NIP7/RPL1A/DIM1/TIF6/RRP15/RPO26/NOP10/EFG1",87
"GO:0006364","rRNA processing","70/375","234/4568",9.77830351801467e-24,6.32167322439649e-21,5.83610325759402e-21,"MAK16/UTP20/POP8/LSM2/SPB1/KRR1/NOP16/NUG1/NSA2/CIC1/SSZ1/LRP1/RIX1/BMT5/URB1/MAK11/DHR2/RRP14/UTP11/RPF2/LOC1/NOP14/SAS10/NHP2/NOP6/SSB1/FAL1/RRP1/RRP17/TOM1/CGR1/RPL30/DBP3/NSA1/ROK1/RAI1/NOP7/ENP2/NSR1/PXR1/ZUO1/NOP9/MTR4/UTP10/MPP10/FCF2/FYV7/MDN1/PWP1/DBP9/ERB1/RRP5/RNT1/RLP7/NOP2/DBP2/KRE33/IPI3/PUS7/RRS1/RRP12/NOP4/NOP53/NIP7/RPL1A/DIM1/TIF6/RRP15/NOP10/EFG1",70
"GO:0022613","ribonucleoprotein complex biogenesis","94/375","411/4568",2.0630289421287e-22,8.89165474057468e-20,8.20868358025944e-20,"MAK16/ECM1/UTP20/POP8/LSM2/SPB1/KRR1/NOP16/NUG1/ARB1/NSA2/CIC1/SSZ1/LRP1/RPC10/PRP8/NMD3/RIX1/BMT5/YVH1/URB1/MAK11/DHR2/RRP14/UTP11/LTV1/RPF2/LOC1/NOP14/SAS10/NHP2/NOP6/SSB1/FAL1/MAK21/RRP1/BCP1/RRP17/TOM1/CGR1/RPL30/DBP3/LSG1/NSA1/ROK1/RAI1/NOP7/ENP2/NSR1/SDA1/PXR1/ZUO1/NOP9/MTR4/UTP10/ALB1/MPP10/SUI2/FCF2/FYV7/MDN1/PWP1/RSA3/DBP9/ERB1/TIF34/RRP5/RNT1/TIF11/RLP7/NOP2/DBP2/KRE33/NOP13/IPI3/SUI1/NOG2/NOC2/PUS7/RRS1/RPA190/RRP12/NOP4/NOP53/RSA1/NIP7/RPL1A/SUI3/DIM1/TIF6/RRP15/RPO26/NOP10/EFG1",94
"GO:0034470","ncRNA processing","82/375","348/4568",2.61497856293005e-20,8.45291820467138e-18,7.80364655358598e-18,"MAK16/UTP20/POP8/LSM2/SPB1/KRR1/NOP16/NUG1/NSA2/CIC1/SSZ1/LRP1/RIX1/BMT5/URB1/MAK11/DHR2/RRP14/UTP11/RPF2/LOC1/TRM3/NOP14/SAS10/TRM8/NHP2/NOP6/SSB1/FAL1/RPC11/RRP1/RRP17/TOM1/CGR1/RPL30/PUS2/DBP3/NSA1/SUA5/ROK1/RAI1/NOP7/ENP2/NSR1/PXR1/ZUO1/NOP9/TAD2/MTR4/UTP10/MPP10/FCF2/FYV7/MDN1/USB1/PWP1/DBP9/ERB1/RRP5/RNT1/TRM732/RLP7/NOP2/DBP2/NCS2/KRE33/IPI3/NRD1/PUS7/RRS1/RRP12/NOP4/ELP3/NOP53/TYW1/NIP7/RPL1A/DIM1/TIF6/RRP15/NOP10/EFG1",82
"GO:0016072","rRNA metabolic process","71/375","277/4568",9.48677903452591e-20,2.4532810583284e-17,2.26484366845313e-17,"MAK16/UTP20/POP8/LSM2/SPB1/KRR1/NOP16/NUG1/NSA2/CIC1/SSZ1/LRP1/RIX1/BMT5/URB1/MAK11/DHR2/RRP14/UTP11/RPF2/LOC1/NOP14/SAS10/NHP2/NOP6/SSB1/FAL1/RRP1/RRP17/TOM1/CGR1/RPL30/DBP3/NSA1/ROK1/RAI1/NOP7/ENP2/NSR1/PXR1/ZUO1/NOP9/MTR4/UTP10/MPP10/FCF2/FYV7/MDN1/PWP1/DBP9/ERB1/RRP5/RNT1/RLP7/NOP2/DBP2/KRE33/IPI3/PUS7/RRS1/RPA190/RRP12/NOP4/NOP53/NIP7/RPL1A/DIM1/TIF6/RRP15/NOP10/EFG1",71
"GO:0042273","ribosomal large subunit biogenesis","40/375","106/4568",9.16492646146202e-18,1.97504165244507e-15,1.82333800128034e-15,"MAK16/SPB1/NOP16/NUG1/NSA2/CIC1/RIX1/YVH1/URB1/MAK11/RRP14/RPF2/LOC1/NHP2/MAK21/TOM1/DBP3/LSG1/NSA1/RAI1/NOP7/SDA1/ALB1/MDN1/RSA3/DBP9/ERB1/RRP5/RLP7/NOP2/IPI3/NOC2/RRS1/NOP4/NOP53/RSA1/NIP7/RPL1A/TIF6/RRP15",40
"GO:0034660","ncRNA metabolic process","87/375","447/4568",7.35587078769779e-16,1.35873441835618e-13,1.25436954484952e-13,"MAK16/UTP20/POP8/LSM2/SPB1/KRR1/NOP16/NUG1/NSA2/CIC1/SSZ1/LRP1/RPC10/RIX1/BMT5/URB1/MAK11/DHR2/RRP14/UTP11/RPF2/LOC1/TRM3/NOP14/SAS10/TRM8/NHP2/NOP6/SSB1/FAL1/RPC11/RRP1/RRP17/TOM1/CGR1/RPL30/PUS2/DBP3/NSA1/SUA5/ROK1/RAI1/NOP7/ENP2/NSR1/PXR1/ZUO1/NOP9/TAD2/MTR4/UTP10/MPP10/FCF2/FYV7/MDN1/USB1/PWP1/DBP9/ERB1/RRP5/RNT1/TRM732/RLP7/NOP2/DBP2/NCS2/KRE33/RPC31/IPI3/NRD1/RPC34/PUS7/RRS1/RPA190/RRP12/NOP4/ELP3/NOP53/TYW1/NIP7/RPL1A/DIM1/TIF6/RRP15/RPO26/NOP10/EFG1",87
"GO:0000460","maturation of 5.8S rRNA","30/375","77/4568",5.17829917009868e-14,7.43948980770844e-12,6.86805995192036e-12,"MAK16/UTP20/SPB1/KRR1/NSA2/CIC1/LRP1/URB1/MAK11/UTP11/RPF2/LOC1/NOP14/SAS10/TOM1/DBP3/ROK1/RAI1/NOP7/NOP9/MTR4/UTP10/MPP10/FCF2/ERB1/RRP5/RLP7/RRS1/TIF6/RRP15",30
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","30/375","77/4568",5.17829917009868e-14,7.43948980770844e-12,6.86805995192036e-12,"MAK16/UTP20/SPB1/KRR1/NSA2/CIC1/LRP1/URB1/MAK11/UTP11/RPF2/LOC1/NOP14/SAS10/TOM1/DBP3/ROK1/RAI1/NOP7/NOP9/MTR4/UTP10/MPP10/FCF2/ERB1/RRP5/RLP7/RRS1/TIF6/RRP15",30
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","22/375","46/4568",9.03874924579237e-13,1.16871027748095e-10,1.0789412257609e-10,"MAK16/SPB1/NUG1/NSA2/CIC1/URB1/MAK11/RPF2/TOM1/DBP3/RAI1/NOP7/DBP9/ERB1/RRP5/RLP7/NOP2/NOP4/NOP53/NIP7/TIF6/RRP15",22
"GO:0000470","maturation of LSU-rRNA","24/375","55/4568",1.00118451034426e-12,1.17684688352285e-10,1.08645285620134e-10,"MAK16/SPB1/NUG1/NSA2/CIC1/URB1/MAK11/RPF2/NHP2/TOM1/DBP3/RAI1/NOP7/DBP9/ERB1/RRP5/RLP7/NOP2/NOP4/NOP53/NIP7/RPL1A/TIF6/RRP15",24
"GO:0000054","ribosomal subunit export from nucleus","19/375","49/4568",2.85520716708008e-09,3.07648572252879e-07,2.84017976093755e-07,"ECM1/NUG1/ARB1/NMD3/YVH1/LTV1/LOC1/SSB1/BCP1/LSG1/SDA1/ZUO1/NOP9/MDN1/NOG2/RRS1/NOP53/RPL1A/TIF6",19
"GO:0033750","ribosome localization","19/375","50/4568",4.26297841429065e-09,4.24002391513677e-07,3.9143461715025e-07,"ECM1/NUG1/ARB1/NMD3/YVH1/LTV1/LOC1/SSB1/BCP1/LSG1/SDA1/ZUO1/NOP9/MDN1/NOG2/RRS1/NOP53/RPL1A/TIF6",19
"GO:0000469","cleavage involved in rRNA processing","22/375","68/4568",8.38951577673476e-09,7.74831707094146e-07,7.15316608332122e-07,"UTP20/KRR1/CIC1/LRP1/UTP11/LOC1/NOP14/SAS10/NHP2/TOM1/DBP3/ROK1/RAI1/NOP9/MTR4/UTP10/MPP10/FCF2/RRP5/RLP7/RRS1/NOP10",22
"GO:0000967","rRNA 5'-end processing","13/375","27/4568",4.35430819498268e-08,3.51882531007038e-06,3.2485430875726e-06,"UTP20/UTP11/LOC1/NOP14/SAS10/TOM1/ROK1/NOP9/UTP10/MPP10/FCF2/RRP5/RLP7",13
"GO:0034471","ncRNA 5'-end processing","13/375","27/4568",4.35430819498268e-08,3.51882531007038e-06,3.2485430875726e-06,"UTP20/UTP11/LOC1/NOP14/SAS10/TOM1/ROK1/NOP9/UTP10/MPP10/FCF2/RRP5/RLP7",13
"GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","14/375","32/4568",5.96624405982381e-08,4.53785504079541e-06,4.18930078256359e-06,"UTP20/KRR1/UTP11/LOC1/NOP14/SAS10/TOM1/ROK1/NOP9/UTP10/MPP10/FCF2/RRP5/RRS1",14
"GO:0031503","protein-containing complex localization","21/375","70/4568",8.2106514618853e-08,5.89798463345427e-06,5.44495833788183e-06,"ECM1/NUG1/ARB1/NMD3/YVH1/LTV1/BLM10/LOC1/SSB1/BCP1/LSG1/SDA1/ZUO1/NOP9/MDN1/CDC42/NOG2/RRS1/NOP53/RPL1A/TIF6",21
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","22/375","78/4568",1.36875035595077e-07,9.31470636970705e-06,8.59924046342475e-06,"UTP20/KRR1/DHR2/UTP11/LOC1/NOP14/SAS10/FAL1/TOM1/ROK1/NOP7/ENP2/NOP9/UTP10/MPP10/FCF2/FYV7/RRP5/RRS1/RRP12/DIM1/EFG1",22
"GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","12/375","25/4568",1.53541907546155e-07,9.92648432285895e-06,9.16402753459685e-06,"UTP20/UTP11/LOC1/NOP14/SAS10/TOM1/ROK1/NOP9/UTP10/MPP10/FCF2/RRP5",12
"GO:0000478","endonucleolytic cleavage involved in rRNA processing","16/375","45/4568",2.18780775597334e-07,1.26332329935714e-05,1.16628698780559e-05,"UTP20/KRR1/UTP11/LOC1/NOP14/SAS10/TOM1/DBP3/ROK1/RAI1/NOP9/UTP10/MPP10/FCF2/RRP5/RRS1",16
"GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","16/375","45/4568",2.18780775597334e-07,1.26332329935714e-05,1.16628698780559e-05,"UTP20/KRR1/UTP11/LOC1/NOP14/SAS10/TOM1/DBP3/ROK1/RAI1/NOP9/UTP10/MPP10/FCF2/RRP5/RRS1",16
