"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030476","ascospore wall assembly","12/91","44/4568",2.33555533713436e-11,3.47318790189086e-09,2.89180346085412e-09,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0042244","spore wall assembly","12/91","44/4568",2.33555533713436e-11,3.47318790189086e-09,2.89180346085412e-09,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0070590","spore wall biogenesis","12/91","45/4568",3.13370337012709e-11,3.47318790189086e-09,2.89180346085412e-09,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0070591","ascospore wall biogenesis","12/91","45/4568",3.13370337012709e-11,3.47318790189086e-09,2.89180346085412e-09,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0070726","cell wall assembly","12/91","45/4568",3.13370337012709e-11,3.47318790189086e-09,2.89180346085412e-09,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0071940","fungal-type cell wall assembly","12/91","45/4568",3.13370337012709e-11,3.47318790189086e-09,2.89180346085412e-09,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0010927","cellular component assembly involved in morphogenesis","12/91","65/4568",3.17377360461033e-09,3.01508492437981e-07,2.51038333236847e-07,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0032989","cellular component morphogenesis","12/91","68/4568",5.46539546068365e-09,3.62363216797895e-07,3.01706453558675e-07,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0045229","external encapsulating structure organization","20/91","220/4568",5.97853277242587e-09,3.62363216797895e-07,3.01706453558675e-07,"LDS1/TIP1/ECM8/DTR1/RRT12/PAU3/TIR1/SSP1/YVH1/FAT3/DIT2/SPS2/SPS1/AMA1/LOH1/PGU1/CRR1/PAU4/TIR4/OSW1",20
"GO:0071555","cell wall organization","20/91","220/4568",5.97853277242587e-09,3.62363216797895e-07,3.01706453558675e-07,"LDS1/TIP1/ECM8/DTR1/RRT12/PAU3/TIR1/SSP1/YVH1/FAT3/DIT2/SPS2/SPS1/AMA1/LOH1/PGU1/CRR1/PAU4/TIR4/OSW1",20
"GO:0031505","fungal-type cell wall organization","18/91","176/4568",5.99397802222082e-09,3.62363216797895e-07,3.01706453558675e-07,"LDS1/TIP1/DTR1/RRT12/PAU3/TIR1/SSP1/YVH1/FAT3/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/PAU4/TIR4/OSW1",18
"GO:0009272","fungal-type cell wall biogenesis","12/91","77/4568",2.38325402989878e-08,1.32071994156891e-06,1.09964177169014e-06,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0006188","IMP biosynthetic process","6/91","12/4568",4.44611741956864e-08,2.2743600646255e-06,1.89365001027782e-06,"ADE1/ADE5,7/ADE13/ADE17/ADE4/ADE2",6
"GO:0071852","fungal-type cell wall organization or biogenesis","18/91","203/4568",5.7856245125012e-08,2.74817164343807e-06,2.28814924328995e-06,"LDS1/TIP1/DTR1/RRT12/PAU3/TIR1/SSP1/YVH1/FAT3/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/PAU4/TIR4/OSW1",18
"GO:0046040","IMP metabolic process","6/91","13/4568",8.12532479622056e-08,3.60222732632445e-06,2.99924269671018e-06,"ADE1/ADE5,7/ADE13/ADE17/ADE4/ADE2",6
"GO:0071554","cell wall organization or biogenesis","20/91","260/4568",1.04331753362188e-07,4.33628849911596e-06,3.6104277808231e-06,"LDS1/TIP1/ECM8/DTR1/RRT12/PAU3/TIR1/SSP1/YVH1/FAT3/DIT2/SPS2/SPS1/AMA1/LOH1/PGU1/CRR1/PAU4/TIR4/OSW1",20
"GO:0030437","ascospore formation","12/91","102/4568",5.83529547142291e-07,2.15581749360902e-05,1.79495053682366e-05,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0048468","cell development","12/91","102/4568",5.83529547142291e-07,2.15581749360902e-05,1.79495053682366e-05,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0042546","cell wall biogenesis","12/91","103/4568",6.49815995250357e-07,2.27435598337625e-05,1.89364661219772e-05,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0034293","sexual sporulation","12/91","107/4568",9.86964400535204e-07,2.93440040496557e-05,2.44320476931047e-05,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0043935","sexual sporulation resulting in formation of a cellular spore","12/91","107/4568",9.86964400535204e-07,2.93440040496557e-05,2.44320476931047e-05,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0009653","anatomical structure morphogenesis","16/91","195/4568",1.01490540322117e-06,2.93440040496557e-05,2.44320476931047e-05,"LDS1/DTR1/RRT12/SPO11/SSP1/YVH1/BDF2/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/PSD1/OSW1/OPT2",16
"GO:0048856","anatomical structure development","16/91","195/4568",1.01490540322117e-06,2.93440040496557e-05,2.44320476931047e-05,"LDS1/DTR1/RRT12/SPO11/SSP1/YVH1/BDF2/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/PSD1/OSW1/OPT2",16
"GO:0009127","purine nucleoside monophosphate biosynthetic process","6/91","19/4568",1.16658235482441e-06,3.10310906383294e-05,2.58367292057954e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE4/ADE2",6
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process","6/91","19/4568",1.16658235482441e-06,3.10310906383294e-05,2.58367292057954e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE4/ADE2",6
"GO:0030435","sporulation resulting in formation of a cellular spore","14/91","153/4568",1.41845844268614e-06,3.62798024763955e-05,3.02068478078101e-05,"LDS1/DTR1/RRT12/SPO11/SSP1/YVH1/BDF2/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",14
"GO:0043934","sporulation","14/91","157/4568",1.9391285589922e-06,4.77600182122154e-05,3.97653653812826e-05,"LDS1/DTR1/RRT12/SPO11/SSP1/YVH1/BDF2/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",14
"GO:0009126","purine nucleoside monophosphate metabolic process","6/91","21/4568",2.25938989319583e-06,5.181014755087e-05,4.31375348029404e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE4/ADE2",6
"GO:0009167","purine ribonucleoside monophosphate metabolic process","6/91","21/4568",2.25938989319583e-06,5.181014755087e-05,4.31375348029404e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE4/ADE2",6
"GO:0048646","anatomical structure formation involved in morphogenesis","14/91","160/4568",2.43558389004594e-06,5.39887762293516e-05,4.49514781110233e-05,"LDS1/DTR1/RRT12/SPO11/SSP1/YVH1/BDF2/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",14
"GO:0032502","developmental process","16/91","224/4568",6.36682865047013e-06,0.000136578743631053,0.000113716532093286,"LDS1/DTR1/RRT12/SPO11/SSP1/YVH1/BDF2/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/PSD1/OSW1/OPT2",16
"GO:0030154","cell differentiation","14/91","176/4568",7.53741231870556e-06,0.0001566368497481,0.000130417068409182,"LDS1/DTR1/RRT12/SPO11/SSP1/YVH1/BDF2/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",14
"GO:0022413","reproductive process in single-celled organism","12/91","130/4568",7.88816842876994e-06,0.000158958545610061,0.000132350130575215,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0003006","developmental process involved in reproduction","12/91","137/4568",1.35726328624658e-05,0.000265464730986464,0.000221028015035821,"LDS1/DTR1/RRT12/SSP1/YVH1/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",12
"GO:0048869","cellular developmental process","14/91","186/4568",1.43039045836229e-05,0.000271774187088836,0.000226281317623629,"LDS1/DTR1/RRT12/SPO11/SSP1/YVH1/BDF2/DIT2/SPS2/SPS1/AMA1/LOH1/CRR1/OSW1",14
"GO:1903046","meiotic cell cycle process","16/91","258/4568",3.79980071485153e-05,0.00068366754608688,0.00056922695566553,"LDS1/DTR1/RRT12/MAM1/SPO11/SSP1/HOP1/YVH1/DIT2/SPS2/SPS1/HFM1/AMA1/LOH1/CRR1/OSW1",16
