"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042273","ribosomal large subunit biogenesis","32/275","127/5135",4.25767102080596e-14,5.69250615481757e-11,5.53049056807848e-11,"SPB1/SPB4/NOP12/NSA1/NOP7/RIX1/DBP9/GRC3/DBP10/ERB1/DRS1/HAS1/DBP7/DBP3/JIP5/RLP7/NUG1/URB1/NOC2/NHP2/POL5/SDA1/PRP43/CIC1/RPF2/NOP2/RRP5/TSR2/RSA4/MDN1/NOG1/MAK21",32
"GO:0006364","rRNA processing","50/275","314/5135",7.04505340061804e-13,3.89341093741115e-10,3.78259976913385e-10,"SPB1/SPB4/NOP12/NOP58/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/HAS1/DBP7/DBP3/NOP14/NOP9/GAR1/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/RRP12/NHP2/POL5/ECM16/PRP43/CIC1/RPF2/UTP4/NOP2/RRP5/UTP22/TSR2/MDN1/NOG1/UTP8/LSM2/MSS116/UTP20",50
"GO:0042254","ribosome biogenesis","60/275","429/5135",8.73615019613572e-13,3.89341093741115e-10,3.78259976913385e-10,"SPB1/SPB4/NOP12/NOP58/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/ARX1/DBP10/GEP3/ERB1/DRS1/HAS1/DBP7/DBP3/NOP14/NOP9/GAR1/JIP5/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/SGD1/NOC2/RRP12/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/RPF2/UTP4/NOP2/RRP5/UTP22/TSR2/RSA4/RPA135/MDN1/NEW1/NOG1/UTP8/LSM2/MAK21/MSS116/NOG2/UTP20",60
"GO:0000470","maturation of LSU-rRNA","21/275","62/5135",2.40500959951237e-12,8.03874458637009e-10,7.8099522257849e-10,"SPB1/SPB4/NOP12/NOP7/DBP9/GRC3/DBP10/ERB1/HAS1/DBP7/DBP3/RLP7/NUG1/URB1/NHP2/PRP43/CIC1/RPF2/NOP2/RRP5/TSR2",21
"GO:0034470","ncRNA processing","59/275","433/5135",4.45896092845165e-12,1.19232615226797e-09,1.15839111278091e-09,"SPB1/SPB4/TRM82/NOP12/NOP58/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/HAS1/DBP7/CWC24/DBP3/NOP14/NOP9/GAR1/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/TUM1/RRP17/RRP42/URB1/RTT10/RRP12/NHP2/POL5/ECM16/PRP43/CIC1/RPF2/FMT1/UTP4/NOP2/RRP5/UTP22/TSR2/TAD1/IKI3/MDN1/NOG1/UTP8/LSM2/TRM732/MSS116/UTP20/TRZ1",59
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","19/275","52/5135",5.88095603896479e-12,1.31047303734932e-09,1.2731753951022e-09,"SPB1/NOP12/NOP7/DBP9/GRC3/DBP10/ERB1/HAS1/DBP7/DBP3/RLP7/NUG1/URB1/PRP43/CIC1/RPF2/NOP2/RRP5/TSR2",19
"GO:0016072","rRNA metabolic process","51/275","363/5135",5.43578897104329e-11,1.03823569346927e-08,1.00868625417555e-08,"SPB1/SPB4/NOP12/NOP58/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/HAS1/DBP7/DBP3/NOP14/NOP9/GAR1/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/RRP12/NHP2/POL5/ECM16/PRP43/CIC1/RPF2/UTP4/NOP2/RRP5/UTP22/TSR2/RPA135/MDN1/NOG1/UTP8/LSM2/MSS116/UTP20",51
"GO:0000460","maturation of 5.8S rRNA","18/275","92/5135",1.21576265500323e-06,0.000180608296637701,0.00017546796681567,"SPB1/NOP58/UTP10/NOP7/GRC3/DBP10/ERB1/DBP3/NOP14/NOP9/RLP7/RRP42/URB1/PRP43/CIC1/RPF2/RRP5/UTP20",18
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","18/275","92/5135",1.21576265500323e-06,0.000180608296637701,0.00017546796681567,"SPB1/NOP58/UTP10/NOP7/GRC3/DBP10/ERB1/DBP3/NOP14/NOP9/RLP7/RRP42/URB1/PRP43/CIC1/RPF2/RRP5/UTP20",18
"GO:0042274","ribosomal small subunit biogenesis","22/275","145/5135",7.02754270653603e-06,0.000939582459863867,0.000912840810512153,"NOP58/UTP10/UTP25/NOP7/GEP3/HAS1/NOP14/NOP9/UTP21/RIO2/NOP6/SGD1/RRP12/ECM16/PRP43/UTP4/RRP5/UTP22/TSR2/NEW1/UTP8/UTP20",22
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","17/275","106/5135",3.86110368301436e-05,0.00469299602199109,0.00455942769841122,"NOP58/UTP10/UTP25/NOP7/HAS1/NOP14/NOP9/RIO2/RRP12/ECM16/PRP43/UTP4/RRP5/UTP22/TSR2/UTP8/UTP20",17
"GO:0030490","maturation of SSU-rRNA","18/275","118/5135",4.56465508409016e-05,0.00508578653952379,0.00494103892435724,"NOP58/UTP10/UTP25/NOP7/GEP3/HAS1/NOP14/NOP9/RIO2/RRP12/ECM16/PRP43/UTP4/RRP5/UTP22/TSR2/UTP8/UTP20",18
"GO:1902626","assembly of large subunit precursor of preribosome","5/275","10/5135",8.57368106663669e-05,0.00881770122007173,0.00856673881476087,"SPB4/DBP10/RPF2/NOP2/NOG1",5
