"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","60/132","429/5135",3.89611228445946e-31,3.14416261355878e-28,2.95694416536344e-28,"SPB1/SPB4/NOP12/NOP58/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/ARX1/DBP10/GEP3/ERB1/DRS1/HAS1/DBP7/DBP3/NOP14/NOP9/GAR1/JIP5/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/SGD1/NOC2/RRP12/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/RPF2/UTP4/NOP2/RRP5/UTP22/TSR2/RSA4/RPA135/MDN1/NEW1/NOG1/UTP8/LSM2/MAK21/MSS116/NOG2/UTP20",60
"GO:0006364","rRNA processing","50/132","314/5135",4.43632947031093e-28,1.79005894127046e-25,1.68347028847062e-25,"SPB1/SPB4/NOP12/NOP58/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/HAS1/DBP7/DBP3/NOP14/NOP9/GAR1/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/RRP12/NHP2/POL5/ECM16/PRP43/CIC1/RPF2/UTP4/NOP2/RRP5/UTP22/TSR2/MDN1/NOG1/UTP8/LSM2/MSS116/UTP20",50
"GO:0034470","ncRNA processing","56/132","433/5135",5.94518301717488e-27,1.59925423162004e-24,1.5040270018888e-24,"SPB1/SPB4/TRM82/NOP12/NOP58/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/HAS1/DBP7/CWC24/DBP3/NOP14/NOP9/GAR1/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/RTT10/RRP12/NHP2/POL5/ECM16/PRP43/CIC1/RPF2/UTP4/NOP2/RRP5/UTP22/TSR2/IKI3/MDN1/NOG1/UTP8/LSM2/TRM732/MSS116/UTP20/TRZ1",56
"GO:0016072","rRNA metabolic process","51/132","363/5135",5.24931457878643e-26,1.05904921627016e-23,9.95988371396056e-24,"SPB1/SPB4/NOP12/NOP58/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/HAS1/DBP7/DBP3/NOP14/NOP9/GAR1/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/RRP12/NHP2/POL5/ECM16/PRP43/CIC1/RPF2/UTP4/NOP2/RRP5/UTP22/TSR2/RPA135/MDN1/NOG1/UTP8/LSM2/MSS116/UTP20",51
"GO:0042273","ribosomal large subunit biogenesis","32/132","127/5135",4.26476717170508e-24,6.883334215132e-22,6.47346764378813e-22,"SPB1/SPB4/NOP12/NSA1/NOP7/RIX1/DBP9/GRC3/DBP10/ERB1/DRS1/HAS1/DBP7/DBP3/JIP5/RLP7/NUG1/URB1/NOC2/NHP2/POL5/SDA1/PRP43/CIC1/RPF2/NOP2/RRP5/TSR2/RSA4/MDN1/NOG1/MAK21",32
"GO:0000470","maturation of LSU-rRNA","21/132","62/5135",6.16584652632809e-19,8.29306357791128e-17,7.79925499207465e-17,"SPB1/SPB4/NOP12/NOP7/DBP9/GRC3/DBP10/ERB1/HAS1/DBP7/DBP3/RLP7/NUG1/URB1/NHP2/PRP43/CIC1/RPF2/NOP2/RRP5/TSR2",21
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","19/132","52/5135",6.20169113867953e-18,7.14966392702055e-16,6.7239388135157e-16,"SPB1/NOP12/NOP7/DBP9/GRC3/DBP10/ERB1/HAS1/DBP7/DBP3/RLP7/NUG1/URB1/PRP43/CIC1/RPF2/NOP2/RRP5/TSR2",19
"GO:0042274","ribosomal small subunit biogenesis","22/132","145/5135",7.67480276677297e-12,7.13515811587839e-10,6.71029674760101e-10,"NOP58/UTP10/UTP25/NOP7/GEP3/HAS1/NOP14/NOP9/UTP21/RIO2/NOP6/SGD1/RRP12/ECM16/PRP43/UTP4/RRP5/UTP22/TSR2/NEW1/UTP8/UTP20",22
"GO:0000460","maturation of 5.8S rRNA","18/132","92/5135",8.84158378671423e-12,7.13515811587839e-10,6.71029674760101e-10,"SPB1/NOP58/UTP10/NOP7/GRC3/DBP10/ERB1/DBP3/NOP14/NOP9/RLP7/RRP42/URB1/PRP43/CIC1/RPF2/RRP5/UTP20",18
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","18/132","92/5135",8.84158378671423e-12,7.13515811587839e-10,6.71029674760101e-10,"SPB1/NOP58/UTP10/NOP7/GRC3/DBP10/ERB1/DBP3/NOP14/NOP9/RLP7/RRP42/URB1/PRP43/CIC1/RPF2/RRP5/UTP20",18
"GO:0030490","maturation of SSU-rRNA","18/132","118/5135",6.73869733772191e-10,4.94375341049235e-08,4.64937873731818e-08,"NOP58/UTP10/UTP25/NOP7/GEP3/HAS1/NOP14/NOP9/RIO2/RRP12/ECM16/PRP43/UTP4/RRP5/UTP22/TSR2/UTP8/UTP20",18
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","17/132","106/5135",9.3755288318425e-10,6.30504313941408e-08,5.92961077873548e-08,"NOP58/UTP10/UTP25/NOP7/HAS1/NOP14/NOP9/RIO2/RRP12/ECM16/PRP43/UTP4/RRP5/UTP22/TSR2/UTP8/UTP20",17
"GO:0000469","cleavage involved in rRNA processing","13/132","83/5135",1.35173619014305e-07,8.39116234958035e-06,7.89151249468132e-06,"NOP58/UTP10/GRC3/DBP3/NOP14/NOP9/NOP10/RLP7/RRP42/NHP2/CIC1/RRP5/UTP20",13
"GO:0000027","ribosomal large subunit assembly","9/132","43/5135",1.00327129073129e-06,5.78314236871535e-05,5.43878647080646e-05,"SPB4/RIX1/DRS1/POL5/RPF2/RRP5/RSA4/MDN1/MAK21",9
"GO:1902626","assembly of large subunit precursor of preribosome","5/132","10/5135",2.36540785380218e-06,0.000127258942534557,0.00011968133772571,"SPB4/DBP10/RPF2/NOP2/NOG1",5
"GO:0071826","ribonucleoprotein complex subunit organization","17/132","184/5135",3.67012688136883e-06,0.00018511202457904,0.00017408957114914,"SPB4/RIX1/DBP2/DBP10/DRS1/CWC24/HSH155/POL5/PRP43/RPF2/NOP2/RRP5/NOP13/RSA4/MDN1/NOG1/MAK21",17
"GO:0022618","ribonucleoprotein complex assembly","16/132","178/5135",1.03542818032292e-05,0.000491523847953294,0.000462256172144166,"SPB4/RIX1/DBP2/DBP10/DRS1/CWC24/HSH155/POL5/RPF2/NOP2/RRP5/NOP13/RSA4/MDN1/NOG1/MAK21",16
"GO:0090501","RNA phosphodiester bond hydrolysis","14/132","147/5135",1.99918077290945e-05,0.000896299379854402,0.000842929436998662,"NOP58/UTP10/GRC3/DBP3/NOP14/NOP9/NOP10/RLP7/RRP42/NHP2/CIC1/RRP5/UTP20/TRZ1",14
"GO:0000967","rRNA 5'-end processing","7/132","37/5135",3.42199022476914e-05,0.00138077305569435,0.00129855523792555,"NOP58/UTP10/NOP14/NOP9/RLP7/RRP5/UTP20",7
"GO:0034471","ncRNA 5'-end processing","7/132","37/5135",3.42199022476914e-05,0.00138077305569435,0.00129855523792555,"NOP58/UTP10/NOP14/NOP9/RLP7/RRP5/UTP20",7
"GO:0040031","snRNA modification","4/132","10/5135",7.77151521833633e-05,0.00298648227676068,0.0028086528683812,"GAR1/NOP10/NHP2/CIC1",4
"GO:0000478","endonucleolytic cleavage involved in rRNA processing","8/132","59/5135",0.000113415073980208,0.00397938976965337,0.00374243791028512,"NOP58/UTP10/GRC3/DBP3/NOP14/NOP9/RRP5/UTP20",8
"GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","8/132","59/5135",0.000113415073980208,0.00397938976965337,0.00374243791028512,"NOP58/UTP10/GRC3/DBP3/NOP14/NOP9/RRP5/UTP20",8
"GO:0000966","RNA 5'-end processing","7/132","46/5135",0.000146722667658,0.00493354970000023,0.00463978260444814,"NOP58/UTP10/NOP14/NOP9/RLP7/RRP5/UTP20",7
"GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/132","33/5135",0.000161143784615275,0.00520172136738107,0.00489198605084686,"NOP58/UTP10/NOP14/NOP9/RRP5/UTP20",6
"GO:0036260","RNA capping","7/132","47/5135",0.00016875135874458,0.00523778255795676,0.00492589998602599,"NOP58/UTP10/NOP14/NOP9/RLP7/RRP5/UTP20",7
"GO:0042255","ribosome assembly","9/132","80/5135",0.000184501812816424,0.00551455418306867,0.00518619130762735,"SPB4/RIX1/DRS1/POL5/RPF2/RRP5/RSA4/MDN1/MAK21",9
"GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/132","35/5135",0.000226400564651909,0.0065251877026461,0.00613664688398597,"NOP58/UTP10/NOP14/NOP9/RRP5/UTP20",6
"GO:0000054","ribosomal subunit export from nucleus","7/132","53/5135",0.000363831901855975,0.0101245636137163,0.0095216987745248,"ARX1/NOP9/NUG1/SDA1/MDN1/NOG1/NOG2",7
"GO:0033750","ribosome localization","7/132","54/5135",0.000409190100829906,0.0110072137123245,0.0103517916736268,"ARX1/NOP9/NUG1/SDA1/MDN1/NOG1/NOG2",7
"GO:0098655","cation transmembrane transport","13/132","175/5135",0.00049941360113337,0.0130008637456332,0.0122267302688339,"CAN1/AGP2/SIT1/PHM7/FTH1/MPH3/YMC1/FTR1/GDT1/PMC1/ZRT3/MEP3/KHA1",13
"GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic","9/132","93/5135",0.00057722534721637,0.0145569017251128,0.0136901143204935,"NOP58/UTP10/GRC3/DBP3/NOP14/NOP9/RRP5/UTP20/TRZ1",9
"GO:0090305","nucleic acid phosphodiester bond hydrolysis","15/132","230/5135",0.000738418131220105,0.0180576797543826,0.0169824393176937,"NOP58/UTP10/GRC3/DBP3/NOP14/NOP9/NOP10/RLP7/RRP42/NHP2/CIC1/RRP5/SPO11/UTP20/TRZ1",15
"GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/132","45/5135",0.000920387325626306,0.021845663875895,0.0205448687856522,"NOP58/UTP10/NOP14/NOP9/RRP5/UTP20",6
"GO:0016073","snRNA metabolic process","5/132","34/5135",0.00158982860930002,0.0366569053630034,0.0344741782648215,"GAR1/NOP10/RRP42/NHP2/CIC1",5
"GO:0006360","transcription by RNA polymerase I","7/132","69/5135",0.0018109618830431,0.0405957288782162,0.0381784654290666,"UTP10/GRC3/SCH9/UTP4/RRN3/RPA135/UTP8",7
"GO:0051168","nuclear export","10/132","133/5135",0.00206350866547555,0.0450067971091559,0.0423268776047759,"ARX1/NOP9/NUG1/SDA1/UTP22/MDN1/NEW1/NOG1/UTP8/NOG2",10
"GO:0045943","positive regulation of transcription by RNA polymerase I","4/132","23/5135",0.0025272336233294,0.0536704614217587,0.0504746659950277,"UTP10/SCH9/UTP4/UTP8",4
"GO:0031503","protein-containing complex localization","7/132","74/5135",0.00271626440840221,0.0562057789123227,0.0528590185818622,"ARX1/NOP9/NUG1/SDA1/MDN1/NOG1/NOG2",7
"GO:0009451","RNA modification","10/132","144/5135",0.00369628573907217,0.074572564785781,0.0701321583650272,"SPB1/TRM82/GAR1/NOP10/RTT10/NHP2/CIC1/NOP2/IKI3/TRM732",10
"GO:0000154","rRNA modification","6/132","59/5135",0.00379671197462263,0.074730403988304,0.0702805990681109,"SPB1/GAR1/NOP10/NHP2/CIC1/NOP2",6
"GO:0006812","cation transport","13/132","220/5135",0.00401306755002972,0.0754440658202346,0.0709517660684656,"CAN1/AGP2/SIT1/PHM7/FTH1/MPH3/YMC1/FTR1/GDT1/PMC1/ZRT3/MEP3/KHA1",13
"GO:0031118","rRNA pseudouridine synthesis","4/132","26/5135",0.00401994402759614,0.0754440658202346,0.0709517660684656,"GAR1/NOP10/NHP2/CIC1",4
"GO:0034220","ion transmembrane transport","13/132","223/5135",0.00450365046188169,0.0826010436986027,0.0776825833257583,"CAN1/AGP2/SIT1/PHM7/FTH1/MPH3/YMC1/FTR1/GDT1/PMC1/ZRT3/MEP3/KHA1",13
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0030515","snoRNA binding","12/132","31/5104",5.0334520788333e-12,1.12749326565866e-09,1.02788389820385e-09,"NOP58/UTP10/UTP25/DBP2/NOP14/GAR1/NOP10/NOP6/NHP2/CIC1/RRP5/UTP8",12
"GO:0003724","RNA helicase activity","11/132","44/5104",8.45502822523734e-09,9.46963161226582e-07,8.63302881945286e-07,"SPB4/DBP9/DBP2/DBP10/DRS1/HAS1/DBP7/DBP3/ECM16/PRP43/MSS116",11
"GO:0008186","ATP-dependent activity, acting on RNA","11/132","46/5104",1.40735200460482e-08,1.05082283010493e-06,9.57986978573103e-07,"SPB4/DBP9/DBP2/DBP10/DRS1/HAS1/DBP7/DBP3/ECM16/PRP43/MSS116",11
"GO:0003729","mRNA binding","20/132","201/5104",1.50425190344711e-07,8.42381065930382e-06,7.67960182286157e-06,"RRT5/NOP58/NOP7/DBP9/DBP2/NOP9/RLP7/HSH155/NPL3/NUG1/MRN1/URB1/NOC2/RRP12/PRP43/RRP5/NEW1/MAK21/MSS116/UTP20",20
"GO:0004386","helicase activity","11/132","101/5104",4.99257927217881e-05,0.00223667551393611,0.00203907448168987,"SPB4/DBP9/DBP2/DBP10/DRS1/HAS1/DBP7/DBP3/ECM16/PRP43/MSS116",11
"GO:0034511","U3 snoRNA binding","5/132","18/5104",7.00925499658832e-05,0.00261678853205964,0.00238560608655813,"UTP10/UTP25/NOP14/RRP5/UTP8",5
"GO:0019843","rRNA binding","11/132","112/5104",0.000129397297037848,0.00414071350521115,0.00377489859027708,"NOP12/UTP25/NOP7/ERB1/RLP7/NOP6/POL5/CIC1/RPF2/RRP5/NOG2",11
