"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","ncRNA processing","180/563","433/5135",6.15188651400269e-69,9.20322222494802e-66,8.45074936923527e-66,"SLX9/SPB1/THG1/ROK1/TRM44/PNO1/SPB4/TRM82/NOP12/MRH4/NOP16/NOP58/UTP25/NSA1/LOC1/GCD10/NOP7/RVB2/PXR1/REX4/RRP3/RIX1/DBP9/DBP2/DUS3/CCM1/IMP4/BFR2/DBP10/DBP8/ERB1/NCS2/DRS1/HCA4/HAS1/FYV7/DBP7/EFG1/NCS6/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/GAR1/MAK5/CEG1/ESF2/FAL1/NOP10/TRM8/GCD14/TRM13/URM1/YTM1/RLP7/TRM10/UTP21/UTP14/TRM5/RRP14/RCM1/SUA5/UTP23/PUS1/ELP3/GSP1/NPL3/RIO2/DIP2/NOP6/NUG1/UTP6/TRM11/BMT6/ELP2/RLI1/RRP17/SSZ1/DEG1/RRS1/ESF1/PWP1/KRE33/UTP9/TRM2/NOP15/MRM2/NOP56/RPC11/NOP53/ENP2/UTP11/PWP2/TSR1/CSL4/MSK1/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/EMG1/NOC3/LAS1/RRP8/NOB1/RPF2/BUD22/UTP4/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/UTP22/UTP7/RRP15/FUN12/LHP1/SOF1/MPP10/RRP46/TAN1/LCP5/RRP1/PUS7/IMP3/RRB1/TYW1/SKI6/NCL1/TSR2/TRM7/UTP15/ABP140/RIO1/ZUO1/DHR2/MAK11/RRP4/FCY1/NOG1/UTP8/CBF5/RPP1/MOD5/BMS1/FCF1/PUS4/POP3/FAF1/TCD2/RRP7/TSR4/TRM1/NOC4/EBP2/MTR4/FCF2/KTI12/MSS116/DUS1/KRI1/NAF1/BMT5/UTP18/RCL1/TRM112/POP4/NSR1/TRZ1/ENP1",180
"GO:0042254","ribosome biogenesis","178/563","429/5135",6.47765144026199e-68,4.84528327731597e-65,4.44912375239047e-65,"SLX9/SPB1/ROK1/RSA3/PNO1/SPB4/NOP12/MRH4/NOP16/NOP58/RPB5/UTP25/NSA1/LOC1/NOP7/RVB2/PXR1/REX4/RRP3/RIX1/DBP9/DBP2/CCM1/IMP4/ARX1/BFR2/DBP10/DBP8/BCP1/ERB1/DRS1/HCA4/HAS1/FYV7/DBP7/EFG1/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/GAR1/MAK5/ESF2/JIP5/FAL1/NOP10/YTM1/RLP7/UTP21/UTP14/RRP14/RCM1/UTP23/GSP1/AFG2/NPL3/RIO2/DIP2/NOP6/NUG1/RPO26/UTP6/BMT6/RPC19/RLI1/RRP17/SSZ1/HPM1/RRS1/ESF1/PWP1/YAR1/RPA43/KRE33/RPB10/UTP9/NOP15/MRM2/NOP56/SGD1/NOP53/ENP2/UTP11/PWP2/NOC2/TSR1/CSL4/SRM1/RPC10/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/EMG1/NOC3/LAS1/NAP1/RRP8/NOB1/RPF2/RPC40/BUD22/UTP4/NAN1/MRD1/UTP13/RRP43/RRP9/TMA23/NOP2/RRP5/SSB2/UTP22/RPA190/BUD20/UTP7/RPA12/RRP15/FUN12/YVH1/SOF1/MPP10/REI1/RRP46/SSF2/LCP5/RRP1/PUS7/ARB1/IMP3/RRB1/SKI6/TSR2/UTP15/RSA4/RIX7/RIO1/ZUO1/SQT1/DHR2/MAK11/RRP4/RPA135/RPA49/NEW1/NOG1/UTP8/CBF5/RPP1/MAK21/BMS1/FCF1/POP3/FAF1/RRP7/TSR4/NOC4/EBP2/LTV1/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/RCL1/TRM112/POP4/NSR1/ENP1",178
"GO:0006364","rRNA processing","143/563","314/5135",1.07693122554648e-59,5.3702970447251e-57,4.9312114011865e-57,"SLX9/SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/NOP58/UTP25/NSA1/LOC1/NOP7/RVB2/PXR1/REX4/RRP3/RIX1/DBP9/DBP2/CCM1/IMP4/BFR2/DBP10/DBP8/ERB1/DRS1/HCA4/HAS1/FYV7/DBP7/EFG1/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/GAR1/MAK5/ESF2/FAL1/NOP10/YTM1/RLP7/UTP21/UTP14/RRP14/RCM1/UTP23/GSP1/NPL3/RIO2/DIP2/NOP6/NUG1/UTP6/BMT6/RLI1/RRP17/SSZ1/RRS1/ESF1/PWP1/KRE33/UTP9/NOP15/MRM2/NOP56/NOP53/ENP2/UTP11/PWP2/TSR1/CSL4/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/EMG1/NOC3/LAS1/RRP8/NOB1/RPF2/BUD22/UTP4/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/UTP22/UTP7/RRP15/FUN12/SOF1/MPP10/RRP46/LCP5/RRP1/PUS7/IMP3/RRB1/SKI6/TSR2/UTP15/RIO1/ZUO1/DHR2/MAK11/RRP4/NOG1/UTP8/CBF5/RPP1/BMS1/FCF1/POP3/FAF1/RRP7/TSR4/NOC4/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/RCL1/TRM112/POP4/NSR1/ENP1",143
"GO:0016072","rRNA metabolic process","152/563","363/5135",1.21331874619418e-57,4.53781211076622e-55,4.16679200995631e-55,"SLX9/SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/NOP58/UTP25/NSA1/LOC1/NOP7/RVB2/PXR1/REX4/RRP3/RIX1/DBP9/DBP2/CCM1/IMP4/BFR2/DBP10/DBP8/ERB1/DRS1/HCA4/HAS1/FYV7/DBP7/EFG1/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/GAR1/MAK5/ESF2/FAL1/NOP10/YTM1/RLP7/UTP21/UTP14/RRP14/RCM1/UTP23/GSP1/NPL3/RIO2/DIP2/NOP6/NUG1/UTP6/BMT6/RLI1/RRP17/SSZ1/RRS1/ESF1/PWP1/RPA43/KRE33/UTP9/NOP15/MRM2/NOP56/LEO1/NOP53/ENP2/UTP11/PWP2/TSR1/CSL4/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/EMG1/NOC3/LAS1/RRP8/NOB1/RPF2/BUD22/UTP4/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/UTP22/RPA190/UTP7/RPA12/RRP15/FUN12/SOF1/MPP10/RRP46/LCP5/RRP1/RRN5/PUS7/IMP3/RRB1/SKI6/TSR2/UTP15/RIO1/ZUO1/DHR2/MAK11/RRP4/RPA135/RPA49/NOG1/UTP8/DST1/CBF5/RPP1/BMS1/FCF1/DOM34/POP3/FAF1/RRP7/TSR4/NOC4/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/RCL1/TRM112/POP4/NSR1/ENP1",152
"GO:0042274","ribosomal small subunit biogenesis","77/563","145/5135",2.22374509115399e-37,6.65344531273274e-35,6.10944703990728e-35,"SLX9/ROK1/PNO1/NOP58/UTP25/LOC1/NOP7/RRP3/IMP4/BFR2/DBP8/HAS1/FYV7/EFG1/NOP14/NOP9/DIM1/ESF2/FAL1/UTP21/UTP14/RRP14/UTP23/RIO2/DIP2/NOP6/UTP6/RRS1/YAR1/KRE33/UTP9/SGD1/ENP2/UTP11/PWP2/TSR1/RRP12/ECM16/PRP43/EMG1/NAP1/NOB1/BUD22/UTP4/NAN1/MRD1/UTP13/RRP9/TMA23/RRP5/UTP22/UTP7/FUN12/SOF1/MPP10/LCP5/IMP3/TSR2/UTP15/RIO1/DHR2/NEW1/UTP8/BMS1/FCF1/FAF1/RRP7/TSR4/NOC4/LTV1/FCF2/KRI1/UTP18/RCL1/TRM112/NSR1/ENP1",77
"GO:0030490","maturation of SSU-rRNA","64/563","118/5135",8.21851054222767e-32,2.04914862852877e-29,1.8816063609837e-29,"SLX9/ROK1/PNO1/NOP58/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/HAS1/FYV7/EFG1/NOP14/NOP9/DIM1/ESF2/FAL1/UTP14/UTP23/RIO2/DIP2/UTP6/RRS1/KRE33/UTP9/ENP2/UTP11/PWP2/TSR1/RRP12/ECM16/PRP43/EMG1/NOB1/BUD22/UTP4/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/SOF1/MPP10/LCP5/TSR2/UTP15/RIO1/DHR2/UTP8/BMS1/FCF1/FAF1/TSR4/NOC4/FCF2/KRI1/UTP18/RCL1/TRM112/ENP1",64
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","60/563","106/5135",2.97582040691256e-31,6.35975332677312e-29,5.83976786619682e-29,"SLX9/ROK1/PNO1/NOP58/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/HAS1/FYV7/EFG1/NOP14/NOP9/DIM1/ESF2/FAL1/UTP14/UTP23/RIO2/DIP2/UTP6/RRS1/UTP9/ENP2/UTP11/PWP2/TSR1/RRP12/ECM16/PRP43/EMG1/NOB1/UTP4/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/SOF1/MPP10/LCP5/TSR2/UTP15/RIO1/DHR2/UTP8/BMS1/FCF1/FAF1/NOC4/FCF2/KRI1/UTP18/RCL1/ENP1",60
"GO:0000460","maturation of 5.8S rRNA","53/563","92/5135",3.38985571520919e-28,5.63469349994771e-26,5.17399030216139e-26,"SPB1/ROK1/PNO1/NOP58/LOC1/NOP7/DBP10/DBP8/ERB1/DBP3/DBP6/NOP14/NOP9/MAK5/ESF2/YTM1/RLP7/UTP14/UTP23/GSP1/DIP2/UTP6/RRS1/UTP11/PWP2/CSL4/RPF1/PRP43/CIC1/EMG1/LAS1/RPF2/MRD1/UTP13/RRP43/RRP9/RRP5/UTP7/RRP15/MPP10/RRP46/LCP5/SKI6/MAK11/RRP4/FCF1/NOC4/MTR4/FCF2/KRI1/UTP18/RCL1/ENP1",53
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","53/563","92/5135",3.38985571520919e-28,5.63469349994771e-26,5.17399030216139e-26,"SPB1/ROK1/PNO1/NOP58/LOC1/NOP7/DBP10/DBP8/ERB1/DBP3/DBP6/NOP14/NOP9/MAK5/ESF2/YTM1/RLP7/UTP14/UTP23/GSP1/DIP2/UTP6/RRS1/UTP11/PWP2/CSL4/RPF1/PRP43/CIC1/EMG1/LAS1/RPF2/MRD1/UTP13/RRP43/RRP9/RRP5/UTP7/RRP15/MPP10/RRP46/LCP5/SKI6/MAK11/RRP4/FCF1/NOC4/MTR4/FCF2/KRI1/UTP18/RCL1/ENP1",53
"GO:0042273","ribosomal large subunit biogenesis","59/563","127/5135",1.06264041199402e-24,1.58971005634306e-22,1.45973235542337e-22,"SPB1/RSA3/SPB4/NOP12/MRH4/NOP16/NSA1/LOC1/NOP7/REX4/RIX1/DBP9/DBP10/ERB1/DRS1/HAS1/DBP7/DBP3/DBP6/IPI1/MAK5/JIP5/YTM1/RLP7/RRP14/AFG2/NUG1/RLI1/HPM1/RRS1/NOP15/NOP53/NOC2/RPF1/NOP4/NHP2/POL5/SDA1/PRP43/CIC1/NOC3/LAS1/RRP8/RPF2/NOP2/RRP5/RRP15/YVH1/REI1/SSF2/TSR2/RSA4/RIX7/SQT1/MAK11/NOG1/MAK21/EBP2/TRM112",59
