"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","ncRNA processing","37/186","433/5135",4.55185857793387e-07,0.000460192902229114,0.000450873570719555,"SPB4/TRM82/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/CWC24/NOP14/NOP9/RRP42/UTP9/URB1/UTP30/RTT10/RMP1/RRP12/POL5/ECM16/FMT1/ELP6/UTP4/NAN1/RRP5/RRP46/IKI3/MDN1/UTP8/LSM2/FCF1/TRM1/TRM732/UTP20/POP4/TRZ1",37
"GO:0006364","rRNA processing","28/186","314/5135",6.28872368101252e-06,0.0026885482410654,0.00263410265484152,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/NOP14/NOP9/RRP42/UTP9/URB1/UTP30/RMP1/RRP12/POL5/ECM16/UTP4/NAN1/RRP5/RRP46/MDN1/UTP8/LSM2/FCF1/UTP20/POP4",28
"GO:0042254","ribosome biogenesis","34/186","429/5135",7.97788795568367e-06,0.0026885482410654,0.00263410265484152,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/NOP14/NOP9/JIP5/RRP42/RPA43/UTP9/URB1/UTP30/NOC2/RMP1/RRP12/POL5/ECM16/UTP4/NAN1/RRP5/NIC96/RRP46/ACL4/MDN1/UTP8/LSM2/MAK21/FCF1/UTP20/POP4",34
"GO:0016072","rRNA metabolic process","30/186","363/5135",1.31101308865126e-05,0.00331358558156606,0.00324648241163378,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/NOP14/NOP9/RRP42/RPA43/UTP9/URB1/UTP30/RMP1/RRP12/RRN11/POL5/ECM16/UTP4/NAN1/RRP5/RRP46/MDN1/UTP8/LSM2/FCF1/UTP20/POP4",30
"GO:0030490","maturation of SSU-rRNA","15/186","118/5135",1.88063586407727e-05,0.00380264571716424,0.00372563862757202,"UTP10/NOP7/GEP3/NOP14/NOP9/UTP9/UTP30/RRP12/ECM16/UTP4/NAN1/RRP5/UTP8/FCF1/UTP20",15
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","14/186","106/5135",2.32278964166394e-05,0.00391390054620374,0.00383464044351889,"UTP10/NOP7/NOP14/NOP9/UTP9/UTP30/RRP12/ECM16/UTP4/NAN1/RRP5/UTP8/FCF1/UTP20",14
"GO:0042273","ribosomal large subunit biogenesis","15/186","127/5135",4.55218766285887e-05,0.00657465961021473,0.00644151667781984,"SPB4/NOP7/RIX1/DBP9/GRC3/DRS1/JIP5/URB1/UTP30/NOC2/POL5/RRP5/ACL4/MDN1/MAK21",15
"GO:0000460","maturation of 5.8S rRNA","12/186","92/5135",0.000102458916533759,0.011509551623959,0.0112764725682184,"UTP10/NOP7/GRC3/NOP14/NOP9/RRP42/URB1/RMP1/RRP5/RRP46/FCF1/UTP20",12
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","12/186","92/5135",0.000102458916533759,0.011509551623959,0.0112764725682184,"UTP10/NOP7/GRC3/NOP14/NOP9/RRP42/URB1/RMP1/RRP5/RRP46/FCF1/UTP20",12
"GO:0042274","ribosomal small subunit biogenesis","15/186","145/5135",0.000209145744431324,0.0211446347620068,0.0207164363694606,"UTP10/NOP7/GEP3/NOP14/NOP9/UTP9/UTP30/RRP12/ECM16/UTP4/NAN1/RRP5/UTP8/FCF1/UTP20",15
"GO:0006360","transcription by RNA polymerase I","9/186","69/5135",0.000765115461158978,0.0655977957774298,0.0642693797975547,"UTP10/GRC3/RPA43/UTP9/RRN11/UTP4/NAN1/RRN3/UTP8",9
"GO:0000027","ribosomal large subunit assembly","7/186","43/5135",0.000778608851957623,0.0655977957774298,0.0642693797975547,"SPB4/RIX1/DRS1/POL5/RRP5/MDN1/MAK21",7
"GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/186","33/5135",0.0010194877479866,0.0792847779395734,0.0776791879235135,"UTP10/NOP14/NOP9/RRP5/FCF1/UTP20",6
"GO:0045943","positive regulation of transcription by RNA polymerase I","5/186","23/5135",0.00116767175004244,0.0843225813780644,0.0826149711872129,"UTP10/UTP9/UTP4/NAN1/UTP8",5
"GO:0036260","RNA capping","7/186","47/5135",0.00134475103805066,0.088893821348735,0.0870936393244413,"UTP10/NOP14/NOP9/RRP5/STO1/FCF1/UTP20",7
"GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/186","35/5135",0.00140682605497503,0.088893821348735,0.0870936393244413,"UTP10/NOP14/NOP9/RRP5/FCF1/UTP20",6
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0034511","U3 snoRNA binding","6/186","18/5104",2.78273630068703e-05,0.00773600691590993,0.00773307771980395,"UTP10/NOP14/UTP9/NAN1/RRP5/UTP8",6
"GO:0042134","rRNA primary transcript binding","4/186","12/5104",0.000671706699347922,0.068850786025379,0.0688247160571756,"RMP1/POL5/RRP5/POP4",4
"GO:0030515","snoRNA binding","6/186","31/5104",0.000742994093799054,0.068850786025379,0.0688247160571756,"UTP10/NOP14/UTP9/NAN1/RRP5/UTP8",6
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0030686","90S preribosome","17/186","90/5142",1.3844797749275e-08,3.01816590934196e-06,2.84182690643014e-06,"SPB4/UTP10/NOP7/NOP14/NOP9/UTP9/CMS1/UTP30/NOC2/RRP12/ECM16/UTP4/NAN1/RRP5/UTP8/MAK21/UTP20",17
"GO:0005730","nucleolus","32/186","320/5142",8.56359320311296e-08,9.33431659139313e-06,8.78895091898435e-06,"SPB4/UTP10/NOP7/DBP9/GRC3/DRS1/NOP14/NOP9/JIP5/RRP42/RPA43/UTP9/URB1/UTP30/NOC2/RMP1/RRP12/RRN11/POL5/ECM16/UTP4/NAN1/RRP5/RRP46/RRN3/MDN1/UTP8/LSM2/MAK21/FCF1/UTP20/POP4",32
"GO:0030684","preribosome","21/186","168/5142",4.79066533570911e-07,3.48121681061529e-05,3.27782365074834e-05,"SPB4/UTP10/NOP7/DRS1/NOP14/NOP9/UTP9/CMS1/UTP30/NOC2/RRP12/POL5/ECM16/UTP4/NAN1/RRP5/MDN1/UTP8/MAK21/FCF1/UTP20",21
"GO:0032040","small-subunit processome","10/186","52/5142",1.26911861871766e-05,0.000691669647201124,0.000651258238552483,"UTP10/NOP14/UTP9/ECM16/UTP4/NAN1/RRP5/UTP8/FCF1/UTP20",10
"GO:0033553","rDNA heterochromatin","4/186","11/5142",0.000448061035521436,0.0195354611487346,0.0183940846161431,"UTP10/UTP9/NAN1/UTP8",4
"GO:0000792","heterochromatin","4/186","13/5142",0.00091699166782105,0.0333173639308315,0.0313707675833517,"UTP10/UTP9/NAN1/UTP8",4
"GO:0030688","preribosome, small subunit precursor","5/186","23/5142",0.00116059299146994,0.0361441817343496,0.0340324260656599,"UTP10/NOP14/NOP9/RRP12/UTP20",5
