"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901700","response to oxygen-containing compound","8/90","85/5135",0.000103954569042602,0.0727681983298215,0.0653272397036142,"PNG1/CCP1/GPB2/CTT1/AZF1/HSP30/ATH1/SKS1",8
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0031902","late endosome membrane","4/90","26/5142",0.00097728255431583,0.0670172288120418,0.061409198684264,"BOS1/VPS36/ANY1/SNX3",4
"GO:0010008","endosome membrane","7/90","96/5142",0.00134043983181711,0.0670172288120418,0.061409198684264,"BOS1/HSE1/VPS36/ANY1/SYN8/SNF8/SNX3",7
"GO:0005774","vacuolar membrane","12/90","257/5142",0.00157421882856558,0.0670172288120418,0.061409198684264,"ATG1/YHC3/HSE1/TPO3/MSB3/ESBP6/MCH4/AVO2/NCR1/SDH2/SNX3/PIB2",12
"GO:0005773","vacuole","17/90","454/5142",0.00192855334710912,0.0670172288120418,0.061409198684264,"ATG1/ATG9/YHC3/HSE1/TPO3/MSB3/ESBP6/MCH4/PDR10/AVO2/NCR1/SDH2/ATH1/DAL4/SNX3/WSS1/PIB2",17
"GO:0036452","ESCRT complex","3/90","16/5142",0.00246222120241325,0.0684497494270885,0.0627218453667377,"HSE1/VPS36/SNF8",3
"GO:0005770","late endosome","5/90","60/5142",0.00376106205902661,0.0743871324450887,0.0681623856558557,"BOS1/MSB3/VPS36/ANY1/SNX3",5
"GO:0012506","vesicle membrane","8/90","149/5142",0.00428127380978928,0.0743871324450887,0.0681623856558557,"ATG9/BOS1/HSE1/VPS36/ANY1/SYN8/SNF8/SNX3",8
"GO:0030659","cytoplasmic vesicle membrane","8/90","149/5142",0.00428127380978928,0.0743871324450887,0.0681623856558557,"ATG9/BOS1/HSE1/VPS36/ANY1/SYN8/SNF8/SNX3",8
