"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","ncRNA processing","204/569","433/5135",3.69736437810687e-91,5.44991509332953e-88,4.96225219166975e-88,"SLX9/SPB1/THG1/ROK1/TRM44/PNO1/SPB4/TRM82/RRP36/NOP12/MRH4/NOP16/NOP58/UTP10/UTP25/NSA1/LOC1/GCD10/NOP7/PXR1/REX4/RRP3/RIX1/DBP9/DBP2/GRC3/DUS3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/NCS2/DRS1/RAI1/HCA4/HAS1/FYV7/DBP7/EFG1/CWC24/NCS6/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/GAR1/MAK5/ESF2/FAL1/NOP10/TRM8/GCD14/TRM13/RAT1/URM1/YTM1/RLP7/TRM10/MTO1/UTP21/UTP14/TRM5/SEN54/RRP14/RCM1/SUA5/TSR3/UTP23/PRP4/PUS1/ELP3/NPL3/RIO2/DIP2/NOP6/NUG1/UTP6/TRM11/BMT6/ELP2/RNH70/RLI1/RRP17/RRP42/SSZ1/DEG1/RRS1/ESF1/TYW3/PWP1/PAP2/KRE33/UTP9/TRM2/URB1/NOP15/NOP56/MSS1/RPC11/NOP53/TRM9/POP1/ENP2/UTP11/UTP30/PWP2/TSR1/CSL4/NRD1/RTT10/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/EMG1/NOC3/RRP8/NOB1/RPF2/BUD22/UTP4/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/UTP22/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/TAN1/LCP5/RRP1/PUS7/IMP3/RRB1/POP7/TYW1/SKI6/NCL1/TSR2/TRM7/UTP15/ABP140/RIO1/RNT1/DHR2/MAK11/RRP4/IKI3/DIS3/FCY1/TGS1/NOG1/UTP8/HIT1/CBF5/BMT2/MOD5/BMS1/FCF1/PPM2/PUS4/FAF1/TCD2/RRP7/TRM1/NOC4/EBP2/TRM732/MTR4/FCF2/MSS116/DUS1/KRI1/NAF1/BMT5/UTP18/UTP20/RCL1/TRM112/SEN2/DUS4/NSR1/TRZ1/ENP1",204
"GO:0042254","ribosome biogenesis","192/569","429/5135",4.03542564898067e-80,2.97410870329876e-77,2.70798300128966e-77,"SLX9/SPB1/ROK1/RSA3/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/NOP58/RPB5/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/REX4/RRP3/RIX1/DBP9/DBP2/GRC3/CCM1/IMP4/ARX1/BFR2/DBP10/DBP8/BCP1/GEP3/ERB1/DRS1/RAI1/HCA4/HAS1/FYV7/DBP7/EFG1/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/GAR1/MAK5/ESF2/JIP5/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/UTP14/RRP14/RCM1/TSR3/UTP23/AFG2/NPL3/RIO2/DIP2/NOP6/NUG1/RPO26/UTP6/BMT6/RNH70/RPC19/RLI1/RRP17/RRP42/SSZ1/HPM1/RRS1/ESF1/PWP1/YAR1/RPA43/KRE33/RPB10/UTP9/URB1/NOP15/NOP56/SGD1/NOP53/POP1/ENP2/LSG1/UTP11/UTP30/PWP2/NOC2/TSR1/CSL4/RPC10/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/EMG1/NOC3/RRP8/NOB1/RPF2/RPC40/BUD22/UTP4/NAN1/MRD1/UTP13/RRP43/RRP9/TMA23/NOP2/RRP5/SSB2/JJJ1/TIF6/UTP22/RPA190/BUD20/UTP7/RPA12/RRP15/FUN12/BUD23/SOF1/MPP10/REI1/RRP46/SSF2/LCP5/RRP1/PUS7/ARB1/RPB8/IMP3/RRB1/POP7/SKI6/TSR2/UTP15/RSA4/RIX7/RIO1/SQT1/ACL4/RNT1/DHR2/MAK11/RRP4/RPA135/DIS3/RPA49/NEW1/NOG1/UTP8/HIT1/CBF5/BMT2/MAK21/BMS1/FCF1/FAF1/RRP7/NOC4/EBP2/SYO1/LTV1/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/NOG2/UTP18/UTP20/RCL1/TRM112/NSR1/ENP1",192
"GO:0006364","rRNA processing","155/569","314/5135",9.42647181994639e-71,4.63153982086699e-68,4.21710581418654e-68,"SLX9/SPB1/ROK1/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/NOP58/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/REX4/RRP3/RIX1/DBP9/DBP2/GRC3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/DRS1/RAI1/HCA4/HAS1/FYV7/DBP7/EFG1/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/GAR1/MAK5/ESF2/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/UTP14/RRP14/RCM1/TSR3/UTP23/NPL3/RIO2/DIP2/NOP6/NUG1/UTP6/BMT6/RNH70/RLI1/RRP17/RRP42/SSZ1/RRS1/ESF1/PWP1/KRE33/UTP9/URB1/NOP15/NOP56/NOP53/POP1/ENP2/UTP11/UTP30/PWP2/TSR1/CSL4/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/EMG1/NOC3/RRP8/NOB1/RPF2/BUD22/UTP4/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/UTP22/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/LCP5/RRP1/PUS7/IMP3/RRB1/POP7/SKI6/TSR2/UTP15/RIO1/RNT1/DHR2/MAK11/RRP4/DIS3/NOG1/UTP8/HIT1/CBF5/BMT2/BMS1/FCF1/FAF1/RRP7/NOC4/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/UTP20/RCL1/TRM112/NSR1/ENP1",155
"GO:0016072","rRNA metabolic process","163/569","363/5135",5.79005543195333e-67,2.1336354266748e-64,1.94271596730013e-64,"SLX9/SPB1/ROK1/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/NOP58/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/REX4/RRP3/RIX1/DBP9/DBP2/GRC3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/DRS1/RAI1/HCA4/HAS1/FYV7/DBP7/EFG1/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/GAR1/MAK5/ESF2/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/UTP14/RRP14/RCM1/AIR1/TSR3/UTP23/NPL3/RIO2/DIP2/NOP6/NUG1/UTP6/BMT6/RNH70/RLI1/RRP17/SPT15/RRP42/SSZ1/RRS1/ESF1/PWP1/PAP2/RPA43/KRE33/UTP9/URB1/NOP15/NOP56/NOP53/POP1/ENP2/UTP11/UTP30/PWP2/TSR1/CSL4/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/EMG1/NOC3/RRP8/NOB1/RPF2/BUD22/UTP4/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/UTP22/RPA190/UTP7/RPA12/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/LCP5/RRP1/PUS7/IMP3/RRB1/POP7/SKI6/TSR2/UTP15/RIO1/RNT1/DHR2/MAK11/RRP4/RPA135/DIS3/RPA49/NOG1/UTP8/HIT1/CBF5/BMT2/BMS1/FCF1/FAF1/RRP7/NOC4/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/UTP20/RCL1/TRM112/NSR1/ENP1",163
"GO:0042274","ribosomal small subunit biogenesis","82/569","145/5135",2.8155937026028e-42,8.30037023527307e-40,7.5576462543549e-40,"SLX9/ROK1/PNO1/RRP36/NOP58/UTP10/UTP25/LOC1/NOP7/RRP3/IMP4/BFR2/DBP8/GEP3/HAS1/FYV7/EFG1/NOP14/NOP9/DIM1/ESF2/FAL1/UTP21/UTP14/RRP14/TSR3/UTP23/RIO2/DIP2/NOP6/UTP6/RRS1/YAR1/KRE33/UTP9/SGD1/ENP2/UTP11/UTP30/PWP2/TSR1/RRP12/ECM16/PRP43/EMG1/NOB1/BUD22/UTP4/NAN1/MRD1/UTP13/RRP9/TMA23/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/IMP3/TSR2/UTP15/RIO1/DHR2/NEW1/UTP8/BMS1/FCF1/FAF1/RRP7/NOC4/LTV1/FCF2/KRI1/UTP18/UTP20/RCL1/TRM112/NSR1/ENP1",82
"GO:0000460","maturation of 5.8S rRNA","62/569","92/5135",1.76426647197865e-38,3.71504111385219e-36,3.38261616807937e-36,"SPB1/ROK1/PNO1/NOP58/UTP10/LOC1/NOP7/GRC3/DBP10/DBP8/ERB1/RAI1/DBP3/DBP6/NOP14/NOP9/MAK5/ESF2/RAT1/YTM1/RLP7/UTP14/UTP23/DIP2/UTP6/RNH70/RRP42/RRS1/URB1/UTP11/PWP2/CSL4/RPF1/PRP43/CIC1/EMG1/RPF2/MRD1/UTP13/RRP43/RRP9/RRP5/TIF6/UTP7/RRP15/BUD23/MPP10/RRP46/LCP5/SKI6/MAK11/RRP4/DIS3/FCF1/NOC4/MTR4/FCF2/KRI1/UTP18/UTP20/RCL1/ENP1",62
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","62/569","92/5135",1.76426647197865e-38,3.71504111385219e-36,3.38261616807937e-36,"SPB1/ROK1/PNO1/NOP58/UTP10/LOC1/NOP7/GRC3/DBP10/DBP8/ERB1/RAI1/DBP3/DBP6/NOP14/NOP9/MAK5/ESF2/RAT1/YTM1/RLP7/UTP14/UTP23/DIP2/UTP6/RNH70/RRP42/RRS1/URB1/UTP11/PWP2/CSL4/RPF1/PRP43/CIC1/EMG1/RPF2/MRD1/UTP13/RRP43/RRP9/RRP5/TIF6/UTP7/RRP15/BUD23/MPP10/RRP46/LCP5/SKI6/MAK11/RRP4/DIS3/FCF1/NOC4/MTR4/FCF2/KRI1/UTP18/UTP20/RCL1/ENP1",62
"GO:0030490","maturation of SSU-rRNA","70/569","118/5135",5.76966067811244e-38,1.06305997994222e-35,9.67936495341231e-36,"SLX9/ROK1/PNO1/RRP36/NOP58/UTP10/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/GEP3/HAS1/FYV7/EFG1/NOP14/NOP9/DIM1/ESF2/FAL1/UTP14/TSR3/UTP23/RIO2/DIP2/UTP6/RRS1/KRE33/UTP9/ENP2/UTP11/UTP30/PWP2/TSR1/RRP12/ECM16/PRP43/EMG1/NOB1/BUD22/UTP4/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/UTP15/RIO1/DHR2/UTP8/BMS1/FCF1/FAF1/NOC4/FCF2/KRI1/UTP18/UTP20/RCL1/TRM112/ENP1",70
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","65/569","106/5135",1.58498338720855e-36,2.59585056971711e-34,2.36357171776713e-34,"SLX9/ROK1/PNO1/RRP36/NOP58/UTP10/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/HAS1/FYV7/EFG1/NOP14/NOP9/DIM1/ESF2/FAL1/UTP14/UTP23/RIO2/DIP2/UTP6/RRS1/UTP9/ENP2/UTP11/UTP30/PWP2/TSR1/RRP12/ECM16/PRP43/EMG1/NOB1/UTP4/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/UTP15/RIO1/DHR2/UTP8/BMS1/FCF1/FAF1/NOC4/FCF2/KRI1/UTP18/UTP20/RCL1/ENP1",65
"GO:0042273","ribosomal large subunit biogenesis","68/569","127/5135",5.17981245043366e-33,7.63504355193921e-31,6.9518535518978e-31,"SPB1/RSA3/SPB4/NOP12/MRH4/NOP16/NSA1/LOC1/NOP7/REX4/RIX1/DBP9/GRC3/DBP10/ERB1/DRS1/RAI1/HAS1/DBP7/DBP3/DBP6/IPI1/MAK5/JIP5/RAT1/YTM1/RLP7/RRP14/AFG2/NUG1/RLI1/HPM1/RRS1/URB1/NOP15/NOP53/LSG1/UTP30/NOC2/RPF1/NOP4/NHP2/POL5/SDA1/PRP43/CIC1/NOC3/RRP8/RPF2/NOP2/RRP5/JJJ1/TIF6/RRP15/REI1/SSF2/TSR2/RSA4/RIX7/SQT1/ACL4/MAK11/NOG1/HIT1/MAK21/EBP2/SYO1/TRM112",68
