"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901565","organonitrogen compound catabolic process","57/357","391/5135",2.68646857706177e-08,3.43106811995434e-05,3.08716939318606e-05,"PNG1/DDI1/BRO1/FYV10/HSE1/RPN7/PEP5/BAT2/VID30/CTS1/RPN5/PUT1/THI20/UBP13/GDH2/RMD5/SSA1/MPO1/CDC27/VPS36/UGA2/HRD1/ARO80/NAT3/VID28/SAF1/UBC8/UFD4/RPN2/CAR2/SIS1/BNA1/GID8/RPN9/DAL2/DUG2/CAR1/ARO10/DAL3/RPN6/ALT2/DSD1/VPS28/UGA1/PUT2/SNF8/URH1/DAL4/DUR1,2/DOA4/RPN3/PDE1/ALD2/YME1/RPN12/ASI3/VID24",57
"GO:0007034","vacuolar transport","33/357","176/5135",9.07880752710155e-08,3.43106811995434e-05,3.08716939318606e-05,"ATG20/ATG1/ATG3/ATG9/DDI1/ATG12/BRO1/ATG8/ATG13/HSE1/PEP5/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/AVT1/VPS9/VPS30/SYN8/VPS33/APL5/GID8/VTA1/VPS53/VPS28/TLG2/SNF8/COG3/APL2/VID24/YPT6",33
"GO:0072666","establishment of protein localization to vacuole","27/357","127/5135",9.88751331990581e-08,3.43106811995434e-05,3.08716939318606e-05,"ATG20/ATG1/ATG3/ATG9/DDI1/ATG12/BRO1/ATG8/ATG13/HSE1/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS9/VPS30/VPS33/APL5/GID8/VPS28/TLG2/SNF8/COG3/VID24/YPT6",27
"GO:0072665","protein localization to vacuole","28/357","136/5135",1.17146998306808e-07,3.43106811995434e-05,3.08716939318606e-05,"ATG20/ATG1/ATG3/ATG9/DDI1/ATG12/BRO1/ATG8/ATG13/HSE1/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS9/VPS30/VPS33/APL5/GID8/VPS28/VAC14/TLG2/SNF8/COG3/VID24/YPT6",28
"GO:0006623","protein targeting to vacuole","24/357","105/5135",1.2333098921475e-07,3.43106811995434e-05,3.08716939318606e-05,"ATG20/ATG1/ATG3/ATG9/ATG12/ATG8/ATG13/HSE1/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS9/VPS30/VPS33/APL5/VPS28/TLG2/SNF8/COG3/VID24/YPT6",24
"GO:0032258","cytoplasm to vacuole transport by the Cvt pathway","16/357","55/5135",5.1810363217295e-07,0.000120113692058762,0.000108074599763796,"ATG20/ATG1/ATG3/ATG9/ATG12/ATG8/ATG13/TRS85/VPS45/VPS34/COG8/VPS36/VPS30/TLG2/COG3/YPT6",16
"GO:0045721","negative regulation of gluconeogenesis","7/357","10/5135",7.41291136408438e-07,0.000147305138677734,0.000132540625742802,"FYV10/VID30/RMD5/VID28/UBC8/GID8/VID24",7
"GO:0005996","monosaccharide metabolic process","18/357","71/5135",9.62570234439345e-07,0.000167366899513141,0.000150591580098471,"FYV10/PYC1/VID30/GAL10/GAL4/RMD5/RBK1/VID28/UBC8/GID8/GAL7/PKP2/YPR1/GAL3/RGT1/PCK1/DOG1/VID24",18
"GO:0044282","small molecule catabolic process","27/357","148/5135",2.47710717059055e-06,0.000382850674921273,0.000344477242787388,"BAT2/PXA2/GAL10/INP53/PUT1/THI20/GDH2/RBK1/MPO1/UGA2/ARO80/FDH1/CAR2/ADR1/BNA1/GAL7/INP51/CAR1/ARO10/YPR1/ALT2/DSD1/MDH3/UGA1/PUT2/URH1/DUR1,2",27
"GO:0016192","vesicle-mediated transport","56/357","439/5135",3.37740702261045e-06,0.000469797316845114,0.00042270915261935,"ATG20/RIM8/DDI1/BRO1/ATG8/GYP7/HSE1/PEP5/TRS85/RET3/SEC1/INP53/MSB3/VPS45/VPS34/COG8/BZZ1/SSA1/VPS36/SYS1/SRO77/MVP1/GOS1/TRS120/ARV1/VPS9/APL1/SEC2/VPS30/SYN8/VPS33/APL5/GYP8/DSL1/YOS1/GID8/VPS35/SLY1/TVP15/VPS29/VTA1/INP51/RAV1/VPS53/EMP46/VPS28/LAA1/TLG2/SNF8/DOA4/COY1/GMH1/COG3/RVS167/APL2/YPT6",56
"GO:0019318","hexose metabolic process","16/357","64/5135",4.76172307096722e-06,0.000602141526519582,0.00054178839534737,"FYV10/PYC1/VID30/GAL10/GAL4/RMD5/VID28/UBC8/GID8/GAL7/PKP2/GAL3/RGT1/PCK1/DOG1/VID24",16
"GO:0006536","glutamate metabolic process","7/357","14/5135",1.6588530308724e-05,0.00177945382181668,0.00160109772911577,"PUT1/GDH2/UGA2/CAR2/GDH1/GLT1/PUT2",7
"GO:0000045","autophagosome assembly","12/357","42/5135",1.74012721617644e-05,0.00177945382181668,0.00160109772911577,"NPR3/ATG1/ATG3/ATG9/ATG12/ATG8/ATG13/PIK1/TRS85/VPS34/VPS30/YPT6",12
"GO:0043605","cellular amide catabolic process","6/357","10/5135",1.79096718227415e-05,0.00177945382181668,0.00160109772911577,"NIT2/DAL2/DAL3/NIT3/DAL4/DUR1,2",6
"GO:1905037","autophagosome organization","12/357","43/5135",2.26490021886376e-05,0.00207284810703694,0.00186508486833927,"NPR3/ATG1/ATG3/ATG9/ATG12/ATG8/ATG13/PIK1/TRS85/VPS34/VPS30/YPT6",12
"GO:0043648","dicarboxylic acid metabolic process","13/357","50/5135",2.38429688803674e-05,0.00207284810703694,0.00186508486833927,"HOM3/PUT1/MAE1/GDH2/UGA2/CAR2/BNA1/GDH1/NIT3/MDH3/GLT1/ARO1/PUT2",13
"GO:0006111","regulation of gluconeogenesis","7/357","15/5135",2.92573015009105e-05,0.0022609392437648,0.00203432347863056,"FYV10/VID30/RMD5/VID28/UBC8/GID8/VID24",7
"GO:0062014","negative regulation of small molecule metabolic process","7/357","15/5135",2.92573015009105e-05,0.0022609392437648,0.00203432347863056,"FYV10/VID30/RMD5/VID28/UBC8/GID8/VID24",7
"GO:0015711","organic anion transport","19/357","100/5135",4.42819516972583e-05,0.00303694162360966,0.00273254651365688,"BRO1/HSE1/ENB1/UGA4/AVT4/MUP3/VPS36/TNA1/AVT1/YMD8/DIP5/PUT4/VPS28/GAP1/GIT1/SNF8/DOA4/DAL5/SFC1",19
"GO:0010677","negative regulation of cellular carbohydrate metabolic process","7/357","16/5135",4.8928538020028e-05,0.00303694162360966,0.00273254651365688,"FYV10/VID30/RMD5/VID28/UBC8/GID8/VID24",7
"GO:0010906","regulation of glucose metabolic process","7/357","16/5135",4.8928538020028e-05,0.00303694162360966,0.00273254651365688,"FYV10/VID30/RMD5/VID28/UBC8/GID8/VID24",7
"GO:0045912","negative regulation of carbohydrate metabolic process","7/357","16/5135",4.8928538020028e-05,0.00303694162360966,0.00273254651365688,"FYV10/VID30/RMD5/VID28/UBC8/GID8/VID24",7
"GO:0006886","intracellular protein transport","52/357","435/5135",5.02154258396996e-05,0.00303694162360966,0.00273254651365688,"ATG20/PEX5/MDM12/PEX6/ATG1/ATG3/ATG9/DDI1/ATG12/BRO1/ATG8/ATG13/ERF2/GYP7/HSE1/PEP5/MDR1/TRS85/RET3/SEC1/MSB3/VPS45/FUS3/VPS34/COG8/SSA1/VPS36/HRD1/MVP1/VPS9/APL1/VPS30/SYN8/VPS33/APL5/SIS1/PEX12/GID8/VPS35/SLY1/VPS29/KAP114/BUB2/VPS28/TLG2/SAC3/SNF8/COG3/YME1/APL2/VID24/YPT6",52
"GO:0016482","cytosolic transport","14/357","62/5135",6.43268093057865e-05,0.00372827465601454,0.00335458667827106,"ATG20/PEP5/VPS45/SYS1/MVP1/TRS120/VPS9/VPS30/VPS35/VPS29/RAV1/VPS53/LAA1/YPT6",14
"GO:0006006","glucose metabolic process","12/357","48/5135",7.48606094613508e-05,0.00416524431042956,0.00374775851155984,"FYV10/PYC1/VID30/RMD5/VID28/UBC8/GID8/PKP2/RGT1/PCK1/DOG1/VID24",12
"GO:0009991","response to extracellular stimulus","24/357","153/5135",0.000118470945069722,0.00633819556123012,0.00570291310477325,"NPR3/BRO1/ATG8/VID30/GAL4/MSN4/YAK1/RDS2/VPS36/VHR1/GAT1/VPS30/KOG1/ADR1/SRS2/NTH1/PKP2/STB3/ENA1/GAL3/ATH1/GLT1/SNF8/MEP2",24
"GO:0009063","cellular amino acid catabolic process","13/357","58/5135",0.000127283005362004,0.0063484016635801,0.00571209624124767,"BAT2/PUT1/GDH2/UGA2/ARO80/CAR2/BNA1/CAR1/ARO10/ALT2/DSD1/UGA1/PUT2",13
"GO:0006094","gluconeogenesis","9/357","30/5135",0.000132353449492324,0.0063484016635801,0.00571209624124767,"FYV10/PYC1/VID30/RMD5/VID28/UBC8/GID8/PCK1/VID24",9
"GO:0019319","hexose biosynthetic process","9/357","30/5135",0.000132353449492324,0.0063484016635801,0.00571209624124767,"FYV10/PYC1/VID30/RMD5/VID28/UBC8/GID8/PCK1/VID24",9
"GO:0046364","monosaccharide biosynthetic process","9/357","31/5135",0.000175235888217998,0.00812510401704118,0.00731071828390174,"FYV10/PYC1/VID30/RMD5/VID28/UBC8/GID8/PCK1/VID24",9
"GO:1901606","alpha-amino acid catabolic process","11/357","45/5135",0.000185706580771659,0.00833283399527027,0.00749762731876072,"PUT1/GDH2/UGA2/ARO80/CAR2/BNA1/CAR1/ARO10/ALT2/DSD1/PUT2",11
"GO:0006511","ubiquitin-dependent protein catabolic process","31/357","228/5135",0.00019728199178442,0.00849027003507265,0.00763928341723212,"PNG1/DDI1/BRO1/FYV10/HSE1/RPN7/VID30/RPN5/UBP13/RMD5/SSA1/CDC27/VPS36/HRD1/NAT3/VID28/SAF1/UBC8/UFD4/RPN2/SIS1/GID8/RPN9/RPN6/VPS28/SNF8/DOA4/RPN3/RPN12/ASI3/VID24",31
"GO:0009065","glutamine family amino acid catabolic process","6/357","14/5135",0.000201422653599854,0.00849027003507265,0.00763928341723212,"PUT1/GDH2/UGA2/CAR2/CAR1/PUT2",6
"GO:0046395","carboxylic acid catabolic process","17/357","94/5135",0.000209833177013108,0.00858464556544802,0.0077241996120305,"BAT2/PXA2/PUT1/GDH2/MPO1/UGA2/ARO80/FDH1/CAR2/BNA1/CAR1/ARO10/ALT2/DSD1/MDH3/UGA1/PUT2",17
"GO:0016054","organic acid catabolic process","17/357","95/5135",0.000239647829036353,0.00948266604431473,0.00853221077353681,"BAT2/PXA2/PUT1/GDH2/MPO1/UGA2/ARO80/FDH1/CAR2/BNA1/CAR1/ARO10/ALT2/DSD1/MDH3/UGA1/PUT2",17
"GO:1901605","alpha-amino acid metabolic process","25/357","170/5135",0.00024541766901174,0.00948266604431473,0.00853221077353681,"BAT2/HOM3/PUT1/GDH2/UGA2/ARO80/MET17/CAR2/LYS5/BNA1/LYS1/MET12/CAR1/ARO10/GDH1/ALT2/DSD1/NIT3/ARG3/GLT1/PUT2/MET14/STR2/MET4/ARG81",25
"GO:0019941","modification-dependent protein catabolic process","31/357","234/5135",0.000316572887030356,0.0117217295888828,0.0105468511719563,"PNG1/DDI1/BRO1/FYV10/HSE1/RPN7/VID30/RPN5/UBP13/RMD5/SSA1/CDC27/VPS36/HRD1/NAT3/VID28/SAF1/UBC8/UFD4/RPN2/SIS1/GID8/RPN9/RPN6/VPS28/SNF8/DOA4/RPN3/RPN12/ASI3/VID24",31
"GO:0009605","response to external stimulus","24/357","163/5135",0.000320219787474872,0.0117217295888828,0.0105468511719563,"NPR3/BRO1/ATG8/VID30/GAL4/MSN4/YAK1/RDS2/VPS36/VHR1/GAT1/VPS30/KOG1/ADR1/SRS2/NTH1/PKP2/STB3/ENA1/GAL3/ATH1/GLT1/SNF8/MEP2",24
