"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","ncRNA processing","87/289","433/5135",1.13940680982934e-28,1.26246274529091e-25,1.15619806807945e-25,"SPB1/THG1/ROK1/TRM44/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/GCD10/PXR1/REX4/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/NCS2/HCA4/HAS1/DBP7/EFG1/NCS6/DBP3/NOP14/NOP9/TRM8/YTM1/RLP7/TRM10/UTP21/UTP14/RRP14/SUA5/DIP2/ELP2/DEG1/RRS1/PWP1/KRE33/TRM2/NOP53/ENP2/PWP2/TSR1/RRP12/NOP4/EMG1/NOC3/RRP8/NOB1/RPF2/UTP4/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/UTP7/SOF1/MPP10/LCP5/IMP3/RRB1/TYW1/TSR2/UTP15/ABP140/NOG1/MOD5/BMS1/TCD2/EBP2/MTR4/DUS1/NAF1/UTP18/SEN15/DUS4/NSR1",87
"GO:0042254","ribosome biogenesis","85/289","429/5135",1.72335047650221e-27,9.54736163982225e-25,8.74373610183227e-25,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/REX4/RRP3/DBP2/CCM1/IMP4/ARX1/DBP10/ERB1/HCA4/HAS1/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/UTP14/RRP14/DIP2/RRS1/PWP1/RPA43/KRE33/SGD1/NOP53/ENP2/PWP2/NOC2/TSR1/RRP12/NOP4/SDA1/EMG1/NOC3/RRP8/NOB1/RPF2/RPC40/UTP4/NAN1/MRD1/UTP13/RRP9/TMA23/NOP2/RRP5/TIF6/UTP22/RPA190/BUD20/UTP7/SOF1/MPP10/REI1/SSF2/LCP5/IMP3/RRB1/TSR2/UTP15/RIX7/RPA135/NEW1/NOG1/MAK21/BMS1/EBP2/MTR4/NAF1/NOG2/UTP18/NSR1",85
"GO:0006364","rRNA processing","69/289","314/5135",8.13970438057132e-25,3.00626415122434e-22,2.75321930627044e-22,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/REX4/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/HCA4/HAS1/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/UTP14/RRP14/DIP2/RRS1/PWP1/KRE33/NOP53/ENP2/PWP2/TSR1/RRP12/NOP4/EMG1/NOC3/RRP8/NOB1/RPF2/UTP4/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/UTP7/SOF1/MPP10/LCP5/IMP3/RRB1/TSR2/UTP15/NOG1/BMS1/EBP2/MTR4/NAF1/UTP18/NSR1",69
"GO:0016072","rRNA metabolic process","74/289","363/5135",1.63383423581863e-24,4.5257208332176e-22,4.14477948244516e-22,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/REX4/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/HCA4/HAS1/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/UTP14/RRP14/AIR1/DIP2/SPT15/RRS1/PWP1/RPA43/KRE33/NOP53/ENP2/PWP2/TSR1/RRP12/NOP4/EMG1/NOC3/RRP8/NOB1/RPF2/UTP4/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/RPA190/UTP7/SOF1/MPP10/LCP5/IMP3/RRB1/TSR2/UTP15/RPA135/NOG1/BMS1/EBP2/MTR4/NAF1/UTP18/NSR1",74
"GO:0042274","ribosomal small subunit biogenesis","42/289","145/5135",6.31232358729067e-20,1.39881090694361e-17,1.28106946066278e-17,"ROK1/PNO1/UTP25/LOC1/RRP3/IMP4/HAS1/EFG1/NOP14/NOP9/UTP21/UTP14/RRP14/DIP2/RRS1/KRE33/SGD1/ENP2/PWP2/TSR1/RRP12/EMG1/NOB1/UTP4/NAN1/MRD1/UTP13/RRP9/TMA23/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/IMP3/TSR2/UTP15/NEW1/BMS1/UTP18/NSR1",42
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","33/289","106/5135",7.25498593816019e-17,1.33975406991358e-14,1.22698358673446e-14,"ROK1/PNO1/UTP25/LOC1/RRP3/HAS1/EFG1/NOP14/NOP9/UTP14/DIP2/RRS1/ENP2/PWP2/TSR1/RRP12/EMG1/NOB1/UTP4/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/TSR2/UTP15/BMS1/UTP18",33
"GO:0030490","maturation of SSU-rRNA","34/289","118/5135",3.42661189120547e-16,5.42383710779381e-14,4.96729904228884e-14,"ROK1/PNO1/UTP25/LOC1/RRP3/HAS1/EFG1/NOP14/NOP9/UTP14/DIP2/RRS1/KRE33/ENP2/PWP2/TSR1/RRP12/EMG1/NOB1/UTP4/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/TSR2/UTP15/BMS1/UTP18",34
"GO:0042273","ribosomal large subunit biogenesis","34/289","127/5135",4.01036094009357e-15,5.5543499020296e-13,5.08682624506606e-13,"SPB1/SPB4/NOP12/MRH4/NOP16/NSA1/LOC1/REX4/DBP10/ERB1/HAS1/DBP7/DBP3/YTM1/RLP7/RRP14/RRS1/NOP53/NOC2/NOP4/SDA1/NOC3/RRP8/RPF2/NOP2/RRP5/TIF6/REI1/SSF2/TSR2/RIX7/NOG1/MAK21/EBP2",34
"GO:0000967","rRNA 5'-end processing","18/289","37/5135",1.27965315919203e-13,1.41785570038477e-11,1.29851120574854e-11,"ROK1/PNO1/LOC1/NOP14/NOP9/RLP7/UTP14/DIP2/PWP2/EMG1/MRD1/UTP13/RRP9/RRP5/UTP7/MPP10/BMS1/UTP18",18
"GO:0034471","ncRNA 5'-end processing","18/289","37/5135",1.27965315919203e-13,1.41785570038477e-11,1.29851120574854e-11,"ROK1/PNO1/LOC1/NOP14/NOP9/RLP7/UTP14/DIP2/PWP2/EMG1/MRD1/UTP13/RRP9/RRP5/UTP7/MPP10/BMS1/UTP18",18
