"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","ncRNA processing","87/190","433/5135",2.19525625196346e-45,1.96036383300337e-42,1.84170445559461e-42,"SPB1/THG1/ROK1/TRM44/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/GCD10/PXR1/REX4/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/NCS2/HCA4/HAS1/DBP7/EFG1/NCS6/DBP3/NOP14/NOP9/TRM8/YTM1/RLP7/TRM10/UTP21/UTP14/RRP14/SUA5/DIP2/ELP2/DEG1/RRS1/PWP1/KRE33/TRM2/NOP53/ENP2/PWP2/TSR1/RRP12/NOP4/EMG1/NOC3/RRP8/NOB1/RPF2/UTP4/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/UTP7/SOF1/MPP10/LCP5/IMP3/RRB1/TYW1/TSR2/UTP15/ABP140/NOG1/MOD5/BMS1/TCD2/EBP2/MTR4/DUS1/NAF1/UTP18/SEN15/DUS4/NSR1",87
"GO:0042254","ribosome biogenesis","85/190","429/5135",1.20290885729472e-43,5.37098804782093e-41,5.04588610138891e-41,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/REX4/RRP3/DBP2/CCM1/IMP4/ARX1/DBP10/ERB1/HCA4/HAS1/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/UTP14/RRP14/DIP2/RRS1/PWP1/RPA43/KRE33/SGD1/NOP53/ENP2/PWP2/NOC2/TSR1/RRP12/NOP4/SDA1/EMG1/NOC3/RRP8/NOB1/RPF2/RPC40/UTP4/NAN1/MRD1/UTP13/RRP9/TMA23/NOP2/RRP5/TIF6/UTP22/RPA190/BUD20/UTP7/SOF1/MPP10/REI1/SSF2/LCP5/IMP3/RRB1/TSR2/UTP15/RIX7/RPA135/NEW1/NOG1/MAK21/BMS1/EBP2/MTR4/NAF1/NOG2/UTP18/NSR1",85
"GO:0016072","rRNA metabolic process","74/190","363/5135",3.88972444897696e-38,1.15784131097881e-35,1.08775803011742e-35,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/REX4/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/HCA4/HAS1/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/UTP14/RRP14/AIR1/DIP2/SPT15/RRS1/PWP1/RPA43/KRE33/NOP53/ENP2/PWP2/TSR1/RRP12/NOP4/EMG1/NOC3/RRP8/NOB1/RPF2/UTP4/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/RPA190/UTP7/SOF1/MPP10/LCP5/IMP3/RRB1/TSR2/UTP15/RPA135/NOG1/BMS1/EBP2/MTR4/NAF1/UTP18/NSR1",74
"GO:0006364","rRNA processing","69/190","314/5135",1.5776291880586e-37,3.52205716234081e-35,3.308869639165e-35,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/REX4/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/HCA4/HAS1/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/UTP14/RRP14/DIP2/RRS1/PWP1/KRE33/NOP53/ENP2/PWP2/TSR1/RRP12/NOP4/EMG1/NOC3/RRP8/NOB1/RPF2/UTP4/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/UTP7/SOF1/MPP10/LCP5/IMP3/RRB1/TSR2/UTP15/NOG1/BMS1/EBP2/MTR4/NAF1/UTP18/NSR1",69
"GO:0042274","ribosomal small subunit biogenesis","42/190","145/5135",1.86634841029159e-27,3.33329826078078e-25,3.13153617474189e-25,"ROK1/PNO1/UTP25/LOC1/RRP3/IMP4/HAS1/EFG1/NOP14/NOP9/UTP21/UTP14/RRP14/DIP2/RRS1/KRE33/SGD1/ENP2/PWP2/TSR1/RRP12/EMG1/NOB1/UTP4/NAN1/MRD1/UTP13/RRP9/TMA23/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/IMP3/TSR2/UTP15/NEW1/BMS1/UTP18/NSR1",42
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","33/190","106/5135",1.03930354567706e-22,1.54683011048269e-20,1.45320162439407e-20,"ROK1/PNO1/UTP25/LOC1/RRP3/HAS1/EFG1/NOP14/NOP9/UTP14/DIP2/RRS1/ENP2/PWP2/TSR1/RRP12/EMG1/NOB1/UTP4/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/TSR2/UTP15/BMS1/UTP18",33
"GO:0030490","maturation of SSU-rRNA","34/190","118/5135",3.74901828889932e-22,4.78267618855298e-20,4.49318432519211e-20,"ROK1/PNO1/UTP25/LOC1/RRP3/HAS1/EFG1/NOP14/NOP9/UTP14/DIP2/RRS1/KRE33/ENP2/PWP2/TSR1/RRP12/EMG1/NOB1/UTP4/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/TSR2/UTP15/BMS1/UTP18",34
"GO:0042273","ribosomal large subunit biogenesis","34/190","127/5135",5.24464541397129e-21,5.85433544334545e-19,5.49997683544094e-19,"SPB1/SPB4/NOP12/MRH4/NOP16/NSA1/LOC1/REX4/DBP10/ERB1/HAS1/DBP7/DBP3/YTM1/RLP7/RRP14/RRS1/NOP53/NOC2/NOP4/SDA1/NOC3/RRP8/RPF2/NOP2/RRP5/TIF6/REI1/SSF2/TSR2/RIX7/NOG1/MAK21/EBP2",34
"GO:0000460","maturation of 5.8S rRNA","27/190","92/5135",6.08137055879085e-18,5.43066390900023e-16,5.10194982669085e-16,"SPB1/ROK1/PNO1/LOC1/DBP10/ERB1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP14/DIP2/RRS1/PWP2/EMG1/RPF2/MRD1/UTP13/RRP9/RRP5/TIF6/UTP7/MPP10/LCP5/MTR4/UTP18",27
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","27/190","92/5135",6.08137055879085e-18,5.43066390900023e-16,5.10194982669085e-16,"SPB1/ROK1/PNO1/LOC1/DBP10/ERB1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP14/DIP2/RRS1/PWP2/EMG1/RPF2/MRD1/UTP13/RRP9/RRP5/TIF6/UTP7/MPP10/LCP5/MTR4/UTP18",27
