"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019752","carboxylic acid metabolic process","30/99","387/5135",1.13842858937368e-11,4.02206670103879e-09,3.41091510754295e-09,"ICL1/ILV6/BAT2/BIO4/MLS1/PYC1/GCV2/PUT1/ARO8/UGA2/CAR2/DLD1/BNA1/LYS1/ASP3-4/CAR1/ANT1/ARO10/GDH1/ALT2/UGA1/SNZ1/GLT1/PUT2/MET14/ALD4/GCV1/MET4/ALD2/SNO1",30
"GO:0016054","organic acid catabolic process","16/99","95/5135",1.68647837259039e-11,4.02206670103879e-09,3.41091510754295e-09,"BAT2/GCV2/PUT1/ARO8/UGA2/CAR2/DLD1/BNA1/ASP3-4/CAR1/ANT1/ARO10/ALT2/UGA1/PUT2/GCV1",16
"GO:0009063","cellular amino acid catabolic process","13/99","58/5135",3.52037775256557e-11,4.02206670103879e-09,3.41091510754295e-09,"BAT2/GCV2/PUT1/UGA2/CAR2/BNA1/ASP3-4/CAR1/ARO10/ALT2/UGA1/PUT2/GCV1",13
"GO:0043436","oxoacid metabolic process","30/99","405/5135",3.64397662178927e-11,4.02206670103879e-09,3.41091510754295e-09,"ICL1/ILV6/BAT2/BIO4/MLS1/PYC1/GCV2/PUT1/ARO8/UGA2/CAR2/DLD1/BNA1/LYS1/ASP3-4/CAR1/ANT1/ARO10/GDH1/ALT2/UGA1/SNZ1/GLT1/PUT2/MET14/ALD4/GCV1/MET4/ALD2/SNO1",30
"GO:1901605","alpha-amino acid metabolic process","20/99","170/5135",3.67337856758865e-11,4.02206670103879e-09,3.41091510754295e-09,"ILV6/BAT2/GCV2/PUT1/ARO8/UGA2/CAR2/BNA1/LYS1/ASP3-4/CAR1/ARO10/GDH1/ALT2/GLT1/PUT2/MET14/GCV1/MET4/SNO1",20
"GO:0006520","cellular amino acid metabolic process","23/99","235/5135",4.65860840378176e-11,4.02206670103879e-09,3.41091510754295e-09,"ILV6/BAT2/GCV2/PUT1/ARO8/UGA2/CAR2/BNA1/LYS1/ASP3-4/CAR1/ARO10/GDH1/ALT2/UGA1/SNZ1/GLT1/PUT2/MET14/GCV1/MET4/ALD2/SNO1",23
"GO:0006082","organic acid metabolic process","30/99","409/5135",4.67682174539394e-11,4.02206670103879e-09,3.41091510754295e-09,"ICL1/ILV6/BAT2/BIO4/MLS1/PYC1/GCV2/PUT1/ARO8/UGA2/CAR2/DLD1/BNA1/LYS1/ASP3-4/CAR1/ANT1/ARO10/GDH1/ALT2/UGA1/SNZ1/GLT1/PUT2/MET14/ALD4/GCV1/MET4/ALD2/SNO1",30
"GO:0046395","carboxylic acid catabolic process","15/99","94/5135",1.7152653619797e-10,1.29073718488972e-08,1.09461013231599e-08,"BAT2/GCV2/PUT1/UGA2/CAR2/DLD1/BNA1/ASP3-4/CAR1/ANT1/ARO10/ALT2/UGA1/PUT2/GCV1",15
"GO:0044282","small molecule catabolic process","18/99","148/5135",2.2891294543125e-10,1.53117325721792e-08,1.29851202963925e-08,"BAT2/GCV2/PUT1/ARO8/UGA2/CAR2/DLD1/BNA1/ASP3-4/CAR1/ANT1/ARO10/YPR1/ALT2/UGA1/PUT2/DUR1,2/GCV1",18
"GO:1901606","alpha-amino acid catabolic process","11/99","45/5135",4.59556948692256e-10,2.76653283112738e-08,2.34615915911309e-08,"GCV2/PUT1/UGA2/CAR2/BNA1/ASP3-4/CAR1/ARO10/ALT2/PUT2/GCV1",11
"GO:0006536","glutamate metabolic process","6/99","14/5135",1.16935488288953e-07,5.8662636624958e-06,4.97488700176685e-06,"PUT1/UGA2/CAR2/GDH1/GLT1/PUT2",6
"GO:0009065","glutamine family amino acid catabolic process","6/99","14/5135",1.16935488288953e-07,5.8662636624958e-06,4.97488700176685e-06,"PUT1/UGA2/CAR2/ASP3-4/CAR1/PUT2",6
"GO:0009064","glutamine family amino acid metabolic process","9/99","55/5135",7.78649651579454e-07,3.60574684808332e-05,3.05785490701243e-05,"PUT1/UGA2/CAR2/ASP3-4/CAR1/GDH1/GLT1/PUT2/SNO1",9
"GO:0044283","small molecule biosynthetic process","21/99","333/5135",9.12390759871882e-07,3.92328026744909e-05,3.32713923712679e-05,"ILV6/BAT2/BIO4/PYC1/THI4/PUT1/ARO8/CAR2/BNA1/LYS1/ARO10/GDH1/SNZ1/PCK1/GLT1/PUT2/MET14/ALD4/MET4/ALD2/SNO1",21
"GO:0046942","carboxylic acid transport","9/99","57/5135",1.06715842214028e-06,4.28286246752299e-05,3.63208305079323e-05,"CAN1/UGA4/AVT4/AVT1/DIP5/PUT4/GAP1/DAL5/SFC1",9
"GO:0016053","organic acid biosynthetic process","15/99","189/5135",2.51189372383998e-06,8.89505895148041e-05,7.54345793227487e-05,"ILV6/BAT2/BIO4/PUT1/ARO8/CAR2/BNA1/LYS1/GDH1/GLT1/PUT2/MET14/ALD4/MET4/ALD2",15
"GO:0046394","carboxylic acid biosynthetic process","15/99","189/5135",2.51189372383998e-06,8.89505895148041e-05,7.54345793227487e-05,"ILV6/BAT2/BIO4/PUT1/ARO8/CAR2/BNA1/LYS1/GDH1/GLT1/PUT2/MET14/ALD4/MET4/ALD2",15
"GO:0008652","cellular amino acid biosynthetic process","12/99","128/5135",5.02314307346666e-06,0.000167996229457052,0.000142469262610019,"ILV6/BAT2/PUT1/ARO8/CAR2/LYS1/GDH1/GLT1/PUT2/MET14/MET4/ALD2",12
