"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","ribonucleoprotein complex biogenesis","226/772","411/4568",2.85588419297879e-78,4.39520577299435e-75,3.98621309462092e-75,"SLX9/SPB1/ROK1/RSA3/PNO1/SPB4/RRP36/RSE1/NOP12/RVB1/MRH4/NOP16/RPB5/UTP10/UTP25/NSA1/LOC1/NOP7/RVB2/PXR1/RRP3/RIX1/DBP9/DBP2/GRC3/CCM1/PRT1/IMP4/BFR2/DBP10/DBP8/NIP1/DED1/BCP1/RPG1/GEP3/ERB1/TIF34/DRS1/TIF35/HCA4/TMA22/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/ISY1/NOP9/DIM1/MAK5/ESF2/TIF1/JIP5/FAL1/NOP10/RAT1/YTM1/RLP7/PRP5/UTP21/BUD27/RRP14/FAP7/RCM1/HSH155/TSR3/PRP4/PRP22/RNA1/TIF11/AFG2/NPL3/RIO2/DIP2/PRP6/TIF3/NOP6/NUG1/RPO26/YJU2/BMT6/RNH70/RPC19/RRP17/RRP42/SSZ1/HPM1/MUD2/RRS1/ESF1/PWP1/YAR1/KRE33/RPB10/UTP9/NAM8/URB1/NOP15/MRM2/SMX3/SGD1/NOP53/POP1/ENP2/LSG1/UTP11/UTP30/NOC2/TMA108/TSR1/CSL4/SRM1/RPC10/RRP12/RPF1/SMD2/NOP4/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/NOC3/LAS1/NAP1/NOB1/RPF2/TIF4632/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/TMA23/CUS1/NOP2/RRP5/NIC96/SSB2/PRP19/JJJ1/TIF6/UTP22/RPA190/BUD20/UTP7/RRP15/FUN12/BUD23/YVH1/SOF1/MPP10/REI1/RRP46/SSF2/CDC33/LCP5/RRP1/BRR2/PUS7/SUI3/ARB1/RPB8/RRB1/POP7/SKI6/NOP13/TSR2/RIX7/RIO1/ZUO1/LSM7/SMD3/SUI2/SQT1/ACL4/PRP24/RNT1/DHR2/MAK11/RRP4/DIS3/THO1/NEW1/NOG1/HIT1/MEX67/PRP18/CDC73/BMT2/MAK21/PIH1/BMS1/TMA20/FCF1/NUP85/POP3/FAF1/IST3/RRP7/TSR4/EBP2/SYO1/LTV1/NSP1/MTR4/FCF2/MSS116/KRI1/NAF1/GCD11/BMT5/NOG2/UTP18/UTP20/TRM112/SHQ1/POP4/NSR1/ENP1",226
"GO:0034660","ncRNA metabolic process","231/772","447/4568",5.75399761500571e-73,4.42770116474689e-70,4.01568465131451e-70,"SLX9/SPB1/THG1/ROK1/TRM44/PNO1/SPB4/RPC82/RRP36/NOP12/MRH4/NOP16/RPB5/RPO31/UTP10/UTP25/NSA1/LOC1/GCD10/NOP7/RVB2/SET2/PXR1/RRP3/RIX1/DBP9/DBP2/GRC3/DUS3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/NCS2/DRS1/HCA4/FYV7/DBP7/EFG1/NCS6/DBP3/HCR1/DBP6/KAE1/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/TRM8/GCD14/TRM13/RAT1/URM1/YTM1/RLP7/TRM10/MTO1/UTP21/TRM5/SEN54/RRP14/FAP7/RCM1/AIR1/SUA5/TSR3/PRP4/PUS1/ELP3/NPL3/RPC17/RIO2/DIP2/NOP6/NUG1/RPO26/BMT6/ELP2/RNH70/RPC19/RRP17/RRP42/SSZ1/DEG1/RRS1/ESF1/TYW3/ISM1/PWP1/TBF1/PAP2/SES1/KRE33/RPB10/UTP9/TRM2/URB1/NOP15/MRM2/MSS1/LEO1/RPC11/NOP53/TRM9/POP1/ENP2/ELP4/UTP11/SLM5/UTP30/TSR1/CSL4/MSK1/RTT10/RPC10/RRP12/TRL1/ARC1/MST1/RRN11/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/GUS1/RRP5/MSE1/PZF1/SSB2/JJJ1/TIF6/UTP22/RPA190/UTP7/RRP15/FUN12/BUD23/LHP1/SOF1/MPP10/RRP46/TAN1/RPC25/LCP5/RRP1/RRN5/PUS7/RPB8/RRB1/POP7/TYW1/SKI6/NCL1/TSR2/RRN7/ABP140/RIO1/ZUO1/LSM7/RNT1/DHR2/MAK11/RRP4/IKI3/RPC53/DIS3/FCY1/TGS1/NOG1/HIT1/DST1/RPC31/CDC73/BMT2/PIH1/MOD5/BMS1/FCF1/PUS4/DOM34/DIA4/POP3/FAF1/TCD2/RET1/RRP7/TSR4/TRM1/EBP2/TRM732/MTR4/FCF2/RPC34/KTI12/MSS116/DUS1/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/SEN2/DUS4/POP4/NSR1/TRZ1/ENP1/ALA1/MSW1",231
"GO:0034470","ncRNA processing","196/772","348/4568",2.82318213071846e-69,1.44829243305857e-66,1.31352263345006e-66,"SLX9/SPB1/THG1/ROK1/TRM44/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/UTP10/UTP25/NSA1/LOC1/GCD10/NOP7/RVB2/PXR1/RRP3/RIX1/DBP9/DBP2/GRC3/DUS3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/NCS2/DRS1/HCA4/FYV7/DBP7/EFG1/NCS6/DBP3/HCR1/DBP6/KAE1/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/TRM8/GCD14/TRM13/RAT1/URM1/YTM1/RLP7/TRM10/MTO1/UTP21/TRM5/SEN54/RRP14/FAP7/RCM1/SUA5/TSR3/PRP4/PUS1/ELP3/NPL3/RIO2/DIP2/NOP6/NUG1/BMT6/ELP2/RNH70/RRP17/RRP42/SSZ1/DEG1/RRS1/ESF1/TYW3/PWP1/PAP2/KRE33/UTP9/TRM2/URB1/NOP15/MRM2/MSS1/RPC11/NOP53/TRM9/POP1/ENP2/ELP4/UTP11/UTP30/TSR1/CSL4/MSK1/RTT10/RRP12/TRL1/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/UTP22/UTP7/RRP15/FUN12/BUD23/LHP1/SOF1/MPP10/RRP46/TAN1/LCP5/RRP1/PUS7/RRB1/POP7/TYW1/SKI6/NCL1/TSR2/ABP140/RIO1/ZUO1/LSM7/RNT1/DHR2/MAK11/RRP4/IKI3/DIS3/FCY1/TGS1/NOG1/HIT1/BMT2/PIH1/MOD5/BMS1/FCF1/PUS4/POP3/FAF1/TCD2/RRP7/TSR4/TRM1/EBP2/TRM732/MTR4/FCF2/KTI12/MSS116/DUS1/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/SEN2/DUS4/POP4/NSR1/TRZ1/ENP1/ALA1",196
"GO:0042254","ribosome biogenesis","186/772","329/4568",8.44846756973944e-66,3.25054789745725e-63,2.94807052565118e-63,"SLX9/SPB1/ROK1/RSA3/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/RPB5/UTP10/UTP25/NSA1/LOC1/NOP7/RVB2/PXR1/RRP3/RIX1/DBP9/DBP2/GRC3/CCM1/IMP4/BFR2/DBP10/DBP8/BCP1/GEP3/ERB1/DRS1/HCA4/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/JIP5/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/RRP14/FAP7/RCM1/TSR3/RNA1/AFG2/NPL3/RIO2/DIP2/NOP6/NUG1/RPO26/BMT6/RNH70/RPC19/RRP17/RRP42/SSZ1/HPM1/RRS1/ESF1/PWP1/YAR1/KRE33/RPB10/UTP9/URB1/NOP15/MRM2/SGD1/NOP53/POP1/ENP2/LSG1/UTP11/UTP30/NOC2/TMA108/TSR1/CSL4/SRM1/RPC10/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/NOC3/LAS1/NAP1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/TMA23/NOP2/RRP5/NIC96/SSB2/JJJ1/TIF6/UTP22/RPA190/BUD20/UTP7/RRP15/FUN12/BUD23/YVH1/SOF1/MPP10/REI1/RRP46/SSF2/LCP5/RRP1/PUS7/ARB1/RPB8/RRB1/POP7/SKI6/TSR2/RIX7/RIO1/ZUO1/LSM7/SQT1/ACL4/RNT1/DHR2/MAK11/RRP4/DIS3/NEW1/NOG1/HIT1/MEX67/BMT2/MAK21/PIH1/BMS1/TMA20/FCF1/NUP85/POP3/FAF1/RRP7/TSR4/EBP2/SYO1/LTV1/NSP1/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/NOG2/UTP18/UTP20/TRM112/POP4/NSR1/ENP1",186
"GO:0006364","rRNA processing","146/772","234/4568",1.22281376442229e-58,3.76382076689182e-56,3.4135811613136e-56,"SLX9/SPB1/ROK1/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/UTP10/UTP25/NSA1/LOC1/NOP7/RVB2/PXR1/RRP3/RIX1/DBP9/DBP2/GRC3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/DRS1/HCA4/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/RRP14/FAP7/RCM1/TSR3/NPL3/RIO2/DIP2/NOP6/NUG1/BMT6/RNH70/RRP17/RRP42/SSZ1/RRS1/ESF1/PWP1/KRE33/UTP9/URB1/NOP15/MRM2/NOP53/POP1/ENP2/UTP11/UTP30/TSR1/CSL4/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/UTP22/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/LCP5/RRP1/PUS7/RRB1/POP7/SKI6/TSR2/RIO1/ZUO1/LSM7/RNT1/DHR2/MAK11/RRP4/DIS3/NOG1/HIT1/BMT2/PIH1/BMS1/FCF1/POP3/FAF1/RRP7/TSR4/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/POP4/NSR1/ENP1",146
"GO:0016072","rRNA metabolic process","157/772","277/4568",4.55800200641637e-55,1.1691275146458e-52,1.06033520359791e-52,"SLX9/SPB1/ROK1/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/UTP10/UTP25/NSA1/LOC1/NOP7/RVB2/PXR1/RRP3/RIX1/DBP9/DBP2/GRC3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/DRS1/HCA4/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/RRP14/FAP7/RCM1/AIR1/TSR3/NPL3/RIO2/DIP2/NOP6/NUG1/BMT6/RNH70/RRP17/RRP42/SSZ1/RRS1/ESF1/PWP1/PAP2/KRE33/UTP9/URB1/NOP15/MRM2/LEO1/NOP53/POP1/ENP2/UTP11/UTP30/TSR1/CSL4/RRP12/RRN11/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/PZF1/SSB2/JJJ1/TIF6/UTP22/RPA190/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/LCP5/RRP1/RRN5/PUS7/RRB1/POP7/SKI6/TSR2/RRN7/RIO1/ZUO1/LSM7/RNT1/DHR2/MAK11/RRP4/DIS3/NOG1/HIT1/DST1/CDC73/BMT2/PIH1/BMS1/FCF1/DOM34/POP3/FAF1/RRP7/TSR4/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/POP4/NSR1/ENP1",157
"GO:0042274","ribosomal small subunit biogenesis","74/772","113/4568",1.75026767970863e-31,3.8480885129594e-29,3.49000743352427e-29,"SLX9/ROK1/PNO1/RRP36/UTP10/UTP25/LOC1/NOP7/RRP3/IMP4/BFR2/DBP8/GEP3/FYV7/EFG1/HCR1/NOP14/NOP9/DIM1/ESF2/FAL1/UTP21/RRP14/FAP7/TSR3/RIO2/DIP2/NOP6/RRS1/YAR1/KRE33/UTP9/SGD1/ENP2/UTP11/UTP30/TSR1/RRP12/ECM16/PRP43/NAP1/NOB1/BUD22/NAN1/MRD1/UTP13/RRP9/TMA23/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/RIO1/LSM7/DHR2/NEW1/BMS1/FCF1/FAF1/RRP7/TSR4/LTV1/FCF2/KRI1/UTP18/UTP20/TRM112/NSR1/ENP1",74
"GO:0030490","maturation of SSU-rRNA","62/772","88/4568",2.98126215398164e-29,5.73520306872218e-27,5.20151791602586e-27,"SLX9/ROK1/PNO1/RRP36/UTP10/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/GEP3/FYV7/EFG1/HCR1/NOP14/NOP9/DIM1/ESF2/FAL1/FAP7/TSR3/RIO2/DIP2/RRS1/KRE33/UTP9/ENP2/UTP11/UTP30/TSR1/RRP12/ECM16/PRP43/NOB1/BUD22/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/RIO1/LSM7/DHR2/BMS1/FCF1/FAF1/TSR4/FCF2/KRI1/UTP18/UTP20/TRM112/ENP1",62
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","55/772","78/4568",4.57190145460551e-26,7.81795148737541e-24,7.090457694511e-24,"SLX9/ROK1/PNO1/RRP36/UTP10/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/FYV7/EFG1/HCR1/NOP14/NOP9/DIM1/ESF2/FAL1/FAP7/RIO2/DIP2/RRS1/UTP9/ENP2/UTP11/UTP30/TSR1/RRP12/ECM16/PRP43/NOB1/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/RIO1/DHR2/BMS1/FCF1/FAF1/FCF2/KRI1/UTP18/UTP20/ENP1",55
"GO:0000460","maturation of 5.8S rRNA","54/772","77/4568",2.01974065914997e-25,2.82580079493801e-23,2.56284795601231e-23,"SPB1/ROK1/PNO1/UTP10/LOC1/NOP7/GRC3/DBP10/DBP8/ERB1/DBP3/DBP6/NOP14/NOP9/MAK5/ESF2/RAT1/YTM1/RLP7/DIP2/RNH70/RRP42/RRS1/URB1/UTP11/CSL4/RPF1/PRP43/CIC1/LAS1/RPF2/MRD1/UTP13/RRP43/RRP9/RRP5/TIF6/UTP7/RRP15/BUD23/MPP10/RRP46/LCP5/SKI6/MAK11/RRP4/DIS3/FCF1/MTR4/FCF2/KRI1/UTP18/UTP20/ENP1",54
