"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006536","glutamate metabolic process","7/96","14/5135",1.97563818429336e-09,6.39118952618903e-07,5.59417549026226e-07,"PUT1/UGA2/CAR2/GDH1/GAD1/GLT1/PUT2",7
"GO:0009065","glutamine family amino acid catabolic process","7/96","14/5135",1.97563818429336e-09,6.39118952618903e-07,5.59417549026226e-07,"PUT1/UGA2/CAR2/ASP3-4/CAR1/GAD1/PUT2",7
"GO:0009064","glutamine family amino acid metabolic process","10/96","55/5135",4.74082010797407e-08,1.02243686995307e-05,8.94933760733351e-06,"GLN1/PUT1/UGA2/CAR2/ASP3-4/CAR1/GDH1/GAD1/GLT1/PUT2",10
"GO:0043648","dicarboxylic acid metabolic process","8/96","50/5135",3.13117689952571e-06,0.000506467863498284,0.000443308729459167,"PUT1/MAE1/UGA2/CAR2/GDH1/GAD1/GLT1/PUT2",8
"GO:0055085","transmembrane transport","22/96","411/5135",4.37176441549047e-06,0.000523066431494458,0.000457837371095776,"ENB1/ATO2/UGA4/ESBP6/PHM7/MPH3/PDR10/DIP5/OPT1/PUT4/AGP1/GAP1/SPO75/FCY21/DAL4/MEP2/AQY1/JEN1/DUR3/SFC1/MEP3/KHA1",22
"GO:0009084","glutamine family amino acid biosynthetic process","6/96","25/5135",4.85069333688833e-06,0.000523066431494458,0.000457837371095776,"GLN1/PUT1/CAR2/GDH1/GLT1/PUT2",6
"GO:0046395","carboxylic acid catabolic process","10/96","94/5135",8.03480867387958e-06,0.000635691937248919,0.000556417900008002,"PUT1/UGA2/CAR2/POT1/ASP3-4/CAR1/GAD1/UGA1/FOX2/PUT2",10
"GO:0046942","carboxylic acid transport","8/96","57/5135",8.65523782495976e-06,0.000635691937248919,0.000556417900008002,"ATO2/UGA4/DIP5/PUT4/AGP1/GAP1/JEN1/SFC1",8
"GO:0016054","organic acid catabolic process","10/96","95/5135",8.84270082726471e-06,0.000635691937248919,0.000556417900008002,"PUT1/UGA2/CAR2/POT1/ASP3-4/CAR1/GAD1/UGA1/FOX2/PUT2",10
"GO:0009063","cellular amino acid catabolic process","8/96","58/5135",9.88714867324338e-06,0.000639698519158847,0.000559924840653152,"PUT1/UGA2/CAR2/ASP3-4/CAR1/GAD1/UGA1/PUT2",8
"GO:0043436","oxoacid metabolic process","21/96","405/5135",1.24540588549936e-05,0.000732525098107351,0.000641175470237948,"GLN1/BIO4/PYC1/PUT1/VTC5/MAE1/UGA2/LEU1/CAR2/POT1/BIO3/ASP3-4/CAR1/GDH1/GAD1/UGA1/FOX2/GLT1/PUT2/ALD4/ALD2",21
"GO:0006082","organic acid metabolic process","21/96","409/5135",1.44965318574301e-05,0.000781604675979774,0.000684134573622579,"GLN1/BIO4/PYC1/PUT1/VTC5/MAE1/UGA2/LEU1/CAR2/POT1/BIO3/ASP3-4/CAR1/GDH1/GAD1/UGA1/FOX2/GLT1/PUT2/ALD4/ALD2",21
"GO:1901606","alpha-amino acid catabolic process","7/96","45/5135",1.62694818805438e-05,0.000809719598208601,0.000708743421192919,"PUT1/UGA2/CAR2/ASP3-4/CAR1/GAD1/PUT2",7
"GO:0019752","carboxylic acid metabolic process","20/96","387/5135",2.20043381979852e-05,0.00101691477243546,0.000890100297031281,"GLN1/BIO4/PYC1/PUT1/MAE1/UGA2/LEU1/CAR2/POT1/BIO3/ASP3-4/CAR1/GDH1/GAD1/UGA1/FOX2/GLT1/PUT2/ALD4/ALD2",20
"GO:0019740","nitrogen utilization","5/96","22/5135",4.21056906630756e-05,0.00181615879060066,0.00158967449661296,"ATO2/GAT1/GLT1/MEP2/MEP3",5
"GO:0006811","ion transport","17/96","324/5135",8.35384014959403e-05,0.00321183656925474,0.00281130411495819,"ENB1/ATO2/FRE7/UGA4/PHM7/MPH3/DIP5/PUT4/AGP1/GAP1/SPO75/MEP2/JEN1/DUR3/SFC1/MEP3/KHA1",17
"GO:0044282","small molecule catabolic process","11/96","148/5135",8.43913781720719e-05,0.00321183656925474,0.00281130411495819,"PUT1/UGA2/CAR2/POT1/ASP3-4/CAR1/GAD1/UGA1/FOX2/PUT2/DUR1,2",11
"GO:0015711","organic anion transport","9/96","100/5135",8.94322222438165e-05,0.00321459154398607,0.00281371553024405,"ENB1/ATO2/UGA4/DIP5/PUT4/AGP1/GAP1/JEN1/SFC1",9
"GO:0006520","cellular amino acid metabolic process","14/96","235/5135",0.000100131794883803,0.00340975112051688,0.00298453770900201,"GLN1/PUT1/MAE1/UGA2/LEU1/CAR2/ASP3-4/CAR1/GDH1/GAD1/UGA1/GLT1/PUT2/ALD2",14
"GO:1905039","carboxylic acid transmembrane transport","7/96","60/5135",0.000110168038708751,0.00356393605222809,0.00311949499080568,"ATO2/DIP5/PUT4/AGP1/GAP1/JEN1/SFC1",7
"GO:1903825","organic acid transmembrane transport","7/96","61/5135",0.000122568624097428,0.0037762809424303,0.00330535938668754,"ATO2/DIP5/PUT4/AGP1/GAP1/JEN1/SFC1",7
"GO:0006820","anion transport","10/96","132/5135",0.000154352938250863,0.00453937959310493,0.00397329573105093,"ENB1/ATO2/UGA4/DIP5/PUT4/AGP1/GAP1/JEN1/SFC1/KHA1",10
"GO:0015849","organic acid transport","8/96","86/5135",0.00017814590052235,0.00501132163643306,0.00438638418677456,"ATO2/UGA4/DIP5/PUT4/AGP1/GAP1/JEN1/SFC1",8
"GO:1901605","alpha-amino acid metabolic process","11/96","170/5135",0.000290237027434262,0.00782430653124863,0.00684857547191372,"GLN1/PUT1/UGA2/LEU1/CAR2/ASP3-4/CAR1/GDH1/GAD1/GLT1/PUT2",11
"GO:0032787","monocarboxylic acid metabolic process","10/96","156/5135",0.000598613650122686,0.0154921212651751,0.0135601744743581,"BIO4/PYC1/MAE1/UGA2/POT1/BIO3/UGA1/FOX2/ALD4/ALD2",10
"GO:0016053","organic acid biosynthetic process","11/96","189/5135",0.000718126607616289,0.0168589692410804,0.0147565695138717,"GLN1/BIO4/PUT1/LEU1/CAR2/BIO3/GDH1/GLT1/PUT2/ALD4/ALD2",11
"GO:0046394","carboxylic acid biosynthetic process","11/96","189/5135",0.000718126607616289,0.0168589692410804,0.0147565695138717,"GLN1/BIO4/PUT1/LEU1/CAR2/BIO3/GDH1/GLT1/PUT2/ALD4/ALD2",11
"GO:0006812","cation transport","12/96","220/5135",0.00072959990533269,0.0168589692410804,0.0147565695138717,"ENB1/ATO2/FRE7/UGA4/PHM7/MPH3/AGP1/SPO75/MEP2/DUR3/MEP3/KHA1",12
"GO:0034220","ion transmembrane transport","12/96","223/5135",0.000822919003073605,0.0183596067237456,0.0160700698240871,"ENB1/ATO2/PHM7/MPH3/AGP1/SPO75/MEP2/JEN1/DUR3/SFC1/MEP3/KHA1",12
"GO:0043650","dicarboxylic acid biosynthetic process","4/96","25/5135",0.00107369981203891,0.0231561259463059,0.0202684385570855,"PUT1/GDH1/GLT1/PUT2",4
"GO:0044283","small molecule biosynthetic process","15/96","333/5135",0.00116081759429003,0.0242273865646985,0.0212061074950098,"GLN1/THI13/BIO4/PYC1/PUT1/LEU1/CAR2/BIO3/GDH1/PCK1/GLT1/PUT2/INO1/ALD4/ALD2",15
"GO:0098655","cation transmembrane transport","10/96","175/5135",0.00145625787686267,0.029443713947817,0.0257719321628985,"ENB1/ATO2/PHM7/MPH3/AGP1/SPO75/MEP2/DUR3/MEP3/KHA1",10
"GO:0015846","polyamine transport","3/96","13/5135",0.00158087889279698,0.0309948073830195,0.0271295963102001,"UGA4/GAP1/DUR3",3
"GO:0006099","tricarboxylic acid cycle","4/96","29/5135",0.00190389433968907,0.0362299893464361,0.0317119242957498,"SHH3/SDH2/SDH4/SDH1",4
"GO:1990414","replication-born double-strand break repair via sister chromatid exchange","3/96","14/5135",0.00198489484734674,0.0366921990352382,0.0321164940713547,"PDR10/SMC3/MCD1",3
"GO:0006995","cellular response to nitrogen starvation","3/96","15/5135",0.00244768679997099,0.0416750884100325,0.0364779916449971,"ATG7/GAT1/ASP3-4",3
"GO:0015804","neutral amino acid transport","3/96","15/5135",0.00244768679997099,0.0416750884100325,0.0364779916449971,"PUT4/AGP1/GAP1",3
"GO:0043562","cellular response to nitrogen levels","3/96","15/5135",0.00244768679997099,0.0416750884100325,0.0364779916449971,"ATG7/GAT1/ASP3-4",3
"GO:0008652","cellular amino acid biosynthetic process","8/96","128/5135",0.0025250502482796,0.041889936170177,0.036666046790133,"GLN1/PUT1/LEU1/CAR2/GDH1/GLT1/PUT2/ALD2",8
"GO:0006865","amino acid transport","5/96","56/5135",0.00369934917094445,0.0598369728400264,0.0523749961570556,"UGA4/DIP5/PUT4/AGP1/GAP1",5
"GO:1901607","alpha-amino acid biosynthetic process","7/96","113/5135",0.00493014852603854,0.0778001486913887,0.0680980720669765,"GLN1/PUT1/LEU1/CAR2/GDH1/GLT1/PUT2",7
"GO:0031667","response to nutrient levels","8/96","145/5135",0.00542648852686762,0.0824052868649905,0.0721289259470672,"ATG7/ATO2/VHR1/GAT1/ASP3-4/GLT1/MEP2/MEP3",8
"GO:0022904","respiratory electron transport chain","4/96","39/5135",0.00571805126788164,0.0824052868649905,0.0721289259470672,"SHH3/SDH2/SDH4/SDH1",4
"GO:0010389","regulation of G2/M transition of mitotic cell cycle","3/96","20/5135",0.00573143417144447,0.0824052868649905,0.0721289259470672,"POL2/CDC6/MIH1",3
"GO:1902749","regulation of cell cycle G2/M phase transition","3/96","20/5135",0.00573143417144447,0.0824052868649905,0.0721289259470672,"POL2/CDC6/MIH1",3
"GO:0007064","mitotic sister chromatid cohesion","4/96","41/5135",0.00684315441883391,0.0962504545431639,0.0842475303737447,"POL2/IRR1/SMC3/MCD1",4
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0022857","transmembrane transporter activity","22/96","365/5104",6.5171794329121e-07,0.000132298742488116,9.94727387128688e-05,"ENB1/ATO2/UGA4/ESBP6/PHM7/MPH3/PDR10/DIP5/OPT1/PUT4/AGP1/GAP1/SPO75/FCY21/DAL4/MEP2/AQY1/JEN1/DUR3/SFC1/MEP3/KHA1",22
"GO:0005215","transporter activity","22/96","403/5104",3.48493680847138e-06,0.000353721086059845,0.000265955703804395,"ENB1/ATO2/UGA4/ESBP6/PHM7/MPH3/PDR10/DIP5/OPT1/PUT4/AGP1/GAP1/SPO75/FCY21/DAL4/MEP2/AQY1/JEN1/DUR3/SFC1/MEP3/KHA1",22
"GO:0008324","cation transmembrane transporter activity","14/96","196/5104",1.41864926779128e-05,0.000735604239314617,0.000553085894221516,"ATO2/UGA4/PHM7/MPH3/PUT4/AGP1/GAP1/SPO75/DAL4/MEP2/JEN1/DUR3/MEP3/KHA1",14
"GO:0046943","carboxylic acid transmembrane transporter activity","8/96","63/5104",1.93202177496097e-05,0.000735604239314617,0.000553085894221516,"ATO2/UGA4/DIP5/PUT4/AGP1/GAP1/JEN1/SFC1",8
"GO:0016491","oxidoreductase activity","18/96","319/5104",2.03579328385573e-05,0.000735604239314617,0.000553085894221516,"FRE7/PUT1/CTA1/MAE1/YHB1/UGA2/AHP1/GDH1/SHH3/ADH7/SDH2/FOX2/GLT1/PUT2/SDH4/ALD4/SDH1/ALD2",18
