"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007064","mitotic sister chromatid cohesion","4/38","41/5135",0.000212261935990659,0.0556325197399017,0.0469032953310647,"POL2/IRR1/SMC3/MCD1",4
"GO:0010389","regulation of G2/M transition of mitotic cell cycle","3/38","20/5135",0.000390860794425539,0.0556325197399017,0.0469032953310647,"POL2/CDC6/MIH1",3
"GO:1902749","regulation of cell cycle G2/M phase transition","3/38","20/5135",0.000390860794425539,0.0556325197399017,0.0469032953310647,"POL2/CDC6/MIH1",3
"GO:1903047","mitotic cell cycle process","9/38","362/5135",0.0010137904802474,0.0767346808867407,0.0646943445415144,"POL2/MCM6/IRR1/SMC3/MCD1/RME1/SWI4/CDC6/MIH1",9
"GO:0007062","sister chromatid cohesion","4/38","62/5135",0.00104613311293177,0.0767346808867407,0.0646943445415144,"POL2/IRR1/SMC3/MCD1",4
"GO:0006271","DNA strand elongation involved in DNA replication","3/38","28/5135",0.00107823907569191,0.0767346808867407,0.0646943445415144,"POL2/MCM6/PRI2",3
"GO:0000278","mitotic cell cycle","9/38","379/5135",0.00140604151347677,0.0777662890225153,0.0655640844217927,"POL2/MCM6/IRR1/SMC3/MCD1/RME1/SWI4/CDC6/MIH1",9
"GO:0022616","DNA strand elongation","3/38","31/5135",0.00145697965381762,0.0777662890225153,0.0655640844217927,"POL2/MCM6/PRI2",3
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0022890","inorganic cation transmembrane transporter activity","6/38","161/5104",0.00107224702643952,0.0522312583964175,0.0427624337748448,"ATO2/PHM7/MPH3/SPO75/JEN1/KHA1",6
"GO:0051539","4 iron, 4 sulfur cluster binding","3/38","29/5104",0.00121748405570689,0.0522312583964175,0.0427624337748448,"POL2/LEU1/PRI2",3
"GO:0005261","cation channel activity","3/38","33/5104",0.00178096330941963,0.0522312583964175,0.0427624337748448,"ATO2/PHM7/SPO75",3
"GO:0015318","inorganic molecular entity transmembrane transporter activity","6/38","184/5104",0.0021336915206709,0.0522312583964175,0.0427624337748448,"ATO2/PHM7/MPH3/SPO75/JEN1/KHA1",6
"GO:0022836","gated channel activity","2/38","11/5104",0.00284586917874648,0.0522312583964175,0.0427624337748448,"PHM7/SPO75",2
"GO:0008324","cation transmembrane transporter activity","6/38","196/5104",0.00293519578967613,0.0522312583964175,0.0427624337748448,"ATO2/PHM7/MPH3/SPO75/JEN1/KHA1",6
"GO:0005216","ion channel activity","3/38","40/5104",0.00311139919395724,0.0522312583964175,0.0427624337748448,"ATO2/PHM7/SPO75",3
"GO:0051536","iron-sulfur cluster binding","3/38","44/5104",0.0040862454836385,0.0522312583964175,0.0427624337748448,"POL2/LEU1/PRI2",3
"GO:0051540","metal cluster binding","3/38","44/5104",0.0040862454836385,0.0522312583964175,0.0427624337748448,"POL2/LEU1/PRI2",3
"GO:0015267","channel activity","3/38","46/5104",0.00463589049975509,0.0522312583964175,0.0427624337748448,"ATO2/PHM7/SPO75",3
"GO:0022803","passive transmembrane transporter activity","3/38","46/5104",0.00463589049975509,0.0522312583964175,0.0427624337748448,"ATO2/PHM7/SPO75",3
"GO:0008028","monocarboxylic acid transmembrane transporter activity","2/38","14/5104",0.004642778524126,0.0522312583964175,0.0427624337748448,"ATO2/JEN1",2
"GO:0004601","peroxidase activity","2/38","16/5104",0.00606520336894797,0.0584858896291411,0.0478831844916945,"CTA1/AHP1",2
"GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","2/38","16/5104",0.00606520336894797,0.0584858896291411,0.0478831844916945,"CTA1/AHP1",2
"GO:0015075","ion transmembrane transporter activity","6/38","250/5104",0.00958204172089757,0.0862383754880781,0.0706045179434557,"ATO2/PHM7/MPH3/SPO75/JEN1/KHA1",6
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0042575","DNA polymerase complex","2/38","14/5142",0.00457631297902558,0.0833241707538996,0.068073163852361,"POL2/PRI2",2
"GO:0005656","nuclear pre-replicative complex","2/38","17/5142",0.00674451842679621,0.0833241707538996,0.068073163852361,"MCM6/CDC6",2
"GO:0036387","pre-replicative complex","2/38","17/5142",0.00674451842679621,0.0833241707538996,0.068073163852361,"MCM6/CDC6",2
"GO:0005782","peroxisomal matrix","2/38","18/5142",0.00755239246936856,0.0833241707538996,0.068073163852361,"CTA1/POT1",2
"GO:0031907","microbody lumen","2/38","18/5142",0.00755239246936856,0.0833241707538996,0.068073163852361,"CTA1/POT1",2
"GO:0005657","replication fork","3/38","62/5142",0.0104328859534793,0.0833241707538996,0.068073163852361,"POL2/MCM6/PRI2",3
"GO:0032993","protein-DNA complex","3/38","62/5142",0.0104328859534793,0.0833241707538996,0.068073163852361,"MCM6/PRI2/CDC6",3
"GO:0005694","chromosome","8/38","425/5142",0.0109220424159222,0.0833241707538996,0.068073163852361,"POL2/MCM6/IRR1/PRI2/SMC3/MCD1/CDC6/RLF2",8
"GO:0031261","DNA replication preinitiation complex","2/38","22/5142",0.011192799056494,0.0833241707538996,0.068073163852361,"MCM6/CDC6",2
