"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006536","glutamate metabolic process","6/58","14/5135",4.46459354612649e-09,9.39295355956136e-07,8.19637652778326e-07,"PUT1/UGA2/CAR2/GDH1/GLT1/PUT2",6
"GO:0009065","glutamine family amino acid catabolic process","6/58","14/5135",4.46459354612649e-09,9.39295355956136e-07,8.19637652778326e-07,"PUT1/UGA2/CAR2/ASP3-4/CAR1/PUT2",6
"GO:0009064","glutamine family amino acid metabolic process","9/58","55/5135",6.69331607569693e-09,9.39295355956136e-07,8.19637652778326e-07,"GLN1/PUT1/UGA2/CAR2/ASP3-4/CAR1/GDH1/GLT1/PUT2",9
"GO:0009084","glutamine family amino acid biosynthetic process","6/58","25/5135",2.39197816129597e-07,2.51755701476401e-05,2.19684310076919e-05,"GLN1/PUT1/CAR2/GDH1/GLT1/PUT2",6
"GO:0043648","dicarboxylic acid metabolic process","7/58","50/5135",1.10839030198635e-06,9.33264634272506e-05,8.14375190301549e-05,"PUT1/MAE1/UGA2/CAR2/GDH1/GLT1/PUT2",7
"GO:0009063","cellular amino acid catabolic process","7/58","58/5135",3.11089672041875e-06,0.000218281253216049,0.000190474202706341,"PUT1/UGA2/CAR2/ASP3-4/CAR1/UGA1/PUT2",7
"GO:0055085","transmembrane transport","16/58","411/5135",7.34115110817365e-06,0.000432216181635751,0.000377155762947562,"ENB1/UGA4/ESBP6/PDR10/DIP5/OPT1/PUT4/AGP1/GAP1/FCY21/DAL4/MEP2/AQY1/DUR3/SFC1/MEP3",16
"GO:0006520","cellular amino acid metabolic process","12/58","235/5135",8.72187921521603e-06,0.000432216181635751,0.000377155762947562,"GLN1/PUT1/MAE1/UGA2/CAR2/ASP3-4/CAR1/GDH1/UGA1/GLT1/PUT2/ALD2",12
"GO:1901606","alpha-amino acid catabolic process","6/58","45/5135",9.23977585444599e-06,0.000432216181635751,0.000377155762947562,"PUT1/UGA2/CAR2/ASP3-4/CAR1/PUT2",6
"GO:0019752","carboxylic acid metabolic process","15/58","387/5135",1.61153845496854e-05,0.000678457689541756,0.00059202833766739,"GLN1/BIO4/PYC1/PUT1/MAE1/UGA2/CAR2/BIO3/ASP3-4/CAR1/GDH1/UGA1/GLT1/PUT2/ALD2",15
"GO:0043436","oxoacid metabolic process","15/58","405/5135",2.77578692127529e-05,0.00106236935805173,0.000927033144043137,"GLN1/BIO4/PYC1/PUT1/MAE1/UGA2/CAR2/BIO3/ASP3-4/CAR1/GDH1/UGA1/GLT1/PUT2/ALD2",15
"GO:0006082","organic acid metabolic process","15/58","409/5135",3.11879047088649e-05,0.00109417565686934,0.000954787609069635,"GLN1/BIO4/PYC1/PUT1/MAE1/UGA2/CAR2/BIO3/ASP3-4/CAR1/GDH1/UGA1/GLT1/PUT2/ALD2",15
"GO:0046942","carboxylic acid transport","6/58","57/5135",3.70757706135076e-05,0.00120068457140667,0.00104772825458414,"UGA4/DIP5/PUT4/AGP1/GAP1/SFC1",6
"GO:0046395","carboxylic acid catabolic process","7/58","94/5135",7.72755484399858e-05,0.00232097842751344,0.00202530684136064,"PUT1/UGA2/CAR2/ASP3-4/CAR1/UGA1/PUT2",7
