"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042273","ribosomal large subunit biogenesis","36/336","127/5135",1.02313514305954e-14,1.44466682200007e-11,1.37638601350536e-11,"SPB1/SPB4/NOP12/NSA1/LOC1/NOP7/REX4/RIX1/GRC3/DBP10/ERB1/DRS1/DBP7/DBP3/MAK5/JIP5/RRP14/NUG1/RRS1/NOP15/NOP53/RPF1/NHP2/SDA1/PRP43/CIC1/RRP8/RPF2/NOP2/RRP5/RRP15/TSR2/RSA4/MAK11/NOG1/EBP2",36
"GO:0006364","rRNA processing","57/336","314/5135",2.95438191886151e-13,2.08579363471622e-10,1.98721057489737e-10,"SLX9/SPB1/SPB4/NOP12/NOP58/UTP10/UTP25/NSA1/LOC1/NOP7/REX4/RIX1/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/FYV7/DBP7/EFG1/DBP3/NOP9/GAR1/MAK5/NOP10/UTP21/RRP14/NPL3/NOP6/NUG1/RRP17/RRS1/ESF1/UTP9/NOP15/NOP53/RRP12/RPF1/NHP2/ECM16/PRP43/CIC1/RRP8/RPF2/NOP2/RRP5/RRP15/SOF1/TSR2/MAK11/NOG1/BMT2/EBP2/MSS116/BMT5/UTP20",57
"GO:0000470","maturation of LSU-rRNA","23/336","62/5135",1.58641532493189e-12,7.46672812934608e-10,7.11382029916825e-10,"SPB1/SPB4/NOP12/NOP7/GRC3/DBP10/ERB1/DBP7/DBP3/MAK5/NUG1/NOP15/NOP53/RPF1/NHP2/PRP43/CIC1/RPF2/NOP2/RRP5/RRP15/TSR2/MAK11",23
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","21/336","52/5135",2.18415663335648e-12,7.71007291574837e-10,7.34566362481469e-10,"SPB1/NOP12/NOP7/GRC3/DBP10/ERB1/DBP7/DBP3/MAK5/NUG1/NOP15/NOP53/RPF1/PRP43/CIC1/RPF2/NOP2/RRP5/RRP15/TSR2/MAK11",21
"GO:0016072","rRNA metabolic process","58/336","363/5135",4.62443560832765e-11,1.30594061579173e-08,1.24421656998795e-08,"SLX9/SPB1/SPB4/NOP12/NOP58/UTP10/UTP25/NSA1/LOC1/NOP7/REX4/RIX1/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/FYV7/DBP7/EFG1/DBP3/NOP9/GAR1/MAK5/NOP10/UTP21/RRP14/NPL3/NOP6/NUG1/RRP17/RRS1/ESF1/UTP9/NOP15/NOP53/RRP12/RPF1/NHP2/ECM16/PRP43/CIC1/RRP8/RPF2/NOP2/RRP5/RRP15/SOF1/TSR2/MAK11/NOG1/BMT2/TFC3/EBP2/MSS116/BMT5/UTP20",58
"GO:0034470","ncRNA processing","64/336","433/5135",1.25748660363605e-10,2.95928514055683e-08,2.81941733236293e-08,"SLX9/SPB1/SPB4/NOP12/NOP58/UTP10/UTP25/NSA1/LOC1/NOP7/REX4/RIX1/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/FYV7/DBP7/EFG1/CWC24/DBP3/NOP9/GAR1/MAK5/NOP10/TRM10/UTP21/RRP14/NPL3/NOP6/NUG1/RRP17/RRS1/ESF1/UTP9/NOP15/NOP53/NRD1/RTT10/RRP12/RPF1/NHP2/ECM16/PRP43/CIC1/RRP8/RPF2/FMT1/NOP2/RRP5/RRP15/SOF1/TSR2/TRM7/TAD1/MAK11/NOG1/BMT2/EBP2/MSS116/BMT5/UTP20",64
"GO:0042254","ribosome biogenesis","63/336","429/5135",2.39723268767018e-10,4.83556079284327e-08,4.6070125937481e-08,"SLX9/SPB1/SPB4/NOP12/NOP58/UTP10/UTP25/NSA1/LOC1/NOP7/REX4/RIX1/DBP2/GRC3/ARX1/DBP10/GEP3/ERB1/DRS1/FYV7/DBP7/EFG1/DBP3/NOP9/GAR1/MAK5/JIP5/NOP10/UTP21/RRP14/NPL3/NOP6/NUG1/RRP17/RRS1/ESF1/UTP9/NOP15/NOP53/RRP12/RPF1/NHP2/ECM16/SDA1/PRP43/CIC1/RRP8/RPF2/NOP2/RRP5/RRP15/SOF1/TSR2/RSA4/MAK11/NOG1/BMT2/SAC3/EBP2/MSS116/BMT5/NOG2/UTP20",63
"GO:0000460","maturation of 5.8S rRNA","20/336","92/5135",1.27522445536096e-06,0.000200068547885519,0.000190612497538164,"SPB1/NOP58/UTP10/LOC1/NOP7/GRC3/DBP10/ERB1/DBP3/NOP9/MAK5/RRS1/RPF1/PRP43/CIC1/RPF2/RRP5/RRP15/MAK11/UTP20",20
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","20/336","92/5135",1.27522445536096e-06,0.000200068547885519,0.000190612497538164,"SPB1/NOP58/UTP10/LOC1/NOP7/GRC3/DBP10/ERB1/DBP3/NOP9/MAK5/RRS1/RPF1/PRP43/CIC1/RPF2/RRP5/RRP15/MAK11/UTP20",20
"GO:0032258","cytoplasm to vacuole transport by the Cvt pathway","14/336","55/5135",7.48879459322506e-06,0.00105741779656338,0.0010074399463307,"ATG20/ATG7/ATG1/ATG3/ATG9/ATG12/ATG13/TRS85/VPS45/VPS34/COG8/VPS36/VPS30/COG3",14
"GO:0045721","negative regulation of gluconeogenesis","6/336","10/5135",1.26008913417772e-05,0.00161749623405358,0.00154104680715705,"FYV10/VID30/RMD5/VID28/UBC8/GID8",6
"GO:0042274","ribosomal small subunit biogenesis","23/336","145/5135",5.43074702218364e-05,0.00629864134113155,0.00600094202621598,"SLX9/NOP58/UTP10/UTP25/LOC1/NOP7/GEP3/FYV7/EFG1/NOP9/UTP21/RRP14/NOP6/RRS1/UTP9/RRP12/ECM16/PRP43/RRP5/SOF1/TSR2/SAC3/UTP20",23
"GO:0072666","establishment of protein localization to vacuole","21/336","127/5135",6.1699978027367e-05,0.00629864134113155,0.00600094202621598,"ATG20/ATG7/ATG1/ATG3/ATG9/ATG12/BRO1/ATG13/TRS85/EAR1/VPS45/VPS34/COG8/VPS36/MVP1/VPS30/VPS33/APL5/GID8/SNF8/COG3",21
"GO:0007034","vacuolar transport","26/336","176/5135",6.24511181132023e-05,0.00629864134113155,0.00600094202621598,"ATG20/ATG7/ATG1/ATG3/ATG9/ATG12/BRO1/ATG13/PEP5/TRS85/EAR1/VPS45/VPS34/COG8/VPS36/MVP1/VPS30/SYN8/VPS33/APL5/GID8/VTA1/VPS53/SNF8/COG3/APL2",26
"GO:0006623","protein targeting to vacuole","18/336","105/5135",0.000128790232761728,0.0121234539106373,0.011550450348736,"ATG20/ATG7/ATG1/ATG3/ATG9/ATG12/ATG13/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS30/VPS33/APL5/SNF8/COG3",18
