"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006364","rRNA processing","57/143","314/5135",1.90569726382331e-33,1.56838884812658e-30,1.47039588882367e-30,"SLX9/SPB1/SPB4/NOP12/NOP58/UTP10/UTP25/NSA1/LOC1/NOP7/REX4/RIX1/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/FYV7/DBP7/EFG1/DBP3/NOP9/GAR1/MAK5/NOP10/UTP21/RRP14/NPL3/NOP6/NUG1/RRP17/RRS1/ESF1/UTP9/NOP15/NOP53/RRP12/RPF1/NHP2/ECM16/PRP43/CIC1/RRP8/RPF2/NOP2/RRP5/RRP15/SOF1/TSR2/MAK11/NOG1/BMT2/EBP2/MSS116/BMT5/UTP20",57
"GO:0042254","ribosome biogenesis","62/143","429/5135",1.03347920200357e-30,4.25276691624468e-28,3.98705397404535e-28,"SLX9/SPB1/SPB4/NOP12/NOP58/UTP10/UTP25/NSA1/LOC1/NOP7/REX4/RIX1/DBP2/GRC3/ARX1/DBP10/GEP3/ERB1/DRS1/FYV7/DBP7/EFG1/DBP3/NOP9/GAR1/MAK5/JIP5/NOP10/UTP21/RRP14/NPL3/NOP6/NUG1/RRP17/RRS1/ESF1/UTP9/NOP15/NOP53/RRP12/RPF1/NHP2/ECM16/SDA1/PRP43/CIC1/RRP8/RPF2/NOP2/RRP5/RRP15/SOF1/TSR2/RSA4/MAK11/NOG1/BMT2/EBP2/MSS116/BMT5/NOG2/UTP20",62
"GO:0034470","ncRNA processing","62/143","433/5135",1.79546007995366e-30,4.9255454860062e-28,4.61779732844221e-28,"SLX9/SPB1/SPB4/NOP12/NOP58/UTP10/UTP25/NSA1/LOC1/NOP7/REX4/RIX1/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/FYV7/DBP7/EFG1/CWC24/DBP3/NOP9/GAR1/MAK5/NOP10/TRM10/UTP21/RRP14/NPL3/NOP6/NUG1/RRP17/RRS1/ESF1/UTP9/NOP15/NOP53/NRD1/RTT10/RRP12/RPF1/NHP2/ECM16/PRP43/CIC1/RRP8/RPF2/NOP2/RRP5/RRP15/SOF1/TSR2/TRM7/MAK11/NOG1/BMT2/EBP2/MSS116/BMT5/UTP20",62
"GO:0016072","rRNA metabolic process","57/143","363/5135",6.74011397902053e-30,1.38677845118347e-27,1.30013251226896e-27,"SLX9/SPB1/SPB4/NOP12/NOP58/UTP10/UTP25/NSA1/LOC1/NOP7/REX4/RIX1/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/FYV7/DBP7/EFG1/DBP3/NOP9/GAR1/MAK5/NOP10/UTP21/RRP14/NPL3/NOP6/NUG1/RRP17/RRS1/ESF1/UTP9/NOP15/NOP53/RRP12/RPF1/NHP2/ECM16/PRP43/CIC1/RRP8/RPF2/NOP2/RRP5/RRP15/SOF1/TSR2/MAK11/NOG1/BMT2/EBP2/MSS116/BMT5/UTP20",57
"GO:0042273","ribosomal large subunit biogenesis","36/143","127/5135",8.44987126320626e-28,1.39084880992375e-25,1.30394855493267e-25,"SPB1/SPB4/NOP12/NSA1/LOC1/NOP7/REX4/RIX1/GRC3/DBP10/ERB1/DRS1/DBP7/DBP3/MAK5/JIP5/RRP14/NUG1/RRS1/NOP15/NOP53/RPF1/NHP2/SDA1/PRP43/CIC1/RRP8/RPF2/NOP2/RRP5/RRP15/TSR2/RSA4/MAK11/NOG1/EBP2",36
"GO:0000470","maturation of LSU-rRNA","23/143","62/5135",6.74384314271139e-21,9.25030484408578e-19,8.67234565545166e-19,"SPB1/SPB4/NOP12/NOP7/GRC3/DBP10/ERB1/DBP7/DBP3/MAK5/NUG1/NOP15/NOP53/RPF1/NHP2/PRP43/CIC1/RPF2/NOP2/RRP5/RRP15/TSR2/MAK11",23
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","21/143","52/5135",4.57467452784622e-20,5.37851019488206e-18,5.04246079535531e-18,"SPB1/NOP12/NOP7/GRC3/DBP10/ERB1/DBP7/DBP3/MAK5/NUG1/NOP15/NOP53/RPF1/PRP43/CIC1/RPF2/NOP2/RRP5/RRP15/TSR2/MAK11",21
"GO:0000460","maturation of 5.8S rRNA","20/143","92/5135",3.16651191062403e-13,2.89559922493731e-11,2.71468214092095e-11,"SPB1/NOP58/UTP10/LOC1/NOP7/GRC3/DBP10/ERB1/DBP3/NOP9/MAK5/RRS1/RPF1/PRP43/CIC1/RPF2/RRP5/RRP15/MAK11/UTP20",20
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","20/143","92/5135",3.16651191062403e-13,2.89559922493731e-11,2.71468214092095e-11,"SPB1/NOP58/UTP10/LOC1/NOP7/GRC3/DBP10/ERB1/DBP3/NOP9/MAK5/RRS1/RPF1/PRP43/CIC1/RPF2/RRP5/RRP15/MAK11/UTP20",20
"GO:0042274","ribosomal small subunit biogenesis","22/143","145/5135",4.00146674435878e-11,3.29320713060728e-09,3.08744749854209e-09,"SLX9/NOP58/UTP10/UTP25/LOC1/NOP7/GEP3/FYV7/EFG1/NOP9/UTP21/RRP14/NOP6/RRS1/UTP9/RRP12/ECM16/PRP43/RRP5/SOF1/TSR2/UTP20",22
"GO:0030490","maturation of SSU-rRNA","19/143","118/5135",3.39000566990644e-10,2.53634060575727e-08,2.37787000578126e-08,"SLX9/NOP58/UTP10/UTP25/LOC1/NOP7/GEP3/FYV7/EFG1/NOP9/RRS1/UTP9/RRP12/ECM16/PRP43/RRP5/SOF1/TSR2/UTP20",19
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","18/143","106/5135",4.16541071466078e-10,2.85677751513819e-08,2.67828601214592e-08,"SLX9/NOP58/UTP10/UTP25/LOC1/NOP7/FYV7/EFG1/NOP9/RRS1/UTP9/RRP12/ECM16/PRP43/RRP5/SOF1/TSR2/UTP20",18
"GO:0000054","ribosomal subunit export from nucleus","11/143","53/5135",1.48695458604257e-07,9.41356634086952e-06,8.82540657141058e-06,"SLX9/LOC1/ARX1/NOP9/NUG1/RRS1/NOP53/RPF1/SDA1/NOG1/NOG2",11
"GO:0033750","ribosome localization","11/143","54/5135",1.82324845896724e-07,1.07180962980717e-05,1.00484294768646e-05,"SLX9/LOC1/ARX1/NOP9/NUG1/RRS1/NOP53/RPF1/SDA1/NOG1/NOG2",11
"GO:0000027","ribosomal large subunit assembly","9/143","43/5135",1.97135401849667e-06,0.00010816162381485,0.000101403683898811,"SPB4/REX4/RIX1/DRS1/NOP53/RPF2/RRP5/RSA4/MAK11",9
"GO:0000055","ribosomal large subunit export from nucleus","8/143","33/5135",2.29070641812355e-06,0.00011774894320408,0.000110391987425454,"LOC1/ARX1/NUG1/RRS1/NOP53/RPF1/SDA1/NOG2",8
"GO:0000469","cleavage involved in rRNA processing","12/143","83/5135",2.432238194981e-06,0.00011774894320408,0.000110391987425454,"NOP58/UTP10/LOC1/GRC3/DBP3/NOP9/NOP10/RRS1/NHP2/CIC1/RRP5/UTP20",12
"GO:1902626","assembly of large subunit precursor of preribosome","5/143","10/5135",3.51841873813105e-06,0.000160869923415658,0.000150818768131582,"SPB4/DBP10/RPF2/NOP2/NOG1",5
"GO:0031503","protein-containing complex localization","11/143","74/5135",4.93739828977736e-06,0.000213867304867725,0.000200504872377108,"SLX9/LOC1/ARX1/NOP9/NUG1/RRS1/NOP53/RPF1/SDA1/NOG1/NOG2",11
"GO:0090501","RNA phosphodiester bond hydrolysis","15/143","147/5135",1.13882826338693e-05,0.000468627830383721,0.000439347956348747,"SSU72/NOP58/UTP10/LOC1/GRC3/DBP3/NOP9/NOP10/RRS1/NHP2/CIC1/RRP5/HRP1/NUC1/UTP20",15
"GO:0000154","rRNA modification","9/143","59/5135",3.00549206068533e-05,0.00107544346345392,0.00100824973935119,"SPB1/GAR1/NOP10/NHP2/CIC1/RRP8/NOP2/BMT2/BMT5",9
"GO:0000478","endonucleolytic cleavage involved in rRNA processing","9/143","59/5135",3.00549206068533e-05,0.00107544346345392,0.00100824973935119,"NOP58/UTP10/LOC1/GRC3/DBP3/NOP9/RRS1/RRP5/UTP20",9
"GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","9/143","59/5135",3.00549206068533e-05,0.00107544346345392,0.00100824973935119,"NOP58/UTP10/LOC1/GRC3/DBP3/NOP9/RRS1/RRP5/UTP20",9
"GO:0071826","ribonucleoprotein complex subunit organization","16/143","184/5135",4.33487119601671e-05,0.0014864995809674,0.00139362306433344,"SPB4/REX4/RIX1/DBP2/DBP10/DRS1/CWC24/NOP53/PRP43/RPF2/NOP2/RRP5/NOP13/RSA4/MAK11/NOG1",16
"GO:0090305","nucleic acid phosphodiester bond hydrolysis","18/143","230/5135",5.78546971924386e-05,0.00190457663157508,0.00178557865440242,"SSU72/NOP58/UTP10/LOC1/REX4/GRC3/DBP3/NOP9/NOP10/RRS1/NHP2/CIC1/RRP5/NTG2/HRP1/SPO11/NUC1/UTP20",18
"GO:0040031","snRNA modification","4/143","10/5135",0.000106305041122781,0.00332796411448064,0.00312003286552959,"GAR1/NOP10/NHP2/CIC1",4
"GO:0022618","ribonucleoprotein complex assembly","15/143","178/5135",0.000109179867668259,0.00332796411448064,0.00312003286552959,"SPB4/REX4/RIX1/DBP2/DBP10/DRS1/CWC24/NOP53/RPF2/NOP2/RRP5/NOP13/RSA4/MAK11/NOG1",15
"GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","7/143","45/5135",0.000209702369068448,0.00616375177654759,0.00577864047094633,"NOP58/UTP10/LOC1/NOP9/RRS1/RRP5/UTP20",7
"GO:0001510","RNA methylation","8/143","60/5135",0.000223548977774607,0.00629085074387411,0.00589779829284355,"SPB1/TRM10/RTT10/RRP8/NOP2/TRM7/BMT2/BMT5",8
"GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic","10/143","93/5135",0.000229314121890915,0.00629085074387411,0.00589779829284355,"NOP58/UTP10/LOC1/GRC3/DBP3/NOP9/RRS1/RRP5/NUC1/UTP20",10
"GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/143","33/5135",0.000249970292686828,0.00663630809294385,0.00622167146144126,"NOP58/UTP10/LOC1/NOP9/RRP5/UTP20",6
"GO:0043414","macromolecule methylation","11/143","114/5135",0.000292691277557258,0.00752765379467572,0.00705732587004835,"SPB1/FPR4/TRM10/SET6/RTT10/RRP8/RKM4/NOP2/TRM7/BMT2/BMT5",11
"GO:0042255","ribosome assembly","9/143","80/5135",0.000337462914316975,0.00841612056008699,0.00789028121832035,"SPB4/REX4/RIX1/DRS1/NOP53/RPF2/RRP5/RSA4/MAK11",9
"GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/143","35/5135",0.000349912287356293,0.00846993566159498,0.00794073395146016,"NOP58/UTP10/LOC1/NOP9/RRP5/UTP20",6
"GO:0000967","rRNA 5'-end processing","6/143","37/5135",0.000478714217793338,0.0109439389234421,0.0102601614515356,"NOP58/UTP10/LOC1/NOP9/RRP5/UTP20",6
"GO:0034471","ncRNA 5'-end processing","6/143","37/5135",0.000478714217793338,0.0109439389234421,0.0102601614515356,"NOP58/UTP10/LOC1/NOP9/RRP5/UTP20",6
