"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007034","vacuolar transport","24/194","176/5135",2.85727154851398e-08,3.30872045317918e-05,2.99562364454728e-05,"ATG20/ATG1/ATG3/ATG9/ATG12/BRO1/ATG13/PEP5/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS30/SYN8/VPS33/APL5/GID8/VTA1/VPS53/SNF8/COG3/APL2",24
"GO:0032258","cytoplasm to vacuole transport by the Cvt pathway","13/194","55/5135",7.68604662524792e-08,4.45022099601855e-05,4.02910654670891e-05,"ATG20/ATG1/ATG3/ATG9/ATG12/ATG13/TRS85/VPS45/VPS34/COG8/VPS36/VPS30/COG3",13
"GO:0072666","establishment of protein localization to vacuole","19/194","127/5135",2.00197884092846e-07,7.72763832598384e-05,6.99638921250787e-05,"ATG20/ATG1/ATG3/ATG9/ATG12/BRO1/ATG13/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS30/VPS33/APL5/GID8/SNF8/COG3",19
"GO:0006623","protein targeting to vacuole","17/194","105/5135",2.83887352769267e-07,8.21853886267028e-05,7.44083693047868e-05,"ATG20/ATG1/ATG3/ATG9/ATG12/ATG13/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS30/VPS33/APL5/SNF8/COG3",17
"GO:0045721","negative regulation of gluconeogenesis","6/194","10/5135",4.9858976835886e-07,0.000115473390351912,0.000104546401954826,"FYV10/VID30/RMD5/VID28/UBC8/GID8",6
"GO:0072665","protein localization to vacuole","19/194","136/5135",6.00953465965244e-07,0.000115984018931292,0.00010500871089498,"ATG20/ATG1/ATG3/ATG9/ATG12/BRO1/ATG13/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS30/VPS33/APL5/GID8/SNF8/COG3",19
"GO:0006886","intracellular protein transport","36/194","435/5135",4.1131092384124e-06,0.000680425785440223,0.000616038616760714,"ATG20/PEX5/MDM12/PEX6/ATG1/ATG3/ATG9/ATG12/BRO1/ATG13/ERF2/PEP5/TRS85/SEC1/MSB3/VPS45/FUS3/VPS34/COG8/SSA1/VPS36/HRD1/MVP1/VPS30/SYN8/VPS33/APL5/SIS1/PEX12/GID8/VPS35/BUB2/SAC3/SNF8/COG3/APL2",36
"GO:0006111","regulation of gluconeogenesis","6/194","15/5135",1.01351280943911e-05,0.00130405314814498,0.00118065351836415,"FYV10/VID30/RMD5/VID28/UBC8/GID8",6
"GO:0062014","negative regulation of small molecule metabolic process","6/194","15/5135",1.01351280943911e-05,0.00130405314814498,0.00118065351836415,"FYV10/VID30/RMD5/VID28/UBC8/GID8",6
"GO:0010677","negative regulation of cellular carbohydrate metabolic process","6/194","16/5135",1.57091305292884e-05,0.00151593109607633,0.00137248193045362,"FYV10/VID30/RMD5/VID28/UBC8/GID8",6
"GO:0010906","regulation of glucose metabolic process","6/194","16/5135",1.57091305292884e-05,0.00151593109607633,0.00137248193045362,"FYV10/VID30/RMD5/VID28/UBC8/GID8",6
"GO:0045912","negative regulation of carbohydrate metabolic process","6/194","16/5135",1.57091305292884e-05,0.00151593109607633,0.00137248193045362,"FYV10/VID30/RMD5/VID28/UBC8/GID8",6
"GO:0019318","hexose metabolic process","11/194","64/5135",2.16722305833e-05,0.00193049561657395,0.00174781713853982,"FYV10/VID30/GAL4/RMD5/VID28/UBC8/GID8/GAL3/RGT1/PCK1/DOG1",11
"GO:0006605","protein targeting","23/194","248/5135",4.85088517485312e-05,0.00401237502319994,0.00363269295801031,"ATG20/PEX5/MDM12/PEX6/ATG1/ATG3/ATG9/ATG12/ATG13/ERF2/TRS85/VPS45/VPS34/COG8/SSA1/VPS36/MVP1/VPS30/VPS33/APL5/PEX12/SNF8/COG3",23
"GO:0005996","monosaccharide metabolic process","11/194","71/5135",5.91907280040281e-05,0.00440044239213258,0.00398403838065999,"FYV10/VID30/GAL4/RMD5/VID28/UBC8/GID8/GAL3/RGT1/PCK1/DOG1",11
"GO:0006006","glucose metabolic process","9/194","48/5135",6.08005857289476e-05,0.00440044239213258,0.00398403838065999,"FYV10/VID30/RMD5/VID28/UBC8/GID8/RGT1/PCK1/DOG1",9
"GO:0006094","gluconeogenesis","7/194","30/5135",9.57711810382493e-05,0.00609312976770652,0.00551655053961975,"FYV10/VID30/RMD5/VID28/UBC8/GID8/PCK1",7
"GO:0019319","hexose biosynthetic process","7/194","30/5135",9.57711810382493e-05,0.00609312976770652,0.00551655053961975,"FYV10/VID30/RMD5/VID28/UBC8/GID8/PCK1",7
"GO:0062012","regulation of small molecule metabolic process","9/194","51/5135",9.99736317672053e-05,0.00609312976770652,0.00551655053961975,"FYV10/VID30/RMD5/MET32/VID28/UBC8/ADR1/GID8/ARG81",9
"GO:0034727","piecemeal microautophagy of the nucleus","8/194","41/5135",0.000117342515064218,0.00660570781115716,0.00598062447042318,"ATG1/ATG3/ATG9/ATG12/ATG13/TRS85/VPS30/VPS33",8
"GO:0046364","monosaccharide biosynthetic process","7/194","31/5135",0.000119792628699741,0.00660570781115716,0.00598062447042318,"FYV10/VID30/RMD5/VID28/UBC8/GID8/PCK1",7
"GO:0000045","autophagosome assembly","8/194","42/5135",0.000140322161267611,0.00738604830672243,0.00668712309198758,"ATG1/ATG3/ATG9/ATG12/ATG13/TRS85/VPS34/VPS30",8
"GO:1905037","autophagosome organization","8/194","43/5135",0.000166890656988023,0.00840258177357088,0.0076074642727721,"ATG1/ATG3/ATG9/ATG12/ATG13/TRS85/VPS34/VPS30",8
"GO:0009991","response to extracellular stimulus","16/194","153/5135",0.00018469155533336,0.00891136754483464,0.00806810478561521,"BRO1/VID30/GAL4/YAK1/RDS2/VPS36/VHR1/VPS30/ADR1/SRS2/RIM15/STB3/ENA1/GAL3/ATH1/SNF8",16
"GO:0000429","carbon catabolite regulation of transcription from RNA polymerase II promoter","7/194","34/5135",0.000222570559982776,0.0103094683384022,0.00933390643127769,"GAL4/RDS2/VPS36/ADR1/STB3/GAL3/SNF8",7
"GO:0031668","cellular response to extracellular stimulus","14/194","127/5135",0.000271362417774588,0.0115110406584288,0.0104217766528453,"GAL4/YAK1/RDS2/VPS36/VHR1/VPS30/ADR1/SRS2/RIM15/STB3/ENA1/GAL3/ATH1/SNF8",14
