"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006364","rRNA processing","45/240","234/4568",3.70853647555121e-15,2.93683505873677e-12,2.87820495774565e-12,"SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/DBP7/DBP3/NOP14/NOP9/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/RRP12/NHP2/POL5/ECM16/PRP43/CIC1/RPF2/NOP2/RRP5/UTP22/TSR2/MDN1/NOG1/LSM2/MSS116/UTP20",45
"GO:0042273","ribosomal large subunit biogenesis","30/240","106/4568",4.71024067159065e-15,2.93683505873677e-12,2.87820495774565e-12,"SPB1/SPB4/NOP12/NSA1/NOP7/RIX1/DBP9/GRC3/DBP10/ERB1/DRS1/DBP7/DBP3/JIP5/RLP7/NUG1/URB1/NOC2/NHP2/POL5/SDA1/PRP43/CIC1/RPF2/NOP2/RRP5/TSR2/MDN1/NOG1/MAK21",30
"GO:0042254","ribosome biogenesis","52/240","329/4568",9.43838469920184e-14,3.9232219066349e-11,3.84489987220117e-11,"SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/DBP7/DBP3/NOP14/NOP9/JIP5/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/SGD1/NOC2/RRP12/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/RPF2/NOP2/RRP5/UTP22/TSR2/MDN1/NEW1/NOG1/LSM2/MAK21/MSS116/NOG2/UTP20",52
"GO:0034470","ncRNA processing","53/240","348/4568",2.48805870203485e-13,7.75652300359365e-11,7.60167408700648e-11,"SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/DBP7/CWC24/DBP3/NOP14/NOP9/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/TUM1/RRP17/RRP42/URB1/RTT10/RRP12/NHP2/POL5/ECM16/PRP43/CIC1/RPF2/FMT1/NOP2/RRP5/UTP22/TSR2/TAD1/IKI3/MDN1/NOG1/LSM2/TRM732/MSS116/UTP20/TRZ1",53
"GO:0000470","maturation of LSU-rRNA","20/240","55/4568",1.14684289697301e-12,2.86022618505068e-10,2.80312548081192e-10,"SPB1/SPB4/NOP12/NOP7/DBP9/GRC3/DBP10/ERB1/DBP7/DBP3/RLP7/NUG1/URB1/NHP2/PRP43/CIC1/RPF2/NOP2/RRP5/TSR2",20
"GO:0016072","rRNA metabolic process","45/240","277/4568",2.24423514310242e-12,4.66426870574786e-10,4.57115263358229e-10,"SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/DBP7/DBP3/NOP14/NOP9/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/RRP12/NHP2/POL5/ECM16/PRP43/CIC1/RPF2/NOP2/RRP5/UTP22/TSR2/MDN1/NOG1/LSM2/MSS116/UTP20",45
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","18/240","46/4568",3.74547861249219e-12,6.67230261396823e-10,6.53909875053148e-10,"SPB1/NOP12/NOP7/DBP9/GRC3/DBP10/ERB1/DBP7/DBP3/RLP7/NUG1/URB1/PRP43/CIC1/RPF2/NOP2/RRP5/TSR2",18
"GO:0022613","ribonucleoprotein complex biogenesis","55/240","411/4568",1.85989870257329e-11,2.89911710263612e-09,2.8412399916942e-09,"SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/DBP7/CWC24/DBP3/NOP14/NOP9/JIP5/NOP10/RLP7/UTP21/HSH155/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/SGD1/NOC2/RRP12/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/RPF2/NOP2/RRP5/UTP22/NOP13/TSR2/MDN1/NEW1/NOG1/LSM2/MAK21/MSS116/NOG2/UTP20",55
"GO:0034660","ncRNA metabolic process","54/240","447/4568",1.56908364007626e-09,2.174052554639e-07,2.13065041652461e-07,"SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/DBP7/CWC24/DBP3/NOP14/NOP9/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/TUM1/RRP17/RRP42/URB1/RTT10/RRP12/NHP2/POL5/ECM16/PRP43/CIC1/RPF2/FMT1/NOP2/RRP5/UTP22/TSR2/TAD1/IKI3/MDN1/NOG1/LSM2/RET1/TRM732/MSS116/UTP20/TRZ1",54
"GO:0000460","maturation of 5.8S rRNA","17/240","77/4568",2.90884934959531e-07,3.29757739904122e-05,3.23174554533986e-05,"SPB1/UTP10/NOP7/GRC3/DBP10/ERB1/DBP3/NOP14/NOP9/RLP7/RRP42/URB1/PRP43/CIC1/RPF2/RRP5/UTP20",17
