"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","52/115","329/4568",2.62341077454869e-30,1.993792188657e-27,1.87780981757169e-27,"SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/DBP7/DBP3/NOP14/NOP9/JIP5/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/SGD1/NOC2/RRP12/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/RPF2/NOP2/RRP5/UTP22/TSR2/MDN1/NEW1/NOG1/LSM2/MAK21/MSS116/NOG2/UTP20",52
"GO:0006364","rRNA processing","45/115","234/4568",1.22283760249304e-29,4.64678288947357e-27,4.37647141944879e-27,"SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/DBP7/DBP3/NOP14/NOP9/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/RRP12/NHP2/POL5/ECM16/PRP43/CIC1/RPF2/NOP2/RRP5/UTP22/TSR2/MDN1/NOG1/LSM2/MSS116/UTP20",45
"GO:0022613","ribonucleoprotein complex biogenesis","55/115","411/4568",2.01045901301977e-28,5.09316283298342e-26,4.79688466264366e-26,"SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/DBP7/CWC24/DBP3/NOP14/NOP9/JIP5/NOP10/RLP7/UTP21/HSH155/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/SGD1/NOC2/RRP12/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/RPF2/NOP2/RRP5/UTP22/NOP13/TSR2/MDN1/NEW1/NOG1/LSM2/MAK21/MSS116/NOG2/UTP20",55
"GO:0034470","ncRNA processing","50/115","348/4568",5.89372092146236e-27,1.11980697507785e-24,1.05466584910379e-24,"SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/DBP7/CWC24/DBP3/NOP14/NOP9/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/RTT10/RRP12/NHP2/POL5/ECM16/PRP43/CIC1/RPF2/NOP2/RRP5/UTP22/TSR2/IKI3/MDN1/NOG1/LSM2/TRM732/MSS116/UTP20/TRZ1",50
"GO:0016072","rRNA metabolic process","45/115","277/4568",2.5699661714006e-26,3.90634858052892e-24,3.67910946642613e-24,"SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/DBP7/DBP3/NOP14/NOP9/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/RRP12/NHP2/POL5/ECM16/PRP43/CIC1/RPF2/NOP2/RRP5/UTP22/TSR2/MDN1/NOG1/LSM2/MSS116/UTP20",45
"GO:0042273","ribosomal large subunit biogenesis","30/115","106/4568",1.04223159251874e-24,1.3201600171904e-22,1.24336400511007e-22,"SPB1/SPB4/NOP12/NSA1/NOP7/RIX1/DBP9/GRC3/DBP10/ERB1/DRS1/DBP7/DBP3/JIP5/RLP7/NUG1/URB1/NOC2/NHP2/POL5/SDA1/PRP43/CIC1/RPF2/NOP2/RRP5/TSR2/MDN1/NOG1/MAK21",30
"GO:0034660","ncRNA metabolic process","51/115","447/4568",1.02656637824118e-22,1.11455778209042e-20,1.04972201083308e-20,"SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/NOP7/RIX1/DBP9/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/DBP7/CWC24/DBP3/NOP14/NOP9/NOP10/RLP7/UTP21/NPL3/RIO2/NOP6/NUG1/RRP17/RRP42/URB1/RTT10/RRP12/NHP2/POL5/ECM16/PRP43/CIC1/RPF2/NOP2/RRP5/UTP22/TSR2/IKI3/MDN1/NOG1/LSM2/RET1/TRM732/MSS116/UTP20/TRZ1",51
"GO:0000470","maturation of LSU-rRNA","20/115","55/4568",4.70585881177526e-19,4.4705658711865e-17,4.21050525264103e-17,"SPB1/SPB4/NOP12/NOP7/DBP9/GRC3/DBP10/ERB1/DBP7/DBP3/RLP7/NUG1/URB1/NHP2/PRP43/CIC1/RPF2/NOP2/RRP5/TSR2",20
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","18/115","46/4568",6.66746456028687e-18,5.63030340646446e-16,5.30277883157318e-16,"SPB1/NOP12/NOP7/DBP9/GRC3/DBP10/ERB1/DBP7/DBP3/RLP7/NUG1/URB1/PRP43/CIC1/RPF2/NOP2/RRP5/TSR2",18
"GO:0000460","maturation of 5.8S rRNA","17/115","77/4568",2.76938342915444e-12,1.91339218741579e-10,1.80208682471294e-10,"SPB1/UTP10/NOP7/GRC3/DBP10/ERB1/DBP3/NOP14/NOP9/RLP7/RRP42/URB1/PRP43/CIC1/RPF2/RRP5/UTP20",17
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","17/115","77/4568",2.76938342915444e-12,1.91339218741579e-10,1.80208682471294e-10,"SPB1/UTP10/NOP7/GRC3/DBP10/ERB1/DBP3/NOP14/NOP9/RLP7/RRP42/URB1/PRP43/CIC1/RPF2/RRP5/UTP20",17
"GO:0042274","ribosomal small subunit biogenesis","18/115","113/4568",2.00845750746523e-10,1.27202308806131e-08,1.1980272851547e-08,"UTP10/UTP25/NOP7/GEP3/NOP14/NOP9/UTP21/RIO2/NOP6/SGD1/RRP12/ECM16/PRP43/RRP5/UTP22/TSR2/NEW1/UTP20",18
