"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034660","ncRNA metabolic process","179/495","447/4568",1.19213820566021e-67,1.6749541789526e-64,1.54350525574954e-64,"SLX9/SPB1/THG1/ROK1/TRM44/PNO1/SPB4/RPC82/NOP12/MRH4/NOP16/RPB5/UTP25/NSA1/LOC1/GCD10/NOP7/RVB2/PXR1/RRP3/RIX1/DBP9/DBP2/DUS3/CCM1/IMP4/BFR2/DBP10/DBP8/ERB1/NCS2/DRS1/HCA4/FYV7/DBP7/EFG1/NCS6/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/CEG1/ESF2/FAL1/NOP10/TRM8/GCD14/TRM13/URM1/YTM1/RLP7/TRM10/UTP21/TRM5/RRP14/RCM1/SUA5/PUS1/ELP3/NPL3/RIO2/DIP2/NOP6/NUG1/RPO26/BMT6/ELP2/RPC19/RRP17/SSZ1/DEG1/RRS1/ESF1/ISM1/PWP1/KRE33/RPB10/UTP9/TRM2/NOP15/MRM2/LEO1/RPC11/NOP53/ENP2/UTP11/SLM5/TSR1/CSL4/MSK1/RPC10/RRP12/ARC1/MST1/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/GUS1/RRP5/MSE1/SSB2/UTP22/RPA190/UTP7/RRP15/FUN12/LHP1/SOF1/MPP10/RRP46/TAN1/RPC25/LCP5/RRP1/RRN5/PUS7/RRB1/TYW1/SKI6/NCL1/TSR2/ABP140/RIO1/ZUO1/DHR2/MAK11/RRP4/RPC53/FCY1/NOG1/DST1/RPC31/MOD5/BMS1/FCF1/PUS4/DOM34/DIA4/POP3/FAF1/TCD2/RRP7/TSR4/TRM1/EBP2/MTR4/FCF2/RPC34/KTI12/MSS116/DUS1/KRI1/NAF1/BMT5/UTP18/BDF1/TRM112/POP4/NSR1/TRZ1/ENP1",179
"GO:0022613","ribonucleoprotein complex biogenesis","171/495","411/4568",2.92314737945745e-67,2.05351103406886e-64,1.89235330354351e-64,"SLX9/SPB1/ROK1/RSA3/PNO1/SPB4/NOP12/RVB1/MRH4/NOP16/RPB5/UTP25/NSA1/LOC1/NOP7/RVB2/PXR1/RRP3/RIX1/DBP9/DBP2/CCM1/PRT1/IMP4/BFR2/DBP10/DBP8/NIP1/BCP1/RPG1/ERB1/TIF34/DRS1/TIF35/HCA4/FYV7/DBP7/EFG1/DBP3/DBP6/IPI1/NOP14/ISY1/NOP9/DIM1/MAK5/ESF2/TIF1/JIP5/FAL1/NOP10/YTM1/RLP7/UTP21/RRP14/RCM1/TIF11/AFG2/NPL3/RIO2/DIP2/TIF3/NOP6/NUG1/RPO26/YJU2/BMT6/RPC19/RRP17/SSZ1/HPM1/RRS1/ESF1/PWP1/YAR1/KRE33/RPB10/UTP9/NOP15/MRM2/SMX3/SGD1/NOP53/ENP2/UTP11/NOC2/TSR1/CSL4/SRM1/RPC10/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/NOC3/LAS1/NAP1/NOB1/RPF2/TIF4632/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/TMA23/CUS1/NOP2/RRP5/SSB2/UTP22/RPA190/BUD20/UTP7/RRP15/FUN12/YVH1/SOF1/MPP10/REI1/RRP46/SSF2/CDC33/LCP5/RRP1/PUS7/ARB1/RRB1/SKI6/NOP13/TSR2/RIX7/RIO1/ZUO1/SMD3/SUI2/SQT1/DHR2/MAK11/RRP4/THO1/NEW1/NOG1/MAK21/BMS1/FCF1/POP3/FAF1/IST3/RRP7/TSR4/EBP2/LTV1/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/TRM112/SHQ1/POP4/NSR1/ENP1",171
"GO:0034470","ncRNA processing","156/495","348/4568",3.01030192832026e-66,1.40982473642999e-63,1.29918293748559e-63,"SLX9/SPB1/THG1/ROK1/TRM44/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/GCD10/NOP7/RVB2/PXR1/RRP3/RIX1/DBP9/DBP2/DUS3/CCM1/IMP4/BFR2/DBP10/DBP8/ERB1/NCS2/DRS1/HCA4/FYV7/DBP7/EFG1/NCS6/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/CEG1/ESF2/FAL1/NOP10/TRM8/GCD14/TRM13/URM1/YTM1/RLP7/TRM10/UTP21/TRM5/RRP14/RCM1/SUA5/PUS1/ELP3/NPL3/RIO2/DIP2/NOP6/NUG1/BMT6/ELP2/RRP17/SSZ1/DEG1/RRS1/ESF1/PWP1/KRE33/UTP9/TRM2/NOP15/MRM2/RPC11/NOP53/ENP2/UTP11/TSR1/CSL4/MSK1/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/UTP22/UTP7/RRP15/FUN12/LHP1/SOF1/MPP10/RRP46/TAN1/LCP5/RRP1/PUS7/RRB1/TYW1/SKI6/NCL1/TSR2/ABP140/RIO1/ZUO1/DHR2/MAK11/RRP4/FCY1/NOG1/MOD5/BMS1/FCF1/PUS4/POP3/FAF1/TCD2/RRP7/TSR4/TRM1/EBP2/MTR4/FCF2/KTI12/MSS116/DUS1/KRI1/NAF1/BMT5/UTP18/TRM112/POP4/NSR1/TRZ1/ENP1",156
"GO:0042254","ribosome biogenesis","150/495","329/4568",1.12234502498121e-64,3.94223690024648e-62,3.6328536334918e-62,"SLX9/SPB1/ROK1/RSA3/PNO1/SPB4/NOP12/MRH4/NOP16/RPB5/UTP25/NSA1/LOC1/NOP7/RVB2/PXR1/RRP3/RIX1/DBP9/DBP2/CCM1/IMP4/BFR2/DBP10/DBP8/BCP1/ERB1/DRS1/HCA4/FYV7/DBP7/EFG1/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/JIP5/FAL1/NOP10/YTM1/RLP7/UTP21/RRP14/RCM1/AFG2/NPL3/RIO2/DIP2/NOP6/NUG1/RPO26/BMT6/RPC19/RRP17/SSZ1/HPM1/RRS1/ESF1/PWP1/YAR1/KRE33/RPB10/UTP9/NOP15/MRM2/SGD1/NOP53/ENP2/UTP11/NOC2/TSR1/CSL4/SRM1/RPC10/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/NOC3/LAS1/NAP1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/TMA23/NOP2/RRP5/SSB2/UTP22/RPA190/BUD20/UTP7/RRP15/FUN12/YVH1/SOF1/MPP10/REI1/RRP46/SSF2/LCP5/RRP1/PUS7/ARB1/RRB1/SKI6/TSR2/RIX7/RIO1/ZUO1/SQT1/DHR2/MAK11/RRP4/NEW1/NOG1/MAK21/BMS1/FCF1/POP3/FAF1/RRP7/TSR4/EBP2/LTV1/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/TRM112/POP4/NSR1/ENP1",150
"GO:0006364","rRNA processing","122/495","234/4568",4.64168689713115e-60,1.30431401809385e-57,1.20195260704659e-57,"SLX9/SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/NOP7/RVB2/PXR1/RRP3/RIX1/DBP9/DBP2/CCM1/IMP4/BFR2/DBP10/DBP8/ERB1/DRS1/HCA4/FYV7/DBP7/EFG1/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/YTM1/RLP7/UTP21/RRP14/RCM1/NPL3/RIO2/DIP2/NOP6/NUG1/BMT6/RRP17/SSZ1/RRS1/ESF1/PWP1/KRE33/UTP9/NOP15/MRM2/NOP53/ENP2/UTP11/TSR1/CSL4/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/UTP22/UTP7/RRP15/FUN12/SOF1/MPP10/RRP46/LCP5/RRP1/PUS7/RRB1/SKI6/TSR2/RIO1/ZUO1/DHR2/MAK11/RRP4/NOG1/BMS1/FCF1/POP3/FAF1/RRP7/TSR4/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/TRM112/POP4/NSR1/ENP1",122
"GO:0016072","rRNA metabolic process","127/495","277/4568",2.85387969294625e-54,6.68283494764914e-52,6.15837196898928e-52,"SLX9/SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/NOP7/RVB2/PXR1/RRP3/RIX1/DBP9/DBP2/CCM1/IMP4/BFR2/DBP10/DBP8/ERB1/DRS1/HCA4/FYV7/DBP7/EFG1/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/YTM1/RLP7/UTP21/RRP14/RCM1/NPL3/RIO2/DIP2/NOP6/NUG1/BMT6/RRP17/SSZ1/RRS1/ESF1/PWP1/KRE33/UTP9/NOP15/MRM2/LEO1/NOP53/ENP2/UTP11/TSR1/CSL4/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/UTP22/RPA190/UTP7/RRP15/FUN12/SOF1/MPP10/RRP46/LCP5/RRP1/RRN5/PUS7/RRB1/SKI6/TSR2/RIO1/ZUO1/DHR2/MAK11/RRP4/NOG1/DST1/BMS1/FCF1/DOM34/POP3/FAF1/RRP7/TSR4/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/TRM112/POP4/NSR1/ENP1",127
"GO:0042274","ribosomal small subunit biogenesis","64/495","113/4568",8.31775909166378e-34,1.6694930748268e-31,1.53847273424759e-31,"SLX9/ROK1/PNO1/UTP25/LOC1/NOP7/RRP3/IMP4/BFR2/DBP8/FYV7/EFG1/NOP14/NOP9/DIM1/ESF2/FAL1/UTP21/RRP14/RIO2/DIP2/NOP6/RRS1/YAR1/KRE33/UTP9/SGD1/ENP2/UTP11/TSR1/RRP12/ECM16/PRP43/NAP1/NOB1/BUD22/NAN1/MRD1/UTP13/RRP9/TMA23/RRP5/UTP22/UTP7/FUN12/SOF1/MPP10/LCP5/TSR2/RIO1/DHR2/NEW1/BMS1/FCF1/FAF1/RRP7/TSR4/LTV1/FCF2/KRI1/UTP18/TRM112/NSR1/ENP1",64
"GO:0030490","maturation of SSU-rRNA","52/495","88/4568",8.67076144704348e-29,1.52280247913701e-26,1.40329428682414e-26,"SLX9/ROK1/PNO1/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/FYV7/EFG1/NOP14/NOP9/DIM1/ESF2/FAL1/RIO2/DIP2/RRS1/KRE33/UTP9/ENP2/UTP11/TSR1/RRP12/ECM16/PRP43/NOB1/BUD22/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/SOF1/MPP10/LCP5/TSR2/RIO1/DHR2/BMS1/FCF1/FAF1/TSR4/FCF2/KRI1/UTP18/TRM112/ENP1",52
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","48/495","78/4568",9.21087258998115e-28,1.43791955432483e-25,1.32507289890957e-25,"SLX9/ROK1/PNO1/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/FYV7/EFG1/NOP14/NOP9/DIM1/ESF2/FAL1/RIO2/DIP2/RRS1/UTP9/ENP2/UTP11/TSR1/RRP12/ECM16/PRP43/NOB1/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/SOF1/MPP10/LCP5/TSR2/RIO1/DHR2/BMS1/FCF1/FAF1/FCF2/KRI1/UTP18/ENP1",48
"GO:0042273","ribosomal large subunit biogenesis","54/495","106/4568",1.65103706683482e-25,2.31970707890292e-23,2.13765851811245e-23,"SPB1/RSA3/SPB4/NOP12/MRH4/NOP16/NSA1/LOC1/NOP7/RIX1/DBP9/DBP10/ERB1/DRS1/DBP7/DBP3/DBP6/IPI1/MAK5/JIP5/YTM1/RLP7/RRP14/AFG2/NUG1/HPM1/RRS1/NOP15/NOP53/NOC2/RPF1/NOP4/NHP2/POL5/SDA1/PRP43/CIC1/NOC3/LAS1/RPF2/NOP2/RRP5/RRP15/YVH1/REI1/SSF2/TSR2/RIX7/SQT1/MAK11/NOG1/MAK21/EBP2/TRM112",54
