"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","ncRNA processing","33/158","348/4568",5.04339078771993e-08,3.45688290017247e-05,3.39346770829335e-05,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/CWC24/NOP14/NOP9/RRP42/UTP9/URB1/UTP30/RTT10/RMP1/RRP12/POL5/ECM16/FMT1/NAN1/RRP5/RRP46/IKI3/MDN1/LSM2/FCF1/TRM1/TRM732/UTP20/POP4/TRZ1",33
"GO:0006364","rRNA processing","26/158","234/4568",7.17195622442421e-08,3.45688290017247e-05,3.39346770829335e-05,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/NOP14/NOP9/RRP42/UTP9/URB1/UTP30/RMP1/RRP12/POL5/ECM16/NAN1/RRP5/RRP46/MDN1/LSM2/FCF1/UTP20/POP4",26
"GO:0042254","ribosome biogenesis","31/158","329/4568",1.61638679547721e-07,5.19398956946675e-05,5.09870782152284e-05,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/NOP14/NOP9/JIP5/RRP42/UTP9/URB1/UTP30/NOC2/RMP1/RRP12/POL5/ECM16/NAN1/RRP5/NIC96/RRP46/ACL4/MDN1/LSM2/MAK21/FCF1/UTP20/POP4",31
"GO:0016072","rRNA metabolic process","27/158","277/4568",5.92147219815259e-07,0.000137401261495866,0.000134880688015706,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/NOP14/NOP9/RRP42/UTP9/URB1/UTP30/RMP1/RRP12/RRN11/POL5/ECM16/NAN1/RRP5/RRP46/MDN1/LSM2/FCF1/UTP20/POP4",27
"GO:0034660","ncRNA metabolic process","36/158","447/4568",7.27298812817918e-07,0.000137401261495866,0.000134880688015706,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/CWC24/NOP14/NOP9/RPC17/RRP42/UTP9/URB1/UTP30/RTT10/RMP1/RRP12/RRN11/POL5/ECM16/FMT1/NAN1/RRP5/RRP46/RPC25/IKI3/MDN1/LSM2/FCF1/TRM1/TRM732/UTP20/POP4/TRZ1",36
"GO:0022613","ribonucleoprotein complex biogenesis","34/158","411/4568",8.55194573625725e-07,0.000137401261495866,0.000134880688015706,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/CWC24/NOP14/NOP9/JIP5/HSH155/RRP42/UTP9/URB1/UTP30/NOC2/RMP1/RRP12/POL5/ECM16/NAN1/RRP5/NIC96/RRP46/ACL4/MDN1/LSM2/MAK21/FCF1/PRP42/UTP20/POP4",34
"GO:0042273","ribosomal large subunit biogenesis","15/158","106/4568",2.64735390278808e-06,0.000364578451755387,0.000357890399790449,"SPB4/NOP7/RIX1/DBP9/GRC3/DRS1/JIP5/URB1/UTP30/NOC2/POL5/RRP5/ACL4/MDN1/MAK21",15
"GO:0030490","maturation of SSU-rRNA","13/158","88/4568",7.83783460814772e-06,0.0009444590702818,0.000927133330621684,"UTP10/NOP7/GEP3/NOP14/NOP9/UTP9/UTP30/RRP12/ECM16/NAN1/RRP5/FCF1/UTP20",13
"GO:0000460","maturation of 5.8S rRNA","12/158","77/4568",1.01155761167414e-05,0.000975141537653872,0.000957252939889529,"UTP10/NOP7/GRC3/NOP14/NOP9/RRP42/URB1/RMP1/RRP5/RRP46/FCF1/UTP20",12
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","12/158","77/4568",1.01155761167414e-05,0.000975141537653872,0.000957252939889529,"UTP10/NOP7/GRC3/NOP14/NOP9/RRP42/URB1/RMP1/RRP5/RRP46/FCF1/UTP20",12
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","12/158","78/4568",1.16013103301365e-05,0.00101669665075014,0.000998045740362936,"UTP10/NOP7/NOP14/NOP9/UTP9/UTP30/RRP12/ECM16/NAN1/RRP5/FCF1/UTP20",12
"GO:0042274","ribosomal small subunit biogenesis","13/158","113/4568",0.000118259286750193,0.0094091730926759,0.00923656541855824,"UTP10/NOP7/GEP3/NOP14/NOP9/UTP9/UTP30/RRP12/ECM16/NAN1/RRP5/FCF1/UTP20",13
"GO:0000027","ribosomal large subunit assembly","7/158","34/4568",0.000126887189009115,0.0094091730926759,0.00923656541855824,"SPB4/RIX1/DRS1/POL5/RRP5/MDN1/MAK21",7
