"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","ncRNA processing","32/87","348/4568",5.6318549576599e-15,2.657243000444e-12,2.39949389687766e-12,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/CWC24/NOP14/NOP9/RRP42/UTP9/URB1/UTP30/RTT10/RMP1/RRP12/POL5/ECM16/NAN1/RRP5/RRP46/IKI3/MDN1/LSM2/FCF1/TRM1/TRM732/UTP20/POP4/TRZ1",32
"GO:0042254","ribosome biogenesis","31/87","329/4568",8.78427438163305e-15,2.657243000444e-12,2.39949389687766e-12,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/NOP14/NOP9/JIP5/RRP42/UTP9/URB1/UTP30/NOC2/RMP1/RRP12/POL5/ECM16/NAN1/RRP5/NIC96/RRP46/ACL4/MDN1/LSM2/MAK21/FCF1/UTP20/POP4",31
"GO:0022613","ribonucleoprotein complex biogenesis","34/87","411/4568",1.44806232305293e-14,2.92025901815675e-12,2.63699770408587e-12,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/CWC24/NOP14/NOP9/JIP5/HSH155/RRP42/UTP9/URB1/UTP30/NOC2/RMP1/RRP12/POL5/ECM16/NAN1/RRP5/NIC96/RRP46/ACL4/MDN1/LSM2/MAK21/FCF1/PRP42/UTP20/POP4",34
"GO:0034660","ncRNA metabolic process","35/87","447/4568",2.75277066455617e-14,4.16356563014121e-12,3.75970519711751e-12,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/CWC24/NOP14/NOP9/RPC17/RRP42/UTP9/URB1/UTP30/RTT10/RMP1/RRP12/RRN11/POL5/ECM16/NAN1/RRP5/RRP46/RPC25/IKI3/MDN1/LSM2/FCF1/TRM1/TRM732/UTP20/POP4/TRZ1",35
"GO:0006364","rRNA processing","26/87","234/4568",4.61218669137921e-14,5.58074589656885e-12,5.03942082700171e-12,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/NOP14/NOP9/RRP42/UTP9/URB1/UTP30/RMP1/RRP12/POL5/ECM16/NAN1/RRP5/RRP46/MDN1/LSM2/FCF1/UTP20/POP4",26
"GO:0016072","rRNA metabolic process","27/87","277/4568",3.45506751491099e-13,3.48385974420192e-11,3.1459298951558e-11,"SPB4/UTP10/NOP7/RIX1/DBP9/GRC3/GEP3/DRS1/NOP14/NOP9/RRP42/UTP9/URB1/UTP30/RMP1/RRP12/RRN11/POL5/ECM16/NAN1/RRP5/RRP46/MDN1/LSM2/FCF1/UTP20/POP4",27
"GO:0042273","ribosomal large subunit biogenesis","15/87","106/4568",7.38860476471686e-10,6.38586554664814e-08,5.76644492163616e-08,"SPB4/NOP7/RIX1/DBP9/GRC3/DRS1/JIP5/URB1/UTP30/NOC2/POL5/RRP5/ACL4/MDN1/MAK21",15
"GO:0030490","maturation of SSU-rRNA","13/87","88/4568",6.56595710839891e-09,4.96550506322668e-07,4.48385755165663e-07,"UTP10/NOP7/GEP3/NOP14/NOP9/UTP9/UTP30/RRP12/ECM16/NAN1/RRP5/FCF1/UTP20",13
"GO:0000460","maturation of 5.8S rRNA","12/87","77/4568",1.41344665024051e-08,8.55135223395511e-07,7.72188222605081e-07,"UTP10/NOP7/GRC3/NOP14/NOP9/RRP42/URB1/RMP1/RRP5/RRP46/FCF1/UTP20",12
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","12/87","77/4568",1.41344665024051e-08,8.55135223395511e-07,7.72188222605081e-07,"UTP10/NOP7/GRC3/NOP14/NOP9/RRP42/URB1/RMP1/RRP5/RRP46/FCF1/UTP20",12
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","12/87","78/4568",1.64488074897306e-08,9.04684411935185e-07,8.16931204513894e-07,"UTP10/NOP7/NOP14/NOP9/UTP9/UTP30/RRP12/ECM16/NAN1/RRP5/FCF1/UTP20",12
"GO:0042274","ribosomal small subunit biogenesis","13/87","113/4568",1.43015360141852e-07,7.21035774048504e-06,6.51096244856327e-06,"UTP10/NOP7/GEP3/NOP14/NOP9/UTP9/UTP30/RRP12/ECM16/NAN1/RRP5/FCF1/UTP20",13
"GO:0000027","ribosomal large subunit assembly","7/87","34/4568",2.52663420811879e-06,0.000117585668916297,0.000106180012470741,"SPB4/RIX1/DRS1/POL5/RRP5/MDN1/MAK21",7
"GO:0036260","RNA capping","7/87","36/4568",3.80142886554992e-06,0.000164276033118407,0.000148341472272211,"UTP10/NOP14/NOP9/RRP5/STO1/FCF1/UTP20",7
"GO:0000469","cleavage involved in rRNA processing","9/87","68/4568",4.26952859863759e-06,0.000172204320145049,0.000155500725803011,"UTP10/GRC3/NOP14/NOP9/RRP42/RRP5/RRP46/FCF1/UTP20",9
"GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/87","25/4568",5.31506616734388e-06,0.00020097593945269,0.000181481535582334,"UTP10/NOP14/NOP9/RRP5/FCF1/UTP20",6
"GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/87","26/4568",6.80471236920805e-06,0.000242167704904169,0.000218677753536779,"UTP10/NOP14/NOP9/RRP5/FCF1/UTP20",6
"GO:0000967","rRNA 5'-end processing","6/87","27/4568",8.61614538979281e-06,0.000274356208464455,0.000247744014254984,"UTP10/NOP14/NOP9/RRP5/FCF1/UTP20",6
"GO:0034471","ncRNA 5'-end processing","6/87","27/4568",8.61614538979281e-06,0.000274356208464455,0.000247744014254984,"UTP10/NOP14/NOP9/RRP5/FCF1/UTP20",6
"GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic","9/87","77/4568",1.21520960648696e-05,0.000367600905962305,0.000331944097771964,"UTP10/GRC3/NOP14/NOP9/RRP5/FCF1/UTP20/POP4/TRZ1",9
"GO:0000478","endonucleolytic cleavage involved in rRNA processing","7/87","45/4568",1.79855483476416e-05,0.000494602579560144,0.000446626774757225,"UTP10/GRC3/NOP14/NOP9/RRP5/FCF1/UTP20",7
"GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","7/87","45/4568",1.79855483476416e-05,0.000494602579560144,0.000446626774757225,"UTP10/GRC3/NOP14/NOP9/RRP5/FCF1/UTP20",7
"GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/87","32/4568",2.44363602215113e-05,0.000642782518870188,0.000580433453316446,"UTP10/NOP14/NOP9/RRP5/FCF1/UTP20",6
"GO:0090501","RNA phosphodiester bond hydrolysis","11/87","129/4568",2.68060833207724e-05,0.000675736683711136,0.000610191107170213,"UTP10/GRC3/NOP14/NOP9/RRP42/RRP5/RRP46/FCF1/UTP20/POP4/TRZ1",11
"GO:0000966","RNA 5'-end processing","6/87","36/4568",4.94112733798445e-05,0.00119575281579224,0.00107976635301639,"UTP10/NOP14/NOP9/RRP5/FCF1/UTP20",6
"GO:0000470","maturation of LSU-rRNA","7/87","55/4568",6.89350027127512e-05,0.00160406448620056,0.0014484723242072,"SPB4/NOP7/DBP9/GRC3/URB1/UTP30/RRP5",7
"GO:0042255","ribosome assembly","7/87","61/4568",0.000135116003165035,0.00302759933017949,0.00273392614591241,"SPB4/RIX1/DRS1/POL5/RRP5/MDN1/MAK21",7
"GO:0022618","ribonucleoprotein complex assembly","10/87","153/4568",0.000576585642020536,0.0124583683365151,0.0112499228649871,"SPB4/RIX1/DRS1/CWC24/HSH155/POL5/RRP5/MDN1/MAK21/PRP42",10
"GO:0071826","ribonucleoprotein complex subunit organization","10/87","157/4568",0.000706797666886793,0.014745261671259,0.0133149905304626,"SPB4/RIX1/DRS1/CWC24/HSH155/POL5/RRP5/MDN1/MAK21/PRP42",10
"GO:0006399","tRNA metabolic process","11/87","188/4568",0.000775460563853981,0.0156384547043886,0.0141215450049199,"RPC17/RRP42/RTT10/RRP46/RPC25/IKI3/LSM2/TRM1/TRM732/POP4/TRZ1",11
"GO:0006360","transcription by RNA polymerase I","6/87","59/4568",0.000805102871671216,0.015712491527777,0.0141884003530513,"UTP10/GRC3/UTP9/RRN11/NAN1/RRN3",6
