"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","ncRNA processing","184/817","348/4568",1.78906053377063e-54,2.92332491218121e-51,2.72502167617485e-51,"SLX9/SPB1/THG1/ROK1/TRM44/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/UTP10/UTP25/NSA1/LOC1/GCD10/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/GRC3/DUS3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/NCS2/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/CWC24/NCS6/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/TRM8/GCD14/TRM13/RAT1/URM1/YTM1/RLP7/TRM10/MTO1/UTP21/TRM5/SEN54/RRP14/RCM1/SUA5/TSR3/PRP4/PUS1/ELP3/NPL3/RIO2/DIP2/NOP6/NUG1/BMT6/ELP2/RNH70/RRP17/RRP42/SSZ1/DEG1/RRS1/ESF1/TYW3/PWP1/PAP2/KRE33/UTP9/TRM2/URB1/NOP15/MSS1/RPC11/NOP53/TRM9/POP1/ENP2/UTP11/UTP30/TSR1/CSL4/NRD1/RTT10/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/NOB1/RPF2/FMT1/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/UTP22/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/TAN1/LCP5/RRP1/PUS7/RRB1/POP7/TYW1/SKI6/NCL1/TSR2/ABP140/RIO1/TAD1/RNT1/DHR2/MAK11/RRP4/IKI3/DIS3/FCY1/TGS1/NOG1/HIT1/BMT2/MOD5/BMS1/FCF1/PPM2/PUS4/FAF1/TCD2/RRP7/TRM1/EBP2/TRM732/MTR4/FCF2/MSS116/DUS1/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/SEN2/DUS4/NSR1/TRZ1/ENP1",184
"GO:0022613","ribonucleoprotein complex biogenesis","195/817","411/4568",3.06946342989821e-48,2.50775162222684e-45,2.33763872792774e-45,"SLX9/SPB1/ROK1/RSA3/PNO1/SPB4/RRP36/RSE1/NOP12/MRH4/NOP16/RPB5/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/GRC3/CCM1/PRT1/IMP4/BFR2/DBP10/DBP8/NIP1/DED1/BCP1/RPG1/GEP3/ERB1/TIF34/DRS1/RAI1/TIF35/HCA4/FYV7/DBP7/EFG1/CWC24/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/JIP5/FAL1/NOP10/RAT1/YTM1/RLP7/PRP5/UTP21/BUD27/RRP14/RCM1/TSR3/PRP4/PRP22/AFG2/NPL3/RIO2/DIP2/TIF3/NOP6/NUG1/RPO26/YJU2/BMT6/RNH70/RPC19/RRP17/RRP42/SSZ1/HPM1/RRS1/ESF1/PWP1/YAR1/KRE33/RPB10/UTP9/NAM8/URB1/NOP15/SGD1/NOP53/POP1/ENP2/LSG1/UTP11/UTP30/NOC2/TSR1/CSL4/RPC10/RRP12/RPF1/SMD2/NOP4/NHP2/POL5/ECM16/SDA1/PRP43/PRP31/CIC1/NOC3/NOB1/RPF2/TIF4632/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/TMA23/CUS1/NOP2/RRP5/SSB2/PRP19/JJJ1/TIF6/UTP22/RPA190/BUD20/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/REI1/RRP46/SSF2/LCP5/RRP1/BRR2/PUS7/SUI3/ARB1/RPB8/RRB1/POP7/SKI6/NOP13/TSR2/RIX7/RIO1/SUI2/SQT1/ACL4/RNT1/DHR2/MAK11/RRP4/DIS3/NEW1/NOG1/HIT1/BMT2/MAK21/BMS1/SAC3/FCF1/SNU114/FAF1/RRP7/EBP2/SYO1/LTV1/PRP3/MTR4/FCF2/MSS116/KRI1/NAF1/GCD11/BMT5/NOG2/UTP18/UTP20/TRM112/SHQ1/NSR1/ENP1",195
"GO:0034660","ncRNA metabolic process","205/817","447/4568",6.22913568652458e-48,3.39280257059372e-45,3.16265239943897e-45,"SLX9/SPB1/THG1/ROK1/SSU72/TRM44/PNO1/SPB4/RPC82/RRP36/NOP12/MRH4/NOP16/RPB5/RPO31/UTP10/UTP25/NSA1/LOC1/GCD10/NOP7/SET2/PXR1/RRP3/RIX1/DBP9/DBP2/GRC3/DUS3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/NCS2/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/CWC24/NCS6/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/TRM8/GCD14/TRM13/RAT1/URM1/YTM1/RLP7/TRM10/MTO1/UTP21/TRM5/SEN54/RRP14/RCM1/AIR1/SUA5/TSR3/PRP4/PUS1/ELP3/NPL3/RIO2/DIP2/NOP6/NUG1/RPO26/BMT6/ELP2/RNH70/RPC19/RRP17/SPT15/RRP42/SSZ1/DEG1/RRS1/ESF1/TYW3/PWP1/TBF1/PAP2/KRE33/RPB10/UTP9/TRM2/URB1/NOP15/MSS1/VAS1/RPC11/NOP53/TRM9/POP1/ENP2/UTP11/UTP30/TSR1/CSL4/NRD1/RTT10/RPC10/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/NOB1/RPF2/FMT1/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/UTP22/RPA190/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/TAN1/RPC25/LCP5/RRP1/PUS7/RPB8/RRB1/POP7/TYW1/SKI6/NCL1/TSR2/ABP140/RIO1/TAD1/RNT1/DHR2/MAK11/RRP4/IKI3/RPC53/DIS3/FCY1/TGS1/NOG1/HIT1/RPC31/BMT2/MOD5/BMS1/FCF1/PPM2/PUS4/FAF1/TCD2/RET1/RRP7/TRM1/EBP2/TRM732/MTR4/FCF2/RPC34/MSS116/DUS1/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/SEN2/DUS4/NSR1/TRZ1/ENP1/MSW1",205
"GO:0006364","rRNA processing","136/817","234/4568",5.49369240270147e-46,2.24417334650355e-43,2.09194023860764e-43,"SLX9/SPB1/ROK1/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/GRC3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/RRP14/RCM1/TSR3/NPL3/RIO2/DIP2/NOP6/NUG1/BMT6/RNH70/RRP17/RRP42/SSZ1/RRS1/ESF1/PWP1/KRE33/UTP9/URB1/NOP15/NOP53/POP1/ENP2/UTP11/UTP30/TSR1/CSL4/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/UTP22/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/LCP5/RRP1/PUS7/RRB1/POP7/SKI6/TSR2/RIO1/RNT1/DHR2/MAK11/RRP4/DIS3/NOG1/HIT1/BMT2/BMS1/FCF1/FAF1/RRP7/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/NSR1/ENP1",136
"GO:0042254","ribosome biogenesis","167/817","329/4568",7.07859380212225e-46,2.31328445453355e-43,2.15636320666756e-43,"SLX9/SPB1/ROK1/RSA3/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/RPB5/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/GRC3/CCM1/IMP4/BFR2/DBP10/DBP8/BCP1/GEP3/ERB1/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/JIP5/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/RRP14/RCM1/TSR3/AFG2/NPL3/RIO2/DIP2/NOP6/NUG1/RPO26/BMT6/RNH70/RPC19/RRP17/RRP42/SSZ1/HPM1/RRS1/ESF1/PWP1/YAR1/KRE33/RPB10/UTP9/URB1/NOP15/SGD1/NOP53/POP1/ENP2/LSG1/UTP11/UTP30/NOC2/TSR1/CSL4/RPC10/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/NOC3/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/TMA23/NOP2/RRP5/SSB2/JJJ1/TIF6/UTP22/RPA190/BUD20/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/REI1/RRP46/SSF2/LCP5/RRP1/PUS7/ARB1/RPB8/RRB1/POP7/SKI6/TSR2/RIX7/RIO1/SQT1/ACL4/RNT1/DHR2/MAK11/RRP4/DIS3/NEW1/NOG1/HIT1/BMT2/MAK21/BMS1/SAC3/FCF1/FAF1/RRP7/EBP2/SYO1/LTV1/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/NOG2/UTP18/UTP20/TRM112/NSR1/ENP1",167
"GO:0016072","rRNA metabolic process","140/817","277/4568",7.83287751532976e-38,2.13315364334147e-35,1.98845153766354e-35,"SLX9/SPB1/ROK1/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/GRC3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/DBP3/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/RRP14/RCM1/AIR1/TSR3/NPL3/RIO2/DIP2/NOP6/NUG1/BMT6/RNH70/RRP17/SPT15/RRP42/SSZ1/RRS1/ESF1/PWP1/PAP2/KRE33/UTP9/URB1/NOP15/NOP53/POP1/ENP2/UTP11/UTP30/TSR1/CSL4/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/UTP22/RPA190/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/LCP5/RRP1/PUS7/RRB1/POP7/SKI6/TSR2/RIO1/RNT1/DHR2/MAK11/RRP4/DIS3/NOG1/HIT1/BMT2/BMS1/FCF1/FAF1/RRP7/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/NSR1/ENP1",140
"GO:0042274","ribosomal small subunit biogenesis","70/817","113/4568",5.24659529269457e-26,1.22470524403756e-23,1.14162757722241e-23,"SLX9/ROK1/PNO1/RRP36/UTP10/UTP25/LOC1/NOP7/RRP3/IMP4/BFR2/DBP8/GEP3/FYV7/EFG1/NOP14/NOP9/DIM1/ESF2/FAL1/UTP21/RRP14/TSR3/RIO2/DIP2/NOP6/RRS1/YAR1/KRE33/UTP9/SGD1/ENP2/UTP11/UTP30/TSR1/RRP12/ECM16/PRP43/NOB1/BUD22/NAN1/MRD1/UTP13/RRP9/TMA23/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/RIO1/DHR2/NEW1/BMS1/SAC3/FCF1/FAF1/RRP7/LTV1/FCF2/KRI1/UTP18/UTP20/TRM112/NSR1/ENP1",70
"GO:0000460","maturation of 5.8S rRNA","54/817","77/4568",3.66211602510777e-24,6.64877509447344e-22,6.19775659453911e-22,"SPB1/ROK1/PNO1/UTP10/LOC1/NOP7/GRC3/DBP10/DBP8/ERB1/RAI1/DBP3/DBP6/NOP14/NOP9/MAK5/ESF2/RAT1/YTM1/RLP7/DIP2/RNH70/RRP42/RRS1/URB1/UTP11/CSL4/RPF1/PRP43/CIC1/RPF2/MRD1/UTP13/RRP43/RRP9/RRP5/TIF6/UTP7/RRP15/BUD23/MPP10/RRP46/LCP5/SKI6/MAK11/RRP4/DIS3/FCF1/MTR4/FCF2/KRI1/UTP18/UTP20/ENP1",54
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","54/817","77/4568",3.66211602510777e-24,6.64877509447344e-22,6.19775659453911e-22,"SPB1/ROK1/PNO1/UTP10/LOC1/NOP7/GRC3/DBP10/DBP8/ERB1/RAI1/DBP3/DBP6/NOP14/NOP9/MAK5/ESF2/RAT1/YTM1/RLP7/DIP2/RNH70/RRP42/RRS1/URB1/UTP11/CSL4/RPF1/PRP43/CIC1/RPF2/MRD1/UTP13/RRP43/RRP9/RRP5/TIF6/UTP7/RRP15/BUD23/MPP10/RRP46/LCP5/SKI6/MAK11/RRP4/DIS3/FCF1/MTR4/FCF2/KRI1/UTP18/UTP20/ENP1",54
"GO:0030490","maturation of SSU-rRNA","58/817","88/4568",1.03239493938796e-23,1.68693333095992e-21,1.57250050241513e-21,"SLX9/ROK1/PNO1/RRP36/UTP10/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/GEP3/FYV7/EFG1/NOP14/NOP9/DIM1/ESF2/FAL1/TSR3/RIO2/DIP2/RRS1/KRE33/UTP9/ENP2/UTP11/UTP30/TSR1/RRP12/ECM16/PRP43/NOB1/BUD22/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/RIO1/DHR2/BMS1/FCF1/FAF1/FCF2/KRI1/UTP18/UTP20/TRM112/ENP1",58
