"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901565","organonitrogen compound catabolic process","49/308","352/4568",4.10555662501717e-07,0.000428235068595006,0.000387777423997439,"PNG1/DDI1/BRO1/HSE1/RPN7/PEP5/BAT2/VID30/CTS1/PUT1/THI20/UBP13/RMD5/MPO1/CDC27/VPS36/UGA2/HRD1/ARO80/NAT3/VID28/UBC8/UFD4/RPN2/BNA1/RPN9/DAL2/DUG2/CAR1/ARO10/DAL3/RPN6/ALT2/DSD1/VPS28/UGA1/PUT2/SNF8/URH1/DAL4/DUR1,2/DOA4/RPN3/PDE1/ALD2/YME1/RPN12/ASI3/VID24",49
"GO:0007034","vacuolar transport","29/308","163/4568",8.78293379309646e-07,0.000428235068595006,0.000387777423997439,"ATG3/ATG9/DDI1/ATG12/BRO1/ATG13/HSE1/PEP5/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/AVT1/VPS9/VPS30/SYN8/VPS33/APL5/VTA1/VPS53/VPS28/TLG2/SNF8/COG3/APL2/VID24/YPT6",29
"GO:0006623","protein targeting to vacuole","21/308","98/4568",1.39320775439401e-06,0.000428235068595006,0.000387777423997439,"ATG3/ATG9/ATG12/ATG13/HSE1/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS9/VPS30/VPS33/APL5/VPS28/TLG2/SNF8/COG3/VID24/YPT6",21
"GO:0072666","establishment of protein localization to vacuole","23/308","116/4568",1.83539740518512e-06,0.000428235068595006,0.000387777423997439,"ATG3/ATG9/DDI1/ATG12/BRO1/ATG13/HSE1/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS9/VPS30/VPS33/APL5/VPS28/TLG2/SNF8/COG3/VID24/YPT6",23
"GO:0005996","monosaccharide metabolic process","15/308","55/4568",1.94101267943176e-06,0.000428235068595006,0.000387777423997439,"VID30/GAL10/GAL4/RMD5/RBK1/VID28/UBC8/GAL7/PKP2/YPR1/GAL3/RGT1/PCK1/DOG1/VID24",15
"GO:0072665","protein localization to vacuole","24/308","125/4568",1.99488385991462e-06,0.000428235068595006,0.000387777423997439,"ATG3/ATG9/DDI1/ATG12/BRO1/ATG13/HSE1/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS9/VPS30/VPS33/APL5/VPS28/VAC14/TLG2/SNF8/COG3/VID24/YPT6",24
"GO:0044282","small molecule catabolic process","22/308","118/4568",8.921511076169e-06,0.0016415580380151,0.00148647131915718,"BAT2/GAL10/INP53/PUT1/THI20/RBK1/MPO1/UGA2/ARO80/FDH1/BNA1/GAL7/INP51/CAR1/ARO10/YPR1/ALT2/DSD1/UGA1/PUT2/URH1/DUR1,2",22
"GO:0043605","cellular amide catabolic process","6/308","10/4568",1.49281549690632e-05,0.00217233103932252,0.00196709937199195,"NIT2/DAL2/DAL3/NIT3/DAL4/DUR1,2",6
"GO:0019318","hexose metabolic process","13/308","50/4568",1.68659242183426e-05,0.00217233103932252,0.00196709937199195,"VID30/GAL10/GAL4/RMD5/VID28/UBC8/GAL7/PKP2/GAL3/RGT1/PCK1/DOG1/VID24",13
"GO:0032258","cytoplasm to vacuole transport by the Cvt pathway","13/308","50/4568",1.68659242183426e-05,0.00217233103932252,0.00196709937199195,"ATG3/ATG9/ATG12/ATG13/TRS85/VPS45/VPS34/COG8/VPS36/VPS30/TLG2/COG3/YPT6",13
