"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","ncRNA processing","200/835","348/4568",3.14491020539306e-66,5.06959525109362e-63,4.72067573988475e-63,"SLX9/SPB1/THG1/ROK1/TRM44/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/UTP10/UTP25/NSA1/LOC1/GCD10/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/DUS3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/NCS2/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/NCS6/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/TRM8/GCD14/TRM13/RAT1/URM1/YTM1/RLP7/TRM10/MTO1/UTP21/TRM5/SEN54/RRP14/FAP7/RCM1/SUA5/TSR3/PRP4/PUS1/ELP3/NPL3/RIO2/DIP2/NOP6/NUG1/TUM1/BMT6/ELP2/RNH70/RRP17/RRP42/SSZ1/DEG1/RRS1/ESF1/TYW3/PWP1/PAP2/KRE33/UTP9/TRM2/NOP15/MRM2/MSS1/RPC11/NOP53/TRM9/POP1/ENP2/UTP11/UTP30/TSR1/CSL4/NRD1/RTT10/RRP12/RPF1/CCA1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/FMT1/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/SMM1/NOP2/RRP5/SSB2/TAD2/JJJ1/TIF6/MOT1/UTP22/UTP7/RRP15/FUN12/BUD23/LHP1/TRM12/SOF1/MPP10/RRP46/TAN1/LCP5/RRP1/PUS7/RRB1/POP7/TYW1/SKI6/NCL1/TSR2/ABP140/RIO1/ZUO1/TAD1/RNT1/DHR2/MAK11/RRP4/IKI3/MDN1/DIS3/FCY1/PRP2/TGS1/NOG1/HIT1/BMT2/PIH1/MOD5/BMS1/FCF1/PPM2/PUS4/FAF1/PTC1/TCD2/RRP7/TSR4/TRM1/EBP2/TRM732/MTR4/FCF2/KTI12/MSS116/DUS1/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/SEN2/PSP2/DUS4/NSR1/TRZ1/ENP1",200
"GO:0034660","ncRNA metabolic process","227/835","447/4568",3.70667654234526e-62,2.98758129313028e-59,2.78195828914966e-59,"SLX9/SPB1/THG1/ROK1/TRM44/PNO1/SPB4/RPC82/RRP36/NOP12/MRH4/NOP16/RPB5/RPO31/UTP10/UTP25/NSA1/LOC1/GCD10/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/DUS3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/NCS2/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/NCS6/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/TRM8/GCD14/TRM13/RAT1/URM1/YTM1/RLP7/TRM10/MTO1/UTP21/TRM5/SEN54/RRP14/FAP7/RCM1/AIR1/SUA5/TSR3/KRS1/PRP4/PUS1/MSF1/ELP3/NPL3/RPC17/RIO2/DIP2/NOP6/NUG1/TUM1/RPO26/BMT6/ELP2/RNH70/RPC19/RRP17/SPT15/RRP42/SSZ1/DEG1/RRS1/ESF1/TYW3/ISM1/PWP1/TBF1/PAP2/KRE33/RPB10/UTP9/TRM2/NOP15/MRM2/MSS1/VAS1/RPC11/NOP53/TRM9/POP1/ENP2/UTP11/SLM5/UTP30/TSR1/CSL4/NRD1/RTT10/RPC10/RRP12/RPF1/CCA1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/FMT1/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/SMM1/NOP2/RRP5/SSB2/TAD2/JJJ1/TIF6/MOT1/UTP22/RPA190/HTS1/UTP7/RRP15/FUN12/BUD23/LHP1/TRM12/SOF1/MPP10/RRP46/TAN1/RPC25/LCP5/RRP1/PUS7/RPB8/RRB1/POP7/TYW1/SKI6/NCL1/TSR2/ABP140/RIO1/CDC60/ZUO1/TAD1/RNT1/DHR2/MAK11/RRP4/IKI3/MDN1/RPC53/DIS3/FCY1/PRP2/TGS1/NOG1/HIT1/RPC31/BMT2/PIH1/MOD5/BMS1/FCF1/PPM2/PUS4/DIA4/FAF1/PTC1/TCD2/RET1/RRP7/TSR4/TRM1/EBP2/TRM732/MTR4/FCF2/RPC34/KTI12/MSS116/DUS1/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/SEN2/PSP2/DUS4/NSR1/TRZ1/ENP1/MSW1",227
"GO:0022613","ribonucleoprotein complex biogenesis","205/835","411/4568",8.17719246267887e-54,4.39387808327945e-51,4.09146542167722e-51,"SLX9/SPB1/ROK1/RSA3/PNO1/SPB4/RRP36/RSE1/NOP12/MRH4/NOP16/RPB5/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/CCM1/PRT1/IMP4/BFR2/DBP10/DBP8/NIP1/DED1/BCP1/RPG1/GEP3/ERB1/TIF34/DRS1/RAI1/TIF35/HCA4/TMA22/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/TIF1/JIP5/FAL1/NOP10/RAT1/YTM1/RLP7/PRP5/UTP21/BUD27/RRP14/FAP7/RCM1/TSR3/PRP4/PRP22/TIF11/AFG2/NPL3/RIO2/DIP2/TIF3/NOP6/NUG1/RPO26/YJU2/BMT6/RNH70/RPC19/RRP17/RRP42/SSZ1/HPM1/RRS1/ESF1/PWP1/YAR1/KRE33/RPB10/UTP9/NOP15/MRM2/SGD1/NOP53/POP1/ENP2/LSG1/UTP11/UTP30/NOC2/TSR1/CSL4/RPC10/RRP12/RPF1/SMD2/NOP4/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/TIF4632/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/TMA23/CUS1/NOP2/RRP5/SSB2/PRP19/JJJ1/TIF6/MOT1/UTP22/RPA190/BUD20/UTP7/RRP15/FUN12/BUD23/YVH1/SOF1/MPP10/REI1/RRP46/SSF2/CDC33/LCP5/RRP1/BRR2/PUS7/SUI3/ARB1/RPB8/RRB1/POP7/SKI6/NOP13/TSR2/RIX7/RIO1/ZUO1/SUI2/SQT1/ACL4/RNT1/DHR2/MAK11/RRP4/MDN1/DIS3/PRP2/NEW1/NOG1/HIT1/BMT2/MAK21/PIH1/BMS1/SAC3/FCF1/SNU114/FAF1/RRP7/TSR4/EBP2/SYO1/LTV1/PRP3/MTR4/FCF2/MSS116/KRI1/NAF1/GCD11/BMT5/NOG2/UTP18/UTP20/TRM112/SHQ1/NSR1/ENP1",205
"GO:0006364","rRNA processing","143/835","234/4568",5.29109334579434e-51,2.13231061835512e-48,1.98555239765861e-48,"SLX9/SPB1/ROK1/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/RRP14/FAP7/RCM1/TSR3/NPL3/RIO2/DIP2/NOP6/NUG1/BMT6/RNH70/RRP17/RRP42/SSZ1/RRS1/ESF1/PWP1/KRE33/UTP9/NOP15/MRM2/NOP53/POP1/ENP2/UTP11/UTP30/TSR1/CSL4/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/MOT1/UTP22/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/LCP5/RRP1/PUS7/RRB1/POP7/SKI6/TSR2/RIO1/ZUO1/RNT1/DHR2/MAK11/RRP4/MDN1/DIS3/NOG1/HIT1/BMT2/PIH1/BMS1/FCF1/FAF1/RRP7/TSR4/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/NSR1/ENP1",143
"GO:0042254","ribosome biogenesis","175/835","329/4568",1.38369614707178e-50,4.46103637815943e-48,4.1540014857355e-48,"SLX9/SPB1/ROK1/RSA3/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/RPB5/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/CCM1/IMP4/BFR2/DBP10/DBP8/BCP1/GEP3/ERB1/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/JIP5/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/RRP14/FAP7/RCM1/TSR3/AFG2/NPL3/RIO2/DIP2/NOP6/NUG1/RPO26/BMT6/RNH70/RPC19/RRP17/RRP42/SSZ1/HPM1/RRS1/ESF1/PWP1/YAR1/KRE33/RPB10/UTP9/NOP15/MRM2/SGD1/NOP53/POP1/ENP2/LSG1/UTP11/UTP30/NOC2/TSR1/CSL4/RPC10/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/TMA23/NOP2/RRP5/SSB2/JJJ1/TIF6/MOT1/UTP22/RPA190/BUD20/UTP7/RRP15/FUN12/BUD23/YVH1/SOF1/MPP10/REI1/RRP46/SSF2/LCP5/RRP1/PUS7/ARB1/RPB8/RRB1/POP7/SKI6/TSR2/RIX7/RIO1/ZUO1/SQT1/ACL4/RNT1/DHR2/MAK11/RRP4/MDN1/DIS3/NEW1/NOG1/HIT1/BMT2/MAK21/PIH1/BMS1/SAC3/FCF1/FAF1/RRP7/TSR4/EBP2/SYO1/LTV1/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/NOG2/UTP18/UTP20/TRM112/NSR1/ENP1",175
"GO:0016072","rRNA metabolic process","147/835","277/4568",6.51036738069757e-42,1.74911870294741e-39,1.6287340148903e-39,"SLX9/SPB1/ROK1/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/RRP14/FAP7/RCM1/AIR1/TSR3/NPL3/RIO2/DIP2/NOP6/NUG1/BMT6/RNH70/RRP17/SPT15/RRP42/SSZ1/RRS1/ESF1/PWP1/PAP2/KRE33/UTP9/NOP15/MRM2/NOP53/POP1/ENP2/UTP11/UTP30/TSR1/CSL4/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/MOT1/UTP22/RPA190/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/LCP5/RRP1/PUS7/RRB1/POP7/SKI6/TSR2/RIO1/ZUO1/RNT1/DHR2/MAK11/RRP4/MDN1/DIS3/NOG1/HIT1/BMT2/PIH1/BMS1/FCF1/FAF1/RRP7/TSR4/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/NSR1/ENP1",147
"GO:0042274","ribosomal small subunit biogenesis","73/835","113/4568",3.64218994254412e-28,8.38744312483016e-26,7.81016971138031e-26,"SLX9/ROK1/PNO1/RRP36/UTP10/UTP25/LOC1/NOP7/RRP3/IMP4/BFR2/DBP8/GEP3/FYV7/EFG1/HCR1/NOP14/NOP9/DIM1/ESF2/FAL1/UTP21/RRP14/FAP7/TSR3/RIO2/DIP2/NOP6/RRS1/YAR1/KRE33/UTP9/SGD1/ENP2/UTP11/UTP30/TSR1/RRP12/ECM16/PRP43/NOB1/BUD22/NAN1/MRD1/UTP13/RRP9/TMA23/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/RIO1/DHR2/NEW1/BMS1/SAC3/FCF1/FAF1/RRP7/TSR4/LTV1/FCF2/KRI1/UTP18/UTP20/TRM112/NSR1/ENP1",73
"GO:0030490","maturation of SSU-rRNA","61/835","88/4568",3.38235965058086e-26,6.81545469592043e-24,6.34637481806356e-24,"SLX9/ROK1/PNO1/RRP36/UTP10/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/GEP3/FYV7/EFG1/HCR1/NOP14/NOP9/DIM1/ESF2/FAL1/FAP7/TSR3/RIO2/DIP2/RRS1/KRE33/UTP9/ENP2/UTP11/UTP30/TSR1/RRP12/ECM16/PRP43/NOB1/BUD22/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/RIO1/DHR2/BMS1/FCF1/FAF1/TSR4/FCF2/KRI1/UTP18/UTP20/TRM112/ENP1",61
"GO:0009451","RNA modification","65/835","101/4568",5.13117588607925e-25,9.19050614262195e-23,8.55796118543744e-23,"SPB1/THG1/TRM44/GCD10/DUS3/NCS2/NCS6/DIM1/NOP10/TRM8/GCD14/TRM13/URM1/TRM10/MTO1/TRM5/RCM1/SUA5/TSR3/PUS1/ELP3/TUM1/BMT6/ELP2/DEG1/TYW3/PAP2/KRE33/TRM2/MRM2/MSS1/TRM9/RTT10/IME4/NHP2/CIC1/FMT1/SMM1/NOP2/TAD2/BUD23/TRM12/TAN1/PUS7/TYW1/NCL1/KAR4/ABP140/TAD1/IKI3/FCY1/TGS1/BMT2/MOD5/PPM2/PUS4/TCD2/TRM1/TRM732/KTI12/DUS1/NAF1/BMT5/TRM112/DUS4",65
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","55/835","78/4568",2.72998814761696e-24,4.40074089395854e-22,4.09785589315977e-22,"SLX9/ROK1/PNO1/RRP36/UTP10/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/FYV7/EFG1/HCR1/NOP14/NOP9/DIM1/ESF2/FAL1/FAP7/RIO2/DIP2/RRS1/UTP9/ENP2/UTP11/UTP30/TSR1/RRP12/ECM16/PRP43/NOB1/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/RIO1/DHR2/BMS1/FCF1/FAF1/FCF2/KRI1/UTP18/UTP20/ENP1",55
