"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034660","ncRNA metabolic process","222/550","447/4568",7.84054964550477e-100,1.05141770746219e-96,9.30962105276777e-97,"SLX9/SPB1/THG1/ROK1/TRM44/PNO1/SPB4/RPC82/RRP36/NOP12/MRH4/NOP16/RPB5/RPO31/UTP10/UTP25/NSA1/LOC1/GCD10/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/DUS3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/NCS2/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/NCS6/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/TRM8/GCD14/TRM13/RAT1/URM1/YTM1/RLP7/TRM10/MTO1/UTP21/TRM5/SEN54/RRP14/FAP7/RCM1/AIR1/SUA5/TSR3/KRS1/PRP4/PUS1/MSF1/ELP3/NPL3/RPC17/RIO2/DIP2/NOP6/NUG1/RPO26/BMT6/ELP2/RNH70/RPC19/RRP17/SPT15/RRP42/SSZ1/DEG1/RRS1/ESF1/TYW3/ISM1/PWP1/TBF1/PAP2/KRE33/RPB10/UTP9/TRM2/NOP15/MRM2/MSS1/VAS1/RPC11/NOP53/TRM9/POP1/ENP2/UTP11/SLM5/UTP30/TSR1/CSL4/NRD1/RTT10/RPC10/RRP12/RPF1/CCA1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/SMM1/NOP2/RRP5/SSB2/TAD2/JJJ1/TIF6/MOT1/UTP22/RPA190/HTS1/UTP7/RRP15/FUN12/BUD23/LHP1/TRM12/SOF1/MPP10/RRP46/TAN1/RPC25/LCP5/RRP1/PUS7/RPB8/RRB1/POP7/TYW1/SKI6/NCL1/TSR2/ABP140/RIO1/CDC60/ZUO1/RNT1/DHR2/MAK11/RRP4/IKI3/MDN1/RPC53/DIS3/FCY1/PRP2/TGS1/NOG1/HIT1/RPC31/BMT2/PIH1/MOD5/BMS1/FCF1/PPM2/PUS4/DIA4/FAF1/TCD2/RET1/RRP7/TSR4/TRM1/EBP2/TRM732/MTR4/FCF2/RPC34/KTI12/MSS116/DUS1/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/SEN2/DUS4/NSR1/TRZ1/ENP1/MSW1",222
"GO:0034470","ncRNA processing","195/550","348/4568",1.10873677204801e-98,7.43408005658188e-96,6.58239515194816e-96,"SLX9/SPB1/THG1/ROK1/TRM44/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/UTP10/UTP25/NSA1/LOC1/GCD10/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/DUS3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/NCS2/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/NCS6/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/TRM8/GCD14/TRM13/RAT1/URM1/YTM1/RLP7/TRM10/MTO1/UTP21/TRM5/SEN54/RRP14/FAP7/RCM1/SUA5/TSR3/PRP4/PUS1/ELP3/NPL3/RIO2/DIP2/NOP6/NUG1/BMT6/ELP2/RNH70/RRP17/RRP42/SSZ1/DEG1/RRS1/ESF1/TYW3/PWP1/PAP2/KRE33/UTP9/TRM2/NOP15/MRM2/MSS1/RPC11/NOP53/TRM9/POP1/ENP2/UTP11/UTP30/TSR1/CSL4/NRD1/RTT10/RRP12/RPF1/CCA1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/SMM1/NOP2/RRP5/SSB2/TAD2/JJJ1/TIF6/MOT1/UTP22/UTP7/RRP15/FUN12/BUD23/LHP1/TRM12/SOF1/MPP10/RRP46/TAN1/LCP5/RRP1/PUS7/RRB1/POP7/TYW1/SKI6/NCL1/TSR2/ABP140/RIO1/ZUO1/RNT1/DHR2/MAK11/RRP4/IKI3/MDN1/DIS3/FCY1/PRP2/TGS1/NOG1/HIT1/BMT2/PIH1/MOD5/BMS1/FCF1/PPM2/PUS4/FAF1/TCD2/RRP7/TSR4/TRM1/EBP2/TRM732/MTR4/FCF2/KTI12/MSS116/DUS1/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/SEN2/DUS4/NSR1/TRZ1/ENP1",195
"GO:0022613","ribonucleoprotein complex biogenesis","204/550","411/4568",2.17786349628896e-90,9.73504982841164e-88,8.61975446952261e-88,"SLX9/SPB1/ROK1/RSA3/PNO1/SPB4/RRP36/RSE1/NOP12/MRH4/NOP16/RPB5/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/CCM1/PRT1/IMP4/BFR2/DBP10/DBP8/NIP1/DED1/BCP1/RPG1/GEP3/ERB1/TIF34/DRS1/RAI1/TIF35/HCA4/TMA22/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/TIF1/JIP5/FAL1/NOP10/RAT1/YTM1/RLP7/PRP5/UTP21/BUD27/RRP14/FAP7/RCM1/TSR3/PRP4/PRP22/TIF11/AFG2/NPL3/RIO2/DIP2/TIF3/NOP6/NUG1/RPO26/YJU2/BMT6/RNH70/RPC19/RRP17/RRP42/SSZ1/HPM1/RRS1/ESF1/PWP1/YAR1/KRE33/RPB10/UTP9/NOP15/MRM2/SGD1/NOP53/POP1/ENP2/LSG1/UTP11/UTP30/NOC2/TSR1/CSL4/RPC10/RRP12/RPF1/SMD2/NOP4/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/TIF4632/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/TMA23/CUS1/NOP2/RRP5/SSB2/PRP19/JJJ1/TIF6/MOT1/UTP22/RPA190/BUD20/UTP7/RRP15/FUN12/BUD23/YVH1/SOF1/MPP10/REI1/RRP46/SSF2/CDC33/LCP5/RRP1/BRR2/PUS7/SUI3/ARB1/RPB8/RRB1/POP7/SKI6/NOP13/TSR2/RIX7/RIO1/ZUO1/SUI2/SQT1/ACL4/RNT1/DHR2/MAK11/RRP4/MDN1/DIS3/PRP2/NEW1/NOG1/HIT1/BMT2/MAK21/PIH1/BMS1/FCF1/SNU114/FAF1/RRP7/TSR4/EBP2/SYO1/LTV1/PRP3/MTR4/FCF2/MSS116/KRI1/NAF1/GCD11/BMT5/NOG2/UTP18/UTP20/TRM112/SHQ1/NSR1/ENP1",204
"GO:0042254","ribosome biogenesis","174/550","329/4568",2.81571081870537e-81,9.43967051970977e-79,8.35821527236753e-79,"SLX9/SPB1/ROK1/RSA3/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/RPB5/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/CCM1/IMP4/BFR2/DBP10/DBP8/BCP1/GEP3/ERB1/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/JIP5/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/RRP14/FAP7/RCM1/TSR3/AFG2/NPL3/RIO2/DIP2/NOP6/NUG1/RPO26/BMT6/RNH70/RPC19/RRP17/RRP42/SSZ1/HPM1/RRS1/ESF1/PWP1/YAR1/KRE33/RPB10/UTP9/NOP15/MRM2/SGD1/NOP53/POP1/ENP2/LSG1/UTP11/UTP30/NOC2/TSR1/CSL4/RPC10/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/TMA23/NOP2/RRP5/SSB2/JJJ1/TIF6/MOT1/UTP22/RPA190/BUD20/UTP7/RRP15/FUN12/BUD23/YVH1/SOF1/MPP10/REI1/RRP46/SSF2/LCP5/RRP1/PUS7/ARB1/RPB8/RRB1/POP7/SKI6/TSR2/RIX7/RIO1/ZUO1/SQT1/ACL4/RNT1/DHR2/MAK11/RRP4/MDN1/DIS3/NEW1/NOG1/HIT1/BMT2/MAK21/PIH1/BMS1/FCF1/FAF1/RRP7/TSR4/EBP2/SYO1/LTV1/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/NOG2/UTP18/UTP20/TRM112/NSR1/ENP1",174
"GO:0006364","rRNA processing","143/550","234/4568",3.19030333476914e-77,8.55639354385084e-75,7.57613086656757e-75,"SLX9/SPB1/ROK1/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/RRP14/FAP7/RCM1/TSR3/NPL3/RIO2/DIP2/NOP6/NUG1/BMT6/RNH70/RRP17/RRP42/SSZ1/RRS1/ESF1/PWP1/KRE33/UTP9/NOP15/MRM2/NOP53/POP1/ENP2/UTP11/UTP30/TSR1/CSL4/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/MOT1/UTP22/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/LCP5/RRP1/PUS7/RRB1/POP7/SKI6/TSR2/RIO1/ZUO1/RNT1/DHR2/MAK11/RRP4/MDN1/DIS3/NOG1/HIT1/BMT2/PIH1/BMS1/FCF1/FAF1/RRP7/TSR4/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/NSR1/ENP1",143
"GO:0016072","rRNA metabolic process","147/550","277/4568",8.70414936112907e-68,1.94537738221235e-65,1.72250534725502e-65,"SLX9/SPB1/ROK1/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/UTP10/UTP25/NSA1/LOC1/NOP7/PXR1/RRP3/RIX1/DBP9/DBP2/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/DRS1/RAI1/HCA4/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/MAK5/ESF2/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/RRP14/FAP7/RCM1/AIR1/TSR3/NPL3/RIO2/DIP2/NOP6/NUG1/BMT6/RNH70/RRP17/SPT15/RRP42/SSZ1/RRS1/ESF1/PWP1/PAP2/KRE33/UTP9/NOP15/MRM2/NOP53/POP1/ENP2/UTP11/UTP30/TSR1/CSL4/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/NOC3/LAS1/NOB1/RPF2/BUD22/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/MOT1/UTP22/RPA190/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/LCP5/RRP1/PUS7/RRB1/POP7/SKI6/TSR2/RIO1/ZUO1/RNT1/DHR2/MAK11/RRP4/MDN1/DIS3/NOG1/HIT1/BMT2/PIH1/BMS1/FCF1/FAF1/RRP7/TSR4/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/UTP20/TRM112/NSR1/ENP1",147
"GO:0042274","ribosomal small subunit biogenesis","72/550","113/4568",9.87685938974126e-40,1.89212406309186e-37,1.67535299122228e-37,"SLX9/ROK1/PNO1/RRP36/UTP10/UTP25/LOC1/NOP7/RRP3/IMP4/BFR2/DBP8/GEP3/FYV7/EFG1/HCR1/NOP14/NOP9/DIM1/ESF2/FAL1/UTP21/RRP14/FAP7/TSR3/RIO2/DIP2/NOP6/RRS1/YAR1/KRE33/UTP9/SGD1/ENP2/UTP11/UTP30/TSR1/RRP12/ECM16/PRP43/NOB1/BUD22/NAN1/MRD1/UTP13/RRP9/TMA23/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/RIO1/DHR2/NEW1/BMS1/FCF1/FAF1/RRP7/TSR4/LTV1/FCF2/KRI1/UTP18/UTP20/TRM112/NSR1/ENP1",72
"GO:0030490","maturation of SSU-rRNA","61/550","88/4568",6.18283749188539e-37,1.03639813457729e-34,9.17663248795622e-35,"SLX9/ROK1/PNO1/RRP36/UTP10/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/GEP3/FYV7/EFG1/HCR1/NOP14/NOP9/DIM1/ESF2/FAL1/FAP7/TSR3/RIO2/DIP2/RRS1/KRE33/UTP9/ENP2/UTP11/UTP30/TSR1/RRP12/ECM16/PRP43/NOB1/BUD22/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/RIO1/DHR2/BMS1/FCF1/FAF1/TSR4/FCF2/KRI1/UTP18/UTP20/TRM112/ENP1",61
"GO:0006399","tRNA metabolic process","88/550","188/4568",5.44741348026615e-34,7.72279110797385e-32,6.83803004026415e-32,"THG1/TRM44/RPC82/RPB5/RPO31/GCD10/DUS3/NCS2/NCS6/TRM8/GCD14/TRM13/URM1/TRM10/MTO1/TRM5/SEN54/AIR1/SUA5/KRS1/PUS1/MSF1/ELP3/RPC17/RPO26/ELP2/RNH70/RPC19/RRP42/DEG1/TYW3/ISM1/PAP2/KRE33/RPB10/TRM2/MSS1/VAS1/RPC11/TRM9/POP1/SLM5/CSL4/NRD1/RTT10/RPC10/CCA1/RRP43/SMM1/TAD2/HTS1/LHP1/TRM12/RRP46/TAN1/RPC25/PUS7/RPB8/POP7/TYW1/SKI6/NCL1/ABP140/CDC60/RRP4/IKI3/RPC53/DIS3/FCY1/TGS1/RPC31/MOD5/PPM2/PUS4/DIA4/TCD2/RET1/TRM1/TRM732/MTR4/RPC34/KTI12/DUS1/TRM112/SEN2/DUS4/TRZ1/MSW1",88
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","55/550","78/4568",5.75897920057707e-34,7.72279110797385e-32,6.83803004026415e-32,"SLX9/ROK1/PNO1/RRP36/UTP10/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/FYV7/EFG1/HCR1/NOP14/NOP9/DIM1/ESF2/FAL1/FAP7/RIO2/DIP2/RRS1/UTP9/ENP2/UTP11/UTP30/TSR1/RRP12/ECM16/PRP43/NOB1/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/RIO1/DHR2/BMS1/FCF1/FAF1/FCF2/KRI1/UTP18/UTP20/ENP1",55
"GO:0042273","ribosomal large subunit biogenesis","64/550","106/4568",2.80103442926621e-33,3.41471560876907e-31,3.02350893417443e-31,"SPB1/RSA3/SPB4/NOP12/MRH4/NOP16/NSA1/LOC1/NOP7/RIX1/DBP9/DBP10/ERB1/DRS1/RAI1/DBP7/DBP3/DBP6/IPI1/MAK5/JIP5/RAT1/YTM1/RLP7/RRP14/AFG2/NUG1/HPM1/RRS1/NOP15/NOP53/LSG1/UTP30/NOC2/RPF1/NOP4/NHP2/POL5/SDA1/PRP43/CIC1/NOC3/LAS1/RPF2/NOP2/RRP5/JJJ1/TIF6/RRP15/YVH1/REI1/SSF2/TSR2/RIX7/SQT1/ACL4/MAK11/MDN1/NOG1/HIT1/MAK21/EBP2/SYO1/TRM112",64
"GO:0000460","maturation of 5.8S rRNA","53/550","77/4568",6.68081686353262e-32,6.89151954922865e-30,6.10199305430348e-30,"SPB1/ROK1/PNO1/UTP10/LOC1/NOP7/DBP10/DBP8/ERB1/RAI1/DBP3/DBP6/NOP14/NOP9/MAK5/ESF2/RAT1/YTM1/RLP7/DIP2/RNH70/RRP42/RRS1/UTP11/CSL4/RPF1/PRP43/CIC1/LAS1/RPF2/MRD1/UTP13/RRP43/RRP9/RRP5/TIF6/UTP7/RRP15/BUD23/MPP10/RRP46/LCP5/SKI6/MAK11/RRP4/DIS3/FCF1/MTR4/FCF2/KRI1/UTP18/UTP20/ENP1",53
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","53/550","77/4568",6.68081686353262e-32,6.89151954922865e-30,6.10199305430348e-30,"SPB1/ROK1/PNO1/UTP10/LOC1/NOP7/DBP10/DBP8/ERB1/RAI1/DBP3/DBP6/NOP14/NOP9/MAK5/ESF2/RAT1/YTM1/RLP7/DIP2/RNH70/RRP42/RRS1/UTP11/CSL4/RPF1/PRP43/CIC1/LAS1/RPF2/MRD1/UTP13/RRP43/RRP9/RRP5/TIF6/UTP7/RRP15/BUD23/MPP10/RRP46/LCP5/SKI6/MAK11/RRP4/DIS3/FCF1/MTR4/FCF2/KRI1/UTP18/UTP20/ENP1",53
"GO:0009451","RNA modification","61/550","101/4568",9.57356293528216e-32,9.17010564015241e-30,8.11953307593855e-30,"SPB1/THG1/TRM44/GCD10/DUS3/NCS2/NCS6/DIM1/NOP10/TRM8/GCD14/TRM13/URM1/TRM10/MTO1/TRM5/RCM1/SUA5/TSR3/PUS1/ELP3/BMT6/ELP2/DEG1/TYW3/PAP2/KRE33/TRM2/MRM2/MSS1/TRM9/RTT10/IME4/NHP2/CIC1/SMM1/NOP2/TAD2/BUD23/TRM12/TAN1/PUS7/TYW1/NCL1/ABP140/IKI3/FCY1/TGS1/BMT2/MOD5/PPM2/PUS4/TCD2/TRM1/TRM732/KTI12/DUS1/NAF1/BMT5/TRM112/DUS4",61
"GO:0000469","cleavage involved in rRNA processing","46/550","68/4568",2.91617926311208e-27,2.6070642612222e-25,2.30838611143188e-25,"ROK1/PNO1/RRP36/UTP10/LOC1/DBP8/RAI1/DBP3/NOP14/NOP9/ESF2/NOP10/RAT1/RLP7/DIP2/RNH70/RRP42/RRS1/UTP11/TSR1/CSL4/NHP2/CIC1/LAS1/NOB1/MRD1/UTP13/RRP43/RRP9/RRP5/UTP7/BUD23/MPP10/RRP46/LCP5/SKI6/RRP4/DIS3/BMS1/FCF1/MTR4/FCF2/KRI1/UTP18/UTP20/ENP1",46
"GO:0006400","tRNA modification","45/550","75/4568",2.00430090425216e-23,1.67985469537635e-21,1.48740224999766e-21,"THG1/TRM44/GCD10/DUS3/NCS2/NCS6/TRM8/GCD14/TRM13/URM1/TRM10/MTO1/TRM5/SUA5/PUS1/ELP3/ELP2/DEG1/TYW3/PAP2/KRE33/TRM2/MSS1/TRM9/RTT10/SMM1/TAD2/TRM12/TAN1/PUS7/TYW1/NCL1/ABP140/IKI3/FCY1/MOD5/PPM2/PUS4/TCD2/TRM1/TRM732/KTI12/DUS1/TRM112/DUS4",45
"GO:0001510","RNA methylation","31/550","38/4568",8.1994586180978e-23,6.46792588639362e-21,5.72692837226893e-21,"SPB1/TRM44/GCD10/DIM1/TRM8/GCD14/TRM13/TRM10/MTO1/TRM5/RCM1/BMT6/TYW3/TRM2/MRM2/MSS1/TRM9/RTT10/IME4/NOP2/BUD23/TRM12/NCL1/ABP140/TGS1/BMT2/PPM2/TRM1/TRM732/BMT5/TRM112",31
"GO:0090501","RNA phosphodiester bond hydrolysis","58/550","129/4568",2.27013589733763e-21,1.69125124351653e-19,1.49749315333149e-19,"ROK1/PNO1/RRP36/UTP10/LOC1/DBP8/RAI1/DBP3/NOP14/NOP9/ESF2/NOP10/RAT1/RLP7/SEN54/DIP2/NOT3/RNH70/RRP42/RRS1/RPC11/POP1/UTP11/TSR1/CSL4/NHP2/CIC1/LAS1/NOB1/MRD1/UTP13/RRP43/RRP9/RRP5/UTP7/BUD23/MPP10/RRP46/LCP5/POP7/SKI6/RNT1/RRP4/DIS3/HRP1/IRE1/BMS1/FCF1/DSS1/NUC1/MTR4/FCF2/KRI1/UTP18/UTP20/SEN2/TRZ1/ENP1",58
"GO:0008033","tRNA processing","56/550","124/4568",8.97661264364246e-21,6.33559871322344e-19,5.60976125320149e-19,"THG1/TRM44/GCD10/DUS3/NCS2/NCS6/TRM8/GCD14/TRM13/URM1/TRM10/MTO1/TRM5/SEN54/SUA5/PUS1/ELP3/ELP2/RNH70/DEG1/TYW3/PAP2/KRE33/TRM2/MSS1/RPC11/TRM9/POP1/NRD1/RTT10/CCA1/SMM1/TAD2/LHP1/TRM12/TAN1/PUS7/POP7/TYW1/NCL1/ABP140/IKI3/FCY1/TGS1/MOD5/PPM2/PUS4/TCD2/TRM1/TRM732/KTI12/DUS1/TRM112/SEN2/DUS4/TRZ1",56
