"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007034","vacuolar transport","31/285","163/4568",1.1685372270217e-08,1.05400950817588e-05,9.60963166606984e-06,"ATG3/ATG9/ATG12/BRO1/ATG13/HSE1/PEP5/TRS85/VPS45/VTC5/VPS34/COG8/VPS36/VPS68/VPS15/MVP1/AVT1/VPS9/VPS30/SYN8/VPS33/APL5/VTA1/VPS53/VPS28/TLG2/SNF8/APE1/COG3/APL2/VID24",31
"GO:0006623","protein targeting to vacuole","23/285","98/4568",1.67969642737191e-08,1.05400950817588e-05,9.60963166606984e-06,"ATG3/ATG9/ATG12/ATG13/HSE1/TRS85/VPS45/VPS34/COG8/VPS36/VPS68/VPS15/MVP1/VPS9/VPS30/VPS33/APL5/VPS28/TLG2/SNF8/APE1/COG3/VID24",23
"GO:0072666","establishment of protein localization to vacuole","24/285","116/4568",1.10281495361553e-07,3.75280825246999e-05,3.42151610017603e-05,"ATG3/ATG9/ATG12/BRO1/ATG13/HSE1/TRS85/VPS45/VPS34/COG8/VPS36/VPS68/VPS15/MVP1/VPS9/VPS30/VPS33/APL5/VPS28/TLG2/SNF8/APE1/COG3/VID24",24
"GO:0072665","protein localization to vacuole","25/285","125/4568",1.19611418405418e-07,3.75280825246999e-05,3.42151610017603e-05,"ATG3/ATG9/ATG12/BRO1/ATG13/HSE1/TRS85/VPS45/VPS34/COG8/VPS36/VPS68/VPS15/MVP1/VPS9/VPS30/VPS33/APL5/VPS28/VAC14/TLG2/SNF8/APE1/COG3/VID24",25
"GO:0016192","vesicle-mediated transport","51/285","409/4568",6.25769166167297e-07,0.000157068060707992,0.000143202333394495,"BRO1/HSE1/PEP5/SEC15/SVP26/TRS85/SEC1/MSB3/VPS45/VPS34/COG8/BZZ1/VPS36/SYS1/GTS1/VPS68/SEC5/SRO77/VPS15/MVP1/GOS1/TRS120/ARV1/VPS9/APL1/SEC2/VPS30/SYN8/VPS33/APL5/GYP8/SFT2/DSL1/VPS35/SLY1/PRK1/VPS29/VTA1/INP51/VPS53/VPS28/LAA1/TLG2/SNF8/DOA4/VPS17/APL3/GMH1/COG3/ERV14/APL2",51
"GO:0032258","cytoplasm to vacuole transport by the Cvt pathway","13/285","50/4568",7.22549106001606e-06,0.00151133188005336,0.00137791382144517,"ATG3/ATG9/ATG12/ATG13/TRS85/VPS45/VPS34/COG8/VPS36/VPS30/TLG2/APE1/COG3",13
"GO:0006886","intracellular protein transport","46/285","394/4568",1.49307432972601e-05,0.00267686897686591,0.00244055909234913,"PEX5/PEX6/ATG3/ATG9/ATG12/BRO1/ATG13/ERF2/HSE1/PEP5/TRS85/CRD1/SEC1/MSB3/VPS45/VPS34/COG8/VPS36/VPS68/HRD1/VPS15/MVP1/VPS9/APL1/VPS30/SYN8/VPS33/APL5/PEX12/VPS35/SLY1/PEX1/VPS29/KAP114/BUB2/VPS28/TLG2/SAC3/PEX13/SNF8/VPS17/APL3/APE1/COG3/APL2/VID24",46
"GO:0005996","monosaccharide metabolic process","13/285","55/4568",2.22529253558963e-05,0.00349092766520624,0.00318275392919201,"VID30/GAL4/RMD5/VID28/UBC8/PKP2/GRR1/YPR1/GAL3/RGT1/PCK1/DOG1/VID24",13
"GO:0006605","protein targeting","30/285","221/4568",3.3190061054764e-05,0.00448173826678569,0.00408609729167208,"PEX5/PEX6/ATG3/ATG9/ATG12/ATG13/ERF2/HSE1/TRS85/CRD1/VPS45/VPS34/COG8/VPS36/VPS68/VPS15/MVP1/VPS9/VPS30/VPS33/APL5/PEX12/PEX1/VPS28/TLG2/PEX13/SNF8/APE1/COG3/VID24",30
"GO:0006904","vesicle docking involved in exocytosis","7/285","17/4568",3.86572627505948e-05,0.00448173826678569,0.00408609729167208,"PEP5/SEC15/SEC1/VPS45/SEC5/VPS33/SLY1",7
