"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","ncRNA processing","78/244","348/4568",4.5388480351752e-31,4.47076531464757e-28,4.10885190552702e-28,"SPB1/THG1/ROK1/TRM44/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/GCD10/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/NCS2/HCA4/DBP7/EFG1/NCS6/DBP3/NOP14/NOP9/TRM8/YTM1/RLP7/TRM10/UTP21/RRP14/SUA5/DIP2/ELP2/DEG1/RRS1/PWP1/KRE33/TRM2/NOP53/ENP2/TSR1/RRP12/NOP4/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/UTP7/SOF1/MPP10/LCP5/RRB1/TYW1/TSR2/ABP140/NOG1/MOD5/BMS1/TCD2/EBP2/MTR4/DUS1/NAF1/UTP18/SEN15/DUS4/NSR1",78
"GO:0042254","ribosome biogenesis","72/244","329/4568",8.89942057968211e-28,4.38296463549344e-25,4.02815878869822e-25,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/HCA4/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/RRP14/DIP2/RRS1/PWP1/KRE33/SGD1/NOP53/ENP2/NOC2/TSR1/RRP12/NOP4/SDA1/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/TMA23/NOP2/RRP5/TIF6/UTP22/RPA190/BUD20/UTP7/SOF1/MPP10/REI1/SSF2/LCP5/RRB1/TSR2/RIX7/NEW1/NOG1/MAK21/BMS1/EBP2/MTR4/NAF1/NOG2/UTP18/NSR1",72
"GO:0034660","ncRNA metabolic process","83/244","447/4568",5.45961897275539e-27,1.77997377892325e-24,1.63588292799786e-24,"SPB1/THG1/ROK1/TRM44/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/GCD10/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/NCS2/HCA4/DBP7/EFG1/NCS6/DBP3/NOP14/NOP9/TRM8/YTM1/RLP7/TRM10/UTP21/RRP14/AIR1/SUA5/DIP2/ELP2/SPT15/DEG1/RRS1/PWP1/KRE33/TRM2/NOP53/ENP2/TSR1/RRP12/NOP4/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/RPA190/UTP7/SOF1/MPP10/LCP5/RRB1/TYW1/TSR2/ABP140/RPC53/NOG1/MOD5/BMS1/TCD2/EBP2/MTR4/RPC34/DUS1/NAF1/UTP18/SEN15/DUS4/NSR1",83
"GO:0006364","rRNA processing","60/244","234/4568",7.22831991440914e-27,1.77997377892325e-24,1.63588292799786e-24,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/HCA4/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/RRP14/DIP2/RRS1/PWP1/KRE33/NOP53/ENP2/TSR1/RRP12/NOP4/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/UTP7/SOF1/MPP10/LCP5/RRB1/TSR2/NOG1/BMS1/EBP2/MTR4/NAF1/UTP18/NSR1",60
"GO:0016072","rRNA metabolic process","63/244","277/4568",4.27096196753106e-25,8.41379507603619e-23,7.73268903595098e-23,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/HCA4/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/RRP14/AIR1/DIP2/SPT15/RRS1/PWP1/KRE33/NOP53/ENP2/TSR1/RRP12/NOP4/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/RPA190/UTP7/SOF1/MPP10/LCP5/RRB1/TSR2/NOG1/BMS1/EBP2/MTR4/NAF1/UTP18/NSR1",63
"GO:0022613","ribonucleoprotein complex biogenesis","73/244","411/4568",3.31759893348765e-22,5.44639158247556e-20,5.00550014526207e-20,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/DED1/ERB1/HCA4/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/RRP14/DIP2/RRS1/PWP1/KRE33/SGD1/NOP53/ENP2/NOC2/TSR1/RRP12/NOP4/SDA1/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/TMA23/NOP2/RRP5/TIF6/UTP22/RPA190/BUD20/UTP7/SOF1/MPP10/REI1/SSF2/LCP5/RRB1/TSR2/RIX7/NEW1/NOG1/MAK21/BMS1/EBP2/MTR4/NAF1/NOG2/UTP18/NSR1",73
"GO:0042274","ribosomal small subunit biogenesis","35/244","113/4568",1.34291624908254e-18,1.88967500763757e-16,1.73670372061802e-16,"ROK1/PNO1/UTP25/LOC1/RRP3/IMP4/EFG1/NOP14/NOP9/UTP21/RRP14/DIP2/RRS1/KRE33/SGD1/ENP2/TSR1/RRP12/NOB1/NAN1/MRD1/UTP13/RRP9/TMA23/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/TSR2/NEW1/BMS1/UTP18/NSR1",35
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","27/244","78/4568",6.44507210562432e-16,7.93549503004994e-14,7.29310790899593e-14,"ROK1/PNO1/UTP25/LOC1/RRP3/EFG1/NOP14/NOP9/DIP2/RRS1/ENP2/TSR1/RRP12/NOB1/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/TSR2/BMS1/UTP18",27
"GO:0042273","ribosomal large subunit biogenesis","31/244","106/4568",9.15194965992057e-16,1.00163004611353e-13,9.20546983337039e-14,"SPB1/SPB4/NOP12/MRH4/NOP16/NSA1/LOC1/DBP10/ERB1/DBP7/DBP3/YTM1/RLP7/RRP14/RRS1/NOP53/NOC2/NOP4/SDA1/NOC3/RPF2/NOP2/RRP5/TIF6/REI1/SSF2/TSR2/RIX7/NOG1/MAK21/EBP2",31
"GO:0030490","maturation of SSU-rRNA","28/244","88/4568",2.20795129556435e-15,2.17483202613088e-13,1.99877696230036e-13,"ROK1/PNO1/UTP25/LOC1/RRP3/EFG1/NOP14/NOP9/DIP2/RRS1/KRE33/ENP2/TSR1/RRP12/NOB1/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/TSR2/BMS1/UTP18",28
