"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","ncRNA processing","78/168","348/4568",5.89949216003305e-45,4.71369423586641e-42,4.39046416541407e-42,"SPB1/THG1/ROK1/TRM44/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/GCD10/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/NCS2/HCA4/DBP7/EFG1/NCS6/DBP3/NOP14/NOP9/TRM8/YTM1/RLP7/TRM10/UTP21/RRP14/SUA5/DIP2/ELP2/DEG1/RRS1/PWP1/KRE33/TRM2/NOP53/ENP2/TSR1/RRP12/NOP4/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/UTP7/SOF1/MPP10/LCP5/RRB1/TYW1/TSR2/ABP140/NOG1/MOD5/BMS1/TCD2/EBP2/MTR4/DUS1/NAF1/UTP18/SEN15/DUS4/NSR1",78
"GO:0034660","ncRNA metabolic process","83/168","447/4568",1.8004621475737e-41,7.19284627955692e-39,6.69961441228739e-39,"SPB1/THG1/ROK1/TRM44/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/GCD10/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/NCS2/HCA4/DBP7/EFG1/NCS6/DBP3/NOP14/NOP9/TRM8/YTM1/RLP7/TRM10/UTP21/RRP14/AIR1/SUA5/DIP2/ELP2/SPT15/DEG1/RRS1/PWP1/KRE33/TRM2/NOP53/ENP2/TSR1/RRP12/NOP4/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/RPA190/UTP7/SOF1/MPP10/LCP5/RRB1/TYW1/TSR2/ABP140/RPC53/NOG1/MOD5/BMS1/TCD2/EBP2/MTR4/RPC34/DUS1/NAF1/UTP18/SEN15/DUS4/NSR1",83
"GO:0042254","ribosome biogenesis","72/168","329/4568",3.21985828838919e-40,8.57555590807653e-38,7.98750810488124e-38,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/HCA4/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/RRP14/DIP2/RRS1/PWP1/KRE33/SGD1/NOP53/ENP2/NOC2/TSR1/RRP12/NOP4/SDA1/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/TMA23/NOP2/RRP5/TIF6/UTP22/RPA190/BUD20/UTP7/SOF1/MPP10/REI1/SSF2/LCP5/RRB1/TSR2/RIX7/NEW1/NOG1/MAK21/BMS1/EBP2/MTR4/NAF1/NOG2/UTP18/NSR1",72
"GO:0006364","rRNA processing","60/168","234/4568",4.53919898406917e-37,9.06704997067816e-35,8.44529916246553e-35,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/HCA4/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/RRP14/DIP2/RRS1/PWP1/KRE33/NOP53/ENP2/TSR1/RRP12/NOP4/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/UTP7/SOF1/MPP10/LCP5/RRB1/TSR2/NOG1/BMS1/EBP2/MTR4/NAF1/UTP18/NSR1",60
"GO:0016072","rRNA metabolic process","63/168","277/4568",1.09836470721808e-35,1.75518680213449e-33,1.63482915369091e-33,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/HCA4/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/RRP14/AIR1/DIP2/SPT15/RRS1/PWP1/KRE33/NOP53/ENP2/TSR1/RRP12/NOP4/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/RPA190/UTP7/SOF1/MPP10/LCP5/RRB1/TSR2/NOG1/BMS1/EBP2/MTR4/NAF1/UTP18/NSR1",63
"GO:0022613","ribonucleoprotein complex biogenesis","73/168","411/4568",2.96052421683234e-34,3.94243141541507e-32,3.67208880929907e-32,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/DED1/ERB1/HCA4/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/RRP14/DIP2/RRS1/PWP1/KRE33/SGD1/NOP53/ENP2/NOC2/TSR1/RRP12/NOP4/SDA1/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/TMA23/NOP2/RRP5/TIF6/UTP22/RPA190/BUD20/UTP7/SOF1/MPP10/REI1/SSF2/LCP5/RRB1/TSR2/RIX7/NEW1/NOG1/MAK21/BMS1/EBP2/MTR4/NAF1/NOG2/UTP18/NSR1",73
"GO:0042274","ribosomal small subunit biogenesis","35/168","113/4568",3.08268516928958e-24,3.51866492894625e-22,3.2773810747184e-22,"ROK1/PNO1/UTP25/LOC1/RRP3/IMP4/EFG1/NOP14/NOP9/UTP21/RRP14/DIP2/RRS1/KRE33/SGD1/ENP2/TSR1/RRP12/NOB1/NAN1/MRD1/UTP13/RRP9/TMA23/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/TSR2/NEW1/BMS1/UTP18/NSR1",35
"GO:0042273","ribosomal large subunit biogenesis","31/168","106/4568",1.17787226114765e-20,1.17639992082122e-18,1.09573116925183e-18,"SPB1/SPB4/NOP12/MRH4/NOP16/NSA1/LOC1/DBP10/ERB1/DBP7/DBP3/YTM1/RLP7/RRP14/RRS1/NOP53/NOC2/NOP4/SDA1/NOC3/RPF2/NOP2/RRP5/TIF6/REI1/SSF2/TSR2/RIX7/NOG1/MAK21/EBP2",31
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","27/168","78/4568",3.12665659903521e-20,2.77577624736571e-18,2.58543417019637e-18,"ROK1/PNO1/UTP25/LOC1/RRP3/EFG1/NOP14/NOP9/DIP2/RRS1/ENP2/TSR1/RRP12/NOB1/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/TSR2/BMS1/UTP18",27
"GO:0030490","maturation of SSU-rRNA","28/168","88/4568",8.11416751425261e-20,6.48321984388784e-18,6.03864887639642e-18,"ROK1/PNO1/UTP25/LOC1/RRP3/EFG1/NOP14/NOP9/DIP2/RRS1/KRE33/ENP2/TSR1/RRP12/NOB1/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/TSR2/BMS1/UTP18",28
"GO:0000460","maturation of 5.8S rRNA","24/168","77/4568",7.50159045763057e-17,4.99480897970569e-15,4.65230215223229e-15,"SPB1/ROK1/PNO1/LOC1/DBP10/ERB1/DBP3/NOP14/NOP9/YTM1/RLP7/DIP2/RRS1/RPF2/MRD1/UTP13/RRP9/RRP5/TIF6/UTP7/MPP10/LCP5/MTR4/UTP18",24
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","24/168","77/4568",7.50159045763057e-17,4.99480897970569e-15,4.65230215223229e-15,"SPB1/ROK1/PNO1/LOC1/DBP10/ERB1/DBP3/NOP14/NOP9/YTM1/RLP7/DIP2/RRS1/RPF2/MRD1/UTP13/RRP9/RRP5/TIF6/UTP7/MPP10/LCP5/MTR4/UTP18",24
"GO:0000967","rRNA 5'-end processing","15/168","27/4568",1.93816797377628e-15,1.10614015074803e-13,1.03028929132318e-13,"ROK1/PNO1/LOC1/NOP14/NOP9/RLP7/DIP2/MRD1/UTP13/RRP9/RRP5/UTP7/MPP10/BMS1/UTP18",15
"GO:0034471","ncRNA 5'-end processing","15/168","27/4568",1.93816797377628e-15,1.10614015074803e-13,1.03028929132318e-13,"ROK1/PNO1/LOC1/NOP14/NOP9/RLP7/DIP2/MRD1/UTP13/RRP9/RRP5/UTP7/MPP10/BMS1/UTP18",15
"GO:0000478","endonucleolytic cleavage involved in rRNA processing","18/168","45/4568",4.43505229731932e-15,2.21475424097384e-13,2.06288287776629e-13,"ROK1/PNO1/LOC1/DBP3/NOP14/NOP9/DIP2/RRS1/TSR1/MRD1/UTP13/RRP9/RRP5/UTP7/MPP10/LCP5/BMS1/UTP18",18
"GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","18/168","45/4568",4.43505229731932e-15,2.21475424097384e-13,2.06288287776629e-13,"ROK1/PNO1/LOC1/DBP3/NOP14/NOP9/DIP2/RRS1/TSR1/MRD1/UTP13/RRP9/RRP5/UTP7/MPP10/LCP5/BMS1/UTP18",18
"GO:0000469","cleavage involved in rRNA processing","21/168","68/4568",9.16950297354491e-15,4.30966639756611e-13,4.01414154940944e-13,"ROK1/PNO1/LOC1/DBP3/NOP14/NOP9/RLP7/DIP2/RRS1/TSR1/NOB1/MRD1/UTP13/RRP9/RRP5/UTP7/MPP10/LCP5/BMS1/MTR4/UTP18",21
"GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","14/168","25/4568",1.51649707376121e-14,6.73156201075116e-13,6.2699615856677e-13,"ROK1/LOC1/NOP14/NOP9/DIP2/MRD1/UTP13/RRP9/RRP5/UTP7/MPP10/LCP5/BMS1/UTP18",14
"GO:0000966","RNA 5'-end processing","16/168","36/4568",2.12188804837826e-14,8.92309763502226e-13,8.3112180066672e-13,"THG1/ROK1/PNO1/LOC1/NOP14/NOP9/RLP7/DIP2/MRD1/UTP13/RRP9/RRP5/UTP7/MPP10/BMS1/UTP18",16
