"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016054","organic acid catabolic process","13/76","72/4568",8.45929819777061e-11,4.60185821958721e-08,4.14060385469825e-08,"BAT2/PUT1/ARO8/UGA2/DLD1/BNA1/CAR1/ANT1/ARO10/ALT2/UGA1/PUT2/GCV1",13
"GO:0044282","small molecule catabolic process","15/76","118/4568",4.70445609358503e-10,1.27961205745513e-07,1.15135372816686e-07,"BAT2/PUT1/ARO8/UGA2/DLD1/BNA1/CAR1/ANT1/ARO10/YPR1/ALT2/UGA1/PUT2/DUR1,2/GCV1",15
"GO:0046395","carboxylic acid catabolic process","12/76","71/4568",1.0795743714224e-09,1.48284770960565e-07,1.33421862416143e-07,"BAT2/PUT1/UGA2/DLD1/BNA1/CAR1/ANT1/ARO10/ALT2/UGA1/PUT2/GCV1",12
"GO:1901605","alpha-amino acid metabolic process","16/76","146/4568",1.09032919823945e-09,1.48284770960565e-07,1.33421862416143e-07,"ILV6/BAT2/PUT1/ARO8/UGA2/BNA1/LYS1/CAR1/ARO10/GDH1/ALT2/GLT1/PUT2/MET14/GCV1/SNO1",16
"GO:0009063","cellular amino acid catabolic process","10/76","45/4568",1.77283215416126e-09,1.92884138372745e-07,1.73550937196839e-07,"BAT2/PUT1/UGA2/BNA1/CAR1/ARO10/ALT2/UGA1/PUT2/GCV1",10
"GO:0006520","cellular amino acid metabolic process","18/76","205/4568",3.25337050122835e-09,2.94972258778037e-07,2.65406540889681e-07,"ILV6/BAT2/PUT1/ARO8/UGA2/BNA1/LYS1/CAR1/ARO10/GDH1/ALT2/UGA1/GLT1/PUT2/MET14/GCV1/ALD2/SNO1",18
"GO:0019752","carboxylic acid metabolic process","21/76","321/4568",2.62581787666838e-08,2.04063560701086e-06,1.83609821451248e-06,"ILV6/BAT2/BIO4/PUT1/ARO8/UGA2/DLD1/BNA1/LYS1/CAR1/ANT1/ARO10/GDH1/ALT2/UGA1/GLT1/PUT2/MET14/GCV1/ALD2/SNO1",21
"GO:1901606","alpha-amino acid catabolic process","8/76","33/4568",4.0125118014948e-08,2.72850802501646e-06,2.45502366801984e-06,"PUT1/UGA2/BNA1/CAR1/ARO10/ALT2/PUT2/GCV1",8
"GO:0043436","oxoacid metabolic process","21/76","339/4568",6.86189347420699e-08,4.14763338885401e-06,3.73190697720029e-06,"ILV6/BAT2/BIO4/PUT1/ARO8/UGA2/DLD1/BNA1/LYS1/CAR1/ANT1/ARO10/GDH1/ALT2/UGA1/GLT1/PUT2/MET14/GCV1/ALD2/SNO1",21
"GO:0006082","organic acid metabolic process","21/76","343/4568",8.41949544877824e-08,4.58020552413536e-06,4.12112145650724e-06,"ILV6/BAT2/BIO4/PUT1/ARO8/UGA2/DLD1/BNA1/LYS1/CAR1/ANT1/ARO10/GDH1/ALT2/UGA1/GLT1/PUT2/MET14/GCV1/ALD2/SNO1",21
