"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006536","glutamate metabolic process","5/74","10/4568",2.30375924388969e-07,0.00013407878799438,0.000118340474844018,"PUT1/UGA2/GDH1/GLT1/PUT2",5
"GO:0009064","glutamine family amino acid metabolic process","7/74","46/4568",7.09635592277148e-06,0.0020650395735265,0.00182264299490131,"GLN1/PUT1/UGA2/CAR1/GDH1/GLT1/PUT2",7
"GO:0019740","nitrogen utilization","5/74","21/4568",1.61848694839471e-05,0.00313986467988574,0.00277130396777761,"ATO2/GAT1/GLT1/MEP2/MEP3",5
"GO:0009084","glutamine family amino acid biosynthetic process","5/74","23/4568",2.60950126797429e-05,0.00379682434490259,0.00335114899676698,"GLN1/PUT1/GDH1/GLT1/PUT2",5
"GO:0043648","dicarboxylic acid metabolic process","6/74","42/4568",4.86681567460639e-05,0.00566497344524184,0.00500001273517457,"PUT1/MAE1/UGA2/GDH1/GLT1/PUT2",6
"GO:0055085","transmembrane transport","16/74","357/4568",0.000138722001894177,0.0134560341837351,0.0118765503376067,"ENB1/ATO2/UGA4/ESBP6/MPH3/PDR10/DIP5/OPT1/AGP1/GAP1/SPO75/DAL4/MEP2/AQY1/MEP3/KHA1",16
"GO:0006520","cellular amino acid metabolic process","11/74","205/4568",0.00039374638006759,0.0327371990284768,0.028894471198945,"GLN1/PUT1/MAE1/UGA2/LEU1/CAR1/GDH1/UGA1/GLT1/PUT2/ALD2",11
"GO:0043650","dicarboxylic acid biosynthetic process","4/74","24/4568",0.000527596556720081,0.0383826495013859,0.0338772525893946,"PUT1/GDH1/GLT1/PUT2",4
"GO:0009063","cellular amino acid catabolic process","5/74","45/4568",0.00071793550511417,0.046426495997383,0.0409769036837093,"PUT1/UGA2/CAR1/UGA1/PUT2",5
"GO:0043436","oxoacid metabolic process","14/74","339/4568",0.000890522241069025,0.0475357130731882,0.0419559196594608,"GLN1/BIO4/PUT1/VTC5/MAE1/UGA2/LEU1/BIO3/CAR1/GDH1/UGA1/GLT1/PUT2/ALD2",14
