"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007064","mitotic sister chromatid cohesion","4/27","40/4568",7.65388431695985e-05,0.0145335882717585,0.0120734218359985,"POL2/IRR1/SMC3/MCD1",4
"GO:1903047","mitotic cell cycle process","9/27","351/4568",0.000113756587762188,0.0145335882717585,0.0120734218359985,"POL2/MCM6/IRR1/SMC3/MCD1/RME1/SWI4/CDC6/MIH1",9
"GO:0000278","mitotic cell cycle","9/27","367/4568",0.000160696856458668,0.0145335882717585,0.0120734218359985,"POL2/MCM6/IRR1/SMC3/MCD1/RME1/SWI4/CDC6/MIH1",9
"GO:0010389","regulation of G2/M transition of mitotic cell cycle","3/27","20/4568",0.00019639984151025,0.0145335882717585,0.0120734218359985,"POL2/CDC6/MIH1",3
"GO:1902749","regulation of cell cycle G2/M phase transition","3/27","20/4568",0.00019639984151025,0.0145335882717585,0.0120734218359985,"POL2/CDC6/MIH1",3
"GO:0007062","sister chromatid cohesion","4/27","61/4568",0.000401491447600936,0.0247586392687244,0.0205676320525392,"POL2/IRR1/SMC3/MCD1",4
"GO:0006271","DNA strand elongation involved in DNA replication","3/27","27/4568",0.000490200416491421,0.025910593443118,0.0215245897166158,"POL2/MCM6/PRI2",3
"GO:0022616","DNA strand elongation","3/27","30/4568",0.000672416618658101,0.0310992686129372,0.0258349542958113,"POL2/MCM6/PRI2",3
"GO:0006302","double-strand break repair","5/27","140/4568",0.00117910293136061,0.0484742316226029,0.0402687784745378,"POL2/MCM6/PRI2/SMC3/MCD1",5
"GO:0000086","G2/M transition of mitotic cell cycle","3/27","42/4568",0.00181354469987903,0.0610010489959309,0.0506751246281986,"POL2/CDC6/MIH1",3
"GO:0044839","cell cycle G2/M phase transition","3/27","42/4568",0.00181354469987903,0.0610010489959309,0.0506751246281986,"POL2/CDC6/MIH1",3
"GO:0051177","meiotic sister chromatid cohesion","2/27","12/4568",0.00214123152224628,0.0656157765716867,0.0545086963269773,"SMC3/MCD1",2
"GO:0044818","mitotic G2/M transition checkpoint","2/27","14/4568",0.00293085755864643,0.0656157765716867,0.0545086963269773,"POL2/CDC6",2
"GO:1990414","replication-born double-strand break repair via sister chromatid exchange","2/27","14/4568",0.00293085755864643,0.0656157765716867,0.0545086963269773,"SMC3/MCD1",2
"GO:0044772","mitotic cell cycle phase transition","5/27","175/4568",0.00316711651119352,0.0656157765716867,0.0545086963269773,"POL2/RME1/SWI4/CDC6/MIH1",5
"GO:1903046","meiotic cell cycle process","6/27","258/4568",0.0033145874322004,0.0656157765716867,0.0545086963269773,"RIM11/SMC3/MCD1/RME1/SPO75/MIH1",6
"GO:0006270","DNA replication initiation","3/27","52/4568",0.00335655152142505,0.0656157765716867,0.0545086963269773,"MCM6/PRI2/CDC6",3
"GO:0010972","negative regulation of G2/M transition of mitotic cell cycle","2/27","15/4568",0.00336945879692445,0.0656157765716867,0.0545086963269773,"POL2/CDC6",2
"GO:1902750","negative regulation of cell cycle G2/M phase transition","2/27","15/4568",0.00336945879692445,0.0656157765716867,0.0545086963269773,"POL2/CDC6",2
"GO:0000076","DNA replication checkpoint signaling","2/27","16/4568",0.00383680836398924,0.070980954733801,0.0589656864360452,"POL2/CDC6",2
"GO:0007130","synaptonemal complex assembly","2/27","17/4568",0.00433257672722353,0.0714593986415109,0.0593631419724642,"SMC3/MCD1",2
"GO:0006267","pre-replicative complex assembly involved in nuclear cell cycle DNA replication","2/27","19/4568",0.00540806490874064,0.0714593986415109,0.0593631419724642,"MCM6/CDC6",2
"GO:0036388","pre-replicative complex assembly","2/27","19/4568",0.00540806490874064,0.0714593986415109,0.0593631419724642,"MCM6/CDC6",2
"GO:0045144","meiotic sister chromatid segregation","2/27","19/4568",0.00540806490874064,0.0714593986415109,0.0593631419724642,"SMC3/MCD1",2
"GO:1902299","pre-replicative complex assembly involved in cell cycle DNA replication","2/27","19/4568",0.00540806490874064,0.0714593986415109,0.0593631419724642,"MCM6/CDC6",2
"GO:0000070","mitotic sister chromatid segregation","4/27","124/4568",0.00559544891444063,0.0714593986415109,0.0593631419724642,"POL2/IRR1/SMC3/MCD1",4
"GO:0000082","G1/S transition of mitotic cell cycle","3/27","63/4568",0.00577616509189712,0.0714593986415109,0.0593631419724642,"RME1/SWI4/CDC6",3
"GO:0044843","cell cycle G1/S phase transition","3/27","63/4568",0.00577616509189712,0.0714593986415109,0.0593631419724642,"RME1/SWI4/CDC6",3
"GO:0051301","cell division","6/27","289/4568",0.00581077372962479,0.0714593986415109,0.0593631419724642,"IRR1/SMC3/MCD1/RME1/CDC6/MIH1",6
"GO:0007135","meiosis II","2/27","20/4568",0.00598713880509956,0.0714593986415109,0.0593631419724642,"SMC3/MCD1",2
"GO:0061983","meiosis II cell cycle process","2/27","20/4568",0.00598713880509956,0.0714593986415109,0.0593631419724642,"SMC3/MCD1",2
"GO:0006261","DNA-templated DNA replication","4/27","129/4568",0.00643526550076513,0.0739253229923278,0.0614116481188043,"POL2/MCM6/PRI2/CDC6",4
"GO:0070193","synaptonemal complex organization","2/27","21/4568",0.00659333961823464,0.0739253229923278,0.0614116481188043,"SMC3/MCD1",2
