"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006536","glutamate metabolic process","5/47","10/4568",2.24900967783892e-08,8.79362784035019e-06,7.95439212372504e-06,"PUT1/UGA2/GDH1/GLT1/PUT2",5
"GO:0009064","glutamine family amino acid metabolic process","7/47","46/4568",3.03979075056029e-07,5.94279091734537e-05,5.37562995888557e-05,"GLN1/PUT1/UGA2/CAR1/GDH1/GLT1/PUT2",7
"GO:0009084","glutamine family amino acid biosynthetic process","5/47","23/4568",2.71711225896946e-06,0.000331340792986384,0.000299718687423408,"GLN1/PUT1/GDH1/GLT1/PUT2",5
"GO:0043648","dicarboxylic acid metabolic process","6/47","42/4568",3.38967563157426e-06,0.000331340792986384,0.000299718687423408,"PUT1/MAE1/UGA2/GDH1/GLT1/PUT2",6
"GO:0006520","cellular amino acid metabolic process","10/47","205/4568",3.20898008625493e-05,0.00250942242745136,0.00226993117680349,"GLN1/PUT1/MAE1/UGA2/CAR1/GDH1/UGA1/GLT1/PUT2/ALD2",10
"GO:0019740","nitrogen utilization","4/47","21/4568",5.18149128597268e-05,0.0033766051546922,0.00305435275804706,"GAT1/GLT1/MEP2/MEP3",4
"GO:0019752","carboxylic acid metabolic process","12/47","321/4568",6.55755594276545e-05,0.00366286339088756,0.00331329142371307,"GLN1/BIO4/PUT1/MAE1/UGA2/BIO3/CAR1/GDH1/UGA1/GLT1/PUT2/ALD2",12
"GO:0009063","cellular amino acid catabolic process","5/47","45/4568",8.32984732163799e-05,0.00390717047282348,0.00353428261911075,"PUT1/UGA2/CAR1/UGA1/PUT2",5
"GO:0043650","dicarboxylic acid biosynthetic process","4/47","24/4568",8.99348702184432e-05,0.00390717047282348,0.00353428261911075,"PUT1/GDH1/GLT1/PUT2",4
"GO:0043436","oxoacid metabolic process","12/47","339/4568",0.000111556660381377,0.00436186542091185,0.00394558293559398,"GLN1/BIO4/PUT1/MAE1/UGA2/BIO3/CAR1/GDH1/UGA1/GLT1/PUT2/ALD2",12
"GO:0006082","organic acid metabolic process","12/47","343/4568",0.000124919620203156,0.00444032468176673,0.00401655429552732,"GLN1/BIO4/PUT1/MAE1/UGA2/BIO3/CAR1/GDH1/UGA1/GLT1/PUT2/ALD2",12
"GO:0055085","transmembrane transport","12/47","357/4568",0.000183184263819715,0.00596875392945904,0.00539911514416002,"ENB1/UGA4/ESBP6/PDR10/DIP5/OPT1/AGP1/GAP1/DAL4/MEP2/AQY1/MEP3",12
"GO:0016053","organic acid biosynthetic process","8/47","166/4568",0.000240658612111254,0.00672125123825003,0.00607979651649485,"GLN1/BIO4/PUT1/BIO3/GDH1/GLT1/PUT2/ALD2",8
"GO:0046394","carboxylic acid biosynthetic process","8/47","166/4568",0.000240658612111254,0.00672125123825003,0.00607979651649485,"GLN1/BIO4/PUT1/BIO3/GDH1/GLT1/PUT2/ALD2",8
"GO:1901606","alpha-amino acid catabolic process","4/47","33/4568",0.00032361132360035,0.00843546850184913,0.00763041436699773,"PUT1/UGA2/CAR1/PUT2",4
