"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006364","rRNA processing","53/132","234/4568",1.09239152736639e-35,8.70636047311015e-33,8.17568816797374e-33,"SLX9/SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/LOC1/NOP7/RIX1/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/FYV7/DBP7/EFG1/DBP3/NOP9/MAK5/NOP10/UTP21/RRP14/NPL3/NOP6/NUG1/RRP17/RRS1/ESF1/UTP9/NOP15/NOP53/RRP12/RPF1/NHP2/ECM16/PRP43/CIC1/RPF2/NOP2/RRP5/RRP15/SOF1/TSR2/MAK11/NOG1/BMT2/EBP2/MSS116/BMT5/UTP20",53
"GO:0016072","rRNA metabolic process","53/132","277/4568",1.11016877056582e-31,4.4240225507048e-29,4.15436839932789e-29,"SLX9/SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/LOC1/NOP7/RIX1/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/FYV7/DBP7/EFG1/DBP3/NOP9/MAK5/NOP10/UTP21/RRP14/NPL3/NOP6/NUG1/RRP17/RRS1/ESF1/UTP9/NOP15/NOP53/RRP12/RPF1/NHP2/ECM16/PRP43/CIC1/RPF2/NOP2/RRP5/RRP15/SOF1/TSR2/MAK11/NOG1/BMT2/EBP2/MSS116/BMT5/UTP20",53
"GO:0042254","ribosome biogenesis","56/132","329/4568",7.76841142989461e-31,2.06380796987534e-28,1.93801421987897e-28,"SLX9/SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/LOC1/NOP7/RIX1/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/FYV7/DBP7/EFG1/DBP3/NOP9/MAK5/JIP5/NOP10/UTP21/RRP14/NPL3/NOP6/NUG1/RRP17/RRS1/ESF1/UTP9/NOP15/NOP53/RRP12/RPF1/NHP2/ECM16/SDA1/PRP43/CIC1/RPF2/NOP2/RRP5/RRP15/SOF1/TSR2/MAK11/NOG1/BMT2/EBP2/MSS116/BMT5/NOG2/UTP20",56
"GO:0034470","ncRNA processing","57/132","348/4568",1.60483589306372e-30,3.19763551692946e-28,3.00273242096922e-28,"SLX9/SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/LOC1/NOP7/RIX1/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/FYV7/DBP7/EFG1/CWC24/DBP3/NOP9/MAK5/NOP10/TRM10/UTP21/RRP14/NPL3/NOP6/NUG1/RRP17/RRS1/ESF1/UTP9/NOP15/NOP53/NRD1/RTT10/RRP12/RPF1/NHP2/ECM16/PRP43/CIC1/RPF2/NOP2/RRP5/RRP15/SOF1/TSR2/MAK11/NOG1/BMT2/EBP2/MSS116/BMT5/UTP20",57
"GO:0022613","ribonucleoprotein complex biogenesis","58/132","411/4568",1.69014193473824e-27,2.69408624397276e-25,2.52987561178714e-25,"SLX9/SPB1/SPB4/NOP12/UTP10/UTP25/NSA1/LOC1/NOP7/RIX1/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/FYV7/DBP7/EFG1/CWC24/DBP3/NOP9/MAK5/JIP5/NOP10/UTP21/RRP14/NPL3/NOP6/NUG1/RRP17/RRS1/ESF1/UTP9/NOP15/NOP53/RRP12/RPF1/NHP2/ECM16/SDA1/PRP43/CIC1/RPF2/NOP2/RRP5/RRP15/SOF1/NOP13/TSR2/MAK11/NOG1/BMT2/EBP2/MSS116/BMT5/NOG2/UTP20",58
"GO:0042273","ribosomal large subunit biogenesis","33/132","106/4568",1.39433679163776e-26,1.8521440382255e-24,1.73925168220079e-24,"SPB1/SPB4/NOP12/NSA1/LOC1/NOP7/RIX1/GRC3/DBP10/ERB1/DRS1/DBP7/DBP3/MAK5/JIP5/RRP14/NUG1/RRS1/NOP15/NOP53/RPF1/NHP2/SDA1/PRP43/CIC1/RPF2/NOP2/RRP5/RRP15/TSR2/MAK11/NOG1/EBP2",33
"GO:0034660","ncRNA metabolic process","59/132","447/4568",1.99827243092512e-26,2.27517589635332e-24,2.13649879456806e-24,"SLX9/SPB1/SSU72/SPB4/NOP12/UTP10/UTP25/NSA1/LOC1/NOP7/RIX1/DBP2/GRC3/DBP10/GEP3/ERB1/DRS1/FYV7/DBP7/EFG1/CWC24/DBP3/NOP9/MAK5/NOP10/TRM10/UTP21/RRP14/NPL3/NOP6/NUG1/RRP17/RRS1/ESF1/UTP9/NOP15/NOP53/NRD1/RTT10/RRP12/RPF1/NHP2/ECM16/PRP43/CIC1/RPF2/NOP2/RRP5/RRP15/SOF1/TSR2/MAK11/NOG1/BMT2/RET1/EBP2/MSS116/BMT5/UTP20",59
"GO:0000470","maturation of LSU-rRNA","23/132","55/4568",4.85765250876481e-22,4.83943631185694e-20,4.54446175491024e-20,"SPB1/SPB4/NOP12/NOP7/GRC3/DBP10/ERB1/DBP7/DBP3/MAK5/NUG1/NOP15/NOP53/RPF1/NHP2/PRP43/CIC1/RPF2/NOP2/RRP5/RRP15/TSR2/MAK11",23
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","21/132","46/4568",3.57382786075569e-21,3.16482311669143e-19,2.97192001052315e-19,"SPB1/NOP12/NOP7/GRC3/DBP10/ERB1/DBP7/DBP3/MAK5/NUG1/NOP15/NOP53/RPF1/PRP43/CIC1/RPF2/NOP2/RRP5/RRP15/TSR2/MAK11",21
"GO:0000460","maturation of 5.8S rRNA","19/132","77/4568",1.91886062955758e-13,1.39030174705217e-11,1.30555972020616e-11,"SPB1/UTP10/LOC1/NOP7/GRC3/DBP10/ERB1/DBP3/NOP9/MAK5/RRS1/RPF1/PRP43/CIC1/RPF2/RRP5/RRP15/MAK11/UTP20",19
