"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007034","vacuolar transport","21/171","163/4568",4.71730793632967e-07,0.000505695410774541,0.000465772088871287,"ATG3/ATG9/ATG12/BRO1/ATG13/PEP5/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS30/SYN8/VPS33/APL5/VTA1/VPS53/SNF8/COG3/APL2",21
"GO:0032258","cytoplasm to vacuole transport by the Cvt pathway","11/171","50/4568",1.53921126433126e-06,0.000825017237681557,0.000759884297864592,"ATG3/ATG9/ATG12/ATG13/TRS85/VPS45/VPS34/COG8/VPS36/VPS30/COG3",11
"GO:0006623","protein targeting to vacuole","15/171","98/4568",2.60871379865235e-06,0.000932180397385108,0.000858587208117863,"ATG3/ATG9/ATG12/ATG13/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS30/VPS33/APL5/SNF8/COG3",15
"GO:0072666","establishment of protein localization to vacuole","16/171","116/4568",4.88969275147612e-06,0.0013104376573956,0.00120698205286437,"ATG3/ATG9/ATG12/BRO1/ATG13/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS30/VPS33/APL5/SNF8/COG3",16
"GO:0072665","protein localization to vacuole","16/171","125/4568",1.30542021325922e-05,0.00279882093722778,0.0025778613895519,"ATG3/ATG9/ATG12/BRO1/ATG13/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS30/VPS33/APL5/SNF8/COG3",16
"GO:0006886","intracellular protein transport","31/171","394/4568",4.30655811207338e-05,0.00769438382690443,0.00708693247214882,"PEX5/MDM12/PEX6/ATG3/ATG9/ATG12/BRO1/ATG13/ERF2/PEP5/TRS85/SEC1/MSB3/VPS45/FUS3/VPS34/COG8/VPS36/HRD1/MVP1/VPS30/SYN8/VPS33/APL5/PEX12/VPS35/BUB2/SAC3/SNF8/COG3/APL2",31
"GO:0019318","hexose metabolic process","9/171","50/4568",7.79650317883991e-05,0.0119397877253091,0.01099717290489,"VID30/GAL4/RMD5/VID28/UBC8/GAL3/RGT1/PCK1/DOG1",9
"GO:0005996","monosaccharide metabolic process","9/171","55/4568",0.00016839844155883,0.0195177079243137,0.0179768362460785,"VID30/GAL4/RMD5/VID28/UBC8/GAL3/RGT1/PCK1/DOG1",9
"GO:0061025","membrane fusion","9/171","55/4568",0.00016839844155883,0.0195177079243137,0.0179768362460785,"SEY1/PRM1/KAR5/PEP5/SEC1/VPS45/GOS1/SYN8/VPS33",9
"GO:0006605","protein targeting","20/171","221/4568",0.000182068170935763,0.0195177079243137,0.0179768362460785,"PEX5/MDM12/PEX6/ATG3/ATG9/ATG12/ATG13/ERF2/TRS85/VPS45/VPS34/COG8/VPS36/MVP1/VPS30/VPS33/APL5/PEX12/SNF8/COG3",20
"GO:0006896","Golgi to vacuole transport","6/171","26/4568",0.000310806364024884,0.0298833838492219,0.0275241693348097,"VPS45/SYN8/VPS33/APL5/VPS53/APL2",6
