"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140115","export across plasma membrane","1/2","11/4568",0.00481083935351312,0.0488542452383403,0.025712760651758,"PDR10",1
"GO:1990414","replication-born double-strand break repair via sister chromatid exchange","1/2","14/4568",0.00612087322553412,0.0488542452383403,0.025712760651758,"PDR10",1
"GO:0042908","xenobiotic transport","1/2","21/4568",0.00917426355293072,0.0488542452383403,0.025712760651758,"PDR10",1
"GO:0098754","detoxification","1/2","29/4568",0.0126581004288361,0.0488542452383403,0.025712760651758,"PDR10",1
"GO:0009636","response to toxic substance","1/2","35/4568",0.0152669516369813,0.0488542452383403,0.025712760651758,"PDR10",1
"GO:0140352","export from cell","1/2","80/4568",0.0347233273652415,0.0788996060599199,0.0415261084525894,"PDR10",1
"GO:0000724","double-strand break repair via homologous recombination","1/2","82/4568",0.0355835493874622,0.0788996060599199,0.0415261084525894,"PDR10",1
"GO:0000725","recombinational repair","1/2","91/4568",0.0394498030299599,0.0788996060599199,0.0415261084525894,"PDR10",1
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
