"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046395","carboxylic acid catabolic process","5/35","71/4568",0.000177787141066251,0.0217974802284873,0.0211285115948953,"ANT1/ARO10/ALT2/UGA1/GCV1",5
"GO:0016054","organic acid catabolic process","5/35","72/4568",0.000190006590344923,0.0217974802284873,0.0211285115948953,"ANT1/ARO10/ALT2/UGA1/GCV1",5
"GO:0006820","anion transport","6/35","117/4568",0.000219560328436358,0.0217974802284873,0.0211285115948953,"PHO89/UGA4/AVT4/AVT1/ANT1/DAL5",6
"GO:0044282","small molecule catabolic process","6/35","118/4568",0.00023005256177823,0.0217974802284873,0.0211285115948953,"ANT1/ARO10/YPR1/ALT2/UGA1/GCV1",6
"GO:0009063","cellular amino acid catabolic process","4/35","45/4568",0.000344451797032012,0.0261094462150265,0.0253081425608783,"ARO10/ALT2/UGA1/GCV1",4
"GO:0046942","carboxylic acid transport","4/35","50/4568",0.00051813954432034,0.0307989553621752,0.0298537298191894,"UGA4/AVT4/AVT1/DAL5",4
"GO:0015711","organic anion transport","5/35","91/4568",0.000568846141253895,0.0307989553621752,0.0298537298191894,"UGA4/AVT4/AVT1/ANT1/DAL5",5
"GO:0042886","amide transport","3/35","24/4568",0.000747121152688521,0.0353948646086187,0.0343085897747755,"OPT1/DAL4/DAL5",3
"GO:1901606","alpha-amino acid catabolic process","3/35","33/4568",0.00192108744902154,0.0808991270199072,0.0784163180945636,"ARO10/ALT2/GCV1",3
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0008514","organic anion transmembrane transporter activity","5/35","58/4540",6.91816032351177e-05,0.00354876044589968,0.0025802164934919,"UGA4/AVT4/AVT1/ANT1/DAL5",5
"GO:0015293","symporter activity","4/35","35/4540",0.000130859853604695,0.00354876044589968,0.0025802164934919,"PHO89/UGA4/ESBP6/DAL4",4
"GO:0015291","secondary active transmembrane transporter activity","5/35","67/4540",0.000138726985412487,0.00354876044589968,0.0025802164934919,"PHO89/UGA4/ESBP6/OPT1/DAL4",5
"GO:0008509","anion transmembrane transporter activity","5/35","69/4540",0.000159657852469414,0.00354876044589968,0.0025802164934919,"UGA4/AVT4/AVT1/ANT1/DAL5",5
"GO:0008483","transaminase activity","3/35","16/4540",0.000219510955416475,0.00354876044589968,0.0025802164934919,"ALT2/UGA1/GCV1",3
"GO:0016769","transferase activity, transferring nitrogenous groups","3/35","16/4540",0.000219510955416475,0.00354876044589968,0.0025802164934919,"ALT2/UGA1/GCV1",3
"GO:0042887","amide transmembrane transporter activity","3/35","17/4540",0.000265142361031635,0.00367411557429551,0.00267135912618339,"OPT1/DAL4/DAL5",3
"GO:0022857","transmembrane transporter activity","9/35","318/4540",0.000501890721461162,0.00608542499771659,0.00442456293919709,"PHO89/UGA4/AVT4/ESBP6/AVT1/OPT1/ANT1/DAL4/DAL5",9
"GO:0015075","ion transmembrane transporter activity","7/35","217/4540",0.00110532767337308,0.0108571884144766,0.00789399483201232,"PHO89/UGA4/AVT4/AVT1/ANT1/DAL4/DAL5",7
"GO:0005215","transporter activity","9/35","355/4540",0.00111929777468831,0.0108571884144766,0.00789399483201232,"PHO89/UGA4/AVT4/ESBP6/AVT1/OPT1/ANT1/DAL4/DAL5",9
"GO:0015294","solute:cation symporter activity","3/35","30/4540",0.0014779597045874,0.013032917394998,0.00947591389544073,"PHO89/UGA4/DAL4",3
"GO:1904680","peptide transmembrane transporter activity","2/35","10/4540",0.00249968565628523,0.0202057923883056,0.0146911349974658,"OPT1/DAL5",2
"GO:0015171","amino acid transmembrane transporter activity","3/35","39/4540",0.00317267656407456,0.023673048208864,0.0172120914812142,"UGA4/AVT4/AVT1",3
"GO:0015175","neutral amino acid transmembrane transporter activity","2/35","12/4540",0.00363087929457668,0.0236804541389361,0.0172174761509357,"AVT4/AVT1",2
"GO:0019842","vitamin binding","3/35","41/4540",0.00366192589777363,0.0236804541389361,0.0172174761509357,"ARO10/ALT2/UGA1",3
