"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","ncRNA processing","77/140","348/4568",1.61274796553732e-51,1.10150686046199e-48,1.03215869794388e-48,"SPB1/THG1/ROK1/TRM44/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/GCD10/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/NCS2/HCA4/DBP7/EFG1/NCS6/DBP3/NOP14/NOP9/TRM8/YTM1/RLP7/TRM10/UTP21/RRP14/SUA5/DIP2/ELP2/DEG1/RRS1/PWP1/KRE33/TRM2/NOP53/ENP2/TSR1/RRP12/NOP4/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/UTP7/SOF1/MPP10/LCP5/RRB1/TYW1/TSR2/ABP140/NOG1/MOD5/BMS1/TCD2/EBP2/MTR4/DUS1/NAF1/UTP18/DUS4/NSR1",77
"GO:0034660","ncRNA metabolic process","82/140","447/4568",1.14686993730971e-48,3.91656083591266e-46,3.66998379939107e-46,"SPB1/THG1/ROK1/TRM44/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/GCD10/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/NCS2/HCA4/DBP7/EFG1/NCS6/DBP3/NOP14/NOP9/TRM8/YTM1/RLP7/TRM10/UTP21/RRP14/AIR1/SUA5/DIP2/ELP2/SPT15/DEG1/RRS1/PWP1/KRE33/TRM2/NOP53/ENP2/TSR1/RRP12/NOP4/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/RPA190/UTP7/SOF1/MPP10/LCP5/RRB1/TYW1/TSR2/ABP140/RPC53/NOG1/MOD5/BMS1/TCD2/EBP2/MTR4/RPC34/DUS1/NAF1/UTP18/DUS4/NSR1",82
"GO:0042254","ribosome biogenesis","72/140","329/4568",3.58554144417263e-47,8.1630826878997e-45,7.64915508090162e-45,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/HCA4/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/RRP14/DIP2/RRS1/PWP1/KRE33/SGD1/NOP53/ENP2/NOC2/TSR1/RRP12/NOP4/SDA1/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/TMA23/NOP2/RRP5/TIF6/UTP22/RPA190/BUD20/UTP7/SOF1/MPP10/REI1/SSF2/LCP5/RRB1/TSR2/RIX7/NEW1/NOG1/MAK21/BMS1/EBP2/MTR4/NAF1/NOG2/UTP18/NSR1",72
"GO:0006364","rRNA processing","60/140","234/4568",1.35247779944477e-42,2.30935584255195e-40,2.16396447911163e-40,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/HCA4/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/RRP14/DIP2/RRS1/PWP1/KRE33/NOP53/ENP2/TSR1/RRP12/NOP4/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/UTP7/SOF1/MPP10/LCP5/RRB1/TSR2/NOG1/BMS1/EBP2/MTR4/NAF1/UTP18/NSR1",60
"GO:0016072","rRNA metabolic process","63/140","277/4568",1.71049142324455e-41,2.33653128415205e-39,2.18942902175302e-39,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/ERB1/HCA4/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/RRP14/AIR1/DIP2/SPT15/RRS1/PWP1/KRE33/NOP53/ENP2/TSR1/RRP12/NOP4/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/NOP2/RRP5/TIF6/UTP22/RPA190/UTP7/SOF1/MPP10/LCP5/RRB1/TSR2/NOG1/BMS1/EBP2/MTR4/NAF1/UTP18/NSR1",63
"GO:0022613","ribonucleoprotein complex biogenesis","73/140","411/4568",4.01433793062182e-41,4.56965467769118e-39,4.28196045932995e-39,"SPB1/ROK1/PNO1/SPB4/NOP12/MRH4/NOP16/UTP25/NSA1/LOC1/PXR1/RRP3/DBP2/CCM1/IMP4/DBP10/DED1/ERB1/HCA4/DBP7/EFG1/DBP3/NOP14/NOP9/YTM1/RLP7/UTP21/RRP14/DIP2/RRS1/PWP1/KRE33/SGD1/NOP53/ENP2/NOC2/TSR1/RRP12/NOP4/SDA1/NOC3/NOB1/RPF2/NAN1/MRD1/UTP13/RRP9/TMA23/NOP2/RRP5/TIF6/UTP22/RPA190/BUD20/UTP7/SOF1/MPP10/REI1/SSF2/LCP5/RRB1/TSR2/RIX7/NEW1/NOG1/MAK21/BMS1/EBP2/MTR4/NAF1/NOG2/UTP18/NSR1",73
"GO:0042274","ribosomal small subunit biogenesis","35/140","113/4568",3.6659076855434e-27,3.57687849889449e-25,3.35168702678253e-25,"ROK1/PNO1/UTP25/LOC1/RRP3/IMP4/EFG1/NOP14/NOP9/UTP21/RRP14/DIP2/RRS1/KRE33/SGD1/ENP2/TSR1/RRP12/NOB1/NAN1/MRD1/UTP13/RRP9/TMA23/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/TSR2/NEW1/BMS1/UTP18/NSR1",35
"GO:0042273","ribosomal large subunit biogenesis","31/140","106/4568",3.46349500536737e-23,2.9569588608324e-21,2.7707960042939e-21,"SPB1/SPB4/NOP12/MRH4/NOP16/NSA1/LOC1/DBP10/ERB1/DBP7/DBP3/YTM1/RLP7/RRP14/RRS1/NOP53/NOC2/NOP4/SDA1/NOC3/RPF2/NOP2/RRP5/TIF6/REI1/SSF2/TSR2/RIX7/NOG1/MAK21/EBP2",31
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","27/140","78/4568",1.93803120261697e-22,1.47075034598599e-20,1.37815552186095e-20,"ROK1/PNO1/UTP25/LOC1/RRP3/EFG1/NOP14/NOP9/DIP2/RRS1/ENP2/TSR1/RRP12/NOB1/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/TSR2/BMS1/UTP18",27
"GO:0030490","maturation of SSU-rRNA","28/140","88/4568",4.26277202691446e-22,2.91147329438258e-20,2.72817409722526e-20,"ROK1/PNO1/UTP25/LOC1/RRP3/EFG1/NOP14/NOP9/DIP2/RRS1/KRE33/ENP2/TSR1/RRP12/NOB1/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/SOF1/MPP10/LCP5/TSR2/BMS1/UTP18",28
