"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098662","inorganic cation transmembrane transport","4/14","126/4568",0.000445804495060859,0.0336479686645562,0.0281137632920963,"ENB1/FTH1/MPH3/KHA1",4
"GO:0098660","inorganic ion transmembrane transport","4/14","138/4568",0.000630581240209403,0.0336479686645562,0.0281137632920963,"ENB1/FTH1/MPH3/KHA1",4
"GO:0006797","polyphosphate metabolic process","2/14","14/4568",0.000777355095003543,0.0336479686645562,0.0281137632920963,"VTC5/PPX1",2
"GO:0034755","iron ion transmembrane transport","2/14","16/4568",0.00102149725626991,0.0336479686645562,0.0281137632920963,"ENB1/FTH1",2
"GO:0098655","cation transmembrane transport","4/14","158/4568",0.00105149902076738,0.0336479686645562,0.0281137632920963,"ENB1/FTH1/MPH3/KHA1",4
"GO:0030001","metal ion transport","3/14","87/4568",0.00208695921613405,0.0448840066657396,0.0375017687272956,"ENB1/FTH1/KHA1",3
"GO:0034220","ion transmembrane transport","4/14","194/4568",0.00225713938389977,0.0448840066657396,0.0375017687272956,"ENB1/FTH1/MPH3/KHA1",4
"GO:0006812","cation transport","4/14","197/4568",0.00238831271492601,0.0448840066657396,0.0375017687272956,"ENB1/FTH1/MPH3/KHA1",4
"GO:0048878","chemical homeostasis","4/14","200/4568",0.00252472537494785,0.0448840066657396,0.0375017687272956,"ENB1/VTC5/FTH1/VPS53",4
"GO:0042592","homeostatic process","4/14","227/4568",0.00400623961199116,0.0640998337918585,0.0535570979708292,"ENB1/VTC5/FTH1/VPS53",4
"GO:0006826","iron ion transport","2/14","34/4568",0.00462730364738002,0.067306234870982,0.0562361304514126,"ENB1/FTH1",2
"GO:0098771","inorganic ion homeostasis","3/14","136/4568",0.00738509874572211,0.0984679832762947,0.082272591290062,"ENB1/VTC5/FTH1",3
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
