"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044282","small molecule catabolic process","4/15","118/4568",0.000463368607056268,0.0823239669141979,0.0668764490950578,"ANT1/ARO10/YPR1/GCV1",4
"GO:0015804","neutral amino acid transport","2/15","13/4568",0.000768924907298334,0.0823239669141979,0.0668764490950578,"AVT4/AVT1",2
"GO:1902475","L-alpha-amino acid transmembrane transport","2/15","17/4568",0.0013305490130286,0.0823239669141979,0.0668764490950578,"AVT4/AVT1",2
"GO:0046395","carboxylic acid catabolic process","3/15","71/4568",0.00143206650938262,0.0823239669141979,0.0668764490950578,"ANT1/ARO10/GCV1",3
"GO:0016054","organic acid catabolic process","3/15","72/4568",0.00149137621221373,0.0823239669141979,0.0668764490950578,"ANT1/ARO10/GCV1",3
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0015175","neutral amino acid transmembrane transporter activity","2/15","12/4540",0.000659854077452247,0.0258397523596662,0.0203998044944733,"AVT4/AVT1",2
"GO:0008514","organic anion transmembrane transporter activity","3/15","58/4540",0.00080749226123957,0.0258397523596662,0.0203998044944733,"AVT4/AVT1/ANT1",3
"GO:0008509","anion transmembrane transporter activity","3/15","69/4540",0.0013414402218843,0.0286173914001984,0.0225926774212092,"AVT4/AVT1/ANT1",3
"GO:0015179","L-amino acid transmembrane transporter activity","2/15","21/4540",0.00206376052312778,0.0330201683700444,0.0260685539763508,"AVT4/AVT1",2
"GO:0015171","amino acid transmembrane transporter activity","2/15","39/4540",0.00703632985255653,0.0900650221127235,0.0711039648258344,"AVT4/AVT1",2
NA,NA,NA,NA,NA,NA,NA,NA,NA
