"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","ncRNA processing","51/107","348/4568",6.88729945106638e-30,4.16014177506633e-27,3.89020224748082e-27,"THG1/ROK1/TRM44/PNO1/MRH4/NOP16/GCD10/PXR1/RRP3/CCM1/IMP4/NCS2/HCA4/NCS6/NOP14/TRM8/YTM1/RLP7/SUA5/DIP2/ELP2/DEG1/PWP1/KRE33/TRM2/ENP2/TSR1/NOP4/NOC3/NOB1/NAN1/MRD1/UTP13/RRP9/TIF6/UTP22/UTP7/MPP10/LCP5/RRB1/TYW1/ABP140/MOD5/BMS1/TCD2/MTR4/DUS1/NAF1/UTP18/DUS4/NSR1",51
"GO:0034660","ncRNA metabolic process","56/107","447/4568",1.32699897131303e-29,4.16014177506633e-27,3.89020224748082e-27,"THG1/ROK1/TRM44/PNO1/MRH4/NOP16/GCD10/PXR1/RRP3/CCM1/IMP4/NCS2/HCA4/NCS6/NOP14/TRM8/YTM1/RLP7/AIR1/SUA5/DIP2/ELP2/SPT15/DEG1/PWP1/KRE33/TRM2/ENP2/TSR1/NOP4/NOC3/NOB1/NAN1/MRD1/UTP13/RRP9/TIF6/UTP22/RPA190/UTP7/MPP10/LCP5/RRB1/TYW1/ABP140/RPC53/MOD5/BMS1/TCD2/MTR4/RPC34/DUS1/NAF1/UTP18/DUS4/NSR1",56
"GO:0042254","ribosome biogenesis","45/107","329/4568",1.278177533884e-24,2.67139104581756e-22,2.49805223288908e-22,"ROK1/PNO1/MRH4/NOP16/PXR1/RRP3/CCM1/IMP4/HCA4/NOP14/YTM1/RLP7/DIP2/PWP1/KRE33/SGD1/ENP2/NOC2/TSR1/NOP4/NOC3/NOB1/NAN1/MRD1/UTP13/RRP9/TMA23/TIF6/UTP22/RPA190/BUD20/UTP7/MPP10/REI1/SSF2/LCP5/RRB1/RIX7/NEW1/MAK21/BMS1/MTR4/NAF1/UTP18/NSR1",45
"GO:0022613","ribonucleoprotein complex biogenesis","46/107","411/4568",2.00518430942636e-21,3.14312640502581e-19,2.93917805355389e-19,"ROK1/PNO1/MRH4/NOP16/PXR1/RRP3/CCM1/IMP4/DED1/HCA4/NOP14/YTM1/RLP7/DIP2/PWP1/KRE33/SGD1/ENP2/NOC2/TSR1/NOP4/NOC3/NOB1/NAN1/MRD1/UTP13/RRP9/TMA23/TIF6/UTP22/RPA190/BUD20/UTP7/MPP10/REI1/SSF2/LCP5/RRB1/RIX7/NEW1/MAK21/BMS1/MTR4/NAF1/UTP18/NSR1",46
"GO:0016072","rRNA metabolic process","38/107","277/4568",1.59073096978323e-20,1.99477663610817e-18,1.86534136877739e-18,"ROK1/PNO1/MRH4/NOP16/PXR1/RRP3/CCM1/IMP4/HCA4/NOP14/YTM1/RLP7/AIR1/DIP2/SPT15/PWP1/KRE33/ENP2/TSR1/NOP4/NOC3/NOB1/NAN1/MRD1/UTP13/RRP9/TIF6/UTP22/RPA190/UTP7/MPP10/LCP5/RRB1/BMS1/MTR4/NAF1/UTP18/NSR1",38
"GO:0006364","rRNA processing","35/107","234/4568",4.37081394204802e-20,4.56750056944018e-18,4.27112871179078e-18,"ROK1/PNO1/MRH4/NOP16/PXR1/RRP3/CCM1/IMP4/HCA4/NOP14/YTM1/RLP7/DIP2/PWP1/KRE33/ENP2/TSR1/NOP4/NOC3/NOB1/NAN1/MRD1/UTP13/RRP9/TIF6/UTP22/UTP7/MPP10/LCP5/RRB1/BMS1/MTR4/NAF1/UTP18/NSR1",35
"GO:0042274","ribosomal small subunit biogenesis","24/107","113/4568",2.15881060940646e-17,1.93367750299693e-15,1.80820678111188e-15,"ROK1/PNO1/RRP3/IMP4/NOP14/DIP2/KRE33/SGD1/ENP2/TSR1/NOB1/NAN1/MRD1/UTP13/RRP9/TMA23/UTP22/UTP7/MPP10/LCP5/NEW1/BMS1/UTP18/NSR1",24
"GO:0030490","maturation of SSU-rRNA","19/107","88/4568",4.93001962354356e-14,3.86390287995226e-12,3.61318543462337e-12,"ROK1/PNO1/RRP3/NOP14/DIP2/KRE33/ENP2/TSR1/NOB1/NAN1/MRD1/UTP13/RRP9/UTP22/UTP7/MPP10/LCP5/BMS1/UTP18",19
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","18/107","78/4568",7.05214678720354e-14,4.91299559508513e-12,4.59420556780394e-12,"ROK1/PNO1/RRP3/NOP14/DIP2/ENP2/TSR1/NOB1/NAN1/MRD1/UTP13/RRP9/UTP22/UTP7/MPP10/LCP5/BMS1/UTP18",18
"GO:0000967","rRNA 5'-end processing","12/107","27/4568",1.89497076501926e-13,1.08013333606098e-11,1.01004661829256e-11,"ROK1/PNO1/NOP14/RLP7/DIP2/MRD1/UTP13/RRP9/UTP7/MPP10/BMS1/UTP18",12
"GO:0034471","ncRNA 5'-end processing","12/107","27/4568",1.89497076501926e-13,1.08013333606098e-11,1.01004661829256e-11,"ROK1/PNO1/NOP14/RLP7/DIP2/MRD1/UTP13/RRP9/UTP7/MPP10/BMS1/UTP18",12
"GO:0000966","RNA 5'-end processing","13/107","36/4568",4.50353498581115e-13,2.35309703008633e-11,2.20041139219018e-11,"THG1/ROK1/PNO1/NOP14/RLP7/DIP2/MRD1/UTP13/RRP9/UTP7/MPP10/BMS1/UTP18",13
"GO:0006400","tRNA modification","17/107","75/4568",5.12613161279537e-13,2.47237270863285e-11,2.31194761807856e-11,"THG1/TRM44/GCD10/NCS2/NCS6/TRM8/SUA5/ELP2/DEG1/KRE33/TRM2/TYW1/ABP140/MOD5/TCD2/DUS1/DUS4",17
"GO:0000469","cleavage involved in rRNA processing","16/107","68/4568",1.4131953306887e-12,6.32909623101297e-11,5.91841954280907e-11,"ROK1/PNO1/NOP14/RLP7/DIP2/TSR1/NOB1/MRD1/UTP13/RRP9/UTP7/MPP10/LCP5/BMS1/MTR4/UTP18",16
"GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","11/107","25/4568",2.34974826131336e-12,9.82194773228984e-11,9.18463004597573e-11,"ROK1/NOP14/DIP2/MRD1/UTP13/RRP9/UTP7/MPP10/LCP5/BMS1/UTP18",11
"GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","11/107","26/4568",3.99417751590016e-12,1.56521831404337e-10,1.46365583970815e-10,"ROK1/PNO1/NOP14/DIP2/MRD1/UTP13/RRP9/UTP7/MPP10/BMS1/UTP18",11
"GO:0009451","RNA modification","18/107","101/4568",8.0133195232801e-12,2.95550078888037e-10,2.76372691917462e-10,"THG1/TRM44/GCD10/NCS2/NCS6/TRM8/SUA5/ELP2/DEG1/KRE33/TRM2/TYW1/ABP140/MOD5/TCD2/DUS1/NAF1/DUS4",18
"GO:0036260","RNA capping","12/107","36/4568",1.14514690071979e-11,3.74589407364657e-10,3.50283387731241e-10,"ROK1/PNO1/NOP14/RLP7/DIP2/MRD1/UTP13/RRP9/UTP7/MPP10/BMS1/UTP18",12
"GO:0000478","endonucleolytic cleavage involved in rRNA processing","13/107","45/4568",1.19486254342793e-11,3.74589407364657e-10,3.50283387731241e-10,"ROK1/PNO1/NOP14/DIP2/TSR1/MRD1/UTP13/RRP9/UTP7/MPP10/LCP5/BMS1/UTP18",13
"GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","13/107","45/4568",1.19486254342793e-11,3.74589407364657e-10,3.50283387731241e-10,"ROK1/PNO1/NOP14/DIP2/TSR1/MRD1/UTP13/RRP9/UTP7/MPP10/LCP5/BMS1/UTP18",13
"GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","11/107","32/4568",5.93292767192062e-11,1.7714026906163e-09,1.65646151040591e-09,"ROK1/PNO1/NOP14/DIP2/MRD1/UTP13/RRP9/UTP7/MPP10/LCP5/UTP18",11
"GO:0000460","maturation of 5.8S rRNA","15/107","77/4568",1.37574750919837e-10,3.75040734029295e-09,3.50705429118303e-09,"ROK1/PNO1/NOP14/YTM1/RLP7/DIP2/MRD1/UTP13/RRP9/TIF6/UTP7/MPP10/LCP5/MTR4/UTP18",15
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","15/107","77/4568",1.37574750919837e-10,3.75040734029295e-09,3.50705429118303e-09,"ROK1/PNO1/NOP14/YTM1/RLP7/DIP2/MRD1/UTP13/RRP9/TIF6/UTP7/MPP10/LCP5/MTR4/UTP18",15
"GO:0006399","tRNA metabolic process","21/107","188/4568",1.18863532038361e-09,3.10530977450219e-08,2.90381523444593e-08,"THG1/TRM44/GCD10/NCS2/NCS6/TRM8/AIR1/SUA5/ELP2/DEG1/KRE33/TRM2/TYW1/ABP140/RPC53/MOD5/TCD2/MTR4/RPC34/DUS1/DUS4",21
"GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic","14/107","77/4568",1.56233805756043e-09,3.91834384836157e-08,3.66409388657331e-08,"ROK1/PNO1/NOP14/DIP2/TSR1/NOB1/MRD1/UTP13/RRP9/UTP7/MPP10/LCP5/BMS1/UTP18",14
"GO:0008033","tRNA processing","17/107","124/4568",2.34163110617385e-09,5.6469334752731e-08,5.28052034874023e-08,"THG1/TRM44/GCD10/NCS2/NCS6/TRM8/SUA5/ELP2/DEG1/KRE33/TRM2/TYW1/ABP140/MOD5/TCD2/DUS1/DUS4",17
