"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055072","iron ion homeostasis","20/145","60/5135",4.45084692165682e-17,3.28917587510439e-14,2.75015488738164e-14,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE3/FIT3/FRE5/ISU1/LSO1",20
"GO:0055076","transition metal ion homeostasis","20/145","91/5135",3.32580484255972e-13,1.22888488932582e-10,1.02749865399082e-10,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE3/FIT3/FRE5/ISU1/LSO1",20
"GO:0006826","iron ion transport","14/145","39/5135",8.99065284088241e-13,2.21469748313737e-10,1.85175902371859e-10,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/FIT1/FRE1/FET3/ENB1/FRE3/FIT3/FRE5",14
"GO:0006879","cellular iron ion homeostasis","15/145","52/5135",5.12227408919393e-12,9.46340137978578e-10,7.91256550093904e-10,"SIT1/ARN1/ARN2/GEX2/FET5/CCC2/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE3/FRE5/ISU1",15
"GO:0015891","siderophore transport","8/145","10/5135",1.43210731354779e-11,2.11665460942363e-09,1.76978314326853e-09,"SIT1/ARN1/ARN2/GEX2/FIT1/ENB1/FRE3/FIT3",8
"GO:0055065","metal ion homeostasis","20/145","115/5135",3.3461861478245e-11,4.12138593873718e-09,3.44598468205786e-09,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE3/FIT3/FRE5/ISU1/LSO1",20
"GO:0034755","iron ion transmembrane transport","9/145","16/5135",8.61923658237378e-11,9.09945119196317e-09,7.60825845692241e-09,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/FET3/ENB1",9
"GO:0000041","transition metal ion transport","15/145","65/5135",1.73103554668195e-10,1.59904408624745e-08,1.33699719197671e-08,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/CCC2/FIT1/FRE1/FET3/ENB1/FRE3/FIT3/FRE5",15
"GO:0055080","cation homeostasis","21/145","154/5135",1.17155258378863e-09,9.61974843799773e-08,8.04329083840847e-08,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/PDR5/ISU2/FRE3/FIT3/FRE5/ISU1/LSO1",21
"GO:0098771","inorganic ion homeostasis","20/145","147/5135",3.15525970224932e-09,2.33173691996224e-07,1.94961836338984e-07,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE3/FIT3/FRE5/ISU1/LSO1",20
