"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055086","nucleobase-containing small molecule metabolic process","32/205","226/5135",1.66983138460613e-10,1.56000851608747e-07,1.3420491778643e-07,"ADE1/TKL2/RNR1/RNR3/UGP1/YNK1/MTD1/HXK1/PNC1/SDT1/ADE5,7/NQM1/RNR4/SOL4/GND2/RNR2/TDH1/CPA2/TRX1/ADE13/PGM2/ADE17/URA10/ERR3/NRK1/ACC1/SOL1/CYT1/ADE2/SAM4/ERR2/ATP6",32
"GO:0009117","nucleotide metabolic process","29/205","193/5135",3.13254722105917e-10,1.56000851608747e-07,1.3420491778643e-07,"ADE1/TKL2/RNR1/RNR3/YNK1/MTD1/HXK1/PNC1/SDT1/ADE5,7/NQM1/RNR4/SOL4/GND2/RNR2/TDH1/CPA2/TRX1/ADE13/ADE17/URA10/ERR3/NRK1/ACC1/SOL1/CYT1/ADE2/ERR2/ATP6",29
"GO:0006753","nucleoside phosphate metabolic process","29/205","198/5135",5.86454293623795e-10,1.947028254831e-07,1.6749957719641e-07,"ADE1/TKL2/RNR1/RNR3/YNK1/MTD1/HXK1/PNC1/SDT1/ADE5,7/NQM1/RNR4/SOL4/GND2/RNR2/TDH1/CPA2/TRX1/ADE13/ADE17/URA10/ERR3/NRK1/ACC1/SOL1/CYT1/ADE2/ERR2/ATP6",29
"GO:0006091","generation of precursor metabolites and energy","29/205","214/5135",3.79167906455993e-09,9.44128087075423e-07,8.12217568039943e-07,"TKL2/GRX1/CYC7/GIP2/RGI1/RNR3/UGP1/MBR1/SDH3/GSY1/HXK1/NQM1/SOL4/GND2/TDH1/SDH2/DAK1/ISF1/PGM2/SHH3/ERR3/MLS1/PSD1/SOL1/CYT1/GAC1/ERR2/GPH1/GDB1",29
"GO:0043436","oxoacid metabolic process","41/205","405/5135",1.303221848678e-08,2.59601792256657e-06,2.2333107048924e-06,"UGA2/ADH5/EHT1/PYC2/ARO4/HIS4/HIS1/SER3/TRP2/ARG4/LYS1/FAS1/AGX1/HXK1/ARO3/HOM2/SAM2/HSP31/ARO8/GND2/VTC4/TDH1/CPA2/GLO1/CYB2/PHO84/ARG7/ALD3/GAD1/ERR3/MLS1/ACC1/LYS9/HIS3/HSP33/VTC3/EEB1/FAS2/SAM4/HSP32/ERR2",41
"GO:0006082","organic acid metabolic process","41/205","409/5135",1.73845082187424e-08,2.85919124081286e-06,2.45971429932537e-06,"UGA2/ADH5/EHT1/PYC2/ARO4/HIS4/HIS1/SER3/TRP2/ARG4/LYS1/FAS1/AGX1/HXK1/ARO3/HOM2/SAM2/HSP31/ARO8/GND2/VTC4/TDH1/CPA2/GLO1/CYB2/PHO84/ARG7/ALD3/GAD1/ERR3/MLS1/ACC1/LYS9/HIS3/HSP33/VTC3/EEB1/FAS2/SAM4/HSP32/ERR2",41
"GO:0019637","organophosphate metabolic process","39/205","379/5135",2.00947175559136e-08,2.85919124081286e-06,2.45971429932537e-06,"ADE1/CDS1/TKL2/RNR1/RNR3/YNK1/MTD1/HXK1/GPD1/PNC1/SDT1/ADE5,7/NQM1/CLD1/GPC1/CHO2/RNR4/SOL4/GND2/RNR2/TDH1/INO1/OPI3/CPA2/TRX1/ADE13/PGM2/ADE17/URA10/ERR3/NRK1/CPT1/PSD1/ACC1/SOL1/CYT1/ADE2/ERR2/ATP6",39
"GO:0016053","organic acid biosynthetic process","25/205","189/5135",8.17682188628561e-08,9.04901622082274e-06,7.78471697711869e-06,"EHT1/ARO4/HIS4/HIS1/SER3/TRP2/ARG4/LYS1/FAS1/AGX1/ARO3/HOM2/HSP31/ARO8/CPA2/ARG7/ALD3/ACC1/LYS9/HIS3/HSP33/EEB1/FAS2/SAM4/HSP32",25
"GO:0046394","carboxylic acid biosynthetic process","25/205","189/5135",8.17682188628561e-08,9.04901622082274e-06,7.78471697711869e-06,"EHT1/ARO4/HIS4/HIS1/SER3/TRP2/ARG4/LYS1/FAS1/AGX1/ARO3/HOM2/HSP31/ARO8/CPA2/ARG7/ALD3/ACC1/LYS9/HIS3/HSP33/EEB1/FAS2/SAM4/HSP32",25
"GO:0019752","carboxylic acid metabolic process","38/205","387/5135",1.12249656842106e-07,1.11800658214738e-05,9.61802322836573e-06,"UGA2/ADH5/EHT1/PYC2/ARO4/HIS4/HIS1/SER3/TRP2/ARG4/LYS1/FAS1/AGX1/HXK1/ARO3/HOM2/SAM2/HSP31/ARO8/GND2/TDH1/CPA2/GLO1/CYB2/ARG7/ALD3/GAD1/ERR3/MLS1/ACC1/LYS9/HIS3/HSP33/EEB1/FAS2/SAM4/HSP32/ERR2",38
"GO:0009165","nucleotide biosynthetic process","19/205","119/5135",1.66702683204138e-07,1.50941702246656e-05,1.29852616390591e-05,"ADE1/RNR1/RNR3/YNK1/MTD1/PNC1/ADE5,7/RNR4/RNR2/CPA2/TRX1/ADE13/ADE17/URA10/NRK1/ACC1/CYT1/ADE2/ATP6",19
"GO:1901293","nucleoside phosphate biosynthetic process","19/205","121/5135",2.18884412960376e-07,1.76242025365417e-05,1.51618060291111e-05,"ADE1/RNR1/RNR3/YNK1/MTD1/PNC1/ADE5,7/RNR4/RNR2/CPA2/TRX1/ADE13/ADE17/URA10/NRK1/ACC1/CYT1/ADE2/ATP6",19
"GO:0044283","small molecule biosynthetic process","34/205","333/5135",2.30034772063295e-07,1.76242025365417e-05,1.51618060291111e-05,"BDH2/ADH5/EHT1/PYC2/ARO4/HIS4/HIS1/SER3/TRP2/ARG4/LYS1/FAS1/AGX1/ARO3/HOM2/HSP31/ARO8/THI4/TDH1/INO1/CPA2/COQ11/ARG7/ALD3/URA10/ACC1/LYS9/RIB4/HIS3/HSP33/EEB1/FAS2/SAM4/HSP32",34
"GO:0005975","carbohydrate metabolic process","26/205","246/5135",3.77720810660558e-06,0.000268721376727083,0.000231176496148642,"PYC2/GIP2/GRE3/UGP1/GSY1/HXK1/GPD1/TPS2/YPR1/PKP2/NQM1/SOL4/GND2/TDH1/INO1/GAS2/DAK1/TSL1/PGM2/ERR3/MLS1/SOL1/GAC1/ERR2/GPH1/GDB1",26
"GO:1901135","carbohydrate derivative metabolic process","31/205","327/5135",4.19523690250667e-06,0.000278563730326443,0.000239643707974767,"ADE1/TKL2/RNR1/SHC1/RNR3/UGP1/YNK1/HXK1/GPD1/ADE5,7/NQM1/RNR4/SOL4/GND2/RNR2/TDH1/CPA2/TRX1/ADE13/PGM2/ADE17/URA10/ERR3/NRK1/ACC1/SOL1/CYT1/ADE2/SAM4/ERR2/ATP6",31
"GO:0090407","organophosphate biosynthetic process","27/205","266/5135",5.25426560546693e-06,0.000327078033940316,0.000281379750187505,"ADE1/CDS1/RNR1/RNR3/YNK1/MTD1/PNC1/ADE5,7/CLD1/GPC1/CHO2/RNR4/RNR2/INO1/OPI3/CPA2/TRX1/ADE13/ADE17/URA10/NRK1/CPT1/PSD1/ACC1/CYT1/ADE2/ATP6",27
"GO:0051156","glucose 6-phosphate metabolic process","7/205","20/5135",7.26350539692358e-06,0.000425555963255052,0.000366098662111194,"TKL2/HXK1/NQM1/SOL4/GND2/PGM2/SOL1",7
"GO:0008652","cellular amino acid biosynthetic process","17/205","128/5135",1.04103595524448e-05,0.00057603989523528,0.000495557466414625,"ARO4/HIS4/HIS1/SER3/TRP2/ARG4/LYS1/AGX1/ARO3/HOM2/ARO8/CPA2/ARG7/ALD3/LYS9/HIS3/SAM4",17
"GO:0032787","monocarboxylic acid metabolic process","19/205","156/5135",1.12007446033374e-05,0.000587154822364426,0.000505119451917821,"UGA2/EHT1/PYC2/FAS1/HXK1/HSP31/GND2/TDH1/GLO1/CYB2/ALD3/ERR3/MLS1/ACC1/HSP33/EEB1/FAS2/HSP32/ERR2",19
"GO:0015980","energy derivation by oxidation of organic compounds","19/205","157/5135",1.22986069817887e-05,0.000612470627693079,0.000526898214904002,"CYC7/GIP2/RGI1/RNR3/UGP1/MBR1/SDH3/GSY1/SDH2/DAK1/ISF1/PGM2/SHH3/MLS1/PSD1/CYT1/GAC1/GPH1/GDB1",19
"GO:0009262","deoxyribonucleotide metabolic process","5/205","10/5135",2.06713546963881e-05,0.000935848603527389,0.000805094867122484,"RNR1/RNR3/RNR4/RNR2/TRX1",5
"GO:0009263","deoxyribonucleotide biosynthetic process","5/205","10/5135",2.06713546963881e-05,0.000935848603527389,0.000805094867122484,"RNR1/RNR3/RNR4/RNR2/TRX1",5
"GO:0006089","lactate metabolic process","5/205","11/5135",3.66712197819538e-05,0.00158802325664461,0.00136614978958858,"HSP31/GLO1/CYB2/HSP33/HSP32",5
"GO:0006188","IMP biosynthetic process","5/205","12/5135",6.0832497034507e-05,0.00250378942494076,0.00215396807429907,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0006112","energy reserve metabolic process","8/205","36/5135",6.48646518292331e-05,0.00250378942494076,0.00215396807429907,"GIP2/RGI1/UGP1/GSY1/PGM2/GAC1/GPH1/GDB1",8
"GO:0009259","ribonucleotide metabolic process","15/205","119/5135",6.53599649080922e-05,0.00250378942494076,0.00215396807429907,"ADE1/YNK1/HXK1/ADE5,7/TDH1/CPA2/ADE13/ADE17/URA10/ERR3/ACC1/CYT1/ADE2/ERR2/ATP6",15
"GO:0034637","cellular carbohydrate biosynthetic process","10/205","59/5135",9.35133396886823e-05,0.00328541048040643,0.0028263835669529,"GIP2/UGP1/GSY1/TPS2/INO1/GAS2/TSL1/PGM2/GAC1/GDB1",10
"GO:0006098","pentose-phosphate shunt","5/205","13/5135",9.56595421001873e-05,0.00328541048040643,0.0028263835669529,"TKL2/NQM1/SOL4/GND2/SOL1",5
"GO:0046040","IMP metabolic process","5/205","13/5135",9.56595421001873e-05,0.00328541048040643,0.0028263835669529,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0019693","ribose phosphate metabolic process","15/205","126/5135",0.000126804940327051,0.00420992401885809,0.00362172706758665,"ADE1/YNK1/HXK1/ADE5,7/TDH1/CPA2/ADE13/ADE17/URA10/ERR3/ACC1/CYT1/ADE2/ERR2/ATP6",15
