"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005975","carbohydrate metabolic process","94/843","246/5135",2.48617420364142e-17,4.07732569397193e-14,3.71617617807455e-14,"NTH2/MNN2/GAL7/GAL10/TPS1/ARA1/MAL33/MAL31/MAL32/LEU2/GLK1/CIT2/GLC3/UBC8/UTR2/DSF1/GIP2/GRE3/VID28/PIG2/FYV10/SGA1/PFK26/SIM1/GUT2/UGP1/MDH1/GLG1/PCK1/GSY1/IGD1/HXK1/GPM2/GPD1/NTH1/GAL3/TPS2/RMD5/EMI2/CWH41/PKP2/PYC1/AMS1/VID30/NQM1/XKS1/SOL4/ENO1/GND2/SCW4/MAL11/MAL12/TDH1/SIP4/GLG2/INO1/FBP26/MNN5/HSP104/MNL2/XYL2/IDP2/GSY2/EXG1/FKS1/GAS2/TSA1/DAK1/TSL1/PGM2/GID8/GAS3/TPS3/CAT8/SCW10/GAS1/ERR3/SUN4/MLS1/ZWF1/CIT1/SOL1/MAN2/OPI10/RKI1/GCY1/GAC1/SPR1/PYK2/YIG1/CIT3/ATH1/GPH1/GDB1",94
"GO:0044262","cellular carbohydrate metabolic process","65/843","157/5135",3.42704240452285e-14,2.81017477170874e-11,2.56126327074866e-11,"NTH2/MNN2/TPS1/ARA1/MAL33/MAL31/MAL32/LEU2/GLK1/GLC3/UBC8/DSF1/GIP2/VID28/PIG2/FYV10/SGA1/PFK26/GUT2/UGP1/GLG1/GSY1/IGD1/HXK1/NTH1/GAL3/TPS2/RMD5/EMI2/CWH41/VID30/XKS1/GND2/MAL11/MAL12/SIP4/GLG2/INO1/FBP26/MNN5/HSP104/XYL2/IDP2/GSY2/EXG1/FKS1/GAS2/TSA1/DAK1/TSL1/PGM2/GID8/GAS3/TPS3/GAS1/MLS1/MAN2/OPI10/GCY1/GAC1/SPR1/YIG1/ATH1/GPH1/GDB1",65
"GO:0032787","monocarboxylic acid metabolic process","58/843","156/5135",1.6527998387607e-10,8.33006836088842e-08,7.59223175382641e-08,"ACS1/YAT1/ACH1/UGA2/ETR1/IFA38/LEU2/GLK1/FRM2/ELO2/DLD3/FAA2/YAT2/CEM1/PAN6/POT1/MAE1/PXA2/HXK1/GPM2/DLD1/EMI2/HSP31/FDC1/PYC1/POX1/UGA1/ENO1/GND2/TDH1/BNA3/PHS1/IDP2/BNA5/ELO3/GLO1/CAT2/CYB2/FMS1/ALD3/ALD2/SNO4/ERR3/MLS1/SPS19/GOR1/IZH2/GLO4/CRC1/MCT1/FAA1/PYK2/ALD4/HSP33/EEB1/HSP32/CIT3/PDH1",58
"GO:0006364","rRNA processing","95/843","314/5135",2.03172399046059e-10,8.33006836088842e-08,7.59223175382641e-08,"MAK16/POP5/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/SPB1/KRR1/BUD23/PWP2/SNU13/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RTC3/RPF1/GAR1/IMP3/DBP8/UTP9/RIX1/FAF1/BMT5/MRT4/DHR2/RRP14/UTP11/DBP7/RPS21A/RPF2/NOP1/TSR1/FAL1/RRP8/RRP1/BFR2/UTP4/UTP5/UTP6/CGR1/DBP3/ROK1/RAI1/NOP7/ENP2/NSR1/HCA4/UTP18/UTP10/FCF2/FYV7/MDN1/DIP2/RPS31/PWP1/TSR2/UTP14/ERB1/RRB1/RNT1/HAS1/RLP7/IMP4/NOP15/DBP2/NAF1/IPI3/RCL1/NOP12/BRX1/REX4/NOP8/UTP23/BUD21/RPS28A/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",95
"GO:0042254","ribosome biogenesis","116/843","429/5135",3.81367988919191e-09,1.25088700365495e-06,1.14008956687421e-06,"MAK16/POP5/ECM1/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/REI1/SPB1/KRR1/BUD23/PWP2/RSA4/SNU13/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RTC3/RPF1/GAR1/IMP3/DBP8/NMD3/UTP9/RIX1/FAF1/BMT5/YVH1/MRT4/DHR2/RRP14/UTP11/DBP7/RPS21A/RPF2/NOP1/TSR1/SYO1/FAL1/RRP8/RRP1/ARX1/BFR2/UTP4/BCP1/UTP5/RPS17B/UTP6/PUF6/CGR1/DBP3/ROK1/RAI1/NOP7/ENP2/NSR1/SDA1/HCA4/UTP18/UTP10/ALB1/RPA34/RPA12/RIX7/RLP24/FCF2/FYV7/BUD20/MDN1/DIP2/RPS31/PWP1/TSR2/UTP14/ERB1/RRB1/RNT1/HAS1/RLP7/IMP4/NOP15/DBP2/RPC19/NAF1/IPI3/NOG2/RCL1/NOP12/BRX1/REX4/NOP8/UTP23/BUD21/RPS28A/GSP2/YTM1/RRP36/RRS1/RPA43/RRP12/NOP4/NOG1/NAN1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",116
"GO:0006091","generation of precursor metabolites and energy","68/843","214/5135",1.0430916550905e-08,2.85111719058071e-06,2.59857921092722e-06,"ACS1/ETR1/AAC3/TKL2/ALG7/GRX1/GLK1/CIT2/GLC3/RIP1/CYC7/GIP2/RGI1/PIG2/RGI2/RNR3/SGA1/UGP1/MDH1/MBR1/HAP4/SDH1/PET10/GLG1/GSY1/IGD1/HXK1/GPM2/NDE2/MIX14/GRX2/EMI2/NQM1/ATF2/LSC2/SOL4/ENO1/GND2/TDH1/GLG2/SOD1/SDH2/SHH4/IDP2/GSY2/ACO1/DAK1/NDI1/ISF1/PGM2/SHH3/ERR3/IDH1/CYB5/MLS1/ZWF1/CIT1/SOL1/SDH5/CYT1/RKI1/IDH2/GAC1/PYK2/ALD4/CIT3/GPH1/GDB1",68
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","26/843","52/5135",1.84227332018006e-08,4.316183207279e-06,3.93387686414389e-06,"MAK16/MAK5/SPB1/NUG1/NSA2/CIC1/SSF1/IPI1/RPF1/DBP7/RPF2/DBP3/RAI1/NOP7/TSR2/ERB1/HAS1/RLP7/NOP15/NOP12/BRX1/NOP8/YTM1/NOP4/NIP7/RRP15",26
"GO:0016051","carbohydrate biosynthetic process","37/843","91/5135",2.38820905462271e-08,4.89582856197656e-06,4.46218007574243e-06,"MNN2/TPS1/GLC3/UBC8/GIP2/VID28/PIG2/FYV10/UGP1/GLG1/PCK1/GSY1/IGD1/TPS2/RMD5/CWH41/PYC1/VID30/TDH1/SIP4/GLG2/INO1/MNN5/XYL2/GSY2/FKS1/GAS2/TSA1/TSL1/PGM2/GID8/GAS3/TPS3/GAS1/GAC1/YIG1/GDB1",37
"GO:0000460","maturation of 5.8S rRNA","37/843","92/5135",3.37910034165343e-08,5.25963707924086e-06,4.79376421856356e-06,"MAK16/UTP20/MAK5/ENP1/SPB1/KRR1/BUD23/PWP2/NSA2/LCP5/CIC1/RRP4/RPF1/DBP8/UTP11/RPS21A/RPF2/UTP6/DBP3/ROK1/RAI1/NOP7/UTP18/UTP10/FCF2/DIP2/UTP14/ERB1/RLP7/RCL1/BRX1/UTP23/BUD21/YTM1/RRS1/MRD1/RRP15",37
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","37/843","92/5135",3.37910034165343e-08,5.25963707924086e-06,4.79376421856356e-06,"MAK16/UTP20/MAK5/ENP1/SPB1/KRR1/BUD23/PWP2/NSA2/LCP5/CIC1/RRP4/RPF1/DBP8/UTP11/RPS21A/RPF2/UTP6/DBP3/ROK1/RAI1/NOP7/UTP18/UTP10/FCF2/DIP2/UTP14/ERB1/RLP7/RCL1/BRX1/UTP23/BUD21/YTM1/RRS1/MRD1/RRP15",37
